PRISM Time Series Data
Location:  Lat: 40.2123   Lon: -77.5521   Elev: 1381ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,2.89,18.0,26.9,35.9,0.52,3.97
2000-02,2.76,22.7,32.0,41.2,0.51,4.41
2000-03,4.51,31.5,42.4,53.3,0.89,8.81
2000-04,4.80,36.4,47.3,58.2,0.49,9.15
2000-05,5.05,49.1,60.7,72.3,0.76,14.93
2000-06,4.82,57.0,67.2,77.3,0.46,13.95
2000-07,4.72,57.0,67.2,77.4,0.30,15.27
2000-08,2.78,58.4,68.2,77.9,0.43,14.41
2000-09,5.09,50.6,61.2,71.7,0.35,11.92
2000-10,1.35,41.8,53.4,65.0,0.66,11.43
2000-11,2.40,31.1,39.8,48.6,0.79,6.50
2000-12,3.36,16.2,24.1,32.0,0.40,2.93
2001-01,2.65,19.8,27.5,35.1,0.44,3.14
2001-02,1.10,24.2,33.0,41.9,0.68,4.73
2001-03,4.95,26.0,34.5,43.0,0.65,5.22
2001-04,2.76,38.4,49.6,60.8,0.97,10.94
2001-05,2.83,47.4,59.3,71.2,1.07,15.70
2001-06,3.27,57.1,67.7,78.3,0.67,17.29
2001-07,1.55,57.3,68.9,80.4,0.97,19.26
2001-08,2.69,62.0,72.9,83.8,0.93,20.59
2001-09,2.71,49.9,62.3,74.7,0.49,16.09
2001-10,0.98,40.4,52.8,65.2,0.96,13.03
2001-11,1.58,36.0,47.2,58.5,1.14,9.65
2001-12,2.25,29.6,37.6,45.5,0.68,5.18
2002-01,2.21,27.0,35.3,43.7,0.93,5.57
2002-02,0.45,24.8,35.1,45.4,0.86,6.21
2002-03,4.21,28.7,38.7,48.7,0.78,6.79
2002-04,4.24,40.4,51.7,62.9,1.14,11.76
2002-05,5.50,45.2,56.8,68.5,0.56,13.03
2002-06,4.27,58.0,68.9,79.7,0.79,17.48
2002-07,1.06,62.6,73.6,84.6,1.15,21.26
2002-08,2.68,61.4,73.0,84.5,1.23,23.09
2002-09,4.23,54.0,65.4,76.8,0.79,16.83
2002-10,6.17,42.2,50.6,58.9,0.25,6.94
2002-11,3.30,32.7,40.4,48.1,0.43,5.31
2002-12,4.11,22.0,29.2,36.5,0.52,3.31
2003-01,2.20,16.3,23.3,30.2,0.46,2.68
2003-02,4.73,18.2,25.4,32.5,0.30,2.66
2003-03,3.64,26.7,37.3,47.9,0.27,5.46
2003-04,3.30,37.7,48.4,59.0,1.00,10.75
2003-05,7.29,48.0,56.7,65.4,0.46,9.72
2003-06,5.83,55.8,64.7,73.7,0.48,13.14
2003-07,3.04,60.3,70.7,81.1,0.62,18.09
2003-08,7.69,61.9,71.6,81.3,0.16,15.07
2003-09,5.68,52.7,62.2,71.7,0.05,10.22
2003-10,4.67,38.6,49.2,59.7,0.29,8.85
2003-11,3.92,36.4,46.2,55.9,0.47,6.99
2003-12,4.93,23.8,31.3,38.8,0.45,3.89
2004-01,2.61,14.8,22.4,30.0,0.50,2.77
2004-02,2.44,19.0,28.0,37.0,0.68,4.26
2004-03,2.22,30.5,40.2,49.9,0.58,7.17
2004-04,6.31,39.2,49.2,59.1,0.91,10.57
2004-05,4.79,53.8,65.1,76.4,0.65,15.82
2004-06,4.99,55.4,65.5,75.6,0.43,14.43
2004-07,5.79,60.6,69.8,79.0,0.31,14.38
2004-08,6.38,58.6,68.8,79.0,0.30,15.63
2004-09,9.89,55.4,64.8,74.2,0.42,12.76
2004-10,2.06,42.1,51.2,60.3,0.55,8.55
2004-11,3.82,36.4,45.2,53.9,0.89,7.18
2004-12,3.56,23.4,31.6,39.8,0.53,3.89
2005-01,4.45,21.2,28.8,36.4,0.44,3.18
2005-02,1.90,23.5,32.0,40.4,0.66,4.63
2005-03,5.55,25.3,33.4,41.5,0.53,4.80
2005-04,3.63,38.4,50.5,62.6,1.58,14.16
2005-05,2.21,42.1,53.8,65.5,1.02,13.78
2005-06,2.30,58.8,69.7,80.7,0.91,19.56
2005-07,5.85,63.2,73.4,83.6,0.92,19.34
2005-08,2.36,62.4,72.2,82.0,1.10,19.33
2005-09,0.38,54.2,66.7,79.2,0.99,20.23
2005-10,6.76,45.2,53.5,61.9,0.71,9.19
2005-11,3.80,33.0,43.9,54.8,0.91,8.68
2005-12,2.48,20.4,27.6,34.8,0.51,3.31
2006-01,4.68,27.9,36.2,44.5,0.64,4.71
2006-02,2.26,22.2,30.6,39.0,0.73,4.71
2006-03,0.74,29.1,38.4,47.7,1.22,7.49
2006-04,4.48,39.6,51.9,64.2,1.31,13.69
2006-05,4.54,46.0,57.5,69.1,1.06,15.26
2006-06,8.21,56.0,66.7,77.5,0.72,17.00
2006-07,4.29,62.9,72.7,82.5,0.66,18.04
2006-08,1.07,60.7,71.8,82.9,1.41,21.19
2006-09,4.63,51.3,60.4,69.4,0.33,10.71
2006-10,4.15,40.7,50.2,59.7,0.73,9.06
2006-11,4.46,36.3,44.8,53.2,0.73,6.72
2006-12,2.56,29.0,38.6,48.1,0.75,6.09
2007-01,2.51,24.7,32.7,40.6,0.51,3.99
2007-02,2.01,13.6,21.6,29.6,0.51,3.08
2007-03,4.46,28.0,38.5,49.0,0.91,7.60
2007-04,3.88,36.2,45.9,55.6,0.99,10.35
2007-05,2.43,47.4,60.9,74.5,1.98,19.90
2007-06,3.12,56.9,68.8,80.8,0.97,21.04
2007-07,2.84,57.9,69.9,81.8,1.13,21.67
