PRISM Time Series Data
Location:  Lat: 42.7144   Lon: -73.8641   Elev: 302ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,17.4,24.5,31.6,0.66,3.44
2000-01-02,0.00,23.6,34.7,45.9,0.21,5.20
2000-01-03,0.03,34.3,44.6,55.0,0.81,7.61
2000-01-04,0.44,33.7,44.6,55.6,0.01,5.59
2000-01-05,0.29,25.9,43.0,60.2,0.30,4.02
2000-01-06,0.00,14.4,21.9,29.4,0.45,3.38
2000-01-07,0.01,17.2,26.2,35.2,0.59,3.35
2000-01-08,0.00,26.8,33.0,39.1,0.96,3.06
2000-01-09,0.00,26.1,31.4,36.7,1.41,4.41
2000-01-10,0.00,27.7,35.5,43.2,0.55,4.94
2000-01-11,0.61,35.0,40.1,45.3,0.72,4.38
2000-01-12,0.12,33.2,39.0,44.8,0.68,4.12
2000-01-13,0.15,23.9,30.1,36.3,0.39,3.78
2000-01-14,0.14,1.4,12.4,23.4,0.26,1.26
2000-01-15,0.00,-1.3,5.2,11.6,0.47,1.39
2000-01-16,0.02,-1.7,12.7,27.2,0.39,2.09
2000-01-17,0.00,-6.1,15.3,36.7,0.40,3.15
2000-01-18,0.00,-8.0,-2.6,2.9,0.35,0.93
2000-01-19,0.00,-5.6,0.3,6.2,0.31,1.02
2000-01-20,0.00,1.6,10.3,19.0,0.31,2.25
2000-01-21,0.11,6.6,13.7,20.9,0.21,1.04
2000-01-22,0.00,-4.3,2.0,8.2,0.53,1.09
2000-01-23,0.00,-6.1,0.8,7.7,0.19,1.26
2000-01-24,0.00,-3.2,10.1,23.4,0.20,1.72
2000-01-25,0.00,6.7,19.0,31.3,0.20,2.63
2000-01-26,0.87,16.8,20.2,23.5,0.20,1.14
2000-01-27,0.00,4.9,13.8,22.7,0.47,1.27
2000-01-28,0.00,-1.7,4.1,10.0,0.54,1.09
2000-01-29,0.00,-3.9,6.0,15.8,0.27,1.66
2000-01-30,0.00,-3.8,10.3,24.4,0.19,2.90
2000-01-31,0.60,-3.2,12.8,28.8,0.09,3.01
2000-02-01,0.00,19.1,26.0,32.9,0.23,2.13
2000-02-02,0.00,11.4,21.5,31.5,0.71,2.75
2000-02-03,0.02,8.2,13.7,19.1,0.60,1.75
2000-02-04,0.00,12.7,18.1,23.5,0.15,1.58
2000-02-05,0.00,14.4,19.4,24.4,0.92,2.54
2000-02-06,0.00,13.0,22.0,30.9,0.61,3.15
2000-02-07,0.00,13.7,22.3,30.8,0.61,3.44
2000-02-08,0.00,-4.8,15.6,36.0,0.21,3.65
2000-02-09,0.00,-1.6,11.6,24.8,0.36,3.17
2000-02-10,0.00,21.3,30.7,40.1,0.87,4.09
2000-02-11,0.00,25.6,32.1,38.6,0.69,3.21
2000-02-12,0.02,10.9,24.6,38.2,0.40,2.02
2000-02-13,0.00,3.0,14.4,25.8,0.23,3.19
2000-02-14,0.68,5.8,20.2,34.5,0.07,4.15
2000-02-15,0.27,24.8,31.4,38.0,0.07,1.74
2000-02-16,0.00,19.3,26.5,33.7,0.32,3.23
2000-02-17,0.00,14.4,26.0,37.6,0.63,2.68
2000-02-18,0.00,9.2,16.4,23.6,0.60,2.74
2000-02-19,0.83,15.0,19.6,24.2,0.08,1.44
2000-02-20,0.06,19.9,25.3,30.8,0.09,1.52
2000-02-21,0.00,19.3,26.7,34.1,0.54,3.25
2000-02-22,0.00,15.2,26.2,37.2,0.20,3.85
2000-02-23,0.00,23.7,36.0,48.2,0.84,6.85
2000-02-24,0.00,36.2,43.5,50.8,1.46,7.05
2000-02-25,0.35,36.0,43.7,51.5,0.00,5.52
2000-02-26,0.07,34.1,38.0,42.0,0.19,2.02
2000-02-27,0.00,35.2,39.5,43.8,0.07,2.69
2000-02-28,0.59,37.9,46.0,54.2,0.28,4.44
2000-02-29,0.00,30.1,37.1,44.0,0.84,4.47
2000-03-01,0.00,24.0,35.6,47.2,0.46,7.60
2000-03-02,0.00,28.8,39.6,50.3,0.77,8.67
2000-03-03,0.00,29.8,35.5,41.3,0.97,4.62
2000-03-04,0.00,25.7,32.2,38.7,1.68,4.62
2000-03-05,0.00,29.6,37.6,45.6,1.71,7.35
2000-03-06,0.00,29.5,37.8,46.0,1.24,5.69
2000-03-07,0.00,24.9,36.2,47.6,0.61,8.35
2000-03-08,0.00,31.4,45.3,59.3,0.15,12.26
2000-03-09,0.00,39.4,52.1,64.9,0.23,11.33
2000-03-10,0.24,28.9,48.6,68.3,0.12,12.69
2000-03-11,0.00,26.8,31.4,35.9,0.45,3.58
2000-03-12,1.24,27.5,31.3,35.1,0.00,1.02
2000-03-13,0.11,23.7,31.5,39.3,0.01,2.33
2000-03-14,0.00,25.0,31.3,37.6,0.96,4.69
2000-03-15,0.05,30.3,40.9,51.4,0.20,7.87
2000-03-16,0.00,38.4,47.8,57.1,1.48,9.53
2000-03-17,0.90,24.8,43.9,63.1,0.04,12.26
2000-03-18,0.00,9.9,19.4,28.9,0.21,2.11
2000-03-19,0.00,15.1,23.9,32.7,0.23,3.94
2000-03-20,0.00,21.4,33.3,45.2,0.68,6.65
2000-03-21,0.00,33.5,43.6,53.7,1.77,10.03
2000-03-22,0.00,34.9,44.7,54.4,1.18,8.20
2000-03-23,0.00,29.8,43.7,57.5,0.35,10.05
2000-03-24,0.00,31.7,47.9,64.2,0.20,12.23
2000-03-25,0.00,31.4,47.6,63.7,0.75,15.63
2000-03-26,0.17,39.0,51.2,63.3,0.46,11.03
2000-03-27,0.00,28.7,42.0,55.3,0.47,9.55
2000-03-28,0.68,37.4,47.9,58.3,0.23,11.84
2000-03-29,0.51,33.2,41.4,49.6,0.06,4.66
2000-03-30,0.00,38.3,42.0,45.6,1.17,4.62
2000-03-31,0.00,28.5,36.8,45.1,0.38,5.31
2000-04-01,0.00,26.8,37.2,47.5,0.33,5.74
2000-04-02,0.00,35.3,48.3,61.3,1.42,13.53
2000-04-03,0.10,46.3,51.2,56.2,0.29,7.19
2000-04-04,0.57,44.2,51.2,58.3,0.00,2.42
2000-04-05,0.21,34.0,48.3,62.7,0.15,4.45
2000-04-06,0.00,30.1,34.4,38.6,1.14,3.78
2000-04-07,0.00,34.5,46.5,58.4,1.70,10.48
2000-04-08,0.00,44.2,50.3,56.3,1.61,8.85
2000-04-09,1.20,29.2,52.2,75.2,0.03,20.21
2000-04-10,0.25,26.5,30.4,34.3,0.34,3.67
2000-04-11,0.00,27.1,34.1,41.1,0.57,4.80
2000-04-12,0.14,31.0,35.7,40.4,0.04,4.26
2000-04-13,0.00,27.3,34.0,40.6,0.78,5.12
2000-04-14,0.00,30.6,39.6,48.5,1.67,8.92
