PRISM Time Series Data
Location:  Lat: 40.4007   Lon: -74.8436   Elev: 315ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.57,19.0,28.2,37.5,0.52,3.92
2000-02,2.39,23.3,32.8,42.2,0.39,4.52
2000-03,3.65,31.7,44.0,56.2,0.39,9.61
2000-04,2.84,39.0,49.3,59.5,0.52,9.28
2000-05,4.66,51.0,61.5,72.0,0.71,14.57
2000-06,3.15,59.6,69.6,79.5,0.50,15.76
2000-07,5.45,59.4,70.1,80.9,0.47,18.73
2000-08,7.36,61.7,70.5,79.3,0.50,14.30
2000-09,4.43,52.4,63.2,74.1,0.16,12.67
2000-10,1.01,41.8,53.6,65.5,0.32,10.92
2000-11,3.41,32.7,42.5,52.3,0.79,7.53
2000-12,3.60,18.0,27.5,37.0,0.45,3.76
2001-01,3.31,18.8,27.9,37.1,0.19,3.31
2001-02,3.04,24.0,33.2,42.3,0.44,4.47
2001-03,5.81,27.8,36.9,45.9,0.36,5.56
2001-04,2.05,39.0,50.4,61.9,0.67,11.44
2001-05,4.49,49.1,60.9,72.7,0.65,16.34
2001-06,7.34,58.9,70.3,81.6,0.31,18.72
2001-07,2.93,58.3,70.5,82.7,0.14,20.27
2001-08,4.33,64.6,74.9,85.2,0.65,20.36
2001-09,3.72,51.9,64.1,76.4,0.05,15.77
2001-10,0.64,42.1,54.8,67.5,0.57,13.55
2001-11,1.02,35.5,47.7,59.8,0.49,9.54
2001-12,2.43,30.6,40.4,50.2,0.52,6.52
2002-01,2.30,26.1,35.2,44.3,0.60,5.71
2002-02,0.78,26.3,37.1,48.0,0.62,6.78
2002-03,4.63,31.5,41.7,51.9,0.81,7.60
2002-04,3.23,42.4,53.7,65.0,0.93,13.20
2002-05,5.02,47.3,58.4,69.4,0.85,13.95
2002-06,5.71,59.1,70.0,80.9,0.96,18.34
2002-07,0.85,64.9,76.1,87.2,2.07,25.24
2002-08,4.03,64.3,75.9,87.5,1.44,26.63
2002-09,6.91,55.8,67.3,78.9,0.57,17.35
2002-10,5.83,43.8,53.0,62.3,0.21,8.30
2002-11,4.61,33.2,42.1,51.0,0.34,5.79
2002-12,4.77,23.6,31.7,39.7,0.51,3.71
2003-01,2.12,17.6,25.1,32.5,0.44,2.89
2003-02,5.08,18.8,26.7,34.6,0.39,3.25
2003-03,4.20,29.0,40.1,51.2,0.35,6.86
2003-04,2.40,38.1,47.8,57.6,0.95,10.50
2003-05,3.76,47.7,56.7,65.7,0.54,10.10
2003-06,9.13,57.8,66.7,75.5,0.51,13.32
2003-07,5.00,64.1,74.2,84.3,0.80,20.07
2003-08,3.70,65.6,74.7,83.8,0.36,16.33
2003-09,6.22,57.7,66.2,74.7,0.34,11.41
2003-10,5.95,41.3,51.5,61.7,0.32,9.14
2003-11,5.06,38.4,47.7,57.0,0.58,7.09
2003-12,7.53,26.3,34.5,42.8,0.64,4.48
2004-01,2.26,16.2,23.5,30.8,0.67,3.04
2004-02,2.78,22.4,31.4,40.4,0.76,5.26
2004-03,3.04,32.5,41.9,51.3,0.79,7.69
2004-04,5.64,41.0,51.2,61.4,0.86,11.15
2004-05,3.85,54.4,65.6,76.9,0.52,16.53
2004-06,2.43,59.1,68.6,78.1,1.21,16.92
2004-07,9.63,63.3,72.6,81.8,0.94,18.00
2004-08,3.63,63.1,72.3,81.5,0.71,16.23
2004-09,6.50,56.8,66.9,77.0,0.44,14.04
2004-10,2.01,43.4,52.6,61.7,0.47,8.78
2004-11,5.19,36.4,45.8,55.2,0.89,7.67
2004-12,3.82,25.1,33.6,42.2,0.58,4.42
2005-01,4.79,20.9,28.6,36.3,0.45,3.22
2005-02,2.31,23.6,33.1,42.5,0.70,5.25
2005-03,3.92,27.0,35.8,44.5,0.78,5.56
2005-04,4.71,40.3,52.4,64.6,1.39,14.59
2005-05,1.76,45.2,56.4,67.7,1.19,14.28
2005-06,4.06,62.4,72.5,82.7,1.44,20.24
2005-07,5.28,66.4,75.7,85.1,1.27,20.16
2005-08,2.30,66.2,75.9,85.7,1.37,22.17
2005-09,1.17,57.1,69.8,82.6,1.34,23.08
2005-10,12.08,47.4,55.6,63.7,0.77,9.29
2005-11,4.02,35.2,46.5,57.7,0.87,9.67
2005-12,3.53,22.3,31.0,39.7,0.54,4.16
2006-01,5.43,27.1,37.1,47.0,0.51,5.27
2006-02,1.94,23.5,32.6,41.8,0.83,5.22
2006-03,1.16,30.7,40.6,50.5,1.52,8.71
2006-04,4.06,40.6,52.8,65.1,1.46,14.48
2006-05,2.89,49.6,61.0,72.5,1.61,17.04
2006-06,9.40,61.1,70.1,79.2,1.47,16.50
2006-07,5.12,66.4,76.2,86.0,1.16,20.83
2006-08,3.32,63.1,73.3,83.5,1.58,20.88
2006-09,5.22,54.3,63.5,72.8,0.72,12.38
2006-10,6.68,42.1,52.6,63.2,0.63,10.29
2006-11,6.40,40.0,48.8,57.6,0.79,7.76
2006-12,2.50,31.8,41.3,50.8,0.89,6.68
2007-01,3.53,26.8,35.0,43.2,0.64,4.83
2007-02,1.59,16.9,24.5,32.2,0.78,3.56
2007-03,4.69,28.7,39.9,51.2,1.10,8.88
2007-04,10.99,38.5,47.6,56.7,1.36,10.64
2007-05,1.96,49.6,62.5,75.5,1.69,20.07
2007-06,5.33,59.7,70.5,81.3,1.29,20.18
2007-07,4.93,63.0,72.8,82.6,1.72,20.83
2007-08,3.05,63.0,73.3,83.5,1.43,21.17
2007-09,0.90,55.4,67.4,79.5,0.71,19.34
2007-10,5.48,51.4,61.6,71.8,0.53,13.34
2007-11,2.41,32.8,42.2,51.5,0.59,6.28
2007-12,5.66,27.5,34.2,40.9,0.43,3.56
2008-01,2.05,24.2,32.8,41.5,0.74,4.99
2008-02,6.02,24.1,33.0,42.0,0.63,4.12
2008-03,5.32,29.9,40.1,50.2,1.04,7.24
2008-04,2.62,41.4,52.7,64.0,0.98,12.74
2008-05,4.72,46.0,56.9,67.9,1.07,14.48
2008-06,3.49,61.3,72.4,83.4,1.39,22.09
2008-07,4.80,65.0,75.7,86.4,1.30,24.48
2008-08,2.61,58.1,70.1,82.1,1.00,21.82
2008-09,7.00,56.3,66.7,77.1,0.86,16.74
2008-10,3.83,40.0,51.8,63.6,0.63,11.53
2008-11,2.89,34.1,42.3,50.4,0.72,5.84
2008-12,7.14,25.7,34.4,43.0,0.51,3.97
2009-01,2.69,16.7,24.7,32.7,0.59,3.35
2009-02,0.77,22.5,32.8,43.0,0.89,5.80
2009-03,1.67,29.5,39.3,49.1,0.82,7.10
2009-04,3.12,41.3,51.8,62.4,1.51,13.76
2009-05,6.95,50.7,60.7,70.7,0.83,13.82
2009-06,7.42,58.2,66.9,75.6,0.44,13.04
2009-07,6.73,60.8,71.1,81.4,0.92,19.04
2009-08,9.50,64.8,74.0,83.1,0.65,17.25
2009-09,3.23,54.1,63.7,73.2,0.67,13.10
2009-10,5.66,42.5,51.9,61.2,0.47,8.88
2009-11,1.35,39.7,48.3,56.8,0.89,7.20
2009-12,7.30,25.3,33.0,40.7,0.73,4.09
2010-01,2.87,21.8,29.7,37.6,0.67,3.77
2010-02,4.69,22.9,29.5,36.1,0.73,3.63
2010-03,9.64,35.2,45.1,55.0,0.97,9.23
2010-04,2.73,43.1,54.9,66.6,1.36,15.16
2010-05,3.71,52.5,63.3,74.1,1.10,17.00
2010-06,2.42,62.3,73.2,84.2,1.61,22.15
2010-07,3.15,66.6,77.8,88.9,2.32,27.60
2010-08,2.43,63.8,74.3,84.8,1.69,23.31
2010-09,2.52,56.4,68.4,80.4,1.25,21.39
2010-10,6.63,44.5,54.8,65.2,0.76,10.95
2010-11,2.35,33.8,43.6,53.3,0.87,7.45
2010-12,3.76,22.7,29.8,36.9,0.91,3.53
2011-01,3.85,17.7,26.1,34.4,0.44,3.35
2011-02,2.88,21.9,31.8,41.7,0.74,5.51
2011-03,5.83,29.7,39.6,49.6,0.85,6.88
2011-04,7.17,43.4,52.9,62.5,0.73,10.37
2011-05,4.09,53.3,63.3,73.2,0.78,13.98
2011-06,2.84,61.0,71.2,81.3,1.29,18.83
2011-07,3.06,66.9,77.8,88.7,1.77,26.82
2011-08,17.06,63.6,73.2,82.9,1.10,19.44
2011-09,9.84,60.1,68.0,75.8,0.53,10.74
2011-10,4.37,45.5,55.0,64.4,0.79,10.79
2011-11,4.04,37.0,47.7,58.3,0.60,8.65
2011-12,4.48,29.6,39.0,48.4,0.51,5.39
2012-01,3.38,24.7,33.6,42.5,0.66,4.75
2012-02,1.02,27.6,37.3,47.0,0.83,6.94
2012-03,1.79,37.8,48.6,59.4,0.93,10.41
2012-04,3.07,40.3,51.4,62.5,1.76,13.67
2012-05,4.63,55.4,64.7,74.0,0.74,14.37
2012-06,3.84,58.2,68.8,79.4,1.18,19.47
2012-07,4.51,66.0,76.9,87.7,1.64,25.74
2012-08,5.87,63.5,73.5,83.5,0.58,19.65
2012-09,2.80,55.3,65.9,76.5,0.46,15.42
2012-10,4.78,47.0,55.5,64.0,0.57,8.52
2012-11,1.43,31.6,40.3,49.0,0.86,6.40
2012-12,5.22,31.2,39.1,47.0,0.39,4.32
2013-01,2.78,24.8,32.3,39.8,0.66,4.02
2013-02,2.54,22.8,30.6,38.3,0.46,3.93
2013-03,2.57,29.4,37.7,46.1,0.96,6.30
2013-04,2.84,40.1,50.9,61.7,1.48,11.83
2013-05,4.62,49.6,60.1,70.7,0.72,13.82
2013-06,9.56,60.7,70.7,80.7,1.14,17.49
2013-07,5.92,68.6,77.1,85.6,1.43,18.38
2013-08,4.78,61.1,70.5,79.9,0.79,16.75
2013-09,3.02,51.9,63.5,75.2,0.79,14.91
2013-10,1.64,46.2,56.4,66.6,0.87,11.28
2013-11,3.86,32.1,42.0,51.9,1.00,7.27
2013-12,4.68,25.9,33.9,41.9,0.46,3.75
2014-01,3.11,14.2,23.6,32.9,0.47,2.81
2014-02,6.24,18.6,27.0,35.5,0.47,3.69
2014-03,3.76,23.8,33.4,43.0,1.00,6.09
2014-04,3.54,38.7,49.9,61.0,1.17,12.17
2014-05,6.64,51.4,61.3,71.1,1.32,14.35
2014-06,3.49,59.4,69.8,80.2,1.32,18.89
2014-07,4.42,63.4,73.5,83.6,1.39,20.56
2014-08,2.95,59.4,70.1,80.8,1.10,19.22
2014-09,1.38,55.2,66.4,77.6,0.88,17.18
2014-10,4.22,46.4,56.1,65.8,0.73,10.96
2014-11,4.93,31.4,40.2,48.9,0.80,6.71
2014-12,4.63,31.3,37.6,44.0,0.82,3.87
2015-01,5.02,18.1,25.9,33.8,0.63,3.31
2015-02,2.20,10.2,19.6,28.9,0.49,2.85
2015-03,5.27,24.1,33.4,42.7,0.71,5.40
2015-04,2.80,39.6,50.5,61.4,1.40,12.67
2015-05,0.76,53.3,65.2,77.1,1.30,19.44
2015-06,8.29,60.4,69.6,78.8,0.86,15.88
2015-07,2.44,64.9,74.6,84.3,1.07,20.29
2015-08,2.49,62.0,73.5,85.1,1.02,24.32
2015-09,4.24,58.0,69.6,81.3,0.63,20.66
2015-10,4.58,41.5,53.1,64.7,0.44,10.92
2015-11,1.87,37.5,47.9,58.3,0.81,8.48
2015-12,4.94,38.2,46.0,53.9,0.41,5.23
2016-01,4.00,19.9,29.1,38.3,0.53,4.22
2016-02,4.82,24.2,33.7,43.3,0.60,5.10
2016-03,1.83,34.5,45.5,56.6,0.85,10.48
2016-04,1.86,38.3,49.9,61.5,1.04,12.91
2016-05,4.37,50.1,59.5,68.8,0.94,14.34
2016-06,1.92,58.2,70.1,82.0,1.09,22.14
2016-07,9.04,66.0,76.4,86.9,0.82,23.73
2016-08,3.86,65.7,76.1,86.5,0.68,21.26
2016-09,1.60,57.5,69.2,81.0,0.78,20.34
2016-10,2.16,44.3,55.6,67.0,0.38,11.00
2016-11,2.56,34.0,45.4,56.7,0.83,8.85
2016-12,4.43,26.9,35.2,43.5,0.60,4.41
2017-01,4.03,27.3,34.4,41.4,0.46,3.66
2017-02,1.53,27.7,37.9,48.2,0.56,7.34
2017-03,3.97,27.5,36.8,46.0,0.81,6.65
2017-04,4.52,44.5,55.0,65.4,0.65,13.38
2017-05,6.13,49.4,58.8,68.2,0.64,12.73
2017-06,4.31,59.1,69.7,80.2,0.83,19.49
2017-07,5.19,65.3,74.8,84.2,0.45,19.03
2017-08,5.29,61.0,70.8,80.5,0.31,17.24
2017-09,2.31,57.3,67.6,78.0,0.45,16.04
2017-10,4.92,48.6,59.3,70.1,0.21,11.83
2017-11,1.51,31.8,42.6,53.4,0.27,6.93
2017-12,1.72,24.1,31.7,39.3,0.49,4.00
2018-01,3.35,17.4,26.9,36.4,0.43,3.67
2018-02,6.38,28.4,36.9,45.4,0.34,4.49
2018-03,5.11,29.0,36.9,44.7,0.85,5.50
2018-04,4.59,36.9,47.1,57.3,1.01,10.07
2018-05,7.48,54.0,64.4,74.9,0.86,15.69
2018-06,4.62,59.1,69.3,79.5,0.47,18.09
2018-07,8.17,64.7,75.4,86.0,0.52,21.34
2018-08,5.28,66.9,75.9,84.9,0.24,17.97
2018-09,8.72,61.6,69.0,76.5,0.26,10.59
2018-10,3.03,46.4,55.1,63.7,0.27,8.33
2018-11,9.11,32.4,40.6,48.8,0.63,5.45
2018-12,5.03,28.6,36.5,44.3,0.45,3.90
2019-01,5.09,21.3,30.2,39.1,0.53,3.91
2019-02,2.90,23.8,32.2,40.6,0.60,4.87
2019-03,4.29,28.0,37.7,47.4,0.88,7.29
2019-04,4.88,44.1,54.1,64.1,1.21,11.37
2019-05,8.38,52.2,61.9,71.7,0.47,13.03
2019-06,5.84,59.4,69.5,79.5,0.72,17.38
2019-07,5.69,66.5,77.0,87.5,0.53,22.09
2019-08,2.11,63.6,73.6,83.6,0.54,18.74
2019-09,1.33,56.0,67.9,79.7,0.45,17.99
2019-10,6.04,47.0,56.7,66.3,0.48,10.14
2019-11,2.73,29.2,39.7,50.2,0.52,6.49
2019-12,6.09,26.3,34.3,42.2,0.29,3.60
2020-01,2.21,26.8,35.4,43.9,0.50,4.65
2020-02,2.94,28.6,37.1,45.5,0.52,5.10
2020-03,3.67,34.6,44.2,53.9,0.72,8.05
2020-04,4.61,38.3,47.6,56.8,0.77,8.98
2020-05,3.04,48.6,58.7,68.8,0.85,12.99
2020-06,3.57,59.2,70.6,81.9,0.85,20.17
2020-07,5.71,67.9,78.1,88.2,0.81,22.75
2020-08,6.07,65.1,74.7,84.3,0.53,17.92
2020-09,4.89,55.1,65.7,76.2,0.40,13.31
2020-10,5.25,46.4,55.6,64.7,0.20,8.17
2020-11,2.76,36.8,47.8,58.7,0.86,8.82
2020-12,6.52,27.0,35.5,44.0,0.52,4.00
2021-01,1.80,25.3,32.2,39.1,0.86,3.78
2021-02,5.46,22.6,29.5,36.4,0.57,3.35
2021-03,3.51,31.2,42.0,52.9,1.18,9.02
2021-04,2.59,41.0,51.7,62.3,1.46,11.56
2021-05,4.64,48.8,60.0,71.2,1.97,16.52
2021-06,2.83,60.7,71.1,81.5,1.50,17.94
2021-07,9.56,65.5,75.1,84.8,1.43,19.07
2021-08,8.38,66.1,75.2,84.3,1.54,17.51
2021-09,11.58,57.8,67.5,77.2,1.09,13.96
2021-10,4.89,50.9,59.9,68.8,0.50,9.42
2021-11,0.89,31.7,42.5,53.2,0.60,7.51
2021-12,1.50,31.4,39.2,47.1,0.75,5.21
2022-01,3.92,17.8,26.7,35.5,0.41,3.30
