PRISM Time Series Data
Location:  Lat: 41.1573   Lon: -75.8910   Elev: 1542ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.1,30.1,39.2,0.20,2.82
2000-01-02,0.00,22.6,35.0,47.4,0.31,6.23
2000-01-03,0.00,36.4,46.1,55.8,0.54,7.92
2000-01-04,0.08,49.9,54.1,58.3,0.31,3.76
2000-01-05,0.39,25.8,42.9,59.9,0.30,4.40
2000-01-06,0.00,15.9,22.9,29.9,0.37,2.66
2000-01-07,0.00,18.9,27.7,36.4,0.52,3.60
2000-01-08,0.00,19.4,29.8,40.2,0.32,3.93
2000-01-09,0.00,19.4,27.9,36.4,0.62,4.23
2000-01-10,0.04,31.7,39.7,47.7,0.48,5.96
2000-01-11,0.79,34.8,39.4,44.1,0.06,3.69
2000-01-12,0.00,32.5,39.1,45.8,1.42,6.20
2000-01-13,0.02,27.4,33.9,40.4,0.71,5.29
2000-01-14,0.09,6.3,17.8,29.2,0.11,1.41
2000-01-15,0.00,5.3,11.3,17.3,0.41,1.75
2000-01-16,0.00,10.6,18.9,27.2,0.56,2.21
2000-01-17,0.00,0.2,19.9,39.6,0.62,4.39
2000-01-18,0.00,-2.1,3.4,9.0,0.38,1.37
2000-01-19,0.00,-2.0,5.0,12.1,0.34,1.43
2000-01-20,0.05,9.5,17.4,25.3,0.24,2.26
2000-01-21,0.12,4.2,14.4,24.6,0.15,1.38
2000-01-22,0.00,0.9,5.8,10.6,0.47,1.41
2000-01-23,0.00,0.9,7.9,14.8,0.33,1.64
2000-01-24,0.00,12.4,18.1,23.8,0.43,1.76
2000-01-25,0.00,16.7,24.6,32.5,0.53,3.34
2000-01-26,0.58,16.2,18.5,20.8,0.26,1.38
2000-01-27,0.01,5.3,14.0,22.8,0.42,1.76
2000-01-28,0.00,2.0,7.0,12.0,0.54,1.53
2000-01-29,0.00,1.5,9.2,16.9,0.55,2.33
2000-01-30,0.00,2.3,15.2,28.1,0.40,4.23
2000-01-31,0.81,7.3,18.6,29.9,0.28,4.05
2000-02-01,0.00,20.4,24.0,27.6,0.38,2.08
2000-02-02,0.00,17.2,23.3,29.5,0.86,2.46
2000-02-03,0.00,8.8,16.2,23.7,0.64,2.79
2000-02-04,0.11,13.4,20.2,27.0,0.09,2.21
2000-02-05,0.00,17.7,24.0,30.4,0.12,1.69
2000-02-06,0.00,18.3,24.1,30.0,0.97,3.12
2000-02-07,0.00,20.3,26.2,32.0,1.30,3.89
2000-02-08,0.00,6.7,20.9,35.1,0.59,3.47
2000-02-09,0.00,4.6,16.5,28.4,0.43,3.78
2000-02-10,0.00,17.1,29.1,41.0,0.49,4.40
2000-02-11,0.06,24.5,34.9,45.2,0.34,5.02
2000-02-12,0.00,13.1,27.5,41.9,0.27,3.25
2000-02-13,0.00,8.8,18.1,27.5,0.33,3.27
2000-02-14,0.89,13.2,24.0,34.7,0.09,2.76
2000-02-15,0.21,26.2,32.8,39.3,0.42,2.39
2000-02-16,0.00,22.0,27.3,32.5,0.74,3.09
2000-02-17,0.00,18.6,31.0,43.3,1.10,4.14
2000-02-18,0.00,17.8,24.3,30.7,0.59,3.86
2000-02-19,0.53,21.8,24.7,27.5,0.01,1.20
2000-02-20,0.00,23.3,26.6,29.9,0.02,1.35
2000-02-21,0.00,20.5,26.1,31.6,0.49,2.05
2000-02-22,0.00,19.7,27.3,34.9,0.37,3.04
2000-02-23,0.00,24.3,36.3,48.3,0.74,7.01
2000-02-24,0.00,34.0,42.4,50.9,0.89,6.54
2000-02-25,0.02,35.4,46.8,58.3,0.22,9.19
2000-02-26,0.08,35.3,43.6,51.8,0.15,3.29
2000-02-27,0.00,35.4,38.4,41.3,0.22,1.49
2000-02-28,0.76,35.7,44.1,52.4,0.02,2.07
2000-02-29,0.00,28.4,36.8,45.3,0.87,5.90
2000-03-01,0.00,26.5,37.4,48.4,0.89,7.88
2000-03-02,0.01,32.1,40.6,49.2,0.90,8.45
2000-03-03,0.00,27.5,32.6,37.6,0.83,3.63
2000-03-04,0.00,25.7,33.7,41.6,1.19,7.00
2000-03-05,0.00,27.5,37.4,47.2,1.07,7.31
2000-03-06,0.00,32.7,41.0,49.3,2.22,7.45
2000-03-07,0.00,28.1,38.7,49.3,1.34,8.32
2000-03-08,0.01,33.9,49.0,64.0,1.18,14.86
2000-03-09,0.00,43.4,58.6,73.8,1.34,16.79
