PRISM Time Series Data
Location:  Lat: 40.5298   Lon: -79.7950   Elev: 932ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,25.5,36.1,46.7,0.20,5.39
2000-01-02,0.02,24.6,40.1,55.6,0.34,9.42
2000-01-03,0.18,43.2,54.9,66.5,0.53,13.48
2000-01-04,0.74,51.1,57.7,64.3,0.19,7.97
2000-01-05,0.21,29.1,44.9,60.7,0.40,5.14
2000-01-06,0.00,21.1,27.0,32.9,0.13,2.46
2000-01-07,0.00,23.1,33.8,44.5,0.75,5.70
2000-01-08,0.00,21.5,31.1,40.7,0.40,4.54
2000-01-09,0.00,21.0,30.4,39.8,0.46,4.74
2000-01-10,0.07,30.5,39.9,49.2,0.01,6.27
2000-01-11,0.19,37.4,46.1,54.8,0.30,6.91
2000-01-12,0.00,26.0,36.5,47.0,0.50,6.42
2000-01-13,0.02,26.6,35.4,44.2,0.31,5.99
2000-01-14,0.00,15.1,26.0,36.9,0.31,1.79
2000-01-15,0.00,14.7,19.3,23.9,0.43,1.87
2000-01-16,0.00,16.2,30.9,45.6,0.68,6.94
2000-01-17,0.00,10.2,28.8,47.3,0.59,5.97
2000-01-18,0.00,9.4,15.4,21.4,0.73,2.59
2000-01-19,0.04,16.2,22.0,27.8,0.46,3.26
2000-01-20,0.12,23.2,26.9,30.6,0.12,2.34
2000-01-21,0.09,9.4,18.8,28.1,0.23,1.62
2000-01-22,0.05,0.9,8.3,15.6,0.17,1.27
2000-01-23,0.03,-0.9,9.2,19.3,0.14,1.35
2000-01-24,0.01,17.4,24.6,31.8,0.23,1.47
2000-01-25,0.00,13.2,20.6,27.9,0.38,2.45
2000-01-26,0.01,10.9,17.1,23.3,0.23,1.71
2000-01-27,0.00,8.0,16.9,25.7,0.28,1.82
2000-01-28,0.00,5.3,12.1,18.9,0.33,1.68
2000-01-29,0.00,5.5,14.4,23.3,0.17,1.65
2000-01-30,0.16,6.5,21.0,35.4,0.05,4.58
2000-01-31,0.19,22.2,28.1,34.0,0.09,1.27
2000-02-01,0.00,20.6,24.6,28.5,0.31,1.70
2000-02-02,0.05,16.1,22.1,28.1,0.24,1.58
2000-02-03,0.00,11.8,20.1,28.5,0.26,2.47
2000-02-04,0.19,25.8,29.5,33.2,0.03,1.82
2000-02-05,0.05,15.5,24.5,33.5,0.13,1.47
2000-02-06,0.00,17.7,24.8,31.8,0.46,2.76
2000-02-07,0.00,21.6,27.4,33.2,0.64,2.83
2000-02-08,0.00,10.7,24.3,37.9,0.10,2.86
2000-02-09,0.00,12.8,25.4,38.0,0.27,4.78
2000-02-10,0.00,25.7,38.7,51.8,0.57,8.33
2000-02-11,0.21,29.9,40.6,51.4,0.19,7.05
2000-02-12,0.03,17.7,30.9,44.2,0.06,2.00
2000-02-13,0.00,18.4,27.1,35.7,0.64,4.55
2000-02-14,1.17,26.6,34.2,41.8,0.00,2.26
2000-02-15,0.15,26.5,36.0,45.4,0.05,1.80
2000-02-16,0.01,27.8,34.1,40.4,0.75,2.72
2000-02-17,0.00,19.8,33.6,47.4,0.01,4.07
2000-02-18,0.09,21.5,28.5,35.5,0.21,3.70
2000-02-19,0.69,30.3,34.3,38.2,0.09,1.09
2000-02-20,0.00,27.9,30.3,32.6,0.27,1.51
2000-02-21,0.02,28.3,30.7,33.1,0.64,2.06
2000-02-22,0.00,28.4,37.2,46.0,0.93,6.00
2000-02-23,0.00,31.9,45.1,58.3,1.52,10.24
2000-02-24,0.00,43.5,52.9,62.2,1.89,11.57
2000-02-25,0.00,45.7,57.1,68.4,1.87,15.49
2000-02-26,0.00,46.3,59.5,72.8,0.01,13.24
2000-02-27,0.00,47.3,61.2,75.1,0.22,18.40
2000-02-28,0.33,34.6,48.6,62.6,0.14,8.05
2000-02-29,0.00,25.4,38.6,51.8,0.39,8.83
2000-03-01,0.00,30.7,44.0,57.2,1.25,12.02
2000-03-02,0.28,35.9,46.7,57.5,1.47,8.19
2000-03-03,0.00,26.7,32.6,38.4,0.80,3.11
2000-03-04,0.00,24.3,35.5,46.7,0.67,7.55
2000-03-05,0.00,28.5,41.6,54.8,1.37,11.38
2000-03-06,0.00,29.1,44.2,59.4,0.77,12.23
2000-03-07,0.00,31.0,45.6,60.1,0.91,12.48
2000-03-08,0.00,37.7,55.9,74.0,2.14,20.47
2000-03-09,0.00,52.7,66.0,79.2,4.22,24.12
2000-03-10,0.03,40.7,56.9,73.1,1.91,16.85
2000-03-11,0.00,32.2,40.5,48.8,0.56,5.28
2000-03-12,0.54,29.6,37.2,44.7,0.05,1.90
2000-03-13,0.00,23.3,31.2,39.0,0.36,4.32
2000-03-14,0.00,26.1,36.3,46.5,0.93,6.53
2000-03-15,0.00,34.5,45.6,56.7,1.39,10.51
2000-03-16,0.00,42.1,55.3,68.6,2.07,17.76
2000-03-17,0.07,29.1,41.9,54.6,0.13,4.28
2000-03-18,0.00,18.3,28.0,37.7,0.70,4.16
2000-03-19,0.00,24.5,35.5,46.6,2.15,8.00
2000-03-20,0.00,36.9,46.4,55.9,1.81,8.52
2000-03-21,0.62,37.6,42.5,47.4,0.55,4.63
2000-03-22,0.33,36.0,40.3,44.7,0.23,2.28
2000-03-23,0.00,38.6,46.5,54.4,0.49,5.77
