PRISM Time Series Data
Location:  Lat: 40.9799   Lon: -78.4141   Elev: 1407ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.3,31.4,42.4,0.12,4.10
2000-01-02,0.03,23.3,37.1,50.8,0.47,8.24
2000-01-03,0.07,42.1,51.4,60.7,0.72,10.28
2000-01-04,0.32,48.1,53.3,58.6,0.28,4.48
2000-01-05,0.11,27.2,43.0,58.8,0.54,4.35
2000-01-06,0.00,20.9,25.9,30.8,0.55,2.63
2000-01-07,0.00,22.1,31.5,40.8,0.74,4.81
2000-01-08,0.00,20.2,29.1,38.1,0.43,3.87
2000-01-09,0.00,19.5,29.0,38.5,0.60,5.04
2000-01-10,0.06,31.4,39.5,47.5,0.33,6.71
2000-01-11,0.23,35.4,40.9,46.3,0.18,4.62
2000-01-12,0.02,28.7,36.3,43.9,0.71,5.69
2000-01-13,0.09,27.5,33.7,39.9,0.57,5.08
2000-01-14,0.03,6.7,19.8,32.8,0.08,1.67
2000-01-15,0.00,7.4,14.2,21.0,0.14,1.82
2000-01-16,0.00,9.1,23.3,37.5,0.34,4.49
2000-01-17,0.00,3.6,23.6,43.6,0.68,5.25
2000-01-18,0.00,1.9,8.6,15.4,0.58,2.21
2000-01-19,0.02,5.0,13.0,21.1,0.28,2.63
2000-01-20,0.15,15.8,21.7,27.7,0.01,2.16
2000-01-21,0.09,3.6,15.1,26.6,0.11,1.61
2000-01-22,0.13,0.6,7.1,13.6,0.27,1.38
2000-01-23,0.02,1.3,9.6,18.0,0.23,1.79
2000-01-24,0.00,13.3,20.3,27.2,0.29,1.41
2000-01-25,0.00,8.9,19.4,29.9,0.24,3.11
2000-01-26,0.03,13.6,17.5,21.5,0.28,1.52
2000-01-27,0.00,4.6,14.7,24.8,0.39,2.06
2000-01-28,0.00,0.9,8.3,15.7,0.25,1.64
2000-01-29,0.00,2.2,13.5,24.8,0.20,2.89
2000-01-30,0.06,1.6,18.1,34.5,0.10,5.48
2000-01-31,0.25,18.1,23.5,28.8,0.05,1.45
2000-02-01,0.00,19.1,22.9,26.7,0.47,1.75
2000-02-02,0.01,14.5,20.3,26.1,0.46,1.69
2000-02-03,0.00,8.3,16.7,25.2,0.38,2.51
2000-02-04,0.12,19.7,24.9,30.1,0.00,2.02
2000-02-05,0.02,12.4,22.9,33.3,0.09,1.82
2000-02-06,0.00,12.1,20.8,29.6,0.26,2.62
2000-02-07,0.00,19.5,25.8,32.2,0.67,3.24
2000-02-08,0.00,0.6,17.3,34.0,0.02,2.54
2000-02-09,0.00,0.1,16.4,32.7,0.14,4.37
2000-02-10,0.00,19.9,34.3,48.8,0.39,7.46
2000-02-11,0.13,25.5,37.4,49.2,0.17,6.78
2000-02-12,0.01,11.3,26.3,41.2,0.00,2.24
2000-02-13,0.00,11.8,21.5,31.1,0.45,3.92
2000-02-14,0.95,20.7,27.0,33.2,0.02,1.46
2000-02-15,0.21,21.7,30.5,39.3,0.01,1.85
2000-02-16,0.00,20.9,29.7,38.5,0.42,3.17
2000-02-17,0.00,16.5,32.1,47.7,0.28,4.94
2000-02-18,0.36,16.5,24.9,33.4,0.29,4.11
2000-02-19,0.55,24.5,28.5,32.6,0.04,0.95
2000-02-20,0.00,22.8,27.1,31.3,0.18,1.56
2000-02-21,0.03,23.5,27.1,30.7,0.32,1.94
2000-02-22,0.00,24.9,32.7,40.5,0.68,4.51
2000-02-23,0.00,28.8,40.5,52.2,1.65,8.55
2000-02-24,0.00,35.6,46.4,57.1,0.87,9.05
2000-02-25,0.14,37.2,51.3,65.4,0.18,13.11
2000-02-26,0.00,40.5,53.2,65.9,0.00,9.29
2000-02-27,0.00,41.5,46.1,50.6,0.00,2.63
2000-02-28,0.41,32.4,46.6,60.8,0.20,7.35
2000-02-29,0.00,23.1,35.2,47.4,0.34,7.22
2000-03-01,0.00,25.7,39.8,53.8,0.68,11.06
2000-03-02,0.22,32.1,41.0,49.9,0.37,5.02
2000-03-03,0.00,25.9,30.1,34.4,0.78,2.29
2000-03-04,0.00,21.5,32.9,44.2,0.67,7.50
2000-03-05,0.00,23.8,37.5,51.3,0.83,9.57
2000-03-06,0.00,25.8,40.2,54.6,0.58,10.55
2000-03-07,0.00,27.2,41.4,55.6,0.81,11.49
2000-03-08,0.00,31.9,51.7,71.6,1.53,19.44
2000-03-09,0.00,46.4,61.9,77.4,1.90,20.40
2000-03-10,0.03,39.7,56.0,72.3,1.26,16.10
2000-03-11,0.00,30.6,37.0,43.5,0.15,2.86
2000-03-12,0.60,31.0,36.2,41.4,0.00,1.28
2000-03-13,0.00,20.6,27.8,34.9,0.12,3.40
2000-03-14,0.00,23.2,33.7,44.2,0.44,5.78
2000-03-15,0.00,30.0,41.5,53.0,0.22,8.97
2000-03-16,0.00,37.5,51.8,66.1,1.53,16.31
2000-03-17,0.66,26.5,41.8,57.1,0.02,5.14
2000-03-18,0.00,13.5,23.1,32.6,0.56,3.39
2000-03-19,0.00,17.2,29.3,41.3,1.39,6.98
2000-03-20,0.00,29.9,35.5,41.2,0.91,3.77
2000-03-21,0.33,35.1,41.4,47.6,0.28,5.74
2000-03-22,0.90,35.6,38.0,40.4,0.03,0.51
2000-03-23,0.00,36.8,44.0,51.2,0.02,2.99
2000-03-24,0.00,30.1,43.3,56.5,0.02,6.53
2000-03-25,0.00,32.6,49.3,66.1,0.05,14.01
2000-03-26,0.00,39.5,56.0,72.6,1.80,15.78
2000-03-27,0.00,27.6,41.9,56.1,1.38,11.89
2000-03-28,0.05,32.9,44.3,55.7,0.08,9.98
2000-03-29,0.00,35.7,42.8,49.9,0.48,6.39
2000-03-30,0.01,32.7,37.2,41.8,0.40,3.40
2000-03-31,0.00,24.2,36.1,47.9,0.40,6.69
2000-04-01,0.00,23.8,40.2,56.6,0.59,11.88
2000-04-02,0.16,30.0,47.9,65.9,1.28,18.62
2000-04-03,0.06,44.0,51.1,58.2,0.00,4.24
2000-04-04,0.19,49.6,58.2,66.9,0.07,7.47
2000-04-05,0.02,28.1,39.7,51.4,0.31,3.89
2000-04-06,0.00,28.9,37.3,45.8,0.77,6.55
2000-04-07,0.00,31.2,47.9,64.5,0.34,14.67
2000-04-08,0.09,37.4,44.3,51.2,0.36,5.60
2000-04-09,0.35,27.0,39.5,52.0,0.19,3.42
2000-04-10,0.04,29.1,34.4,39.7,0.16,4.54
2000-04-11,0.00,30.9,39.9,48.9,1.53,8.64
2000-04-12,0.18,31.5,39.2,47.0,0.06,4.02
2000-04-13,0.00,21.9,32.6,43.2,0.30,5.60
2000-04-14,0.00,28.7,39.8,50.9,1.19,9.18
2000-04-15,0.00,40.3,53.5,66.7,0.81,13.74
2000-04-16,0.00,45.3,59.9,74.6,0.08,16.62
2000-04-17,0.32,44.5,60.3,76.1,0.08,19.80
2000-04-18,0.30,39.0,43.9,48.8,0.13,1.21
2000-04-19,0.24,38.1,41.6,45.1,0.02,1.71
2000-04-20,0.00,43.7,51.3,58.9,0.24,6.10
2000-04-21,0.85,47.8,55.4,62.9,0.07,6.58
2000-04-22,0.68,42.8,49.4,56.1,0.01,2.98
2000-04-23,0.25,38.4,43.3,48.2,0.00,2.24
2000-04-24,0.00,32.1,41.4,50.6,0.00,4.49
2000-04-25,0.00,38.9,52.3,65.8,1.47,14.95
2000-04-26,0.00,31.3,48.0,64.6,1.74,15.37
2000-04-27,0.00,33.0,45.3,57.5,0.27,10.85
2000-04-28,0.00,32.6,43.8,55.0,0.10,7.81
2000-04-29,0.00,34.7,49.4,64.0,0.38,14.86
2000-04-30,0.00,40.0,54.0,68.1,1.81,16.98
2000-05-01,0.00,33.8,49.7,65.5,2.04,17.80
2000-05-02,0.30,42.6,57.6,72.6,0.04,19.55
2000-05-03,0.00,34.8,50.0,65.2,0.45,14.08
2000-05-04,0.00,43.6,58.7,73.8,0.30,19.06
2000-05-05,0.05,53.5,65.6,77.8,0.07,19.01
2000-05-06,0.01,55.8,68.7,81.6,0.13,20.83
2000-05-07,0.00,55.8,70.0,84.2,0.36,24.69
2000-05-08,0.00,57.3,71.4,85.4,0.92,26.27
2000-05-09,0.00,60.8,71.9,83.1,2.96,22.05
2000-05-10,0.00,61.1,73.1,85.2,0.63,21.61
2000-05-11,0.01,45.1,60.9,76.7,0.58,14.49
2000-05-12,0.01,50.8,62.5,74.1,1.59,21.28
2000-05-13,0.00,61.9,72.3,82.6,2.37,16.79
2000-05-14,0.28,42.2,62.1,82.1,0.86,19.68
2000-05-15,0.00,33.8,49.1,64.3,0.34,13.80
2000-05-16,0.00,31.5,46.2,61.0,0.50,13.46
2000-05-17,0.00,42.3,53.8,65.4,1.52,15.87
2000-05-18,0.00,49.7,61.4,73.2,0.41,16.46
2000-05-19,0.83,53.9,67.1,80.3,0.03,20.91
2000-05-20,0.13,48.0,53.4,58.8,0.24,2.13
2000-05-21,0.00,48.8,52.9,56.9,0.22,2.38
