PRISM Time Series Data
Location:  Lat: 39.0629   Lon: -79.2994   Elev: 3412ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.9,32.9,43.8,0.12,5.20
2000-01-02,0.00,26.0,37.0,48.1,0.58,5.09
2000-01-03,0.00,34.3,46.4,58.4,0.75,6.50
2000-01-04,0.08,49.9,54.7,59.5,0.41,4.98
2000-01-05,0.27,24.2,39.3,54.3,0.58,3.43
2000-01-06,0.03,9.7,18.6,27.6,0.00,1.79
2000-01-07,0.00,15.0,27.1,39.3,0.05,4.19
2000-01-08,0.01,14.3,25.0,35.7,0.16,3.82
2000-01-09,0.00,15.5,26.7,37.8,0.14,4.31
2000-01-10,0.05,27.3,34.1,40.8,0.00,3.67
2000-01-11,0.23,34.0,39.7,45.5,0.38,5.50
2000-01-12,0.23,24.1,30.7,37.4,0.24,3.86
2000-01-13,0.26,24.9,35.6,46.4,0.20,6.84
2000-01-14,0.15,9.9,26.1,42.4,0.28,2.63
2000-01-15,0.00,4.7,9.7,14.7,0.22,0.97
2000-01-16,0.00,9.1,25.1,41.1,0.00,5.42
2000-01-17,0.00,7.9,24.9,42.0,0.78,4.91
2000-01-18,0.00,7.3,14.3,21.3,0.73,2.78
2000-01-19,0.08,16.5,20.3,24.1,0.60,2.40
2000-01-20,0.28,19.5,22.1,24.7,0.15,1.19
2000-01-21,0.32,6.0,13.7,21.4,0.19,0.89
2000-01-22,0.04,-2.1,2.4,7.0,0.17,0.62
2000-01-23,0.05,-2.6,8.5,19.7,0.08,1.76
2000-01-24,0.00,17.8,23.7,29.6,0.35,1.56
2000-01-25,0.00,12.5,20.0,27.5,0.03,1.67
2000-01-26,0.02,8.7,12.2,15.8,0.08,0.65
2000-01-27,0.08,3.2,9.6,16.0,0.28,0.76
2000-01-28,0.01,-6.6,1.5,9.6,0.08,1.11
2000-01-29,0.00,-8.4,4.4,17.2,0.00,0.96
2000-01-30,0.10,-0.4,16.3,33.0,0.00,4.14
2000-01-31,0.19,17.3,23.6,30.0,0.02,1.67
