PRISM Time Series Data
Location:  Lat: 39.2558   Lon: -74.8402   Elev: 36ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,25.9,37.5,49.1,0.00,4.83
2000-01-02,0.00,31.1,42.8,54.5,0.03,5.99
2000-01-03,0.00,47.0,56.4,65.8,1.49,10.07
2000-01-04,0.00,52.1,59.0,65.8,0.56,7.56
2000-01-05,0.75,38.4,52.6,66.7,0.42,6.72
2000-01-06,0.00,21.0,31.7,42.4,0.47,5.83
2000-01-07,0.00,22.3,34.2,46.0,0.24,5.75
2000-01-08,0.00,20.8,36.3,51.7,0.30,8.62
2000-01-09,0.00,22.2,32.3,42.5,0.55,5.41
2000-01-10,0.03,34.4,42.4,50.3,0.14,5.99
2000-01-11,0.36,42.6,50.5,58.4,0.01,5.48
2000-01-12,0.00,35.2,46.4,57.6,2.15,10.08
2000-01-13,0.00,29.2,39.1,48.9,0.77,7.33
2000-01-14,0.17,17.5,35.0,52.5,0.79,6.26
2000-01-15,0.00,11.9,19.9,27.8,0.53,3.57
2000-01-16,0.00,13.5,25.9,38.3,0.49,3.76
2000-01-17,0.00,13.1,33.4,53.7,1.66,9.23
2000-01-18,0.00,5.9,13.6,21.3,0.85,3.06
2000-01-19,0.00,6.9,13.9,21.0,0.60,2.51
2000-01-20,0.00,17.6,26.2,34.8,0.48,4.33
2000-01-21,0.25,13.2,22.8,32.4,0.04,1.93
2000-01-22,0.00,7.7,14.1,20.6,0.56,2.24
2000-01-23,0.00,10.3,16.3,22.4,0.51,2.29
2000-01-24,0.00,18.9,23.9,28.9,0.19,1.01
2000-01-25,0.29,25.6,31.5,37.4,0.07,2.70
2000-01-26,0.43,21.4,26.4,31.4,0.13,1.59
2000-01-27,0.00,14.9,23.2,31.5,0.96,2.90
2000-01-28,0.00,6.1,13.5,20.9,0.71,2.27
2000-01-29,0.00,4.4,14.7,25.0,0.54,3.14
2000-01-30,0.00,3.1,17.8,32.5,0.13,4.15
2000-01-31,0.87,15.0,29.1,43.2,0.00,3.73
2000-02-01,0.00,21.9,28.4,34.9,0.36,3.23
2000-02-02,0.00,20.7,28.3,35.9,0.92,3.74
2000-02-03,0.00,10.5,20.7,30.9,0.29,3.52
2000-02-04,0.00,15.2,27.6,40.0,0.04,4.40
2000-02-05,0.12,27.7,32.8,37.9,0.09,2.47
2000-02-06,0.00,26.1,30.6,35.1,1.06,4.12
2000-02-07,0.00,23.1,30.2,37.2,0.82,4.48
2000-02-08,0.00,16.4,31.0,45.5,0.88,5.88
2000-02-09,0.00,14.4,24.4,34.4,0.21,4.49
2000-02-10,0.00,19.7,34.3,48.8,0.07,6.06
2000-02-11,0.06,27.4,40.7,53.9,0.06,8.58
2000-02-12,0.00,25.3,38.4,51.5,0.60,4.90
2000-02-13,0.00,16.3,23.5,30.7,0.30,3.19
2000-02-14,0.22,21.6,37.2,52.7,0.06,3.72
2000-02-15,0.03,34.2,46.1,58.0,0.32,6.16
