PRISM Time Series Data
Location:  Lat: 40.5044   Lon: -75.0926   Elev: 299ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.9,32.0,40.0,0.00,2.43
2000-01-02,0.00,28.3,37.0,45.8,0.04,2.87
2000-01-03,0.00,35.0,47.1,59.2,0.53,7.98
2000-01-04,0.00,48.8,54.9,61.0,0.16,4.49
2000-01-05,0.69,34.4,49.6,64.9,0.49,6.04
2000-01-06,0.00,18.2,28.3,38.5,0.32,4.69
2000-01-07,0.00,19.8,31.1,42.5,0.19,5.09
2000-01-08,0.00,21.4,34.5,47.6,0.18,6.41
2000-01-09,0.00,23.0,30.9,38.8,0.89,4.42
2000-01-10,0.00,33.7,40.8,47.9,0.49,5.27
2000-01-11,0.59,37.2,46.3,55.5,0.00,4.42
2000-01-12,0.00,35.2,42.7,50.3,1.68,7.21
2000-01-13,0.00,29.3,37.2,45.0,1.24,6.59
2000-01-14,0.00,13.5,24.7,35.9,0.40,2.14
2000-01-15,0.00,11.8,17.2,22.7,0.82,2.62
2000-01-16,0.00,15.9,23.0,30.1,1.01,2.74
2000-01-17,0.00,8.1,28.2,48.2,1.22,6.95
2000-01-18,0.00,4.1,10.8,17.5,0.73,2.48
2000-01-19,0.00,5.5,12.9,20.3,0.85,2.55
2000-01-20,0.03,15.5,23.3,31.0,0.53,3.54
2000-01-21,0.22,10.3,18.9,27.6,0.15,1.57
2000-01-22,0.00,5.3,11.7,18.0,0.70,2.25
2000-01-23,0.00,7.8,14.1,20.5,0.46,2.27
2000-01-24,0.00,16.1,21.5,26.9,0.40,1.44
2000-01-25,0.24,22.8,30.7,38.6,0.27,3.98
2000-01-26,0.82,22.0,25.9,29.9,0.18,1.75
2000-01-27,0.00,13.2,22.2,31.2,1.05,2.86
2000-01-28,0.00,7.1,12.8,18.4,0.91,1.97
2000-01-29,0.00,7.5,14.6,21.7,0.96,2.67
2000-01-30,0.00,4.6,19.9,35.2,0.33,5.45
2000-01-31,0.94,9.1,21.8,34.5,0.00,4.08
2000-02-01,0.00,19.3,26.2,33.2,0.43,2.94
2000-02-02,0.00,18.7,26.4,34.2,0.92,3.39
2000-02-03,0.00,12.0,21.2,30.4,0.67,3.71
2000-02-04,0.13,14.6,23.1,31.7,0.10,2.75
2000-02-05,0.02,22.0,27.9,33.8,0.02,2.04
2000-02-06,0.00,23.4,28.8,34.1,1.20,4.09
2000-02-07,0.00,22.1,29.3,36.6,0.94,4.92
2000-02-08,0.00,12.5,27.0,41.4,0.96,4.62
2000-02-09,0.00,8.2,19.8,31.4,0.21,4.26
2000-02-10,0.00,11.5,28.0,44.5,0.01,5.07
2000-02-11,0.00,25.9,37.8,49.7,0.19,6.80
2000-02-12,0.03,20.2,33.7,47.1,0.33,3.89
2000-02-13,0.00,11.2,21.2,31.2,0.30,3.79
2000-02-14,0.68,13.0,24.4,35.9,0.06,3.00
2000-02-15,0.15,31.6,38.8,46.0,0.58,3.93
2000-02-16,0.00,23.3,31.2,39.1,0.64,4.84
2000-02-17,0.00,24.5,37.7,50.9,1.61,5.81
2000-02-18,0.00,23.4,28.9,34.5,0.99,4.42
2000-02-19,0.46,26.1,29.1,32.2,0.03,1.63
2000-02-20,0.00,27.1,30.6,34.0,0.03,1.47
2000-02-21,0.00,22.5,30.2,38.0,0.73,3.63
2000-02-22,0.46,21.6,31.3,41.0,0.22,4.90
2000-02-23,0.00,23.5,37.6,51.7,0.24,7.99
2000-02-24,0.00,31.4,42.6,53.8,0.54,7.35
2000-02-25,0.00,34.2,48.7,63.3,0.11,11.39
2000-02-26,0.04,37.1,46.9,56.8,0.15,4.46
2000-02-27,0.00,37.8,41.2,44.7,0.02,2.18
2000-02-28,0.38,40.5,48.7,56.9,0.03,2.86
2000-02-29,0.00,32.4,42.3,52.2,1.67,8.62
2000-03-01,0.00,26.2,40.7,55.3,0.71,11.24
2000-03-02,0.00,31.6,42.7,53.8,1.26,9.67
2000-03-03,0.00,32.5,39.2,45.9,1.73,5.95
2000-03-04,0.00,28.9,38.6,48.3,1.90,9.07
2000-03-05,0.00,31.9,42.1,52.3,1.80,9.37
2000-03-06,0.00,30.4,44.1,57.9,1.26,11.69
2000-03-07,0.00,27.9,41.6,55.2,0.80,10.86
2000-03-08,0.00,36.4,51.3,66.2,1.67,16.20
2000-03-09,0.00,39.2,58.6,78.0,0.19,19.10
2000-03-10,0.00,41.9,57.4,73.0,0.05,15.67
2000-03-11,0.00,40.0,48.6,57.2,0.34,7.79
2000-03-12,1.09,37.8,40.4,42.9,0.00,0.97
2000-03-13,0.02,27.3,36.8,46.4,0.29,3.75
2000-03-14,0.00,28.3,38.1,48.0,0.69,7.42
2000-03-15,0.00,29.9,42.6,55.2,0.17,9.65
2000-03-16,0.00,34.4,51.4,68.3,0.42,17.49
2000-03-17,1.13,39.4,51.8,64.3,0.02,10.33
2000-03-18,0.03,19.8,29.9,40.0,0.56,3.09
2000-03-19,0.00,22.7,31.4,40.1,0.96,6.22
2000-03-20,0.00,28.7,36.8,45.0,0.50,5.53
2000-03-21,0.06,33.1,39.8,46.5,0.31,5.18
2000-03-22,0.93,36.9,39.2,41.5,0.11,1.49
2000-03-23,0.00,30.2,41.0,51.9,0.00,5.43
2000-03-24,0.00,33.9,50.4,66.9,0.01,13.61
2000-03-25,0.00,38.3,53.2,68.1,0.90,16.78
2000-03-26,0.04,46.8,57.4,68.1,0.61,11.69
2000-03-27,0.00,30.5,46.3,62.1,0.89,13.95
2000-03-28,0.98,38.2,52.3,66.5,0.00,15.68
2000-03-29,0.02,39.8,49.4,59.1,0.84,11.63
2000-03-30,0.00,33.7,43.1,52.4,0.70,6.99
2000-03-31,0.00,29.3,43.2,57.0,0.85,10.18
2000-04-01,0.00,29.6,44.1,58.7,0.71,12.07
2000-04-02,0.00,40.4,52.7,65.1,1.92,16.32
2000-04-03,0.00,48.6,58.2,67.8,0.32,14.02
2000-04-04,0.54,57.1,63.8,70.6,0.50,9.76
2000-04-05,0.07,38.0,51.4,64.8,1.46,8.42
2000-04-06,0.00,32.9,40.5,48.1,1.31,7.35
2000-04-07,0.00,40.9,56.6,72.2,2.66,20.81
2000-04-08,0.00,44.1,55.4,66.6,0.08,15.03
2000-04-09,0.45,29.3,52.9,76.5,0.14,19.90
2000-04-10,0.22,28.6,39.1,49.6,0.33,8.92
2000-04-11,0.00,36.3,45.8,55.3,2.21,11.27
2000-04-12,0.07,35.7,41.7,47.6,0.00,4.26
2000-04-13,0.00,27.7,39.3,51.0,0.94,8.57
2000-04-14,0.00,29.3,41.0,52.7,0.55,10.24
2000-04-15,0.00,38.5,50.7,62.8,0.11,11.89
2000-04-16,0.22,49.2,55.5,61.8,0.04,2.80
2000-04-17,0.24,48.0,63.2,78.3,0.21,16.25
2000-04-18,0.47,37.3,43.2,49.0,0.08,3.09
2000-04-19,0.00,37.7,42.7,47.7,0.31,4.07
2000-04-20,0.00,44.8,54.2,63.6,0.99,9.28
2000-04-21,0.55,47.3,56.9,66.5,0.55,10.03
2000-04-22,0.54,43.6,47.0,50.4,0.05,1.17
2000-04-23,0.21,43.2,48.1,53.0,0.30,3.80
2000-04-24,0.01,43.5,48.3,53.1,1.98,5.81
2000-04-25,0.00,45.9,57.0,68.0,3.27,16.41
2000-04-26,0.00,37.3,46.6,56.0,0.66,8.15
2000-04-27,0.03,38.4,47.1,55.9,0.47,8.82
2000-04-28,0.00,40.6,44.9,49.2,0.36,3.41
2000-04-29,0.02,37.3,48.4,59.4,0.05,8.93
2000-04-30,0.00,43.0,57.0,71.0,1.09,19.19
2000-05-01,0.00,35.3,50.5,65.6,1.69,17.33
2000-05-02,0.11,45.6,57.8,69.9,0.00,16.72
2000-05-03,0.00,39.6,53.4,67.2,0.92,14.90
2000-05-04,0.00,44.2,57.8,71.4,0.24,17.43
2000-05-05,0.00,54.0,64.7,75.5,1.71,17.35
2000-05-06,0.04,58.2,72.0,85.7,0.11,25.82
2000-05-07,0.00,59.7,73.7,87.7,0.86,26.75
2000-05-08,0.18,61.7,76.4,91.1,0.48,33.61
2000-05-09,0.00,65.1,78.5,91.9,2.33,33.84
2000-05-10,0.00,65.6,77.8,90.0,2.10,27.56
2000-05-11,0.44,51.0,61.5,72.0,0.18,6.41
2000-05-12,0.09,55.3,65.1,74.9,1.97,20.62
2000-05-13,0.00,55.3,64.5,73.6,1.02,12.34
2000-05-14,0.86,50.5,65.9,81.3,0.15,13.87
2000-05-15,0.00,41.9,56.7,71.5,1.52,16.76
2000-05-16,0.00,40.0,52.6,65.2,0.88,14.82
2000-05-17,0.00,49.7,59.2,68.6,1.20,16.86
2000-05-18,0.00,55.0,63.6,72.3,0.29,14.57
2000-05-19,0.77,60.0,70.8,81.7,0.32,16.96
2000-05-20,1.03,45.0,54.0,63.0,0.04,2.98
2000-05-21,0.44,45.9,49.1,52.3,0.00,1.90
2000-05-22,0.08,50.7,54.1,57.4,0.11,2.46
2000-05-23,0.24,51.8,54.4,57.0,0.05,2.60
2000-05-24,0.61,53.7,59.4,65.2,0.01,6.46
2000-05-25,0.38,53.0,66.8,80.6,0.02,21.37
2000-05-26,0.00,51.8,63.2,74.6,1.55,18.91
2000-05-27,0.00,48.1,61.9,75.7,0.45,19.52
2000-05-28,0.00,47.7,56.7,65.6,0.09,9.17
2000-05-29,0.00,52.9,60.4,67.9,1.54,11.70
2000-05-30,0.00,49.4,57.6,65.9,1.01,11.25
2000-05-31,0.00,47.0,56.0,65.0,0.54,9.66
2000-06-01,0.00,52.0,62.3,72.5,1.17,15.15
2000-06-02,0.00,61.9,74.5,87.0,0.04,21.06
2000-06-03,0.07,59.1,74.6,90.1,2.74,23.98
2000-06-04,0.00,48.2,61.2,74.3,0.33,17.60
2000-06-05,0.00,54.0,64.6,75.1,1.05,18.44
2000-06-06,0.25,53.5,61.0,68.5,0.00,12.69
2000-06-07,0.51,49.4,53.3,57.3,0.13,3.43
2000-06-08,0.00,51.1,63.3,75.5,0.46,18.50
2000-06-09,0.00,58.2,69.1,80.0,1.31,21.25
2000-06-10,0.00,63.2,76.0,88.9,0.94,26.94
2000-06-11,0.00,67.0,78.9,90.7,0.67,27.39
2000-06-12,0.39,69.2,80.8,92.5,0.90,27.64
2000-06-13,0.96,55.4,67.2,78.9,0.02,9.45
2000-06-14,0.09,54.1,57.5,61.0,0.02,3.24
2000-06-15,0.05,54.4,57.6,60.9,0.00,2.42
2000-06-16,0.03,59.0,67.7,76.4,0.00,6.13
2000-06-17,0.00,70.5,77.7,84.9,0.69,13.63
2000-06-18,0.07,64.6,76.6,88.6,0.83,21.58
2000-06-19,0.21,61.0,67.7,74.4,0.11,7.13
2000-06-20,0.00,53.4,62.1,70.9,0.09,9.08
2000-06-21,0.00,58.3,70.9,83.5,0.07,22.63
2000-06-22,0.77,65.1,72.7,80.3,0.00,13.98
2000-06-23,0.00,62.1,73.1,84.2,0.04,19.07
2000-06-24,0.00,58.5,70.2,81.9,0.34,20.99
2000-06-25,0.00,65.1,75.3,85.6,0.01,22.63
2000-06-26,0.04,69.2,79.6,90.0,0.33,22.74
2000-06-27,0.00,69.3,79.2,89.1,0.17,19.99
2000-06-28,0.00,64.5,74.6,84.7,0.49,17.26
2000-06-29,0.07,62.1,71.2,80.3,0.24,16.99
2000-06-30,0.23,58.4,67.5,76.7,0.25,12.27
2000-07-01,0.00,55.0,66.8,78.5,0.62,19.61
2000-07-02,0.00,56.5,69.5,82.6,0.46,24.39
2000-07-03,0.00,61.6,73.4,85.3,0.99,27.12
2000-07-04,0.10,65.8,76.2,86.6,0.02,19.73
2000-07-05,0.00,65.0,75.1,85.2,0.77,16.51
2000-07-06,0.00,56.6,71.0,85.5,3.04,27.98
2000-07-07,0.02,57.1,68.3,79.4,1.87,22.51
2000-07-08,0.00,52.7,65.5,78.3,2.80,22.14
2000-07-09,0.00,54.3,67.0,79.7,1.13,23.60
2000-07-10,0.05,66.6,75.4,84.3,0.46,23.66
2000-07-11,0.00,63.2,76.3,89.4,2.81,27.25
2000-07-12,0.00,56.4,70.1,83.7,3.23,26.42
2000-07-13,0.00,56.7,69.9,83.2,0.52,26.24
2000-07-14,0.00,62.7,73.7,84.8,1.69,26.30
2000-07-15,0.51,63.9,70.2,76.5,0.03,10.19
2000-07-16,0.24,62.8,69.1,75.4,0.03,9.87
2000-07-17,0.52,60.1,70.5,80.9,0.00,15.79
2000-07-18,0.00,62.5,72.6,82.7,0.01,17.81
2000-07-19,0.00,58.6,73.1,87.6,2.40,26.30
2000-07-20,0.28,57.5,62.4,67.4,0.14,8.94
2000-07-21,0.00,54.4,66.5,78.5,0.06,19.39
2000-07-22,0.19,59.1,70.7,82.3,0.03,22.82
2000-07-23,0.00,54.6,67.3,79.9,0.86,20.71
2000-07-24,0.00,59.6,69.6,79.5,0.89,20.27
2000-07-25,0.06,60.3,67.8,75.3,0.00,12.16
2000-07-26,0.27,63.0,69.8,76.5,0.31,13.98
2000-07-27,1.86,62.8,67.3,71.8,0.00,2.35
2000-07-28,0.02,64.3,68.4,72.5,0.00,4.76
2000-07-29,0.00,65.3,73.0,80.7,0.32,14.37
2000-07-30,0.05,67.2,72.7,78.2,0.04,10.20
2000-07-31,0.23,69.1,76.8,84.4,0.00,15.09
2000-08-01,0.66,65.9,75.3,84.7,0.00,14.23
2000-08-02,0.54,66.6,73.9,81.2,0.00,8.95
2000-08-03,0.07,70.1,78.3,86.5,0.11,17.85
2000-08-04,0.77,65.0,73.6,82.2,0.00,10.65
2000-08-05,0.00,57.9,68.3,78.7,1.38,13.04
2000-08-06,0.00,56.8,68.6,80.5,0.57,22.20
2000-08-07,0.19,62.4,69.0,75.7,0.00,9.69
2000-08-08,0.19,68.7,79.1,89.4,0.17,21.55
2000-08-09,0.19,69.8,78.8,87.7,0.55,24.00
2000-08-10,0.00,68.2,77.6,87.0,1.54,18.96
2000-08-11,0.00,64.2,74.7,85.3,0.51,20.84
2000-08-12,0.20,63.3,73.4,83.5,0.38,17.64
2000-08-13,0.73,60.5,67.2,73.9,0.51,8.58
2000-08-14,0.02,61.9,66.1,70.2,0.93,7.41
2000-08-15,1.38,60.8,64.8,68.9,0.11,5.21
2000-08-16,0.05,64.3,73.3,82.3,0.00,18.28
2000-08-17,0.00,57.7,70.2,82.7,2.75,24.06
2000-08-18,0.00,60.6,67.4,74.3,1.21,14.83
2000-08-19,0.08,54.7,59.7,64.7,0.02,3.48
2000-08-20,0.00,52.8,64.4,76.0,1.12,16.80
2000-08-21,0.09,50.2,61.6,73.0,1.23,16.70
2000-08-22,0.00,49.3,61.6,74.0,0.01,16.53
2000-08-23,0.00,56.2,66.9,77.6,0.69,17.95
2000-08-24,0.11,61.3,67.5,73.6,0.00,9.44
2000-08-25,0.00,56.7,68.8,80.9,0.26,15.29
2000-08-26,0.00,52.9,67.1,81.3,0.00,22.26
2000-08-27,0.00,57.8,70.7,83.6,0.00,23.77
2000-08-28,0.10,64.8,74.0,83.1,0.04,17.29
2000-08-29,0.26,66.2,73.3,80.3,0.27,12.88
2000-08-30,0.00,63.3,69.5,75.8,0.42,8.47
2000-08-31,0.05,64.3,72.6,81.0,0.08,11.30
2000-09-01,0.01,70.3,77.3,84.3,0.23,15.87
2000-09-02,0.28,70.0,77.8,85.6,0.00,16.78
2000-09-03,0.00,70.2,78.5,86.7,0.00,18.86
2000-09-04,0.06,67.2,75.6,83.9,0.01,13.74
2000-09-05,0.06,49.6,67.5,85.4,0.88,18.45
2000-09-06,0.00,45.7,56.9,68.1,1.27,15.65
2000-09-07,0.00,44.0,57.1,70.2,0.01,14.71
2000-09-08,0.00,47.3,60.0,72.7,0.00,14.64
2000-09-09,0.00,55.7,65.8,76.0,0.00,12.50
2000-09-10,0.00,61.3,73.6,85.9,0.00,20.85
2000-09-11,0.00,63.8,73.2,82.6,0.15,15.87
2000-09-12,0.00,65.1,72.7,80.4,0.62,14.68
2000-09-13,0.94,65.6,74.2,82.8,0.20,17.04
2000-09-14,0.00,50.3,64.2,78.2,0.60,16.87
2000-09-15,1.08,58.0,68.4,78.8,0.00,20.86
2000-09-16,0.00,48.7,60.3,71.9,0.91,15.11
2000-09-17,0.00,43.2,54.9,66.5,0.53,12.65
2000-09-18,0.00,46.9,58.4,69.9,0.15,14.49
2000-09-19,0.00,52.9,63.4,74.0,0.33,14.03
2000-09-20,0.69,56.3,62.2,68.2,0.01,3.02
2000-09-21,0.00,62.1,72.8,83.5,1.84,21.24
2000-09-22,0.00,46.5,60.2,74.0,0.77,16.52
2000-09-23,0.00,48.0,58.6,69.3,0.20,13.71
2000-09-24,0.07,55.7,60.5,65.3,0.00,3.30
2000-09-25,0.03,49.2,61.8,74.4,0.18,7.82
2000-09-26,0.45,47.8,54.1,60.5,0.46,7.95
2000-09-27,0.37,39.3,47.0,54.8,0.00,2.99
2000-09-28,0.00,42.5,55.5,68.5,0.00,12.46
2000-09-29,0.00,35.6,50.3,65.0,0.46,8.37
2000-09-30,0.00,34.6,47.9,61.2,0.02,11.91
2000-10-01,0.00,39.6,53.4,67.2,0.00,12.43
2000-10-02,0.00,46.7,58.5,70.2,0.00,11.37
2000-10-03,0.00,49.7,61.7,73.7,0.00,13.70
2000-10-04,0.00,48.6,64.5,80.4,0.00,16.63
2000-10-05,0.63,52.8,66.5,80.2,0.11,15.37
2000-10-06,0.03,55.6,59.1,62.5,0.00,3.94
2000-10-07,0.00,43.3,57.8,72.2,0.11,8.03
2000-10-08,0.00,33.9,47.2,60.4,0.84,10.47
2000-10-09,0.00,30.6,41.8,53.0,0.28,7.43
2000-10-10,0.00,32.6,40.5,48.5,0.34,6.51
2000-10-11,0.00,37.7,45.0,52.3,0.80,6.67
2000-10-12,0.00,36.7,51.3,65.9,0.00,13.95
2000-10-13,0.00,37.0,54.0,70.9,0.09,17.13
