PRISM Time Series Data
Location:  Lat: 40.5611   Lon: -75.1589   Elev: 443ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.3,31.5,39.7,0.01,2.37
2000-01-02,0.00,27.5,36.1,44.8,0.06,2.55
2000-01-03,0.00,34.6,45.9,57.1,0.42,5.57
2000-01-04,0.00,48.1,53.9,59.8,0.10,3.74
2000-01-05,0.65,34.0,48.9,63.8,0.52,5.58
2000-01-06,0.00,17.7,27.9,38.0,0.31,4.57
2000-01-07,0.00,20.1,30.8,41.5,0.23,4.78
2000-01-08,0.00,21.1,34.0,46.9,0.19,6.14
2000-01-09,0.00,22.6,30.4,38.2,0.82,4.24
2000-01-10,0.00,33.4,40.9,48.4,0.47,5.52
2000-01-11,0.57,36.0,44.7,53.3,0.00,4.18
2000-01-12,0.00,34.9,42.2,49.6,1.60,7.01
2000-01-13,0.00,29.2,37.1,45.0,1.17,6.67
2000-01-14,0.00,13.0,23.5,33.9,0.39,1.87
2000-01-15,0.00,11.6,16.6,21.6,0.80,2.40
2000-01-16,0.00,16.1,22.7,29.3,1.05,2.64
2000-01-17,0.00,7.6,27.2,46.8,1.16,6.42
2000-01-18,0.00,3.8,10.3,16.8,0.71,2.37
2000-01-19,0.00,5.4,12.7,20.0,0.84,2.52
2000-01-20,0.02,15.2,22.7,30.2,0.51,3.31
2000-01-21,0.25,10.0,18.3,26.7,0.16,1.49
2000-01-22,0.00,5.2,11.2,17.3,0.71,2.16
2000-01-23,0.00,7.6,13.9,20.2,0.48,2.24
2000-01-24,0.00,15.8,21.0,26.2,0.41,1.42
2000-01-25,0.23,22.7,30.5,38.3,0.35,3.99
2000-01-26,0.78,21.8,25.6,29.5,0.20,1.77
2000-01-27,0.00,13.1,21.8,30.4,1.06,2.75
2000-01-28,0.00,6.9,12.4,17.9,0.88,1.94
2000-01-29,0.00,7.1,14.3,21.4,0.90,2.66
2000-01-30,0.00,3.6,19.6,35.5,0.27,5.67
2000-01-31,0.97,7.9,20.6,33.4,0.00,4.11
2000-02-01,0.00,18.9,25.7,32.5,0.43,2.81
2000-02-02,0.00,18.4,26.1,33.8,0.89,3.30
2000-02-03,0.00,11.5,20.6,29.6,0.66,3.59
2000-02-04,0.12,14.3,22.0,29.7,0.09,2.38
2000-02-05,0.02,21.5,27.2,32.9,0.02,1.93
2000-02-06,0.00,23.1,28.4,33.7,1.22,4.00
2000-02-07,0.00,21.8,29.0,36.2,0.95,4.81
2000-02-08,0.00,12.0,26.4,40.7,0.93,4.39
2000-02-09,0.00,7.1,19.0,30.9,0.20,4.12
2000-02-10,0.00,10.7,26.8,43.0,0.03,4.44
2000-02-11,0.00,25.2,37.1,48.9,0.19,6.32
2000-02-12,0.04,19.6,33.0,46.3,0.27,3.60
2000-02-13,0.00,10.6,21.0,31.3,0.27,3.85
2000-02-14,0.69,12.2,23.6,35.1,0.07,2.94
2000-02-15,0.14,31.2,37.8,44.4,0.46,3.32
2000-02-16,0.00,23.3,31.0,38.7,0.63,4.68
2000-02-17,0.00,24.1,36.6,49.1,1.56,5.27
2000-02-18,0.00,22.8,28.4,34.1,0.86,4.31
2000-02-19,0.41,25.6,28.4,31.2,0.02,1.42
2000-02-20,0.00,26.7,30.2,33.6,0.04,1.41
2000-02-21,0.00,21.8,29.6,37.4,0.66,3.49
2000-02-22,0.49,20.8,30.6,40.3,0.16,4.64
2000-02-23,0.00,23.2,37.1,50.9,0.24,7.59
2000-02-24,0.00,31.4,42.1,52.8,0.50,6.84
2000-02-25,0.00,33.8,47.7,61.6,0.11,9.96
2000-02-26,0.01,36.6,45.4,54.2,0.12,3.30
2000-02-27,0.00,37.3,40.3,43.2,0.00,1.61
2000-02-28,0.41,39.9,47.3,54.7,0.03,1.82
2000-02-29,0.00,32.0,41.8,51.5,1.59,8.31
2000-03-01,0.00,25.8,40.3,54.8,0.68,11.06
2000-03-02,0.00,32.1,42.2,52.2,1.26,8.95
2000-03-03,0.00,32.2,38.6,45.0,1.63,5.62
2000-03-04,0.00,28.2,37.8,47.4,1.75,8.80
2000-03-05,0.00,31.5,41.8,52.1,1.70,9.30
2000-03-06,0.00,30.1,43.6,57.1,1.20,11.18
2000-03-07,0.00,27.6,41.2,54.8,0.74,10.72
2000-03-08,0.00,36.0,51.0,66.1,1.56,16.09
2000-03-09,0.00,38.7,58.3,77.9,0.19,19.13
2000-03-10,0.00,41.8,56.9,72.1,0.13,14.98
2000-03-11,0.00,39.5,47.6,55.7,0.30,7.03
2000-03-12,1.07,37.3,39.8,42.3,0.00,0.87
2000-03-13,0.02,26.9,35.9,45.0,0.22,3.55
2000-03-14,0.00,27.3,37.4,47.4,0.56,7.20
2000-03-15,0.00,29.2,42.0,54.7,0.04,9.31
2000-03-16,0.00,33.7,50.8,67.9,0.23,17.13
