PRISM Time Series Data
Location:  Lat: 43.8035   Lon: -76.2266   Elev: 269ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,10.6,23.1,35.6,0.44,2.54
2000-01-02,0.00,33.0,38.9,44.8,1.08,5.42
2000-01-03,0.14,36.4,44.2,52.1,0.25,3.93
2000-01-04,0.61,32.6,40.0,47.5,0.08,2.43
2000-01-05,0.30,19.5,37.3,55.2,0.41,5.43
2000-01-06,0.00,17.3,21.7,26.1,0.70,2.54
2000-01-07,0.00,25.7,32.3,38.9,1.48,3.97
2000-01-08,0.06,26.4,32.0,37.7,0.76,2.78
2000-01-09,0.02,27.9,34.1,40.3,1.14,4.57
2000-01-10,0.07,35.7,38.3,40.9,0.41,2.22
2000-01-11,0.42,38.0,41.1,44.3,0.50,3.37
2000-01-12,0.13,30.3,36.3,42.2,0.88,3.25
2000-01-13,0.06,14.8,23.3,31.8,0.46,2.86
2000-01-14,0.02,3.5,9.3,15.1,0.55,1.25
2000-01-15,0.00,2.3,8.1,13.9,0.55,1.49
2000-01-16,0.00,3.8,18.6,33.5,0.34,2.99
2000-01-17,0.05,-6.3,15.3,37.0,0.24,2.85
2000-01-18,0.00,-8.4,-2.4,3.6,0.39,0.96
2000-01-19,0.00,-4.3,1.0,6.2,0.31,0.85
2000-01-20,0.12,2.6,12.9,23.2,0.23,1.80
2000-01-21,0.18,-1.4,9.1,19.7,0.21,0.81
2000-01-22,0.00,-6.6,-0.4,5.8,0.26,0.93
2000-01-23,0.02,-6.6,1.0,8.5,0.29,0.96
2000-01-24,0.02,7.9,18.4,28.9,0.33,1.87
2000-01-25,0.00,13.7,19.8,26.0,0.27,2.32
2000-01-26,0.13,15.4,18.4,21.5,0.30,1.26
2000-01-27,0.08,-0.4,8.6,17.6,0.29,1.18
2000-01-28,0.01,-1.5,4.5,10.4,0.36,1.22
2000-01-29,0.00,-2.0,8.1,18.2,0.43,1.92
2000-01-30,0.00,-3.5,11.2,26.0,0.14,2.70
2000-01-31,0.26,13.2,24.1,34.9,0.06,4.46
2000-02-01,0.13,28.8,30.3,31.8,0.47,1.38
2000-02-02,0.12,8.0,19.2,30.4,0.39,2.16
2000-02-03,0.00,7.2,12.4,17.7,0.55,1.71
2000-02-04,0.02,9.6,15.8,22.0,0.48,1.50
