PRISM Time Series Data
Location:  Lat: 40.3562   Lon: -76.8667   Elev: 607ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.70,19.0,27.7,36.3,0.57,3.88
2000-02,2.30,23.2,33.1,43.1,0.52,4.98
2000-03,4.83,33.2,45.1,56.9,0.89,10.34
2000-04,3.53,40.0,50.3,60.6,0.99,10.14
2000-05,4.11,50.4,62.2,74.1,0.61,16.15
2000-06,5.77,58.7,69.1,79.5,0.35,15.53
2000-07,2.62,58.6,69.2,79.7,0.30,16.93
2000-08,2.88,60.1,70.3,80.5,0.43,16.36
2000-09,6.10,51.6,62.6,73.6,0.27,12.77
2000-10,1.26,41.1,53.8,66.4,0.32,12.07
2000-11,2.14,32.3,41.7,51.1,0.83,7.20
2000-12,3.55,18.2,26.4,34.7,0.51,3.36
2001-01,2.43,20.0,28.4,36.8,0.40,3.45
2001-02,1.69,25.8,34.2,42.5,0.71,4.80
2001-03,5.43,28.0,36.7,45.4,0.67,5.75
2001-04,2.43,39.4,50.5,61.6,0.81,10.95
2001-05,2.29,48.1,60.6,73.2,0.75,16.81
2001-06,3.46,58.2,69.6,81.0,0.41,19.29
2001-07,3.10,58.6,70.9,83.2,0.53,21.35
2001-08,2.48,63.2,74.7,86.2,0.59,22.36
2001-09,3.64,50.5,63.6,76.8,0.24,17.14
2001-10,1.10,40.4,53.8,67.3,0.53,13.87
2001-11,1.30,35.8,47.7,59.7,0.76,9.74
2001-12,2.41,29.5,39.0,48.6,0.39,5.67
2002-01,2.24,26.2,35.3,44.4,0.55,5.54
2002-02,0.49,26.3,36.9,47.5,0.78,6.62
2002-03,4.67,29.8,40.5,51.2,0.61,7.36
2002-04,4.37,41.2,53.0,64.7,0.90,12.46
2002-05,4.62,45.7,57.9,70.1,0.51,13.95
2002-06,5.14,58.2,69.9,81.7,0.47,18.89
2002-07,2.18,62.5,74.9,87.3,0.70,24.42
2002-08,1.67,62.5,75.4,88.3,0.88,27.98
2002-09,4.83,55.2,67.2,79.2,0.58,18.37
2002-10,6.03,42.1,51.5,60.9,0.09,7.77
2002-11,3.66,33.1,41.7,50.3,0.40,5.96
2002-12,4.70,21.1,29.8,38.6,0.39,3.75
2003-01,2.32,16.7,24.6,32.5,0.45,3.12
2003-02,4.55,18.0,26.3,34.6,0.21,3.06
2003-03,4.02,27.0,38.5,50.1,0.20,6.17
2003-04,3.06,37.4,48.7,59.9,0.48,10.94
2003-05,5.05,49.4,57.9,66.4,0.45,9.79
2003-06,6.69,56.0,65.4,74.8,0.08,12.96
2003-07,3.79,61.1,72.3,83.4,0.19,19.60
2003-08,9.46,64.0,73.6,83.2,0.02,15.65
2003-09,7.38,55.1,64.4,73.8,0.07,11.09
2003-10,5.62,39.6,50.6,61.5,0.18,9.33
2003-11,3.93,37.3,47.0,56.6,0.50,6.92
2003-12,4.80,24.9,32.7,40.5,0.51,4.04
2004-01,2.13,15.7,23.3,30.9,0.57,3.02
2004-02,2.55,19.5,28.8,38.2,0.51,4.40
2004-03,1.92,31.2,41.4,51.6,0.56,7.72
2004-04,6.17,41.2,50.9,60.6,0.79,10.67
2004-05,3.31,55.0,66.2,77.5,0.48,16.16
2004-06,5.29,56.7,66.8,76.8,0.40,14.53
2004-07,6.75,62.3,71.5,80.7,0.27,15.00
2004-08,5.98,61.4,70.9,80.4,0.26,15.14
2004-09,10.59,56.9,66.4,75.8,0.33,12.95
2004-10,2.37,42.3,51.7,61.0,0.36,8.60
2004-11,3.95,35.6,45.3,55.0,0.72,7.55
2004-12,3.70,24.3,32.8,41.2,0.55,4.25
2005-01,5.52,21.2,28.7,36.2,0.40,3.13
2005-02,1.85,23.6,32.5,41.5,0.61,4.81
2005-03,4.77,26.2,34.9,43.7,0.57,5.35
2005-04,4.66,38.1,51.2,64.4,0.98,14.94
2005-05,1.28,43.0,55.7,68.3,0.86,15.43
2005-06,2.48,60.6,71.7,82.8,0.91,20.91
2005-07,7.46,64.5,74.8,85.0,0.85,20.14
2005-08,2.53,63.8,73.9,84.0,0.79,20.06
2005-09,0.89,55.1,68.0,80.8,0.90,21.11
2005-10,8.72,46.3,54.5,62.8,0.76,9.35
2005-11,2.71,32.7,44.6,56.6,0.68,9.35
2005-12,2.84,21.0,28.7,36.5,0.50,3.53
2006-01,5.11,28.2,37.0,45.8,0.62,4.89
2006-02,2.40,22.6,31.7,40.7,0.69,5.03
2006-03,0.74,30.4,40.1,49.8,1.38,8.35
2006-04,3.27,39.6,52.3,65.0,1.12,13.97
2006-05,2.45,47.1,59.3,71.4,1.02,16.66
2006-06,11.81,58.0,68.6,79.2,0.69,17.86
2006-07,4.13,64.2,74.5,84.8,0.51,19.90
2006-08,1.63,61.5,73.1,84.6,1.06,22.44
2006-09,5.12,52.8,61.9,71.1,0.40,11.19
2006-10,3.93,41.0,51.2,61.4,0.62,9.58
2006-11,4.61,36.5,45.7,54.9,0.59,6.99
2006-12,2.31,29.3,39.3,49.4,0.57,6.27
2007-01,2.49,25.9,33.7,41.5,0.57,4.27
2007-02,2.96,14.9,23.0,31.2,0.57,3.35
2007-03,3.75,26.6,37.7,48.8,0.62,7.63
2007-04,3.36,36.9,46.9,56.8,0.95,10.90
2007-05,1.03,47.6,61.8,76.1,1.08,20.77
2007-06,3.31,58.8,70.7,82.6,1.04,22.43
2007-07,4.80,59.4,71.2,83.0,0.96,22.44
2007-08,5.70,62.3,72.7,83.1,0.77,20.07
2007-09,1.99,53.4,66.2,78.9,0.32,18.61
2007-10,4.48,49.1,60.2,71.4,0.42,14.02
2007-11,3.50,32.3,41.2,50.2,0.64,6.20
2007-12,5.03,26.4,33.1,39.9,0.31,3.26
2008-01,1.47,23.6,31.6,39.7,0.64,4.56
2008-02,5.37,21.8,30.2,38.6,0.38,3.23
2008-03,4.93,29.3,39.2,49.1,0.81,6.91
2008-04,4.13,41.3,52.6,63.8,0.84,12.66
2008-05,4.98,43.1,55.4,67.7,0.27,13.88
2008-06,4.14,60.2,71.6,83.0,0.84,21.73
2008-07,4.55,62.5,73.4,84.4,0.51,21.50
2008-08,1.96,56.7,68.9,81.1,0.51,20.65
2008-09,5.63,53.7,65.0,76.3,0.21,16.44
2008-10,2.92,38.6,50.6,62.6,0.32,11.13
2008-11,1.76,33.3,41.4,49.6,0.66,5.97
2008-12,7.48,24.7,32.2,39.7,0.43,3.36
