PRISM Time Series Data
Location:  Lat: 40.0489   Lon: -78.0582   Elev: 1073ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,1.50,18.5,28.1,37.7,0.52,4.55
2000-02,2.79,24.6,34.0,43.4,0.64,5.07
2000-03,3.31,31.6,43.4,55.2,0.94,9.84
2000-04,4.25,37.2,48.5,59.9,0.65,9.94
2000-05,5.14,50.5,62.2,73.9,0.97,16.34
2000-06,4.72,58.7,69.0,79.3,0.59,15.60
2000-07,2.97,57.9,68.1,78.3,0.36,15.60
2000-08,2.56,58.5,68.7,79.0,0.27,14.99
2000-09,3.50,51.1,62.0,72.9,0.33,12.48
2000-10,1.66,42.2,54.1,66.1,0.42,11.72
2000-11,2.14,29.9,39.0,48.1,0.56,6.17
2000-12,2.14,15.3,23.4,31.6,0.28,2.76
2001-01,1.89,19.2,27.3,35.5,0.35,3.17
2001-02,0.89,24.6,33.9,43.2,0.67,5.08
2001-03,3.84,26.3,34.9,43.5,0.63,5.34
2001-04,3.26,39.0,51.0,63.0,0.85,12.16
2001-05,2.51,47.0,59.5,72.0,0.97,16.40
2001-06,3.45,57.3,68.3,79.3,0.54,18.10
2001-07,1.89,56.8,69.1,81.4,0.52,20.14
2001-08,2.22,61.9,73.2,84.5,0.61,20.87
2001-09,2.47,49.2,62.3,75.5,0.38,16.94
2001-10,0.90,39.5,52.6,65.8,0.67,13.28
2001-11,1.52,34.6,47.1,59.7,0.86,10.40
2001-12,2.06,29.8,38.2,46.7,0.69,5.66
2002-01,1.75,27.3,36.0,44.6,0.98,5.88
2002-02,0.33,24.2,35.4,46.6,0.76,6.73
2002-03,3.92,29.1,39.9,50.6,0.83,7.55
2002-04,4.65,40.4,52.0,63.5,1.03,12.15
2002-05,4.17,45.9,57.8,69.7,0.71,13.92
2002-06,3.37,58.8,69.9,81.1,0.72,18.81
2002-07,2.23,62.9,74.3,85.8,0.89,22.38
2002-08,2.44,61.2,73.5,85.8,0.69,24.12
2002-09,4.61,53.6,65.9,78.1,0.58,18.22
2002-10,5.58,42.5,51.1,59.8,0.24,7.25
2002-11,3.25,32.8,40.8,48.9,0.44,5.54
2002-12,3.62,22.3,29.7,37.2,0.54,3.45
2003-01,2.50,16.9,23.7,30.6,0.50,2.70
2003-02,4.63,17.9,25.4,32.9,0.26,2.67
2003-03,3.06,27.2,38.6,50.0,0.36,6.40
2003-04,3.41,38.1,49.4,60.7,0.87,11.66
2003-05,7.49,48.4,57.5,66.6,0.45,10.54
2003-06,6.67,56.5,65.9,75.2,0.55,14.43
2003-07,2.95,61.0,71.7,82.4,0.59,19.42
2003-08,6.05,62.6,72.6,82.6,0.18,16.35
2003-09,7.41,52.6,62.5,72.3,0.01,10.40
2003-10,3.49,37.2,48.7,60.2,0.11,8.98
2003-11,4.15,34.8,45.4,56.0,0.37,7.03
2003-12,4.19,23.4,30.9,38.4,0.41,3.78
2004-01,2.93,14.2,22.5,30.7,0.43,2.84
2004-02,2.55,16.5,26.6,36.6,0.36,4.04
2004-03,2.59,29.7,40.1,50.6,0.41,7.38
2004-04,5.89,39.2,49.7,60.2,0.79,11.24
2004-05,4.51,53.4,65.3,77.2,0.55,16.60
2004-06,4.36,55.4,65.8,76.2,0.21,14.65
2004-07,7.90,60.9,70.9,80.8,0.16,16.09
2004-08,3.77,58.5,69.3,80.1,0.17,16.71
2004-09,11.96,55.3,64.8,74.4,0.34,12.70
2004-10,1.65,41.4,51.4,61.4,0.28,8.94
2004-11,3.58,36.1,45.3,54.4,0.84,7.33
2004-12,2.66,23.4,32.1,40.8,0.50,4.10
2005-01,4.32,21.0,29.3,37.5,0.40,3.43
2005-02,1.86,22.8,32.0,41.1,0.50,4.71
2005-03,4.51,25.4,34.0,42.6,0.47,5.12
2005-04,2.31,38.4,50.9,63.4,1.45,14.51
2005-05,2.10,41.8,54.0,66.1,0.78,14.11
2005-06,3.22,58.9,70.2,81.5,0.64,20.06
2005-07,4.21,62.5,73.5,84.4,0.37,19.73
2005-08,3.04,61.9,72.6,83.3,0.71,20.65
2005-09,0.53,52.5,66.3,80.0,0.48,20.93
2005-10,6.34,45.1,53.6,62.1,0.62,9.11
2005-11,3.66,32.3,43.7,55.1,0.79,8.85
2005-12,2.17,20.8,27.9,35.0,0.54,3.31
2006-01,4.57,27.6,36.7,45.7,0.57,5.03
2006-02,1.47,22.6,31.3,40.0,0.69,4.94
2006-03,0.82,28.7,38.7,48.6,1.01,7.74
2006-04,4.05,39.5,52.7,65.8,1.12,14.59
2006-05,2.11,46.4,57.9,69.5,1.05,15.50
2006-06,4.91,55.8,67.4,79.1,0.56,18.79
2006-07,2.77,63.1,73.2,83.3,0.55,18.66
2006-08,0.72,60.3,72.1,84.0,0.86,22.00
2006-09,3.97,51.8,60.9,70.0,0.40,11.06
2006-10,3.62,40.7,50.4,60.1,0.66,9.13
2006-11,3.59,35.1,44.4,53.8,0.55,7.00
2006-12,2.15,27.9,38.3,48.8,0.49,6.31
2007-01,1.66,24.4,33.2,42.0,0.42,4.35
2007-02,1.73,14.0,22.1,30.2,0.50,3.16
2007-03,3.88,28.1,39.5,50.9,0.87,8.38
2007-04,3.11,37.0,46.5,56.0,0.93,10.37
2007-05,1.90,47.2,61.4,75.6,1.11,20.53
2007-06,3.78,56.9,68.9,81.0,0.58,20.83
2007-07,2.93,57.8,70.0,82.2,0.67,21.63
2007-08,6.13,61.1,71.5,81.9,0.33,18.61
2007-09,1.53,52.6,65.2,77.8,0.24,17.33
2007-10,2.97,47.5,58.7,70.0,0.47,13.48
2007-11,2.76,30.7,40.2,49.8,0.39,6.13
2007-12,4.32,26.3,33.2,40.1,0.42,3.31
2008-01,2.19,22.5,30.8,39.2,0.53,4.48
2008-02,3.65,20.8,29.2,37.5,0.37,3.05
2008-03,5.16,27.0,37.3,47.6,0.58,6.40
2008-04,5.84,41.1,52.4,63.8,0.98,12.82
2008-05,6.11,43.3,55.4,67.6,0.56,14.17
2008-06,3.29,58.4,70.1,81.8,0.74,20.86
2008-07,4.29,60.7,72.2,83.7,0.59,21.78
2008-08,3.06,55.9,68.3,80.7,0.79,20.86
2008-09,3.03,52.2,63.9,75.6,0.17,15.70
2008-10,1.52,38.5,50.3,62.0,0.56,10.98
2008-11,1.30,32.5,40.5,48.6,0.74,5.96
2008-12,6.76,23.7,32.0,40.3,0.48,3.65
2009-01,2.08,15.4,23.4,31.4,0.42,2.99
2009-02,0.98,20.9,31.3,41.8,0.60,5.32
2009-03,1.44,27.6,38.5,49.4,0.61,7.44
2009-04,3.50,37.4,49.5,61.6,1.12,13.33
2009-05,8.16,48.6,59.5,70.5,0.88,14.66
2009-06,3.87,56.0,66.8,77.6,0.23,16.56
2009-07,4.66,58.1,68.9,79.7,0.91,18.76
2009-08,2.30,61.4,72.3,83.1,0.73,20.00
2009-09,2.28,53.3,63.1,73.0,0.69,14.36
2009-10,5.44,40.5,50.5,60.4,0.55,9.57
2009-11,1.29,36.5,46.1,55.7,0.83,7.89
2009-12,5.28,23.4,30.6,37.7,0.65,3.46
2010-01,3.06,20.9,27.9,34.9,0.63,3.23
2010-02,2.73,18.9,26.2,33.5,0.56,3.17
2010-03,4.25,33.8,43.8,53.9,1.13,9.18
2010-04,2.01,40.2,53.9,67.6,1.55,17.16
2010-05,4.85,51.0,61.9,72.7,1.00,16.18
2010-06,2.54,60.7,71.6,82.5,1.17,19.71
2010-07,4.91,62.7,75.1,87.4,1.35,26.83
2010-08,1.82,60.9,72.1,83.2,0.53,21.50
2010-09,3.05,50.9,65.0,79.1,0.73,22.61
2010-10,4.88,42.3,53.7,65.0,0.83,12.61
2010-11,3.34,31.1,41.7,52.3,0.66,7.64
2010-12,3.61,20.9,26.7,32.4,0.72,2.77
2011-01,1.10,16.8,24.6,32.5,0.44,3.05
2011-02,2.80,21.0,31.2,41.3,0.76,5.48
2011-03,6.44,28.2,38.8,49.5,0.82,7.21
2011-04,9.23,41.4,51.5,61.6,0.69,10.87
2011-05,6.14,52.8,62.8,72.9,1.00,14.90
2011-06,1.36,59.3,70.3,81.3,1.41,20.36
2011-07,2.25,63.8,76.4,89.0,1.72,29.54
2011-08,5.39,60.3,71.3,82.3,0.83,20.24
2011-09,13.59,57.6,65.6,73.6,0.50,10.90
2011-10,4.62,42.6,52.0,61.3,0.86,9.67
2011-11,4.10,34.1,45.5,56.9,0.67,8.55
2011-12,3.25,27.5,36.3,45.2,0.47,4.73
2012-01,3.02,23.1,32.1,41.1,0.63,4.40
2012-02,1.22,26.8,36.2,45.5,0.73,6.24
2012-03,2.65,36.8,49.1,61.3,0.92,11.35
2012-04,2.56,37.8,50.0,62.3,1.40,13.63
2012-05,7.17,54.6,65.2,75.8,0.84,16.56
2012-06,2.70,56.5,67.9,79.4,1.26,20.52
2012-07,5.77,64.3,75.7,87.1,1.07,24.79
2012-08,3.32,59.8,71.1,82.4,0.54,20.19
2012-09,4.32,52.4,63.9,75.5,0.63,15.81
2012-10,5.57,42.9,52.8,62.7,0.54,9.41
2012-11,0.49,29.1,38.6,48.1,0.76,6.43
2012-12,4.47,29.4,37.1,44.8,0.40,4.19
2013-01,3.07,22.7,31.3,39.9,0.54,4.07
2013-02,1.43,21.3,29.3,37.4,0.41,3.89
2013-03,2.20,27.4,35.2,43.0,0.73,5.53
2013-04,2.77,39.9,51.2,62.4,1.42,12.32
2013-05,4.18,48.4,59.8,71.1,0.98,15.26
2013-06,5.30,59.0,69.4,79.8,0.94,17.76
2013-07,3.42,64.2,74.0,83.9,0.60,19.06
2013-08,4.07,58.9,69.3,79.7,0.43,17.13
2013-09,1.14,49.7,62.3,74.9,0.44,16.12
2013-10,4.92,44.0,54.3,64.5,0.37,10.84
2013-11,2.60,29.5,38.9,48.2,0.70,6.62
2013-12,3.93,24.8,32.9,41.1,0.45,3.90
2014-01,1.08,11.1,21.2,31.3,0.40,2.95
2014-02,3.46,15.4,25.5,35.6,0.38,4.18
2014-03,2.97,21.7,32.4,43.0,0.95,6.28
2014-04,3.85,37.2,49.2,61.3,1.17,12.38
2014-05,4.50,48.1,59.8,71.5,0.48,15.10
2014-06,6.17,58.3,68.9,79.5,0.48,16.80
2014-07,3.50,59.6,70.4,81.3,0.43,18.42
2014-08,3.01,56.6,67.7,78.8,0.12,16.29
2014-09,1.38,51.8,63.7,75.6,0.14,15.27
2014-10,4.35,45.1,54.6,64.2,0.80,10.12
2014-11,2.44,29.0,37.9,46.8,0.78,6.73
2014-12,2.73,28.1,35.1,42.1,0.45,3.68
2015-01,1.90,17.7,25.6,33.6,0.50,3.17
2015-02,0.82,9.5,19.9,30.2,0.47,3.24
2015-03,3.00,23.6,34.7,45.8,0.70,6.63
2015-04,3.33,38.4,50.4,62.4,0.98,12.91
2015-05,2.65,52.4,64.6,76.8,0.95,18.88
2015-06,8.88,60.4,69.4,78.3,0.83,14.93
2015-07,3.04,62.0,72.1,82.3,0.68,17.51
2015-08,1.23,58.5,70.5,82.5,0.95,21.93
2015-09,3.92,55.2,66.9,78.6,0.55,18.77
2015-10,2.86,40.7,51.8,62.8,0.55,10.52
2015-11,1.51,35.7,46.7,57.7,0.81,9.23
2015-12,3.63,34.3,42.6,50.9,0.39,4.68
2016-01,3.09,16.5,26.2,35.9,0.50,3.76
2016-02,3.02,22.1,31.1,40.1,0.58,4.57
2016-03,1.29,32.5,44.5,56.4,0.79,10.53
2016-04,1.31,36.3,49.2,62.1,1.29,13.47
2016-05,4.72,48.9,58.4,67.9,0.67,13.36
2016-06,3.94,58.2,69.2,80.1,1.30,19.45
2016-07,3.39,63.5,74.7,85.9,1.13,24.18
2016-08,1.69,63.7,75.0,86.3,0.50,22.20
2016-09,3.37,55.9,68.2,80.5,0.44,20.79
2016-10,1.79,44.3,55.3,66.3,0.56,10.87
2016-11,0.86,32.3,44.1,55.9,0.69,9.08
2016-12,3.30,25.9,33.1,40.3,0.63,3.78
2017-01,3.66,26.7,33.6,40.4,0.43,3.60
2017-02,1.55,28.1,39.1,50.1,0.68,7.72
2017-03,4.41,27.4,37.3,47.3,0.56,6.65
2017-04,3.82,44.0,55.5,67.1,0.73,14.33
2017-05,6.99,49.0,58.9,68.9,0.82,13.29
2017-06,3.60,58.1,69.2,80.3,0.87,20.08
2017-07,6.97,63.2,73.5,83.7,0.35,18.84
2017-08,3.98,58.1,68.7,79.3,0.11,16.51
2017-09,1.42,52.9,64.6,76.2,0.12,16.16
