PRISM Time Series Data
Location:  Lat: 42.9726   Lon: -78.6880   Elev: 676ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-22
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.4,28.8,36.2,0.56,2.37
2000-01-02,0.00,32.6,41.2,49.7,0.94,7.90
2000-01-03,0.08,37.6,47.3,57.1,0.08,5.31
2000-01-04,0.43,33.6,46.0,58.4,0.00,4.14
2000-01-05,0.26,23.0,40.0,56.9,0.53,2.92
2000-01-06,0.00,20.8,25.1,29.5,0.64,2.08
2000-01-07,0.02,28.9,34.0,39.1,1.01,3.70
2000-01-08,0.00,23.3,29.6,35.8,0.56,2.87
2000-01-09,0.06,27.9,35.0,42.1,1.47,5.53
2000-01-10,0.20,35.3,37.4,39.5,0.25,1.95
2000-01-11,0.26,39.6,42.3,45.1,0.99,3.54
2000-01-12,0.16,30.2,35.3,40.4,0.43,2.86
2000-01-13,0.32,23.2,28.1,33.0,0.08,2.54
2000-01-14,0.02,5.7,14.9,24.2,0.21,1.10
2000-01-15,0.00,6.8,12.9,19.0,0.28,1.47
2000-01-16,0.02,17.2,28.6,40.0,0.58,3.80
2000-01-17,0.01,-0.1,18.7,37.5,0.33,2.48
2000-01-18,0.00,-0.3,3.7,7.7,0.33,0.91
2000-01-19,0.00,2.8,9.5,16.2,0.19,1.40
2000-01-20,0.26,11.0,20.0,29.0,0.04,1.85
2000-01-21,0.09,1.2,13.3,25.3,0.05,1.01
2000-01-22,0.00,-0.6,3.7,7.9,0.15,0.93
2000-01-23,0.00,1.6,8.4,15.3,0.22,1.27
2000-01-24,0.00,13.8,22.2,30.6,0.34,1.80
2000-01-25,0.00,13.4,17.3,21.2,0.46,1.74
2000-01-26,0.07,13.7,17.6,21.5,0.26,1.23
2000-01-27,0.00,2.7,10.5,18.3,0.21,1.07
2000-01-28,0.01,2.9,7.4,11.9,0.26,0.98
2000-01-29,0.00,0.9,10.0,19.0,0.13,1.80
2000-01-30,0.00,1.6,16.0,30.4,0.12,3.47
2000-01-31,0.07,24.6,30.1,35.6,0.05,3.06
2000-02-01,0.07,23.1,26.1,29.1,0.33,1.81
2000-02-02,0.01,12.3,20.7,29.2,0.45,2.18
2000-02-03,0.03,10.9,18.6,26.3,0.52,2.19
2000-02-04,0.06,22.7,25.5,28.4,0.19,1.02
2000-02-05,0.00,10.2,17.9,25.7,0.26,1.08
2000-02-06,0.05,15.3,22.5,29.7,0.07,1.90
2000-02-07,0.00,17.9,24.2,30.4,0.56,2.24
2000-02-08,0.00,2.2,17.2,32.2,0.21,2.74
2000-02-09,0.00,3.1,19.3,35.5,0.26,3.29
2000-02-10,0.00,31.4,36.6,41.8,0.72,3.99
2000-02-11,0.27,23.0,28.2,33.3,0.01,1.27
2000-02-12,0.00,9.2,16.5,23.7,0.17,1.49
2000-02-13,0.00,9.4,16.7,23.9,0.21,2.03
2000-02-14,0.26,22.5,27.3,32.1,0.08,2.52
2000-02-15,0.35,15.1,21.2,27.3,0.00,0.91
2000-02-16,0.00,20.7,29.6,38.5,0.30,2.42
2000-02-17,0.02,16.0,27.4,38.9,0.37,2.48
2000-02-18,0.00,15.2,20.5,25.8,0.76,2.44
2000-02-19,0.39,22.8,26.7,30.7,0.05,1.57
2000-02-20,0.00,21.7,25.2,28.8,0.31,1.53
2000-02-21,0.00,25.7,28.1,30.5,0.44,1.79
2000-02-22,0.00,26.6,32.6,38.6,1.01,3.72
2000-02-23,0.01,37.1,44.0,50.9,3.26,8.38
2000-02-24,0.00,40.0,47.4,54.8,1.31,7.30
2000-02-25,0.22,42.2,51.9,61.7,0.02,10.59
2000-02-26,0.04,38.6,43.1,47.6,0.02,2.58
2000-02-27,0.00,46.9,57.4,67.8,1.06,11.95
2000-02-28,0.05,34.0,48.0,62.0,0.62,8.49
2000-02-29,0.00,22.7,30.3,37.9,0.25,3.20
2000-03-01,0.00,26.1,36.7,47.2,0.43,8.15
2000-03-02,0.06,30.7,41.9,53.2,0.05,8.61
2000-03-03,0.05,26.0,29.1,32.3,0.70,2.11
2000-03-04,0.00,24.6,31.5,38.4,0.25,4.46
2000-03-05,0.00,28.3,35.2,42.1,0.45,4.93
2000-03-06,0.00,29.7,37.3,44.9,0.54,5.18
2000-03-07,0.00,32.8,40.1,47.3,1.15,6.42
2000-03-08,0.00,37.3,50.4,63.5,0.32,13.85
2000-03-09,0.00,47.4,56.5,65.6,0.86,11.67
2000-03-10,0.45,26.0,46.2,66.3,0.07,11.57
2000-03-11,0.00,24.8,26.8,28.7,0.33,1.30
2000-03-12,0.52,27.9,29.3,30.7,0.11,1.11
2000-03-13,0.04,25.8,30.2,34.5,0.61,4.28
2000-03-14,0.00,27.9,33.0,38.1,0.56,3.97
2000-03-15,0.03,33.9,39.4,44.8,0.60,4.51
2000-03-16,0.08,38.8,47.0,55.2,0.40,7.29
2000-03-17,0.44,21.6,29.3,37.0,0.11,1.60
2000-03-18,0.00,13.8,21.3,28.8,0.86,3.34
2000-03-19,0.00,17.8,26.5,35.1,1.19,4.37
2000-03-20,0.00,32.0,41.1,50.1,1.60,7.41
2000-03-21,0.00,38.8,49.6,60.3,2.41,10.22
2000-03-22,0.00,41.4,47.5,53.5,1.13,5.96
2000-03-23,0.00,38.9,46.3,53.7,0.43,5.87
2000-03-24,0.00,34.8,45.7,56.7,0.05,6.94
2000-03-25,0.00,38.8,52.3,65.9,0.47,15.30
2000-03-26,0.00,39.7,51.8,64.0,1.62,6.94
2000-03-27,0.00,35.0,41.3,47.6,1.82,6.13
2000-03-28,0.04,33.3,44.3,55.4,0.29,10.05
2000-03-29,0.19,33.4,41.5,49.6,0.05,6.89
2000-03-30,0.00,35.1,37.9,40.6,0.61,2.72
2000-03-31,0.00,28.4,36.0,43.6,0.10,4.03
2000-04-01,0.00,32.0,40.1,48.2,0.72,6.64
2000-04-02,0.02,39.0,48.6,58.3,1.70,12.52
2000-04-03,0.18,43.5,48.3,53.1,0.01,2.28
2000-04-04,0.94,45.8,53.2,60.6,0.01,3.89
2000-04-05,0.15,29.9,39.1,48.3,0.09,2.12
2000-04-06,0.02,30.2,38.4,46.7,0.87,5.03
2000-04-07,0.00,33.4,43.1,52.8,0.78,7.29
2000-04-08,0.95,37.2,43.7,50.3,0.12,7.01
2000-04-09,0.69,26.1,34.6,43.1,0.04,2.46
2000-04-10,0.06,28.1,35.6,43.2,0.37,5.20
2000-04-11,0.00,28.3,32.5,36.6,1.22,3.53
2000-04-12,0.18,28.0,31.1,34.2,0.03,2.26
2000-04-13,0.00,27.3,33.0,38.8,0.04,3.21
2000-04-14,0.00,33.1,41.8,50.6,1.03,8.83
2000-04-15,0.00,47.2,55.9,64.7,4.04,14.22
2000-04-16,0.00,48.0,59.5,71.1,0.29,11.85
2000-04-17,0.00,37.3,42.5,47.8,0.81,3.20
2000-04-18,0.05,35.6,39.2,42.7,0.21,2.61
2000-04-19,0.00,43.3,47.5,51.7,0.53,3.51
2000-04-20,0.00,46.3,52.6,58.9,0.97,6.70
2000-04-21,1.02,50.3,53.7,57.0,0.05,3.91
2000-04-22,0.20,41.0,46.6,52.2,0.01,1.34
2000-04-23,0.06,40.7,42.1,43.6,0.25,1.74
2000-04-24,0.00,36.5,45.7,54.8,0.05,7.18
2000-04-25,0.00,36.5,48.9,61.4,2.39,12.13
2000-04-26,0.00,33.6,43.7,53.8,1.62,9.68
2000-04-27,0.00,38.2,44.6,51.1,2.06,8.03
2000-04-28,0.00,34.9,44.0,53.1,0.07,6.96
2000-04-29,0.00,40.1,51.7,63.3,1.55,13.41
2000-04-30,0.00,38.4,52.9,67.3,2.40,16.47
2000-05-01,0.00,41.7,48.4,55.0,3.50,10.14
2000-05-02,0.24,44.5,53.9,63.4,0.04,12.50
2000-05-03,0.00,39.3,48.7,58.2,0.56,9.11
2000-05-04,0.00,46.2,57.8,69.4,2.01,19.31
2000-05-05,0.00,57.1,63.9,70.7,1.81,15.09
2000-05-06,0.00,57.9,63.5,69.1,0.60,9.78
2000-05-07,0.00,61.5,67.8,74.0,3.22,15.10
2000-05-08,0.00,62.7,68.2,73.7,2.19,13.64
2000-05-09,0.10,64.5,72.0,79.4,1.17,13.70
2000-05-10,0.82,60.8,71.0,81.2,0.02,16.80
2000-05-11,0.34,43.2,55.0,66.9,0.04,5.55
2000-05-12,0.17,51.5,57.5,63.5,1.35,11.02
2000-05-13,1.13,55.0,64.3,73.5,0.01,6.45
2000-05-14,0.06,48.0,58.0,67.9,0.34,9.75
2000-05-15,0.00,46.3,50.4,54.6,3.31,6.67
2000-05-16,0.00,39.1,48.7,58.3,1.19,9.30
2000-05-17,0.02,48.1,54.7,61.4,0.94,11.64
2000-05-18,0.08,56.8,65.5,74.3,1.45,18.38
2000-05-19,1.16,39.7,54.9,70.1,0.00,8.45
2000-05-20,0.15,39.1,43.7,48.3,0.00,1.87
2000-05-21,0.00,46.5,48.3,50.2,0.02,1.12
2000-05-22,0.00,46.1,51.1,56.2,0.01,4.23
2000-05-23,0.00,47.9,55.8,63.7,0.96,8.59
2000-05-24,0.30,53.1,59.5,65.9,0.02,6.61
2000-05-25,0.27,52.9,60.9,68.8,0.75,11.77
2000-05-26,0.00,46.0,53.1,60.2,1.46,6.10
2000-05-27,0.00,45.8,53.2,60.6,0.58,7.14
2000-05-28,0.00,47.5,57.2,66.8,1.31,12.86
2000-05-29,0.00,44.2,52.8,61.5,0.57,9.40
2000-05-30,0.00,52.5,61.8,71.1,2.07,14.68
2000-05-31,0.00,58.4,66.0,73.6,4.60,16.60
2000-06-01,0.00,63.5,70.6,77.8,1.77,12.69
2000-06-02,0.32,61.7,67.6,73.4,1.29,15.84
2000-06-03,0.01,48.6,61.9,75.2,1.48,12.20
2000-06-04,0.00,45.5,56.0,66.4,1.20,13.86
2000-06-05,0.00,47.9,57.6,67.4,0.86,14.58
2000-06-06,0.85,50.1,54.0,57.8,0.06,5.97
2000-06-07,0.00,47.7,52.9,58.0,0.09,5.08
2000-06-08,0.03,56.6,62.5,68.4,3.05,12.32
2000-06-09,0.00,60.1,67.4,74.7,3.38,15.80
2000-06-10,0.04,59.5,67.3,75.0,0.89,12.87
2000-06-11,0.00,69.8,75.7,81.5,6.48,18.53
2000-06-12,0.84,51.1,62.4,73.8,0.01,7.61
2000-06-13,0.15,52.1,57.0,61.8,0.09,4.77
2000-06-14,0.81,59.0,65.2,71.3,0.01,3.91
2000-06-15,0.28,65.9,76.9,88.0,1.08,23.32
2000-06-16,0.04,60.9,69.9,78.8,1.08,12.27
2000-06-17,0.41,62.2,72.3,82.5,1.05,14.99
2000-06-18,0.00,54.9,63.7,72.6,1.23,11.58
2000-06-19,0.29,47.8,52.7,57.6,0.04,4.66
2000-06-20,0.00,54.9,62.8,70.8,1.19,12.66
2000-06-21,0.25,67.1,74.5,81.9,2.40,21.73
2000-06-22,0.17,64.4,71.9,79.4,1.39,10.30
2000-06-23,0.00,56.6,66.2,75.8,1.18,14.30
2000-06-24,0.62,58.6,66.2,73.8,1.84,14.15
2000-06-25,0.07,65.6,74.3,83.0,0.30,17.38
2000-06-26,0.15,63.7,70.9,78.1,0.05,10.38
2000-06-27,0.42,60.6,70.9,81.1,0.13,16.89
2000-06-28,0.00,55.1,64.9,74.7,0.95,16.07
2000-06-29,0.01,60.5,67.2,74.0,2.13,15.74
2000-06-30,0.12,54.9,62.5,70.1,0.13,9.69
2000-07-01,0.00,57.3,64.0,70.7,2.43,11.68
2000-07-02,0.00,59.8,68.1,76.3,3.59,16.50
2000-07-03,0.11,66.0,74.0,82.1,0.89,22.25
2000-07-04,0.08,66.1,69.2,72.2,0.02,4.68
2000-07-05,0.00,55.1,65.9,76.7,0.25,11.69
2000-07-06,0.00,53.4,64.9,76.4,1.21,19.06
2000-07-07,0.00,53.7,63.7,73.6,2.22,16.42
2000-07-08,0.00,52.8,61.4,70.1,1.65,14.49
2000-07-09,0.00,57.0,65.7,74.5,2.84,17.33
2000-07-10,0.55,65.3,68.3,71.4,0.23,8.98
2000-07-11,0.00,56.6,66.9,77.2,0.81,13.25
2000-07-12,0.00,53.5,64.9,76.4,1.67,20.30
2000-07-13,0.00,59.3,69.2,79.1,3.80,22.65
2000-07-14,0.10,60.4,70.8,81.2,2.05,22.80
2000-07-15,0.39,62.3,70.0,77.7,0.08,14.06
2000-07-16,0.34,60.8,65.9,70.9,0.01,6.10
2000-07-17,0.47,61.5,67.6,73.8,0.02,8.89
2000-07-18,0.01,60.7,68.4,76.2,0.88,10.83
2000-07-19,0.00,56.8,61.8,66.8,2.66,9.74
2000-07-20,0.00,50.2,60.2,70.1,0.73,10.81
