PRISM Time Series Data
Location:  Lat: 39.5962   Lon: -79.7483   Elev: 1604ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.0,34.8,47.6,0.13,5.99
2000-01-02,0.00,22.8,36.5,50.3,0.27,4.72
2000-01-03,0.06,43.5,55.4,67.4,0.02,14.14
2000-01-04,0.13,49.4,56.7,64.0,0.05,7.83
2000-01-05,0.23,29.0,45.6,62.2,0.47,6.35
2000-01-06,0.05,18.8,25.2,31.6,0.02,2.31
2000-01-07,0.00,20.8,32.5,44.2,0.48,5.85
2000-01-08,0.00,18.4,29.4,40.4,0.15,4.81
2000-01-09,0.00,17.9,29.3,40.7,0.17,5.24
2000-01-10,0.02,33.3,39.9,46.5,0.09,4.61
2000-01-11,0.12,39.0,47.0,54.9,0.61,7.51
2000-01-12,0.08,26.6,35.9,45.2,0.53,5.97
2000-01-13,0.18,26.6,38.3,50.0,0.26,7.71
2000-01-14,0.08,16.0,32.4,48.8,0.37,3.93
2000-01-15,0.00,12.5,17.5,22.5,0.35,1.92
2000-01-16,0.00,15.7,31.3,46.8,0.67,7.60
2000-01-17,0.00,11.6,30.5,49.5,0.78,6.65
2000-01-18,0.00,10.3,16.4,22.5,0.82,2.81
2000-01-19,0.06,18.6,22.1,25.6,0.29,2.19
2000-01-20,0.22,24.3,26.8,29.2,0.09,1.76
2000-01-21,0.19,8.7,17.8,26.9,0.12,1.65
2000-01-22,0.02,-1.6,5.6,12.8,0.17,1.15
2000-01-23,0.04,-1.2,9.3,19.8,0.08,1.62
2000-01-24,0.00,20.0,26.4,32.9,0.15,1.29
2000-01-25,0.00,15.1,22.8,30.6,0.35,2.48
2000-01-26,0.00,13.6,16.9,20.2,0.22,1.00
2000-01-27,0.04,8.3,15.8,23.2,0.27,1.57
2000-01-28,0.00,-0.1,7.8,15.8,0.15,1.48
2000-01-29,0.00,-1.4,9.1,19.6,0.06,1.17
2000-01-30,0.10,0.9,18.5,36.2,0.05,4.59
2000-01-31,0.21,21.5,27.6,33.7,0.03,1.44
2000-02-01,0.06,21.3,24.0,26.7,0.48,1.53
2000-02-02,0.11,19.5,23.4,27.3,0.42,1.58
2000-02-03,0.00,16.1,22.7,29.3,0.73,2.76
2000-02-04,0.22,25.0,29.6,34.2,0.05,2.60
2000-02-05,0.19,21.4,26.5,31.6,0.39,1.32
2000-02-06,0.00,20.6,26.0,31.3,0.82,2.81
2000-02-07,0.00,20.8,27.1,33.4,0.54,3.06
2000-02-08,0.00,17.0,28.0,39.0,0.51,3.50
2000-02-09,0.00,16.5,28.3,40.1,0.33,4.68
2000-02-10,0.00,26.6,38.5,50.3,0.81,7.84
2000-02-11,0.28,29.5,41.7,53.9,0.11,9.66
2000-02-12,0.03,21.9,32.5,43.2,0.29,2.55
2000-02-13,0.00,22.0,28.9,35.7,0.84,3.79
2000-02-14,1.28,29.4,38.6,47.8,0.00,3.57
2000-02-15,0.16,27.4,38.1,48.8,0.10,2.60
2000-02-16,0.02,26.5,34.6,42.7,0.52,4.02
