PRISM Time Series Data
Location:  Lat: 41.3869   Lon: -79.0484   Elev: 1594ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,18.2,28.0,37.8,0.05,2.90
2000-01-02,0.02,19.1,34.4,49.8,0.37,8.06
2000-01-03,0.08,39.3,49.3,59.3,0.59,10.00
2000-01-04,0.89,44.8,50.4,56.1,0.04,3.52
2000-01-05,0.19,22.3,39.3,56.3,0.21,3.49
2000-01-06,0.00,18.6,23.0,27.3,0.30,1.91
2000-01-07,0.02,23.0,30.6,38.3,0.84,4.08
2000-01-08,0.00,20.4,27.5,34.6,0.44,2.96
2000-01-09,0.00,19.8,28.4,37.0,0.64,4.59
2000-01-10,0.00,30.7,37.1,43.5,0.27,4.77
2000-01-11,0.25,35.5,40.7,46.0,0.24,4.16
2000-01-12,0.07,28.1,33.4,38.7,0.63,3.82
2000-01-13,0.13,26.9,31.5,36.1,0.39,3.82
2000-01-14,0.07,5.1,16.7,28.3,0.20,1.37
2000-01-15,0.00,7.7,13.6,19.4,0.16,1.49
2000-01-16,0.00,10.0,23.7,37.4,0.39,4.19
2000-01-17,0.00,2.8,20.2,37.7,0.57,3.46
2000-01-18,0.00,-1.4,5.2,11.7,0.40,1.74
2000-01-19,0.04,3.6,12.2,20.8,0.20,2.66
2000-01-20,0.18,18.1,21.8,25.5,0.16,1.68
2000-01-21,0.13,0.0,12.7,25.3,0.12,1.39
2000-01-22,0.07,-3.7,4.2,12.1,0.13,1.26
2000-01-23,0.00,-0.6,7.7,16.1,0.17,1.42
2000-01-24,0.00,13.3,20.4,27.5,0.32,1.45
2000-01-25,0.00,1.9,13.9,26.0,0.01,2.53
2000-01-26,0.01,6.9,13.5,20.0,0.13,1.38
2000-01-27,0.00,0.4,11.2,22.1,0.22,1.66
2000-01-28,0.02,0.2,6.7,13.2,0.22,1.33
2000-01-29,0.00,-3.4,9.1,21.6,0.07,2.20
2000-01-30,0.04,-1.3,16.2,33.7,0.05,5.10
2000-01-31,0.20,18.3,24.2,30.0,0.04,1.53
2000-02-01,0.03,17.9,22.0,26.2,0.34,1.71
2000-02-02,0.05,13.5,19.1,24.8,0.43,1.57
2000-02-03,0.00,8.9,15.5,22.1,0.44,2.00
2000-02-04,0.16,19.1,24.1,29.1,0.03,1.56
2000-02-05,0.06,7.4,19.9,32.5,0.03,1.33
2000-02-06,0.01,8.8,19.1,29.4,0.00,2.53
2000-02-07,0.00,17.2,23.9,30.5,0.43,2.93
2000-02-08,0.00,-5.8,13.5,32.7,0.09,2.59
2000-02-09,0.00,-6.7,12.9,32.4,0.09,4.27
2000-02-10,0.00,17.8,32.1,46.4,0.00,6.40
2000-02-11,0.32,20.3,33.7,47.1,0.00,6.10
2000-02-12,0.00,5.3,21.5,37.7,0.01,1.65
2000-02-13,0.00,5.0,16.9,28.8,0.19,3.68
