PRISM Time Series Data
Location:  Lat: 39.6491   Lon: -77.4782   Elev: 1427ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.1,36.2,49.2,0.47,6.91
2000-01-02,0.00,25.1,37.9,50.7,0.55,7.01
2000-01-03,0.00,34.9,48.4,61.9,0.67,8.77
2000-01-04,0.00,48.6,54.7,60.7,0.37,5.11
2000-01-05,0.19,33.2,47.1,61.0,1.31,4.77
2000-01-06,0.00,19.4,28.6,37.8,0.54,4.52
2000-01-07,0.00,22.3,32.2,42.1,0.72,5.06
2000-01-08,0.00,21.2,32.9,44.5,0.86,6.35
2000-01-09,0.00,23.4,32.0,40.7,0.74,5.25
2000-01-10,0.02,30.6,36.4,42.1,0.22,4.28
2000-01-11,0.63,34.5,39.8,45.1,0.15,4.85
2000-01-12,0.02,29.1,37.3,45.5,0.84,6.39
2000-01-13,0.00,28.6,37.2,45.8,1.01,7.54
2000-01-14,0.00,14.9,30.1,45.4,1.14,4.53
2000-01-15,0.00,14.1,19.1,24.1,0.82,2.64
2000-01-16,0.00,15.8,24.9,34.0,0.57,3.69
2000-01-17,0.00,12.3,31.0,49.8,1.52,7.58
2000-01-18,0.00,10.0,15.3,20.6,1.31,2.98
2000-01-19,0.00,9.8,15.9,21.9,0.46,2.67
2000-01-20,0.22,19.9,26.4,33.0,0.17,3.57
2000-01-21,0.28,8.4,17.4,26.5,0.12,1.65
2000-01-22,0.00,4.2,10.2,16.1,0.57,1.68
2000-01-23,0.32,5.7,12.7,19.7,0.35,1.95
2000-01-24,0.00,18.0,21.8,25.6,0.44,1.33
2000-01-25,0.19,20.3,26.9,33.5,0.44,2.97
2000-01-26,0.45,16.0,19.6,23.2,0.16,1.57
2000-01-27,0.00,9.4,18.2,27.0,0.89,2.34
2000-01-28,0.00,7.5,12.9,18.3,0.88,2.10
2000-01-29,0.00,8.5,18.1,27.7,0.59,3.33
2000-01-30,0.02,8.2,19.6,31.1,0.23,3.96
2000-01-31,0.72,14.4,21.1,27.7,0.00,1.85
2000-02-01,0.00,16.1,23.8,31.4,0.44,2.97
2000-02-02,0.00,15.9,22.5,29.1,0.68,2.58
2000-02-03,0.00,11.7,20.3,29.0,0.70,3.35
2000-02-04,0.06,17.2,23.5,29.8,0.08,2.56
2000-02-05,0.03,20.8,26.8,32.9,0.19,1.96
2000-02-06,0.00,21.5,27.6,33.8,1.51,4.00
2000-02-07,0.00,22.7,28.8,34.9,1.25,4.02
2000-02-08,0.00,14.6,27.3,40.0,0.95,4.41
2000-02-09,0.00,13.2,22.8,32.4,0.57,3.93
2000-02-10,0.00,16.1,31.0,45.8,0.49,5.81
2000-02-11,0.07,26.3,37.7,49.2,0.52,6.37
2000-02-12,0.00,22.2,35.5,48.8,0.93,3.76
2000-02-13,0.00,16.3,22.8,29.3,0.53,2.98
2000-02-14,0.32,23.3,29.2,35.2,0.02,1.79
2000-02-15,0.00,28.9,38.8,48.7,0.17,4.42
2000-02-16,0.00,25.5,32.4,39.3,0.94,4.23
2000-02-17,0.00,23.1,39.5,55.8,1.43,8.34
2000-02-18,0.26,24.3,29.7,35.2,0.35,4.46
2000-02-19,1.24,27.1,33.5,39.9,0.01,0.99
2000-02-20,0.00,29.5,34.7,40.0,0.31,2.82
2000-02-21,0.00,29.8,35.4,40.9,1.99,4.84
2000-02-22,0.00,26.3,35.0,43.7,0.83,5.61
2000-02-23,0.00,28.5,40.4,52.2,1.01,8.11
2000-02-24,0.00,34.3,43.6,52.9,0.46,6.37
2000-02-25,0.00,39.1,52.4,65.6,1.66,12.93
2000-02-26,0.02,41.4,56.4,71.4,0.09,11.45
2000-02-27,0.00,39.9,42.7,45.6,0.26,2.07
2000-02-28,1.16,37.5,47.3,57.1,0.07,3.43
2000-02-29,0.00,28.7,39.5,50.2,1.60,7.45
2000-03-01,0.00,31.9,44.2,56.5,1.62,12.47
2000-03-02,0.00,36.7,45.2,53.8,1.74,8.74
2000-03-03,0.00,29.9,37.3,44.6,2.09,5.95
2000-03-04,0.00,26.6,37.7,48.8,1.56,9.22
2000-03-05,0.00,30.8,42.1,53.3,1.96,10.20
2000-03-06,0.00,31.2,45.7,60.2,1.65,14.11
2000-03-07,0.00,30.6,43.3,56.0,1.10,11.11
2000-03-08,0.00,35.2,52.0,68.9,2.38,18.03
2000-03-09,0.00,47.5,63.6,79.7,3.08,23.86
2000-03-10,0.00,45.6,59.7,73.8,2.58,18.21
2000-03-11,0.00,42.5,52.1,61.7,1.34,10.70
2000-03-12,1.25,40.0,42.7,45.4,0.05,1.85
2000-03-13,0.00,26.0,33.4,40.8,1.06,4.10
2000-03-14,0.00,27.5,36.2,44.9,1.17,6.35
2000-03-15,0.00,32.3,43.5,54.7,1.20,9.68
2000-03-16,0.00,39.9,53.3,66.8,2.72,16.52
2000-03-17,0.51,38.4,50.8,63.2,0.08,10.40
2000-03-18,0.00,18.5,28.8,39.0,1.12,4.59
2000-03-19,0.00,23.3,32.1,40.9,1.27,6.39
2000-03-20,0.00,30.1,36.5,42.9,0.18,3.25
2000-03-21,0.52,34.9,39.9,45.0,0.21,4.22
2000-03-22,2.52,35.5,37.8,40.2,0.06,1.18
2000-03-23,0.02,34.8,41.0,47.3,0.06,2.68
2000-03-24,0.00,35.7,46.4,57.0,0.21,6.67
2000-03-25,0.00,39.4,51.8,64.2,0.93,11.83
2000-03-26,0.04,44.5,57.8,71.2,1.98,14.71
2000-03-27,0.00,33.9,46.8,59.7,1.99,13.23
2000-03-28,0.36,38.4,49.3,60.1,0.38,11.08
