PRISM Time Series Data
Location:  Lat: 39.9360   Lon: -77.4488   Elev: 1493ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.4,34.2,46.9,0.26,5.54
2000-01-02,0.00,22.7,36.7,50.7,0.34,7.07
2000-01-03,0.00,34.9,47.5,60.0,0.74,7.79
2000-01-04,0.03,48.0,53.2,58.4,0.13,3.53
2000-01-05,0.20,31.7,46.3,61.0,1.02,4.62
2000-01-06,0.00,17.8,26.7,35.7,0.24,3.83
2000-01-07,0.00,20.2,30.8,41.4,0.38,4.73
2000-01-08,0.00,20.7,31.3,42.0,0.64,5.18
2000-01-09,0.00,22.1,31.1,40.2,0.60,5.12
2000-01-10,0.03,30.4,36.6,42.7,0.24,4.41
2000-01-11,0.71,34.0,40.7,47.3,0.06,5.44
2000-01-12,0.06,30.1,38.4,46.7,0.95,6.75
2000-01-13,0.01,29.8,36.4,42.9,1.22,6.22
2000-01-14,0.00,14.2,28.5,42.9,0.95,3.63
2000-01-15,0.00,13.4,18.3,23.1,0.71,2.44
2000-01-16,0.00,13.5,22.8,32.0,0.34,3.18
2000-01-17,0.00,10.2,28.5,46.8,1.31,6.42
2000-01-18,0.00,7.0,12.1,17.2,1.02,2.49
2000-01-19,0.00,7.7,14.6,21.6,0.37,2.61
2000-01-20,0.24,18.6,25.8,33.0,0.11,3.48
2000-01-21,0.26,9.6,19.3,29.0,0.16,2.05
2000-01-22,0.00,4.1,10.1,16.0,0.50,1.63
2000-01-23,0.11,4.6,11.6,18.6,0.30,1.73
2000-01-24,0.00,17.0,21.0,25.0,0.39,1.13
2000-01-25,0.20,18.7,26.1,33.4,0.37,2.96
2000-01-26,0.55,17.8,20.5,23.2,0.26,1.57
2000-01-27,0.00,8.8,18.4,28.0,0.77,2.48
2000-01-28,0.00,8.4,12.7,17.0,0.90,1.90
2000-01-29,0.00,8.1,16.7,25.3,0.55,2.98
2000-01-30,0.03,8.0,19.8,31.6,0.24,4.19
2000-01-31,0.66,13.9,21.2,28.4,0.00,1.94
2000-02-01,0.00,16.5,23.4,30.3,0.45,2.67
2000-02-02,0.00,15.6,22.4,29.2,0.66,2.50
2000-02-03,0.00,10.0,18.3,26.7,0.58,2.83
2000-02-04,0.05,16.5,22.7,28.9,0.08,2.35
2000-02-05,0.05,20.1,25.7,31.3,0.15,1.56
2000-02-06,0.00,20.1,26.5,32.8,1.31,3.70
2000-02-07,0.00,23.0,28.8,34.5,1.25,3.86
2000-02-08,0.00,10.9,24.5,38.0,0.60,3.56
2000-02-09,0.00,10.2,21.2,32.1,0.43,3.94
2000-02-10,0.00,13.6,29.0,44.4,0.34,5.33
2000-02-11,0.06,27.0,37.5,48.0,0.53,5.95
2000-02-12,0.00,20.0,33.2,46.4,0.65,3.40
2000-02-13,0.00,14.6,23.0,31.3,0.43,3.45
2000-02-14,0.52,21.1,26.6,32.0,0.03,1.38
2000-02-15,0.00,27.2,35.8,44.4,0.14,3.29
2000-02-16,0.00,24.2,30.9,37.7,0.76,3.60
2000-02-17,0.00,21.7,37.2,52.6,1.17,6.81
2000-02-18,0.27,22.6,28.5,34.3,0.34,4.25
2000-02-19,1.33,25.1,29.5,33.8,0.00,0.78
2000-02-20,0.00,28.1,32.7,37.3,0.26,2.35
2000-02-21,0.00,28.2,33.5,38.9,1.53,4.13
2000-02-22,0.00,25.6,33.6,41.6,0.73,4.84
2000-02-23,0.00,28.4,40.2,51.9,1.01,8.06
2000-02-24,0.00,32.9,42.2,51.5,0.30,5.79
2000-02-25,0.00,36.3,51.7,67.2,1.02,14.44
2000-02-26,0.02,38.4,54.3,70.1,0.01,11.20
2000-02-27,0.00,38.3,40.9,43.5,0.01,1.26
2000-02-28,0.95,37.0,45.3,53.7,0.08,1.69
2000-02-29,0.00,27.7,39.4,51.0,1.23,8.14
2000-03-01,0.00,30.2,43.2,56.2,1.30,12.40
2000-03-02,0.02,34.0,43.2,52.3,1.25,8.42
2000-03-03,0.00,30.1,35.2,40.3,2.02,4.30
2000-03-04,0.00,25.5,36.4,47.3,1.36,8.65
2000-03-05,0.00,29.4,41.6,53.7,1.64,10.43
2000-03-06,0.00,30.5,44.8,59.0,1.48,13.40
2000-03-07,0.00,28.7,41.9,55.1,0.85,10.83
2000-03-08,0.00,32.7,51.5,70.3,1.87,19.27
2000-03-09,0.00,46.0,62.6,79.2,2.53,22.84
2000-03-10,0.02,44.5,58.9,73.3,2.11,17.59
2000-03-11,0.04,38.8,48.1,57.4,0.80,8.29
2000-03-12,1.40,36.3,40.0,43.8,0.01,1.55
2000-03-13,0.00,24.3,32.4,40.4,0.66,3.93
2000-03-14,0.00,25.9,36.3,46.7,1.00,7.13
2000-03-15,0.00,29.0,42.1,55.2,0.48,9.91
2000-03-16,0.00,36.8,52.1,67.3,1.76,16.97
2000-03-17,0.56,34.4,48.3,62.3,0.03,9.30
2000-03-18,0.00,17.5,27.1,36.6,1.02,4.04
2000-03-19,0.00,22.0,31.4,40.7,1.26,6.44
2000-03-20,0.00,28.8,36.2,43.5,0.17,3.70
2000-03-21,0.39,34.4,39.7,45.0,0.23,4.47
2000-03-22,1.90,35.5,37.5,39.5,0.07,0.91
2000-03-23,0.02,34.8,41.7,48.7,0.04,3.04
2000-03-24,0.00,34.0,45.1,56.2,0.13,6.17
2000-03-25,0.00,36.6,51.1,65.6,0.51,13.06
2000-03-26,0.02,42.1,56.7,71.3,1.53,14.88
2000-03-27,0.00,30.8,44.5,58.3,1.29,12.53
2000-03-28,0.29,38.1,49.9,61.7,0.39,12.57
2000-03-29,0.23,36.6,46.4,56.2,0.65,10.07
2000-03-30,0.00,29.3,38.4,47.5,0.31,5.42
2000-03-31,0.00,26.5,40.8,55.1,0.76,9.57
2000-04-01,0.00,30.1,43.6,57.1,1.30,11.96
2000-04-02,0.10,38.3,52.0,65.7,1.90,17.13
