PRISM Time Series Data
Location:  Lat: 44.0967   Lon: -76.0823   Elev: 341ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,5.5,19.9,34.4,0.19,2.43
2000-01-02,0.00,28.7,36.6,44.6,0.48,5.38
2000-01-03,0.33,32.1,42.7,53.3,0.07,4.25
2000-01-04,0.42,31.6,39.0,46.4,0.09,2.52
2000-01-05,0.40,15.4,36.6,57.8,0.48,6.86
2000-01-06,0.00,12.7,18.5,24.3,0.50,2.45
2000-01-07,0.00,22.4,30.5,38.5,1.23,4.20
2000-01-08,0.09,22.9,29.9,36.8,0.31,2.68
2000-01-09,0.03,25.0,32.2,39.4,0.77,4.32
2000-01-10,0.01,34.6,37.6,40.7,0.35,2.13
2000-01-11,0.47,35.9,40.5,45.0,0.31,3.44
2000-01-12,0.03,27.8,35.0,42.3,0.68,3.15
2000-01-13,0.00,12.3,21.6,31.0,0.64,3.02
2000-01-14,0.00,-0.4,6.2,12.8,0.48,1.14
2000-01-15,0.00,-1.5,5.4,12.2,0.41,1.48
2000-01-16,0.00,-0.1,16.5,33.2,0.33,3.16
2000-01-17,0.04,-11.3,12.6,36.5,0.27,2.83
2000-01-18,0.00,-15.0,-6.9,1.2,0.15,0.88
2000-01-19,0.00,-8.2,-1.4,5.4,0.20,0.88
2000-01-20,0.07,-1.7,9.9,21.5,0.23,1.90
2000-01-21,0.13,-6.8,5.6,18.1,0.19,0.77
2000-01-22,0.00,-14.7,-5.7,3.4,0.16,0.90
2000-01-23,0.00,-14.0,-5.7,2.6,0.15,0.81
2000-01-24,0.03,-1.4,13.3,28.1,0.27,1.87
2000-01-25,0.01,7.9,16.7,25.4,0.23,2.41
2000-01-26,0.13,11.4,16.2,20.9,0.28,1.34
2000-01-27,0.04,-7.5,4.5,16.5,0.23,1.10
2000-01-28,0.00,-7.6,0.1,7.8,0.22,1.12
2000-01-29,0.00,-10.7,2.8,16.3,0.18,1.80
2000-01-30,0.00,-6.5,8.9,24.2,0.18,2.68
2000-01-31,0.21,6.0,21.9,37.8,0.03,5.42
2000-02-01,0.14,26.5,29.2,31.9,0.23,1.57
2000-02-02,0.07,2.3,16.1,29.9,0.29,2.02
2000-02-03,0.00,-4.7,5.3,15.3,0.18,1.50
2000-02-04,0.00,2.8,12.4,22.0,0.40,1.87
2000-02-05,0.00,-1.9,9.1,20.0,0.20,1.90
2000-02-06,0.09,8.9,19.4,29.8,0.23,1.84
2000-02-07,0.02,14.2,22.8,31.4,0.67,2.53
2000-02-08,0.01,-10.6,10.4,31.4,0.11,2.91
2000-02-09,0.00,-8.9,10.9,30.7,0.16,3.25
