PRISM Time Series Data
Location:  Lat: 38.6327   Lon: -79.8817   Elev: 3786ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.3,32.5,44.6,0.65,6.28
2000-01-02,0.00,26.0,36.2,46.4,1.06,5.48
2000-01-03,0.00,32.6,44.8,57.0,0.49,7.32
2000-01-04,0.05,41.3,49.9,58.6,0.03,6.32
2000-01-05,0.50,17.6,34.8,52.0,0.64,3.41
2000-01-06,0.04,11.8,18.9,26.0,0.05,2.02
2000-01-07,0.00,15.9,27.2,38.5,0.54,4.63
2000-01-08,0.00,15.3,25.3,35.3,0.88,4.42
2000-01-09,0.00,14.7,26.0,37.3,0.34,4.73
2000-01-10,0.13,26.6,34.9,43.2,0.01,4.12
2000-01-11,0.23,26.4,35.9,45.4,0.10,6.63
2000-01-12,0.10,17.2,27.9,38.7,0.01,5.13
2000-01-13,0.16,20.8,34.0,47.1,0.04,7.08
2000-01-14,0.23,3.2,23.2,43.2,0.24,2.65
2000-01-15,0.00,-1.4,7.6,16.7,0.18,1.52
2000-01-16,0.00,9.2,25.3,41.4,0.16,5.93
2000-01-17,0.00,6.4,23.3,40.3,1.00,4.79
2000-01-18,0.03,6.7,15.0,23.3,0.52,3.05
2000-01-19,0.13,11.6,18.2,24.7,0.17,2.25
2000-01-20,0.33,13.7,19.8,25.8,0.03,1.82
2000-01-21,0.31,-3.0,9.3,21.5,0.22,1.12
2000-01-22,0.02,-8.0,-1.3,5.5,0.11,0.59
2000-01-23,0.17,-4.1,8.7,21.4,0.07,1.98
2000-01-24,0.00,15.2,22.4,29.6,0.23,1.64
2000-01-25,0.00,8.8,18.4,28.0,0.19,2.04
2000-01-26,0.02,2.7,8.2,13.8,0.09,0.87
2000-01-27,0.10,-3.5,4.9,13.4,0.21,0.72
2000-01-28,0.03,-9.7,0.4,10.5,0.23,1.32
2000-01-29,0.00,1.9,11.5,21.2,0.58,1.98
2000-01-30,0.18,12.5,24.0,35.5,0.16,4.90
2000-01-31,0.32,10.9,20.6,30.3,0.00,2.11
2000-02-01,0.05,11.0,17.2,23.3,0.04,1.72
2000-02-02,0.18,7.4,12.5,17.6,0.03,1.00
2000-02-03,0.00,3.8,13.6,23.4,0.09,1.77
2000-02-04,0.18,9.4,19.8,30.2,0.07,2.86
2000-02-05,0.22,11.2,16.1,21.1,0.09,0.55
2000-02-06,0.00,13.4,18.8,24.1,0.50,1.88
2000-02-07,0.00,13.8,21.7,29.5,0.11,2.69
2000-02-08,0.00,13.7,24.5,35.3,0.34,3.20
2000-02-09,0.00,12.7,25.7,38.6,0.42,4.71
2000-02-10,0.00,16.7,31.0,45.4,0.51,6.46
2000-02-11,0.04,22.9,34.8,46.8,0.41,6.97
2000-02-12,0.04,20.2,30.3,40.4,0.08,0.60
2000-02-13,0.05,21.4,28.4,35.4,0.25,3.09
2000-02-14,0.66,25.3,34.2,43.0,0.01,2.96
2000-02-15,0.19,17.3,28.6,40.0,0.01,0.55
2000-02-16,0.03,19.5,30.7,41.9,0.08,5.02
2000-02-17,0.00,16.0,30.1,44.1,0.31,4.05
2000-02-18,0.35,17.6,28.4,39.2,0.29,5.24
2000-02-19,2.17,28.7,38.1,47.4,0.03,1.16
2000-02-20,0.07,18.1,27.7,37.2,0.04,1.99
2000-02-21,0.04,18.7,22.6,26.6,0.12,1.67
2000-02-22,0.00,17.6,26.9,36.2,0.12,3.45
2000-02-23,0.00,24.7,36.5,48.3,0.05,6.28
2000-02-24,0.00,30.8,41.7,52.5,0.00,6.69
2000-02-25,0.00,32.0,45.9,59.9,0.01,10.56
2000-02-26,0.00,33.5,47.3,61.1,0.00,8.37
2000-02-27,0.00,34.6,49.4,64.1,0.09,12.91
2000-02-28,0.58,26.7,38.7,50.7,0.08,2.98
2000-02-29,0.00,20.3,30.9,41.6,0.55,5.71
2000-03-01,0.00,25.0,41.1,57.3,1.07,13.06
2000-03-02,0.04,27.9,39.8,51.7,1.48,7.27
2000-03-03,0.00,20.0,27.0,34.1,0.55,3.23
2000-03-04,0.00,16.1,29.1,42.2,0.06,6.16
2000-03-05,0.00,17.1,33.1,49.0,0.65,9.67
2000-03-06,0.00,22.2,36.3,50.4,0.58,7.42
2000-03-07,0.00,27.2,41.2,55.1,0.95,10.02
2000-03-08,0.00,32.8,48.8,64.8,1.77,15.26
2000-03-09,0.00,37.9,53.7,69.6,1.64,17.06
2000-03-10,0.07,37.0,48.5,60.0,1.59,8.73
2000-03-11,0.47,34.6,47.0,59.5,0.32,10.36
2000-03-12,0.92,24.5,36.8,49.1,0.04,3.45
2000-03-13,0.10,10.9,17.7,24.6,0.00,1.67
2000-03-14,0.00,12.1,23.9,35.7,0.00,3.77
2000-03-15,0.00,23.0,33.8,44.6,0.41,5.88
2000-03-16,0.01,29.7,43.4,57.2,0.30,11.09
2000-03-17,0.47,29.5,41.5,53.5,0.01,4.24
2000-03-18,0.05,10.0,19.9,29.8,0.11,2.73
2000-03-19,0.00,17.3,28.3,39.3,0.69,6.09
2000-03-20,0.00,27.9,37.3,46.6,0.04,5.17
2000-03-21,0.65,29.2,34.6,40.1,0.00,1.95
2000-03-22,0.16,29.3,34.7,40.2,0.00,1.92
2000-03-23,0.00,31.4,38.2,45.0,0.23,3.23
2000-03-24,0.00,29.9,44.0,58.0,0.03,8.46
2000-03-25,0.00,34.7,49.8,64.8,0.64,12.62
2000-03-26,0.06,35.1,48.9,62.6,1.50,9.81
2000-03-27,0.00,26.7,38.8,50.9,1.29,9.14
2000-03-28,0.15,24.5,36.3,48.0,0.12,5.67
2000-03-29,0.46,23.8,30.3,36.7,0.00,1.69
2000-03-30,0.00,21.0,31.5,42.0,0.00,4.53
2000-03-31,0.00,21.9,35.8,49.6,0.87,7.64
2000-04-01,0.00,22.7,37.9,53.1,1.11,10.73
2000-04-02,0.00,25.9,45.6,65.4,3.46,16.60
2000-04-03,0.21,43.9,48.1,52.3,0.00,2.34
2000-04-04,0.84,42.7,53.9,65.2,0.06,8.25
2000-04-05,0.30,19.5,31.1,42.8,0.21,3.54
2000-04-06,0.00,23.7,34.5,45.2,0.78,5.42
2000-04-07,0.00,34.7,48.6,62.6,1.43,14.21
2000-04-08,0.00,37.7,54.0,70.4,2.58,19.29
2000-04-09,0.59,17.7,35.1,52.4,0.15,4.98
2000-04-10,0.15,18.9,26.3,33.8,0.00,3.31
2000-04-11,0.00,31.6,41.4,51.3,0.96,8.58
2000-04-12,0.19,33.5,44.9,56.4,0.38,9.97
2000-04-13,0.02,24.2,31.2,38.3,0.65,3.87
2000-04-14,0.00,26.0,36.3,46.7,0.06,6.84
2000-04-15,0.00,39.9,46.7,53.5,0.40,5.34
2000-04-16,0.01,45.8,52.9,60.0,0.28,5.10
2000-04-17,0.39,44.9,55.5,66.1,0.00,11.65
2000-04-18,1.11,40.4,50.9,61.3,0.03,4.93
2000-04-19,0.07,38.3,43.2,48.0,0.04,2.90
2000-04-20,0.00,37.0,47.7,58.3,0.16,7.30
2000-04-21,0.23,41.7,55.7,69.7,0.02,13.47
2000-04-22,0.22,31.4,42.7,54.1,0.01,4.99
2000-04-23,0.16,33.0,37.2,41.5,0.08,1.79
2000-04-24,0.02,30.0,36.6,43.1,0.02,2.95
2000-04-25,0.32,32.3,40.9,49.5,0.01,7.02
2000-04-26,0.02,30.7,39.7,48.7,1.10,5.77
2000-04-27,0.00,25.0,39.3,53.6,0.41,9.76
2000-04-28,0.00,30.7,40.6,50.6,0.32,8.08
2000-04-29,0.00,31.1,43.9,56.7,0.31,9.09
2000-04-30,0.00,29.6,42.5,55.5,1.10,10.22
2000-05-01,0.00,33.4,45.7,58.1,2.17,11.83
2000-05-02,0.71,38.8,53.8,68.7,0.75,18.66
2000-05-03,0.00,36.1,47.9,59.6,0.63,10.31
2000-05-04,0.00,43.1,56.7,70.3,1.17,16.50
2000-05-05,0.03,49.4,60.0,70.6,0.92,12.42
2000-05-06,0.00,49.1,60.1,71.2,0.48,11.85
2000-05-07,0.00,49.0,60.6,72.1,0.43,12.18
2000-05-08,0.05,50.5,61.6,72.6,1.21,13.32
2000-05-09,0.00,52.0,63.0,74.1,0.77,16.01
2000-05-10,0.00,54.0,65.3,76.6,1.95,16.70
2000-05-11,0.00,37.8,53.6,69.4,1.73,12.57
2000-05-12,0.00,42.1,58.1,74.2,1.89,22.94
2000-05-13,0.00,56.8,66.5,76.2,1.35,15.20
2000-05-14,0.25,40.6,58.1,75.7,2.37,18.79
2000-05-15,0.00,31.1,44.1,57.1,2.09,10.43
