PRISM Time Series Data
Location:  Lat: 35.3212   Lon: -83.9813   Elev: 4068ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,30.6,43.1,55.6,0.02,6.57
2000-01-02,0.00,37.8,48.5,59.1,0.39,5.81
2000-01-03,0.00,45.4,52.6,59.7,0.00,4.48
2000-01-04,0.42,50.5,55.7,60.8,0.26,4.40
2000-01-05,0.04,22.4,33.4,44.4,0.26,2.12
2000-01-06,0.00,19.6,31.0,42.4,0.22,5.79
2000-01-07,0.00,20.6,32.6,44.7,0.43,5.86
2000-01-08,0.00,22.2,35.3,48.3,0.70,7.60
2000-01-09,1.23,25.8,36.0,46.2,0.00,5.46
2000-01-10,2.21,39.4,44.7,50.0,0.27,2.56
2000-01-11,0.00,35.0,41.4,47.8,0.73,6.45
2000-01-12,0.00,28.1,40.3,52.4,1.03,9.83
2000-01-13,0.16,30.7,46.2,61.6,0.55,11.51
2000-01-14,0.00,20.4,34.3,48.3,0.48,7.42
2000-01-15,0.00,13.7,24.1,34.6,0.04,4.23
2000-01-16,0.18,18.7,33.5,48.3,0.00,7.81
2000-01-17,0.22,31.1,37.5,44.0,0.29,2.56
2000-01-18,1.09,30.4,37.4,44.4,0.09,5.81
2000-01-19,0.29,25.4,34.6,43.8,0.23,2.94
2000-01-20,0.85,26.6,34.3,42.1,0.10,4.66
2000-01-21,0.00,9.4,20.4,31.5,0.40,2.40
2000-01-22,0.00,9.5,19.3,29.2,0.39,3.75
2000-01-23,0.92,21.4,26.4,31.4,0.02,1.89
2000-01-24,1.09,25.3,29.8,34.2,0.04,1.34
2000-01-25,0.00,13.1,21.4,29.8,0.14,1.59
2000-01-26,0.64,10.3,16.7,23.0,0.27,2.06
2000-01-27,0.02,3.0,11.6,20.1,0.23,1.66
2000-01-28,0.00,5.3,17.6,30.0,0.30,3.96
2000-01-29,0.03,19.0,28.7,38.3,0.83,5.68
2000-01-30,0.92,27.8,32.9,37.9,0.04,3.50
2000-01-31,0.07,18.3,26.0,33.6,0.18,1.95
2000-02-01,0.00,14.2,20.2,26.2,0.04,1.62
2000-02-02,0.00,13.2,22.5,31.7,0.25,2.75
2000-02-03,0.00,13.8,26.9,40.0,0.18,5.81
2000-02-04,0.00,15.3,30.4,45.5,0.13,6.63
2000-02-05,0.00,20.3,24.6,28.9,0.46,2.44
2000-02-06,0.00,15.8,25.2,34.6,0.44,4.20
2000-02-07,0.00,18.2,31.9,45.7,0.44,7.33
2000-02-08,0.00,23.5,35.3,47.0,0.26,6.32
2000-02-09,0.00,21.8,34.6,47.5,0.12,6.57
2000-02-10,0.00,24.6,37.9,51.2,0.41,7.67
2000-02-11,0.06,27.1,42.4,57.6,0.32,10.28
2000-02-12,0.70,39.4,47.4,55.4,0.06,4.52
2000-02-13,0.33,38.5,44.5,50.4,1.36,3.67
2000-02-14,0.91,39.3,45.6,51.8,0.14,2.78
2000-02-15,0.00,27.3,37.8,48.4,0.32,3.91
2000-02-16,0.00,30.0,42.8,55.7,0.52,9.40
2000-02-17,0.00,31.8,45.7,59.6,1.14,8.74
2000-02-18,0.38,32.1,44.6,57.2,0.00,9.04
2000-02-19,0.37,43.0,50.7,58.4,0.06,2.97
2000-02-20,0.00,26.4,36.7,47.1,0.61,4.47
2000-02-21,0.00,21.4,32.0,42.6,0.61,5.24
2000-02-22,0.00,22.7,36.3,50.0,0.01,7.91
2000-02-23,0.00,32.6,42.4,52.2,0.00,5.74
2000-02-24,0.00,33.5,46.9,60.3,0.30,11.39
2000-02-25,0.00,37.4,49.1,60.8,0.11,7.63
2000-02-26,0.00,44.5,55.3,66.0,2.29,12.53
2000-02-27,0.30,48.3,57.0,65.6,1.91,11.77
2000-02-28,0.27,32.2,41.9,51.6,0.39,3.35
2000-02-29,0.00,28.0,40.5,53.0,0.19,9.02
2000-03-01,0.00,30.3,46.9,63.5,0.82,13.93
2000-03-02,0.05,33.3,48.0,62.7,1.10,10.52
2000-03-03,0.00,29.6,42.8,55.9,1.00,10.73
2000-03-04,0.32,34.6,45.5,56.5,0.03,9.31
2000-03-05,0.04,27.3,40.8,54.4,0.00,7.29
2000-03-06,0.00,29.0,45.1,61.1,0.22,12.49
2000-03-07,0.00,33.9,49.9,65.8,0.66,14.86
2000-03-08,0.00,39.6,55.1,70.6,1.70,18.24
2000-03-09,0.00,41.5,57.0,72.6,0.99,18.01
2000-03-10,0.15,43.2,54.4,65.6,0.22,8.30
2000-03-11,1.23,44.6,55.0,65.5,0.00,8.81
2000-03-12,0.94,33.6,42.8,51.9,0.37,2.31
2000-03-13,0.00,23.2,31.2,39.2,0.83,4.52
2000-03-14,0.00,23.7,35.9,48.1,0.33,7.49
2000-03-15,0.00,23.9,39.9,55.9,0.01,10.24
2000-03-16,0.00,43.4,52.2,61.1,1.13,9.88
2000-03-17,1.88,43.7,50.9,58.2,0.01,3.35
2000-03-18,0.00,34.2,41.9,49.7,1.71,7.02
2000-03-19,0.00,29.4,43.0,56.6,0.33,9.84
2000-03-20,0.90,40.4,47.7,54.9,0.01,5.52
2000-03-21,0.00,37.4,47.3,57.1,0.31,7.78
2000-03-22,0.00,34.7,47.8,61.0,0.08,10.26
2000-03-23,0.00,35.4,48.9,62.5,0.55,11.42
2000-03-24,0.00,40.2,51.7,63.2,1.17,10.77
2000-03-25,0.00,40.9,54.3,67.7,0.68,13.40
2000-03-26,0.09,40.2,53.4,66.5,0.05,10.78
2000-03-27,0.01,38.2,48.5,58.9,1.21,11.33
2000-03-28,0.42,28.8,40.4,52.0,0.01,4.92
2000-03-29,0.00,25.6,40.0,54.4,0.56,10.72
2000-03-30,0.17,29.9,39.9,49.8,0.00,6.61
2000-03-31,0.04,36.3,46.1,55.9,0.12,5.22
2000-04-01,0.00,36.8,50.0,63.1,0.45,11.03
2000-04-02,0.91,43.8,55.9,68.0,0.53,13.48
2000-04-03,2.01,49.1,55.6,62.1,0.00,2.53
2000-04-04,2.08,38.2,49.6,60.9,0.01,3.54
2000-04-05,0.18,21.7,31.5,41.4,0.17,4.58
2000-04-06,0.00,26.7,41.8,56.9,0.99,10.69
2000-04-07,0.00,40.9,55.7,70.5,1.00,14.81
2000-04-08,0.15,42.2,57.1,71.9,0.97,16.82
2000-04-09,0.51,19.3,33.4,47.6,0.19,3.39
2000-04-10,0.00,22.5,37.2,52.0,0.14,9.04
2000-04-11,0.00,31.8,48.2,64.7,0.59,14.98
2000-04-12,0.28,42.4,53.0,63.6,0.31,11.74
2000-04-13,0.33,43.7,52.5,61.3,0.58,9.82
2000-04-14,0.32,43.1,46.9,50.8,0.05,1.71
2000-04-15,0.00,41.8,51.8,61.8,0.02,6.59
2000-04-16,0.11,41.9,51.9,61.8,0.02,5.50
