PRISM Time Series Data
Location:  Lat: 42.6318   Lon: -77.3644   Elev: 1194ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.1,28.1,36.0,0.41,2.71
2000-01-02,0.04,24.5,37.0,49.5,0.44,7.45
2000-01-03,0.11,37.9,48.5,59.2,0.30,7.34
2000-01-04,0.45,36.2,46.6,57.0,0.02,3.40
2000-01-05,0.16,21.3,40.2,59.1,0.51,4.40
2000-01-06,0.00,17.0,22.0,26.9,0.44,2.09
2000-01-07,0.00,23.7,30.4,37.1,0.99,3.64
2000-01-08,0.00,20.0,28.0,35.9,0.45,3.02
2000-01-09,0.00,20.3,30.4,40.4,0.67,5.18
2000-01-10,0.06,28.1,34.4,40.7,0.02,2.79
2000-01-11,0.17,33.5,38.4,43.3,0.01,3.63
2000-01-12,0.13,29.7,34.9,40.0,0.37,3.15
2000-01-13,0.32,22.0,28.3,34.6,0.15,3.09
2000-01-14,0.12,2.5,11.9,21.2,0.22,1.07
2000-01-15,0.00,0.8,8.4,16.0,0.10,1.35
2000-01-16,0.00,7.9,21.1,34.3,0.34,3.06
2000-01-17,0.02,-2.3,17.0,36.2,0.26,2.86
2000-01-18,0.00,-6.9,-0.3,6.3,0.16,0.99
2000-01-19,0.00,-3.4,5.0,13.3,0.17,1.28
2000-01-20,0.14,6.6,16.1,25.7,0.14,1.81
2000-01-21,0.17,-2.5,11.6,25.8,0.15,1.14
2000-01-22,0.00,-7.6,-0.4,6.8,0.06,0.94
2000-01-23,0.00,-5.8,4.4,14.5,0.18,1.48
2000-01-24,0.00,11.0,19.5,28.0,0.42,1.73
2000-01-25,0.00,-0.5,12.0,24.5,0.08,2.14
2000-01-26,0.13,10.0,15.2,20.4,0.19,1.07
2000-01-27,0.05,-0.4,8.8,18.0,0.22,0.96
2000-01-28,0.03,-0.6,4.6,9.7,0.24,0.93
2000-01-29,0.00,-4.3,5.5,15.4,0.13,1.72
2000-01-30,0.00,0.0,15.7,31.4,0.17,4.22
2000-01-31,0.24,14.9,24.6,34.3,0.05,3.77
2000-02-01,0.00,20.7,24.4,28.2,0.26,1.95
2000-02-02,0.05,12.0,20.2,28.4,0.37,1.94
2000-02-03,0.00,8.2,14.5,20.9,0.41,1.92
2000-02-04,0.03,15.7,20.9,26.1,0.16,1.33
2000-02-05,0.01,7.5,18.1,28.7,0.14,1.40
2000-02-06,0.01,8.8,19.2,29.7,0.09,2.51
2000-02-07,0.00,14.8,23.4,32.1,0.53,3.51
2000-02-08,0.00,-4.2,13.9,31.9,0.17,2.69
2000-02-09,0.00,-2.6,15.8,34.1,0.21,3.61
2000-02-10,0.00,25.1,36.0,46.9,0.44,6.15
2000-02-11,0.05,25.0,33.3,41.6,0.14,3.71
2000-02-12,0.00,6.6,17.5,28.3,0.17,1.68
2000-02-13,0.00,7.3,16.5,25.7,0.32,3.01
2000-02-14,0.28,19.0,25.3,31.7,0.09,2.12
2000-02-15,0.18,19.7,25.8,31.8,0.09,1.11
2000-02-16,0.02,20.0,27.0,34.0,0.39,2.27
2000-02-17,0.02,15.4,27.2,39.0,0.53,2.61
2000-02-18,0.03,12.9,19.7,26.5,0.47,2.91
2000-02-19,0.34,21.2,24.5,27.7,0.05,1.20
2000-02-20,0.00,21.3,24.0,26.7,0.27,1.09
2000-02-21,0.10,21.7,25.9,30.1,0.39,1.92
2000-02-22,0.00,25.5,33.0,40.5,1.00,4.11
2000-02-23,0.00,32.8,42.3,51.8,2.12,8.64
2000-02-24,0.03,33.6,44.3,55.0,0.22,7.46
2000-02-25,0.25,36.0,46.7,57.4,0.09,8.47
2000-02-26,0.00,37.0,44.3,51.7,0.08,3.19
2000-02-27,0.00,39.5,47.4,55.2,0.36,5.85
2000-02-28,0.37,34.4,46.3,58.2,0.25,6.54
2000-02-29,0.00,25.2,31.4,37.7,0.47,3.16
2000-03-01,0.02,26.8,37.0,47.3,0.66,7.25
2000-03-02,0.05,30.9,41.5,52.1,0.52,8.72
2000-03-03,0.07,23.4,27.1,30.7,0.46,1.55
2000-03-04,0.00,21.3,28.9,36.4,0.38,4.76
2000-03-05,0.00,28.2,37.3,46.4,0.91,6.95
2000-03-06,0.00,28.7,36.3,43.8,0.88,4.83
2000-03-07,0.00,26.0,36.7,47.4,0.45,6.72
2000-03-08,0.00,33.0,48.0,63.1,0.44,13.39
2000-03-09,0.01,44.6,58.8,72.9,0.64,14.76
2000-03-10,0.13,25.5,48.8,72.1,0.24,16.28
2000-03-11,0.08,24.7,26.3,27.9,0.27,1.08
2000-03-12,0.26,27.0,29.0,30.9,0.01,0.63
2000-03-13,0.04,18.0,24.9,31.8,0.23,2.91
2000-03-14,0.00,22.3,29.5,36.7,0.56,3.43
2000-03-15,0.00,29.0,38.1,47.2,0.27,5.23
2000-03-16,0.12,36.8,47.6,58.5,0.95,10.49
2000-03-17,0.41,21.6,32.6,43.6,0.03,0.93
2000-03-18,0.00,3.2,15.4,27.6,0.28,2.98
2000-03-19,0.00,11.4,22.7,34.1,0.79,4.32
2000-03-20,0.00,23.9,33.9,44.0,0.97,5.03
