PRISM Time Series Data
Location:  Lat: 40.6256   Lon: -74.8097   Elev: 318ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.5,31.2,38.9,0.03,2.52
2000-01-02,0.00,27.1,35.7,44.2,0.04,2.31
2000-01-03,0.00,33.5,45.6,57.7,0.15,5.47
2000-01-04,0.00,46.3,53.4,60.4,0.01,4.44
2000-01-05,0.63,35.3,49.8,64.3,0.55,5.80
2000-01-06,0.00,17.0,27.3,37.5,0.32,4.49
2000-01-07,0.00,18.0,30.1,42.1,0.17,5.00
2000-01-08,0.00,21.0,34.0,46.9,0.20,6.29
2000-01-09,0.00,22.9,30.7,38.4,0.90,4.48
2000-01-10,0.00,33.3,41.4,49.5,0.42,6.15
2000-01-11,0.77,37.1,46.1,55.0,0.00,4.37
2000-01-12,0.00,35.3,42.3,49.3,1.92,6.92
2000-01-13,0.00,28.7,36.7,44.7,1.11,6.72
2000-01-14,0.02,12.0,22.9,33.7,0.35,1.98
2000-01-15,0.00,9.9,15.5,21.2,0.71,2.36
2000-01-16,0.00,13.7,21.3,29.0,0.90,2.54
2000-01-17,0.00,7.3,26.3,45.4,1.10,5.87
2000-01-18,0.00,2.9,10.0,17.1,0.71,2.42
2000-01-19,0.00,4.6,12.1,19.5,0.83,2.48
2000-01-20,0.00,14.3,22.1,29.9,0.60,3.46
2000-01-21,0.19,9.7,18.1,26.4,0.17,1.54
2000-01-22,0.00,4.5,10.8,17.0,0.73,2.14
2000-01-23,0.00,6.2,13.0,19.7,0.50,2.33
2000-01-24,0.00,16.0,21.4,26.9,0.59,1.71
2000-01-25,0.23,23.4,30.9,38.5,0.50,4.12
2000-01-26,0.79,21.4,25.7,30.0,0.20,1.74
2000-01-27,0.00,12.8,21.9,31.0,1.02,2.89
2000-01-28,0.00,5.2,11.5,17.8,0.81,1.93
2000-01-29,0.00,6.1,13.7,21.3,0.88,2.58
2000-01-30,0.00,0.8,18.2,35.6,0.15,5.69
2000-01-31,0.78,6.3,20.7,35.0,0.02,4.35
2000-02-01,0.00,19.3,26.4,33.5,0.33,2.82
2000-02-02,0.00,18.4,26.5,34.6,0.74,3.36
2000-02-03,0.00,9.9,19.7,29.5,0.55,3.65
2000-02-04,0.11,13.4,22.1,30.9,0.09,2.55
2000-02-05,0.01,21.1,27.5,34.0,0.00,1.83
2000-02-06,0.00,22.7,28.6,34.4,1.05,4.07
2000-02-07,0.00,21.3,28.9,36.5,0.76,4.78
2000-02-08,0.00,12.7,27.2,41.7,1.16,4.99
2000-02-09,0.00,6.4,19.2,32.0,0.14,4.45
2000-02-10,0.00,7.7,26.1,44.6,0.00,5.15
2000-02-11,0.02,24.3,37.2,50.1,0.17,7.07
2000-02-12,0.02,20.0,33.9,47.7,0.32,4.21
2000-02-13,0.00,9.7,20.7,31.6,0.18,4.05
2000-02-14,0.64,10.2,23.4,36.6,0.06,3.29
2000-02-15,0.23,30.9,38.6,46.2,0.39,3.63
2000-02-16,0.00,21.1,30.0,38.9,0.44,4.98
2000-02-17,0.00,24.5,37.5,50.5,1.72,5.88
2000-02-18,0.00,21.8,27.6,33.4,0.86,4.13
2000-02-19,0.99,25.5,29.0,32.5,0.03,1.83
2000-02-20,0.00,27.0,30.1,33.2,0.05,1.16
2000-02-21,0.00,20.1,28.8,37.5,0.31,3.44
2000-02-22,0.00,21.0,31.0,41.0,0.15,4.91
2000-02-23,0.00,23.4,37.4,51.4,0.22,7.86
2000-02-24,0.00,31.8,42.6,53.3,0.69,7.36
2000-02-25,0.00,32.8,47.8,62.8,0.09,11.62
2000-02-26,0.01,36.0,44.4,52.8,0.04,2.98
2000-02-27,0.02,37.1,40.1,43.1,0.00,1.35
