PRISM Time Series Data
Location:  Lat: 39.1788   Lon: -79.3596   Elev: 3399ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.6,31.8,43.0,0.24,5.16
2000-01-02,0.00,22.9,36.0,49.1,0.45,5.92
2000-01-03,0.00,31.8,45.3,58.9,0.09,7.50
2000-01-04,0.11,46.3,52.8,59.2,0.01,5.29
2000-01-05,0.35,22.6,38.2,53.8,0.60,3.01
2000-01-06,0.06,8.2,17.5,26.8,0.00,1.79
2000-01-07,0.00,11.4,25.4,39.4,0.00,4.42
2000-01-08,0.00,14.2,24.4,34.6,0.27,3.66
2000-01-09,0.00,14.3,26.0,37.7,0.18,4.54
2000-01-10,0.04,26.8,33.4,40.0,0.00,3.55
2000-01-11,0.18,30.8,38.9,47.0,0.02,6.12
2000-01-12,0.22,22.6,30.0,37.3,0.10,3.96
2000-01-13,0.34,24.0,34.9,45.8,0.06,6.68
2000-01-14,0.18,7.3,24.2,41.1,0.10,1.93
2000-01-15,0.00,2.1,8.0,14.0,0.14,0.90
2000-01-16,0.00,7.1,23.8,40.6,0.00,5.43
2000-01-17,0.00,6.2,23.4,40.5,0.77,4.32
2000-01-18,0.00,5.8,13.1,20.5,0.58,2.60
2000-01-19,0.11,14.4,18.3,22.3,0.35,2.08
2000-01-20,0.30,17.6,20.4,23.2,0.08,0.99
2000-01-21,0.34,2.8,11.4,19.9,0.17,0.70
2000-01-22,0.06,-5.5,0.4,6.2,0.05,0.62
2000-01-23,0.06,-4.7,6.8,18.3,0.08,1.58
2000-01-24,0.00,16.4,23.0,29.6,0.25,1.47
2000-01-25,0.00,12.8,19.8,26.9,0.25,1.86
2000-01-26,0.02,7.6,11.2,14.8,0.10,0.60
2000-01-27,0.10,1.5,8.1,14.8,0.23,0.58
2000-01-28,0.01,-6.0,1.4,8.8,0.13,1.09
2000-01-29,0.00,-8.1,4.1,16.3,0.00,0.93
2000-01-30,0.09,-5.6,13.8,33.1,0.00,4.17
2000-01-31,0.20,15.6,22.3,29.0,0.00,1.40
2000-02-01,0.05,15.4,18.1,20.8,0.11,0.84
2000-02-02,0.18,12.0,15.4,18.9,0.02,0.59
2000-02-03,0.00,10.3,19.5,28.8,0.35,2.84
2000-02-04,0.17,21.8,27.1,32.4,0.00,2.57
2000-02-05,0.18,15.0,18.5,21.9,0.00,0.09
2000-02-06,0.00,15.4,21.1,26.8,0.43,1.92
2000-02-07,0.00,16.8,24.8,32.7,0.16,3.12
2000-02-08,0.00,11.6,23.1,34.6,0.12,2.29
2000-02-09,0.00,10.3,22.8,35.3,0.02,3.59
2000-02-10,0.00,24.7,35.3,45.9,0.80,5.82
2000-02-11,0.07,31.0,40.8,50.6,0.03,7.70
2000-02-12,0.05,19.6,29.9,40.2,0.00,0.06
2000-02-13,0.00,17.2,23.8,30.3,0.00,2.09
2000-02-14,0.84,22.5,32.9,43.2,0.00,3.01
2000-02-15,0.24,21.3,31.9,42.5,0.00,0.60
2000-02-16,0.01,19.9,31.8,43.7,0.00,4.88
2000-02-17,0.00,17.6,32.6,47.6,0.00,4.49
2000-02-18,0.33,18.4,27.3,36.1,0.24,4.08
2000-02-19,2.77,30.4,40.4,50.5,0.03,3.15
2000-02-20,0.06,21.5,29.0,36.5,0.00,1.63
2000-02-21,0.03,22.4,24.8,27.2,0.02,1.10
2000-02-22,0.00,18.2,28.1,38.1,0.00,3.41
2000-02-23,0.00,27.0,39.2,51.4,0.27,7.11
2000-02-24,0.00,33.1,44.3,55.5,0.00,7.01
2000-02-25,0.00,35.4,48.7,62.0,0.40,10.64
2000-02-26,0.00,32.1,47.5,62.9,0.00,7.44
2000-02-27,0.00,32.2,48.3,64.5,0.00,11.07
