PRISM Time Series Data
Location:  Lat: 39.0956   Lon: -79.4393   Elev: 3369ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.9,32.6,42.2,0.47,4.93
2000-01-02,0.00,27.7,38.0,48.3,0.85,5.52
2000-01-03,0.00,33.6,45.6,57.6,0.25,6.92
2000-01-04,0.07,51.1,55.2,59.3,0.99,5.60
2000-01-05,0.46,21.6,38.0,54.4,0.60,3.47
2000-01-06,0.04,8.2,16.7,25.2,0.00,1.49
2000-01-07,0.00,15.7,26.7,37.7,0.27,3.92
2000-01-08,0.04,13.3,23.7,34.2,0.21,3.58
2000-01-09,0.00,14.8,25.9,36.9,0.22,4.32
2000-01-10,0.05,26.4,33.5,40.5,0.00,3.47
2000-01-11,0.21,33.4,40.5,47.7,0.40,6.52
2000-01-12,0.42,22.1,30.0,37.8,0.06,4.20
2000-01-13,0.32,23.4,34.5,45.6,0.04,6.55
2000-01-14,0.28,6.8,25.0,43.3,0.06,2.59
2000-01-15,0.00,2.2,7.6,13.1,0.13,0.78
2000-01-16,0.00,9.0,24.7,40.5,0.00,5.31
2000-01-17,0.00,4.9,23.2,41.6,0.64,4.60
2000-01-18,0.00,4.9,12.3,19.7,0.47,2.41
2000-01-19,0.14,15.2,19.9,24.7,0.35,2.36
2000-01-20,0.35,17.5,20.6,23.7,0.07,1.06
2000-01-21,0.46,2.5,12.2,22.0,0.17,1.01
2000-01-22,0.09,-3.9,0.7,5.3,0.15,0.54
2000-01-23,0.06,-3.7,7.9,19.5,0.07,1.65
2000-01-24,0.00,19.1,24.3,29.6,0.35,1.34
2000-01-25,0.00,10.9,18.6,26.3,0.16,1.72
2000-01-26,0.04,6.7,10.1,13.6,0.10,0.50
2000-01-27,0.14,0.0,7.3,14.7,0.17,0.57
2000-01-28,0.03,-11.9,-2.2,7.6,0.00,0.96
