PRISM Time Series Data
Location:  Lat: 40.6088   Lon: -75.1949   Elev: 338ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.24,18.1,27.6,37.0,0.47,3.83
2000-02,2.24,22.6,32.2,41.8,0.40,4.45
2000-03,4.57,32.3,44.4,56.5,0.52,9.75
2000-04,3.94,39.0,49.7,60.3,0.74,9.90
2000-05,5.02,50.3,61.5,72.8,0.63,15.04
2000-06,4.52,58.9,69.0,79.2,0.55,16.07
2000-07,3.90,59.9,70.2,80.5,0.67,18.30
2000-08,5.67,60.3,69.8,79.2,0.41,14.79
2000-09,3.95,52.5,63.3,74.1,0.33,13.07
2000-10,1.83,41.7,54.2,66.7,0.38,11.96
2000-11,2.27,32.0,42.1,52.2,0.70,7.57
2000-12,5.04,17.6,27.0,36.3,0.44,3.63
2001-01,2.85,18.6,27.9,37.2,0.26,3.46
2001-02,3.00,23.7,32.6,41.5,0.54,4.55
2001-03,4.90,27.7,36.7,45.7,0.55,5.89
2001-04,2.19,38.9,50.8,62.7,0.96,12.80
2001-05,5.25,49.3,61.1,72.9,0.75,16.80
2001-06,4.38,59.0,70.2,81.4,0.67,19.17
2001-07,4.83,58.8,70.4,82.0,0.53,20.08
2001-08,3.54,63.5,74.4,85.2,0.71,21.49
2001-09,5.14,50.8,63.6,76.4,0.07,16.50
2001-10,0.48,41.1,54.5,67.9,0.51,14.09
2001-11,1.14,34.8,47.3,59.7,0.50,9.80
2001-12,2.36,29.3,39.4,49.5,0.45,6.33
2002-01,2.14,25.5,34.7,44.0,0.56,5.62
2002-02,1.05,24.8,36.3,47.7,0.58,6.89
2002-03,3.22,30.0,40.8,51.5,0.68,7.64
2002-04,3.96,40.9,53.3,65.7,0.83,13.99
2002-05,5.77,46.4,58.3,70.2,0.81,14.79
2002-06,6.94,58.7,70.0,81.2,0.90,18.88
2002-07,1.10,64.0,75.7,87.4,1.68,25.51
2002-08,2.43,63.4,75.8,88.1,1.35,27.92
2002-09,4.27,55.0,67.3,79.6,0.61,18.65
2002-10,7.15,42.2,52.2,62.1,0.09,8.63
2002-11,4.26,32.9,41.8,50.7,0.39,5.93
2002-12,5.50,22.3,30.8,39.3,0.46,3.79
2003-01,2.09,16.2,24.3,32.3,0.39,2.97
2003-02,5.00,17.6,26.0,34.4,0.36,3.34
2003-03,4.64,27.9,39.5,51.1,0.36,7.12
2003-04,2.70,37.4,48.1,58.7,1.01,11.36
2003-05,3.43,48.1,57.2,66.4,0.68,10.88
2003-06,8.20,57.2,66.6,76.0,0.46,14.35
2003-07,6.85,63.6,74.2,84.7,0.85,21.43
2003-08,4.74,64.6,74.1,83.6,0.15,16.38
2003-09,6.96,56.5,65.5,74.5,0.21,11.63
2003-10,6.86,40.8,51.5,62.2,0.31,9.77
2003-11,4.48,37.7,47.2,56.8,0.56,7.28
2003-12,6.43,25.0,33.5,42.0,0.55,4.46
2004-01,2.18,15.1,22.9,30.7,0.58,3.08
2004-02,2.78,21.1,30.8,40.4,0.68,5.31
2004-03,3.27,31.5,41.4,51.3,0.70,7.77
2004-04,4.76,39.9,51.1,62.2,0.84,12.06
2004-05,3.79,54.6,66.1,77.6,0.66,17.59
2004-06,3.81,58.5,68.2,77.9,1.11,16.88
2004-07,9.74,62.4,71.9,81.5,0.87,17.86
2004-08,4.32,62.3,71.9,81.5,0.71,16.81
2004-09,11.18,56.2,66.3,76.4,0.43,13.86
2004-10,2.29,42.6,52.3,62.1,0.42,9.25
2004-11,5.02,35.2,45.3,55.4,0.78,7.93
2004-12,4.40,24.1,32.8,41.6,0.53,4.34
2005-01,5.63,19.9,27.6,35.3,0.38,2.99
2005-02,2.35,21.1,32.0,42.9,0.55,5.47
2005-03,4.51,25.6,35.1,44.6,0.64,5.68
2005-04,6.91,39.3,52.7,66.1,1.24,15.96
2005-05,1.78,44.4,56.6,68.9,1.10,15.50
2005-06,4.75,61.3,72.4,83.5,1.18,21.69
2005-07,4.96,65.5,75.5,85.5,1.11,21.19
2005-08,3.16,65.3,75.2,85.2,1.32,22.13
2005-09,0.97,55.8,69.2,82.6,1.18,23.64
2005-10,13.32,46.4,55.2,63.9,0.66,9.79
2005-11,3.82,33.5,45.6,57.6,0.72,9.85
2005-12,3.38,20.7,30.1,39.6,0.46,4.24
2006-01,5.28,26.2,36.5,46.7,0.39,5.20
2006-02,2.58,22.1,32.2,42.2,0.73,5.45
2006-03,0.94,29.3,40.0,50.7,1.31,8.89
2006-04,3.42,39.2,52.8,66.3,1.29,15.55
2006-05,3.61,48.2,60.9,73.5,1.39,18.27
2006-06,10.02,59.8,69.6,79.5,1.15,17.31
2006-07,5.65,65.6,76.0,86.3,0.96,21.69
2006-08,2.65,62.2,73.0,83.8,1.46,21.70
2006-09,5.57,52.9,62.7,72.5,0.61,12.65
2006-10,4.96,40.5,51.9,63.3,0.47,10.71
2006-11,5.52,37.7,47.5,57.3,0.59,7.94
2006-12,2.22,30.2,40.5,50.8,0.71,6.83
2007-01,3.07,25.1,33.8,42.5,0.47,4.69
2007-02,1.89,15.0,23.8,32.7,0.63,3.73
2007-03,4.04,26.9,39.0,51.1,0.85,8.98
2007-04,8.19,36.5,47.2,57.9,0.99,11.47
2007-05,1.99,48.5,62.8,77.0,1.55,21.84
2007-06,4.90,58.9,70.3,81.7,1.15,21.04
2007-07,5.20,61.5,72.3,83.0,1.40,22.00
2007-08,4.03,62.0,72.6,83.2,0.98,20.83
2007-09,1.19,53.8,66.8,79.8,0.52,20.12
2007-10,6.49,49.9,61.1,72.2,0.37,14.06
2007-11,3.45,31.9,41.6,51.3,0.57,6.46
2007-12,6.17,26.3,33.2,40.1,0.37,3.43
2008-01,1.49,22.5,31.9,41.3,0.56,4.97
2008-02,6.78,22.3,31.9,41.5,0.48,4.01
2008-03,4.97,28.4,39.4,50.4,0.83,7.39
2008-04,2.96,40.5,52.8,65.2,0.93,13.98
2008-05,4.33,44.9,56.6,68.3,0.90,14.91
2008-06,2.64,60.4,72.1,83.7,1.10,22.74
2008-07,4.57,64.3,75.3,86.4,1.09,24.72
2008-08,2.13,57.8,69.9,82.0,1.00,21.83
