PRISM Time Series Data
Location:  Lat: 40.5746   Lon: -75.1188   Elev: 361ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.4,31.6,39.8,0.01,2.41
2000-01-02,0.00,27.7,36.3,44.8,0.05,2.53
2000-01-03,0.00,34.6,46.2,57.7,0.37,5.89
2000-01-04,0.00,48.0,54.1,60.1,0.07,4.01
2000-01-05,0.62,34.2,49.2,64.3,0.46,5.77
2000-01-06,0.00,17.7,27.9,38.0,0.32,4.55
2000-01-07,0.00,20.1,31.1,42.0,0.22,4.89
2000-01-08,0.00,21.2,34.2,47.1,0.20,6.26
2000-01-09,0.00,22.6,30.5,38.4,0.84,4.32
2000-01-10,0.00,33.5,41.0,48.4,0.46,5.49
2000-01-11,0.59,36.3,45.2,54.2,0.00,4.28
2000-01-12,0.00,34.9,42.4,49.9,1.60,7.11
2000-01-13,0.00,29.2,37.2,45.1,1.17,6.70
2000-01-14,0.00,13.1,23.9,34.6,0.38,1.99
2000-01-15,0.00,11.7,16.8,21.9,0.82,2.46
2000-01-16,0.00,16.3,23.0,29.8,1.10,2.69
2000-01-17,0.00,7.6,27.2,46.8,1.16,6.38
2000-01-18,0.00,3.8,10.4,17.0,0.71,2.40
2000-01-19,0.00,5.4,12.8,20.1,0.85,2.53
2000-01-20,0.02,15.3,22.9,30.6,0.54,3.44
2000-01-21,0.24,10.1,18.6,27.1,0.15,1.53
2000-01-22,0.00,5.3,11.4,17.5,0.71,2.18
2000-01-23,0.00,7.8,14.0,20.3,0.51,2.28
2000-01-24,0.00,15.9,21.2,26.5,0.43,1.47
2000-01-25,0.22,22.8,30.6,38.5,0.33,4.03
2000-01-26,0.76,21.8,25.8,29.7,0.20,1.77
