PRISM Time Series Data
Location:  Lat: 41.0931   Lon: -74.9752   Elev: 686ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.9,29.4,37.8,0.07,2.72
2000-01-02,0.00,23.5,34.7,45.9,0.09,4.12
2000-01-03,0.00,35.3,44.8,54.4,0.28,3.22
2000-01-04,0.02,47.4,53.3,59.2,0.26,4.02
2000-01-05,0.24,31.2,46.5,61.7,0.37,4.50
2000-01-06,0.00,14.6,25.5,36.5,0.14,4.30
2000-01-07,0.00,16.7,27.7,38.7,0.17,4.05
2000-01-08,0.00,20.5,33.2,45.8,0.20,5.88
2000-01-09,0.00,20.8,28.8,36.8,0.65,4.07
2000-01-10,0.19,30.4,40.4,50.4,0.20,6.73
2000-01-11,0.71,32.6,40.3,48.0,0.00,3.17
2000-01-12,0.00,32.9,40.4,47.9,1.20,6.35
2000-01-13,0.05,27.6,35.7,43.8,0.75,6.63
2000-01-14,0.12,8.3,19.7,31.0,0.16,1.75
2000-01-15,0.00,6.3,12.6,18.9,0.51,2.05
2000-01-16,0.00,11.5,19.9,28.4,0.75,2.30
2000-01-17,0.00,2.5,22.1,41.7,0.78,4.57
2000-01-18,0.00,-1.0,6.5,13.9,0.50,1.98
2000-01-19,0.00,1.0,9.5,18.1,0.65,2.35
2000-01-20,0.04,11.5,19.2,26.8,0.46,2.89
2000-01-21,0.14,6.6,15.3,24.0,0.20,1.44
2000-01-22,0.00,1.9,8.6,15.2,0.65,1.99
2000-01-23,0.01,2.0,9.8,17.6,0.44,2.17
2000-01-24,0.00,10.7,17.1,23.4,0.40,1.71
2000-01-25,0.30,20.8,29.0,37.2,0.64,4.32
2000-01-26,0.73,18.2,23.3,28.5,0.20,1.94
2000-01-27,0.00,10.4,19.2,28.0,0.91,2.62
2000-01-28,0.00,3.0,9.4,15.7,0.71,1.85
2000-01-29,0.00,1.7,10.6,19.5,0.54,2.52
2000-01-30,0.01,0.8,18.4,36.0,0.30,6.42
2000-01-31,0.83,3.7,17.9,32.0,0.19,5.06
2000-02-01,0.00,17.4,24.6,31.7,0.28,2.56
2000-02-02,0.00,16.1,24.9,33.7,0.70,3.50
2000-02-03,0.00,7.5,17.1,26.8,0.59,3.38
2000-02-04,0.13,12.7,19.9,27.2,0.08,2.17
2000-02-05,0.02,18.4,24.3,30.3,0.09,1.78
2000-02-06,0.00,19.8,26.5,33.2,0.97,4.07
2000-02-07,0.00,19.2,27.1,35.1,1.06,5.04
2000-02-08,0.00,7.2,23.1,39.0,0.85,4.45
2000-02-09,0.00,2.1,16.6,31.1,0.22,4.58
2000-02-10,0.00,11.0,26.1,41.2,0.22,4.48
2000-02-11,0.04,21.0,34.2,47.4,0.19,6.07
2000-02-12,0.02,15.3,30.3,45.3,0.10,3.55
2000-02-13,0.01,7.6,19.6,31.6,0.27,4.35
2000-02-14,0.73,10.1,21.7,33.4,0.10,3.03
2000-02-15,0.14,28.3,35.8,43.2,0.25,2.66
2000-02-16,0.00,20.9,28.9,36.8,0.52,4.47
2000-02-17,0.00,20.6,33.0,45.4,1.46,4.61
2000-02-18,0.10,17.1,24.3,31.5,0.54,3.95
2000-02-19,0.63,19.2,23.5,27.8,0.00,1.64
2000-02-20,0.00,23.5,27.4,31.3,0.07,1.23
2000-02-21,0.00,18.0,26.7,35.4,0.24,3.18
2000-02-22,0.00,16.6,28.1,39.6,0.09,4.81
2000-02-23,0.00,20.9,35.6,50.3,0.33,7.90
2000-02-24,0.00,29.5,40.1,50.7,0.69,6.87
2000-02-25,0.06,33.3,46.4,59.4,0.44,10.34
2000-02-26,0.11,33.0,39.6,46.3,0.11,1.75
2000-02-27,0.02,33.5,36.4,39.4,0.01,1.14
2000-02-28,0.55,35.1,42.4,49.8,0.01,0.73
2000-02-29,0.00,28.2,38.6,49.0,0.69,7.36
2000-03-01,0.00,24.8,37.9,50.9,0.67,9.46
2000-03-02,0.02,29.7,38.7,47.6,0.99,7.40
2000-03-03,0.00,29.3,35.9,42.6,1.06,4.99
2000-03-04,0.00,25.6,34.7,43.7,1.37,7.51
2000-03-05,0.00,29.7,40.2,50.6,1.53,8.98
2000-03-06,0.00,31.1,42.0,52.8,1.62,9.05
2000-03-07,0.00,27.2,40.0,52.7,0.97,10.16
2000-03-08,0.02,33.2,49.3,65.5,0.99,16.17
2000-03-09,0.00,37.2,56.5,75.8,0.25,18.48
2000-03-10,0.10,39.4,56.1,72.7,0.29,16.12
2000-03-11,0.11,35.3,43.7,52.1,0.47,6.63
2000-03-12,1.21,33.6,36.6,39.6,0.00,1.17
2000-03-13,0.00,24.6,33.5,42.5,0.08,3.37
2000-03-14,0.00,23.4,34.4,45.3,0.51,6.70
2000-03-15,0.00,26.8,39.7,52.6,0.00,8.31
2000-03-16,0.00,31.9,48.7,65.5,0.18,15.78
2000-03-17,1.00,34.7,48.3,61.9,0.09,10.56
2000-03-18,0.05,15.9,26.5,37.1,0.38,2.96
2000-03-19,0.00,18.7,28.6,38.6,0.70,5.86
2000-03-20,0.00,25.3,34.9,44.5,0.43,5.99
2000-03-21,0.01,29.6,38.6,47.7,0.37,6.71
2000-03-22,0.00,33.0,37.3,41.6,0.00,1.95
2000-03-23,0.00,28.3,39.9,51.4,0.00,5.89
2000-03-24,0.00,33.9,50.2,66.5,0.21,13.95
2000-03-25,0.00,36.6,52.2,67.8,0.90,17.45
2000-03-26,0.05,42.9,54.3,65.8,0.39,11.57
2000-03-27,0.00,28.1,43.4,58.6,0.56,12.23
2000-03-28,0.91,36.3,49.7,63.1,0.00,14.16
2000-03-29,0.02,35.7,45.9,56.1,0.13,10.02
2000-03-30,0.00,32.8,41.0,49.2,0.61,5.67
2000-03-31,0.00,26.7,39.5,52.3,0.21,8.04
2000-04-01,0.00,26.1,40.9,55.7,0.31,10.59
2000-04-02,0.00,34.2,49.1,64.0,1.28,16.34
2000-04-03,0.00,44.6,55.1,65.5,0.06,12.33
2000-04-04,0.44,54.2,61.5,68.9,0.43,10.68
2000-04-05,0.13,36.0,48.9,61.8,1.16,6.71
2000-04-06,0.00,27.5,35.8,44.1,0.47,6.06
2000-04-07,0.00,36.6,53.1,69.7,2.21,19.24
2000-04-08,0.00,40.6,50.6,60.5,0.06,12.01
2000-04-09,0.50,26.1,50.9,75.6,0.09,20.08
2000-04-10,0.09,27.1,35.6,44.2,0.27,7.22
2000-04-11,0.00,29.6,40.2,50.7,0.82,9.20
2000-04-12,0.07,29.2,35.0,40.9,0.00,2.84
2000-04-13,0.00,24.2,35.6,47.0,0.44,7.17
2000-04-14,0.00,25.4,38.3,51.2,0.17,9.97
2000-04-15,0.00,36.5,48.6,60.7,0.09,11.62
2000-04-16,0.08,47.3,54.6,62.0,0.04,4.46
2000-04-17,0.02,42.0,59.6,77.3,0.13,17.88
2000-04-18,0.55,33.5,40.4,47.3,0.02,3.30
2000-04-19,0.03,35.4,39.7,43.9,0.33,3.33
2000-04-20,0.00,43.1,52.3,61.5,1.04,8.29
2000-04-21,0.32,44.5,54.0,63.4,0.40,9.07
2000-04-22,1.11,40.9,44.6,48.2,0.07,1.43
2000-04-23,0.26,39.5,45.1,50.7,0.05,3.35
2000-04-24,0.13,39.9,43.6,47.4,0.70,3.92
2000-04-25,0.00,41.1,53.7,66.4,2.23,15.88
2000-04-26,0.00,33.8,46.9,59.9,0.40,12.00
2000-04-27,0.01,34.0,43.5,53.0,0.02,8.00
2000-04-28,0.02,38.1,43.6,49.2,0.28,4.13
2000-04-29,0.00,33.1,46.0,59.0,0.12,10.70
2000-04-30,0.00,39.3,54.7,70.1,1.01,19.31
2000-05-01,0.00,32.4,47.5,62.6,1.24,15.86
2000-05-02,0.11,42.1,55.0,67.8,0.02,16.14
2000-05-03,0.00,34.9,50.4,65.8,0.77,14.98
2000-05-04,0.00,40.9,55.2,69.4,0.09,17.01
2000-05-05,0.01,51.4,63.0,74.6,0.90,17.50
2000-05-06,0.00,55.7,69.9,84.1,0.23,24.39
2000-05-07,0.00,56.1,71.4,86.7,0.78,27.71
2000-05-08,0.12,58.8,74.6,90.4,0.01,33.50
2000-05-09,0.00,60.5,75.0,89.5,0.69,31.43
2000-05-10,0.03,61.1,75.7,90.3,1.73,29.28
2000-05-11,0.33,48.6,58.3,68.0,0.08,5.57
2000-05-12,0.10,50.1,61.1,72.2,0.88,18.71
2000-05-13,0.23,51.4,61.0,70.6,0.49,11.86
2000-05-14,0.59,47.5,61.9,76.4,0.12,10.96
2000-05-15,0.00,36.4,53.2,70.0,0.26,16.60
2000-05-16,0.00,34.6,48.8,63.0,0.02,13.76
2000-05-17,0.00,42.3,55.0,67.8,0.75,17.36
2000-05-18,0.07,49.2,59.8,70.5,0.04,14.54
