PRISM Time Series Data
Location:  Lat: 41.9559   Lon: -73.9203   Elev: 180ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.56,8.8,21.7,34.5,0.12,3.81
2000-02,2.75,17.9,29.1,40.2,0.25,4.48
2000-03,4.26,29.2,41.9,54.6,0.43,9.77
2000-04,3.70,35.6,47.0,58.3,0.41,9.93
2000-05,5.18,47.3,59.7,72.1,0.28,17.47
2000-06,7.29,55.1,66.6,78.2,0.32,18.06
2000-07,6.13,56.8,68.3,79.9,0.31,19.11
2000-08,3.03,56.4,68.4,80.4,0.01,18.67
2000-09,5.72,49.1,61.3,73.5,0.03,13.50
2000-10,1.60,37.5,50.6,63.8,0.11,11.34
2000-11,3.17,30.2,39.5,48.8,0.41,5.98
2000-12,5.49,14.1,24.7,35.3,0.24,3.52
2001-01,1.48,13.8,24.9,36.0,0.21,3.52
2001-02,2.13,17.4,28.4,39.3,0.26,4.43
2001-03,5.02,23.4,32.6,41.8,0.33,5.07
2001-04,1.20,35.6,48.5,61.4,0.87,13.41
2001-05,3.41,46.1,59.9,73.8,0.48,19.67
2001-06,5.28,55.0,68.5,82.0,0.11,21.37
2001-07,1.95,55.8,69.3,82.8,0.44,23.49
2001-08,2.60,59.1,72.9,86.6,0.09,25.66
2001-09,3.02,47.6,62.3,77.0,0.00,18.24
2001-10,0.68,38.9,53.1,67.4,0.45,14.51
2001-11,0.89,32.5,44.7,56.9,0.42,8.82
2001-12,2.42,26.9,36.8,46.8,0.35,5.66
2002-01,1.75,21.5,31.7,42.0,0.26,5.26
2002-02,1.53,19.7,33.0,46.4,0.30,6.97
2002-03,3.56,25.0,37.8,50.5,0.30,7.94
2002-04,3.18,38.9,51.4,63.8,0.84,14.29
2002-05,4.36,42.4,55.5,68.7,0.54,15.94
2002-06,4.32,54.0,67.8,81.6,0.14,21.34
2002-07,1.36,59.1,73.7,88.4,0.15,28.69
2002-08,4.30,59.5,72.7,86.0,0.40,26.26
2002-09,4.30,49.7,63.8,78.0,0.00,17.93
2002-10,6.12,37.1,48.4,59.7,0.02,8.32
2002-11,5.59,30.4,39.5,48.6,0.32,5.69
2002-12,5.14,17.0,27.4,37.8,0.19,3.85
2003-01,3.89,9.0,19.5,29.9,0.24,2.90
2003-02,3.38,9.0,21.1,33.2,0.11,3.64
2003-03,3.74,22.5,35.9,49.3,0.37,7.61
2003-04,1.92,32.6,44.3,56.0,1.01,11.76
2003-05,4.13,44.3,56.3,68.4,0.59,13.34
2003-06,6.24,55.5,65.7,75.9,0.49,16.34
2003-07,3.81,59.7,71.9,84.0,0.47,22.13
2003-08,7.72,62.5,73.0,83.6,0.25,18.52
2003-09,8.55,50.9,62.5,74.0,0.00,12.55
2003-10,5.58,35.2,48.5,61.7,0.00,10.07
2003-11,4.89,31.7,42.9,54.0,0.15,6.91
2003-12,7.04,19.0,29.9,40.7,0.07,4.51
2004-01,3.56,8.9,18.5,28.1,0.33,2.91
2004-02,2.09,14.9,26.4,38.0,0.48,4.89
2004-03,2.36,27.7,39.4,51.0,0.37,8.08
2004-04,3.71,37.1,49.2,61.3,0.76,12.55
2004-05,3.65,50.5,63.3,76.0,0.45,17.57
2004-06,2.13,54.4,66.3,78.1,0.63,19.14
2004-07,5.99,60.1,71.2,82.3,0.66,20.07
2004-08,6.92,58.7,69.9,81.0,0.20,17.19
2004-09,8.43,50.8,63.1,75.4,0.01,14.19
2004-10,2.32,39.5,50.3,61.1,0.22,9.35
2004-11,3.28,29.3,40.8,52.4,0.28,7.00
2004-12,4.21,18.3,29.1,39.8,0.18,4.24
2005-01,5.85,10.8,21.7,32.5,0.17,2.89
2005-02,2.39,15.4,27.9,40.5,0.31,5.23
2005-03,5.22,20.7,31.9,43.1,0.42,5.75
2005-04,4.35,36.5,50.8,65.1,1.01,15.86
2005-05,2.36,42.9,54.8,66.7,0.77,14.07
2005-06,3.21,60.0,72.3,84.6,0.84,23.40
2005-07,4.48,62.3,73.6,85.0,0.84,21.74
2005-08,2.64,62.0,74.1,86.2,0.78,25.14
2005-09,1.76,53.0,67.2,81.3,0.53,22.42
2005-10,16.84,42.9,52.3,61.7,0.35,9.09
2005-11,5.55,31.5,43.8,56.0,0.58,9.41
2005-12,4.89,19.0,28.3,37.5,0.41,3.77
2006-01,7.94,23.4,33.4,43.4,0.34,4.50
2006-02,2.25,19.1,30.0,41.0,0.52,5.35
2006-03,0.99,25.7,36.9,48.1,0.85,8.17
2006-04,4.27,37.0,50.4,63.7,1.11,14.52
2006-05,4.24,47.2,59.1,71.1,0.69,15.90
2006-06,10.02,58.1,68.6,79.1,0.35,17.13
2006-07,3.51,63.4,74.9,86.4,0.69,23.07
2006-08,5.42,59.0,71.0,82.9,0.62,22.35
2006-09,4.89,50.3,61.4,72.5,0.19,13.37
2006-10,6.99,38.2,50.4,62.6,0.31,10.72
2006-11,4.05,36.2,46.0,55.8,0.45,7.45
2006-12,2.08,27.5,37.5,47.6,0.45,5.74
2007-01,3.18,20.6,30.7,40.7,0.33,4.79
2007-02,2.74,11.0,21.5,32.0,0.44,3.75
2007-03,4.87,22.3,34.1,45.9,0.49,7.07
2007-04,8.63,33.4,44.5,55.6,0.51,10.64
2007-05,1.70,46.4,60.7,75.0,1.08,21.55
2007-06,4.00,55.8,68.8,81.8,0.68,21.95
2007-07,5.79,58.6,71.1,83.6,0.14,23.02
2007-08,4.42,59.8,71.6,83.5,0.79,20.78
2007-09,1.41,51.5,64.5,77.5,0.20,17.83
2007-10,5.31,45.6,57.7,69.8,0.02,12.83
2007-11,3.89,27.9,39.1,50.2,0.27,6.54
2007-12,6.76,19.6,29.0,38.3,0.13,3.62
2008-01,2.02,18.1,28.6,39.1,0.32,4.44
2008-02,12.22,19.3,29.0,38.7,0.29,3.58
2008-03,7.74,25.5,35.8,46.2,0.66,6.42
2008-04,3.84,37.9,51.7,65.4,1.06,15.91
2008-05,2.07,42.4,55.1,67.8,0.97,15.42
2008-06,4.10,58.3,70.7,83.0,0.70,21.55
2008-07,6.39,62.5,74.4,86.3,1.04,24.08
2008-08,4.49,56.8,68.8,80.8,0.38,18.21
2008-09,5.27,53.9,65.0,76.1,0.05,15.02
2008-10,4.18,37.5,49.7,61.9,0.03,9.95
2008-11,2.99,32.0,40.9,49.8,0.25,5.54
2008-12,8.27,20.5,30.3,40.2,0.15,3.73
2009-01,3.41,10.0,20.1,30.2,0.22,2.91
2009-02,1.52,17.4,28.5,39.7,0.39,4.76
2009-03,2.85,26.6,37.4,48.2,0.50,7.29
2009-04,2.48,38.1,50.6,63.1,0.88,15.41
2009-05,5.16,46.5,59.0,71.5,0.53,15.61
2009-06,8.05,56.7,67.0,77.3,0.44,15.84
2009-07,10.17,58.0,69.6,81.2,0.05,17.71
2009-08,5.49,61.7,72.5,83.3,0.09,18.18
2009-09,1.86,49.4,61.7,73.9,0.02,13.93
2009-10,4.11,39.1,49.0,59.0,0.02,7.92
2009-11,1.51,34.3,45.0,55.7,0.17,7.14
2009-12,5.29,18.4,28.1,37.8,0.25,3.83
2010-01,3.44,14.7,25.5,36.2,0.17,3.69
2010-02,5.04,20.4,28.4,36.5,0.26,3.54
2010-03,5.73,31.7,42.8,53.8,0.48,9.03
2010-04,2.50,40.6,53.6,66.5,0.64,15.65
2010-05,2.51,46.6,61.5,76.4,0.20,20.92
2010-06,2.14,57.3,69.5,81.8,0.22,19.46
2010-07,4.12,62.5,75.5,88.4,0.42,26.27
2010-08,5.97,60.1,71.4,82.7,0.37,19.94
2010-09,1.41,54.6,66.0,77.4,0.71,17.22
2010-10,7.62,41.1,52.5,64.0,0.13,10.51
2010-11,2.29,28.9,40.6,52.4,0.01,7.20
2010-12,4.40,18.2,27.2,36.2,0.29,3.10
2011-01,3.14,9.5,20.6,31.6,0.13,2.92
2011-02,4.19,14.1,25.6,37.2,0.45,4.58
2011-03,6.96,26.1,36.5,46.9,0.84,6.68
2011-04,6.57,38.8,50.0,61.1,0.65,11.07
2011-05,6.54,50.5,61.5,72.4,0.73,15.01
2011-06,4.98,56.6,68.3,80.0,0.59,18.75
2011-07,2.86,61.1,74.5,87.9,0.46,27.50
2011-08,15.74,58.8,70.9,82.9,0.02,20.80
2011-09,11.36,55.2,66.0,76.7,0.00,13.84
2011-10,5.61,41.2,53.0,64.9,0.06,11.95
2011-11,3.04,31.6,44.7,57.8,0.17,9.31
2011-12,4.61,24.6,35.5,46.4,0.20,5.39
2012-01,3.60,19.2,30.2,41.1,0.32,4.78
2012-02,1.04,22.2,34.1,45.9,0.47,7.00
2012-03,1.69,32.3,46.4,60.5,0.61,12.70
2012-04,2.58,36.1,49.7,63.3,1.27,14.93
2012-05,5.39,52.4,63.9,75.4,0.54,17.44
2012-06,4.44,53.8,67.1,80.4,0.31,22.31
2012-07,4.35,60.8,74.9,88.9,0.46,29.50
2012-08,3.34,59.7,72.5,85.4,0.36,24.82
