PRISM Time Series Data
Location:  Lat: 39.0622   Lon: -79.6655   Elev: 2372ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-22
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,19.9,33.8,47.7,0.19,6.35
2000-01-02,0.00,25.2,34.5,43.7,0.50,2.94
2000-01-03,0.00,32.4,48.4,64.5,0.42,12.15
2000-01-04,0.09,49.8,56.6,63.4,0.63,7.90
2000-01-05,0.27,24.7,42.8,60.9,0.49,6.36
2000-01-06,0.03,14.4,21.7,28.9,0.03,1.85
2000-01-07,0.00,16.9,30.2,43.4,0.10,5.76
2000-01-08,0.00,15.6,27.4,39.2,0.18,4.66
2000-01-09,0.00,15.4,27.9,40.5,0.27,5.54
2000-01-10,0.05,28.9,36.0,43.0,0.02,3.49
2000-01-11,0.14,34.3,44.8,55.3,0.15,8.24
2000-01-12,0.16,24.1,34.1,44.2,0.34,6.13
2000-01-13,0.23,24.1,37.5,50.9,0.30,8.60
2000-01-14,0.13,12.0,30.8,49.7,0.23,4.71
2000-01-15,0.00,8.4,13.8,19.1,0.28,1.42
2000-01-16,0.00,6.7,26.3,45.9,0.04,7.57
2000-01-17,0.00,9.1,27.9,46.8,0.78,6.12
2000-01-18,0.00,13.0,17.6,22.1,0.90,2.81
2000-01-19,0.08,19.2,22.4,25.5,0.42,2.01
2000-01-20,0.30,21.3,24.3,27.3,0.10,1.54
2000-01-21,0.25,6.6,16.4,26.2,0.19,1.36
2000-01-22,0.02,-7.5,0.8,9.2,0.05,0.78
2000-01-23,0.06,-7.9,6.7,21.2,0.05,2.18
2000-01-24,0.00,19.7,26.1,32.6,0.23,1.65
2000-01-25,0.00,14.3,22.5,30.7,0.41,2.50
2000-01-26,0.02,10.6,13.9,17.1,0.30,1.02
2000-01-27,0.07,4.7,11.9,19.1,0.24,0.98
2000-01-28,0.00,-6.7,3.2,13.2,0.08,1.29
2000-01-29,0.00,-7.0,5.9,18.9,0.03,1.29
2000-01-30,0.08,-6.7,15.7,38.1,0.00,5.36
2000-01-31,0.21,18.1,24.9,31.7,0.00,1.51
2000-02-01,0.03,18.4,21.2,24.1,0.44,1.41
2000-02-02,0.12,16.2,19.6,23.0,0.26,1.08
2000-02-03,0.00,6.2,17.3,28.4,0.11,2.79
2000-02-04,0.15,13.8,24.9,36.1,0.06,3.55
2000-02-05,0.15,18.8,23.1,27.4,0.19,0.75
2000-02-06,0.00,17.5,23.1,28.8,0.50,2.31
2000-02-07,0.00,16.0,24.7,33.3,0.07,3.18
