PRISM Time Series Data
Location:  Lat: 39.6989   Lon: -78.9442   Elev: 2500ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,26.0,34.8,43.6,0.35,4.88
2000-01-02,0.00,27.7,39.6,51.5,0.88,7.41
2000-01-03,0.02,38.5,50.3,62.1,0.08,10.23
2000-01-04,0.14,45.0,51.0,57.1,0.00,3.78
2000-01-05,0.06,23.5,39.5,55.5,0.48,2.75
2000-01-06,0.01,16.3,23.1,29.8,0.00,2.21
2000-01-07,0.00,17.0,28.6,40.2,0.07,4.43
2000-01-08,0.00,18.0,27.5,37.1,0.34,4.00
2000-01-09,0.00,18.3,28.5,38.7,0.30,4.90
2000-01-10,0.00,29.8,35.6,41.5,0.03,4.19
2000-01-11,0.30,27.9,34.1,40.4,0.00,3.35
2000-01-12,0.11,22.5,31.0,39.6,0.10,4.13
2000-01-13,0.15,25.3,35.9,46.6,0.10,7.44
2000-01-14,0.03,7.3,25.5,43.7,0.08,3.49
2000-01-15,0.00,6.8,12.2,17.7,0.27,1.32
2000-01-16,0.00,11.3,26.4,41.6,0.41,5.99
2000-01-17,0.00,5.9,25.5,45.2,0.69,5.74
2000-01-18,0.00,5.2,12.1,19.0,0.71,2.53
2000-01-19,0.07,10.3,15.3,20.4,0.31,2.41
2000-01-20,0.28,17.2,21.2,25.1,0.04,1.42
2000-01-21,0.17,1.8,12.1,22.3,0.15,0.91
2000-01-22,0.00,-0.5,4.4,9.2,0.14,0.79
2000-01-23,0.02,1.9,10.3,18.6,0.14,1.63
2000-01-24,0.00,12.3,19.5,26.6,0.16,1.10
2000-01-25,0.00,14.6,21.4,28.2,0.23,2.15
2000-01-26,0.00,9.2,13.9,18.5,0.03,0.70
2000-01-27,0.02,1.7,10.5,19.3,0.19,1.09
2000-01-28,0.00,1.8,6.1,10.4,0.37,1.18
2000-01-29,0.00,6.9,13.1,19.3,0.39,1.30
2000-01-30,0.18,7.5,19.3,31.0,0.01,3.77
2000-01-31,0.28,15.6,21.6,27.5,0.00,1.20
2000-02-01,0.00,15.1,20.7,26.2,0.10,1.86
2000-02-02,0.06,11.6,18.0,24.5,0.08,1.41
2000-02-03,0.00,13.5,18.9,24.3,0.68,1.99
2000-02-04,0.12,20.0,25.6,31.2,0.02,2.40
2000-02-05,0.01,11.7,20.8,29.9,0.02,1.41
2000-02-06,0.00,14.1,20.5,26.9,0.29,2.00
2000-02-07,0.00,17.5,25.1,32.7,0.12,3.08
2000-02-08,0.00,10.5,23.6,36.7,0.06,2.97
2000-02-09,0.00,10.2,21.6,33.0,0.22,3.53
2000-02-10,0.00,29.6,39.2,48.9,1.33,7.17
2000-02-11,0.16,32.9,42.7,52.6,0.08,8.30
2000-02-12,0.00,16.2,29.5,42.8,0.02,1.67
2000-02-13,0.00,16.2,23.1,30.0,0.16,2.70
2000-02-14,0.70,20.8,26.4,32.0,0.00,1.13
2000-02-15,0.15,21.9,33.6,45.3,0.01,2.48
2000-02-16,0.00,22.2,32.7,43.3,0.19,4.70
2000-02-17,0.00,18.4,35.1,51.8,0.07,6.38
2000-02-18,0.14,18.5,26.6,34.8,0.26,3.97
2000-02-19,2.45,23.5,35.6,47.7,0.00,2.47
2000-02-20,0.02,23.6,30.8,38.0,0.04,2.14
2000-02-21,0.00,23.6,27.2,30.7,0.17,1.87
2000-02-22,0.00,24.0,33.3,42.7,0.28,5.01
2000-02-23,0.00,26.3,39.1,52.0,0.21,8.09
2000-02-24,0.00,36.3,45.6,55.0,0.61,7.76
2000-02-25,0.00,39.4,53.4,67.4,0.92,14.50
2000-02-26,0.00,41.4,55.4,69.5,0.02,12.10
2000-02-27,0.01,38.4,43.2,48.0,0.00,1.44
2000-02-28,0.33,31.0,47.2,63.5,0.01,8.45
2000-02-29,0.00,26.9,36.8,46.6,0.96,6.88
2000-03-01,0.00,29.1,43.3,57.4,1.31,13.37
2000-03-02,0.08,29.7,42.9,56.0,0.59,8.96
2000-03-03,0.00,22.2,29.8,37.4,0.17,3.45
2000-03-04,0.00,21.6,32.6,43.6,0.58,6.78
2000-03-05,0.00,27.7,40.3,52.9,1.71,10.61
2000-03-06,0.00,31.1,43.6,56.2,1.35,11.12
2000-03-07,0.00,32.9,45.1,57.2,1.38,11.56
2000-03-08,0.00,36.0,53.9,71.7,2.53,20.30
2000-03-09,0.00,50.3,62.6,75.0,4.31,20.47
2000-03-10,0.02,38.2,53.0,67.8,0.65,13.64
2000-03-11,0.07,34.8,47.6,60.4,0.43,10.69
2000-03-12,1.03,28.1,35.7,43.3,0.00,2.18
2000-03-13,0.00,18.4,24.6,30.7,0.03,2.71
2000-03-14,0.00,19.2,30.2,41.2,0.24,4.83
2000-03-15,0.00,28.9,40.7,52.6,0.76,9.10
2000-03-16,0.00,35.0,51.2,67.4,1.13,17.30
2000-03-17,0.16,29.4,42.5,55.7,0.00,4.56
2000-03-18,0.00,13.9,24.2,34.4,0.07,3.53
2000-03-19,0.00,15.8,27.4,39.0,0.37,5.84
2000-03-20,0.00,26.7,36.4,46.0,0.02,4.85
2000-03-21,0.36,29.6,32.5,35.4,0.00,1.19
2000-03-22,0.56,30.4,32.9,35.5,0.00,0.51
2000-03-23,0.00,33.9,39.4,45.0,0.00,1.64
2000-03-24,0.00,34.3,44.5,54.6,0.02,5.67
2000-03-25,0.00,36.7,50.1,63.5,0.32,11.27
2000-03-26,0.00,39.8,55.6,71.4,1.94,15.34
2000-03-27,0.00,32.6,44.3,56.1,1.98,11.12
2000-03-28,0.03,31.1,43.5,55.9,0.03,9.40
2000-03-29,0.23,28.9,37.7,46.6,0.04,4.63
2000-03-30,0.00,25.6,37.3,49.0,0.00,6.61
2000-03-31,0.00,25.5,39.7,54.0,0.62,9.25
2000-04-01,0.00,27.1,40.4,53.7,1.26,10.35
2000-04-02,0.00,33.0,49.3,65.6,1.19,17.24
2000-04-03,0.23,48.3,51.7,55.0,0.02,2.66
2000-04-04,0.60,49.5,59.7,69.9,0.09,10.56
2000-04-05,0.20,23.7,36.7,49.7,0.08,4.30
2000-04-06,0.00,24.9,37.4,49.9,0.44,7.49
2000-04-07,0.00,38.3,52.1,65.8,2.07,16.44
2000-04-08,0.00,38.5,54.2,69.8,1.08,17.08
2000-04-09,0.26,23.3,41.5,59.8,0.16,7.38
2000-04-10,0.11,23.0,30.2,37.5,0.05,4.30
2000-04-11,0.00,30.3,41.1,51.9,0.35,9.35
2000-04-12,0.27,30.3,42.2,54.1,0.14,8.02
2000-04-13,0.00,23.4,29.8,36.2,0.32,3.42
2000-04-14,0.00,25.5,37.2,48.9,0.47,7.32
2000-04-15,0.00,30.8,46.9,63.1,0.00,11.33
2000-04-16,0.00,46.6,58.1,69.5,0.05,11.73
2000-04-17,0.35,46.9,60.7,74.6,0.01,17.37
2000-04-18,0.42,36.2,43.9,51.5,0.01,0.45
2000-04-19,0.22,35.4,38.5,41.5,0.00,1.08
2000-04-20,0.00,38.6,49.1,59.5,0.00,6.88
2000-04-21,0.50,45.7,58.5,71.3,0.02,13.46
2000-04-22,0.92,34.2,46.3,58.3,0.01,5.91
2000-04-23,0.13,36.0,40.5,45.0,0.00,1.92
2000-04-24,0.00,34.9,42.1,49.4,0.05,4.68
2000-04-25,0.00,36.0,47.6,59.2,1.12,10.85
2000-04-26,0.00,34.4,46.3,58.1,1.73,10.49
2000-04-27,0.00,31.4,42.0,52.6,0.04,8.05
2000-04-28,0.00,34.9,46.0,57.0,0.19,10.61
2000-04-29,0.00,35.6,47.8,60.0,0.03,10.30
2000-04-30,0.00,35.7,49.7,63.6,0.79,13.72
2000-05-01,0.00,39.6,51.5,63.5,3.03,15.51
2000-05-02,0.34,39.0,56.1,73.1,0.00,20.48
2000-05-03,0.00,40.7,50.9,61.0,1.57,11.02
2000-05-04,0.00,49.6,61.5,73.4,3.04,19.10
2000-05-05,0.05,50.3,62.2,74.0,0.03,14.33
2000-05-06,0.00,55.6,67.3,79.0,0.71,17.72
2000-05-07,0.00,55.4,68.3,81.2,1.03,20.89
2000-05-08,0.00,56.6,70.3,83.9,1.21,24.83
2000-05-09,0.00,58.8,71.0,83.3,2.70,23.73
2000-05-10,0.00,61.6,72.0,82.4,3.05,19.45
2000-05-11,0.02,44.8,60.2,75.7,1.34,15.26
2000-05-12,0.00,48.1,60.4,72.7,1.48,19.80
2000-05-13,0.00,63.5,72.1,80.8,2.85,16.54
2000-05-14,0.42,45.2,62.2,79.2,0.99,18.06
2000-05-15,0.00,36.8,49.6,62.5,1.90,13.31
2000-05-16,0.00,35.5,47.0,58.5,1.32,11.55
2000-05-17,0.02,46.4,56.6,66.8,1.66,16.59
2000-05-18,0.14,55.4,64.0,72.6,3.68,15.96
2000-05-19,0.27,54.6,67.6,80.5,0.03,21.29
2000-05-20,0.85,51.6,60.0,68.3,0.05,7.02
2000-05-21,0.26,50.2,55.5,60.8,0.14,4.50
2000-05-22,0.41,50.1,58.6,67.2,0.27,10.30
2000-05-23,0.22,49.7,57.3,64.8,0.12,8.60
2000-05-24,0.62,50.7,56.7,62.8,0.00,4.50
2000-05-25,0.11,53.9,64.1,74.2,0.07,14.81
2000-05-26,0.00,44.0,55.3,66.7,1.78,13.90
2000-05-27,0.00,49.0,59.0,69.0,1.60,14.33
2000-05-28,0.40,49.4,52.3,55.3,0.04,3.62
2000-05-29,0.74,45.6,48.3,51.1,0.00,1.29
2000-05-30,0.01,40.4,49.0,57.5,0.17,6.35
2000-05-31,0.00,42.7,52.7,62.6,0.45,9.03
2000-06-01,0.00,46.2,61.1,76.0,0.86,14.16
2000-06-02,0.00,62.1,70.8,79.5,1.10,14.92
2000-06-03,0.10,49.2,64.7,80.3,0.67,14.91
2000-06-04,0.00,46.1,56.4,66.7,0.63,12.34
2000-06-05,0.00,48.7,59.1,69.4,0.00,11.06
2000-06-06,1.40,49.7,54.2,58.8,0.00,4.27
2000-06-07,0.39,44.7,49.5,54.3,0.14,2.90
2000-06-08,0.00,47.5,57.5,67.5,0.48,11.71
2000-06-09,0.00,49.4,61.7,74.1,0.06,16.90
2000-06-10,0.00,64.6,72.5,80.5,4.50,19.60
2000-06-11,0.00,65.0,73.9,82.9,3.31,20.12
2000-06-12,0.06,64.0,73.9,83.9,0.11,17.83
2000-06-13,0.17,62.4,69.2,76.0,0.01,6.70
2000-06-14,0.09,63.2,73.1,83.1,0.43,17.42
2000-06-15,0.25,60.8,67.6,74.4,0.03,6.71
2000-06-16,0.36,59.0,67.9,76.7,0.00,10.00
2000-06-17,0.03,62.8,73.4,84.1,0.00,16.57
2000-06-18,0.24,57.3,66.2,75.2,0.00,8.01
2000-06-19,0.14,50.8,61.8,72.8,0.01,3.87
2000-06-20,0.00,50.2,60.2,70.2,0.05,10.65
2000-06-21,0.00,60.9,68.8,76.7,2.84,16.36
2000-06-22,0.42,56.5,69.3,82.2,0.00,14.21
2000-06-23,0.00,54.6,65.0,75.4,1.16,14.94
2000-06-24,0.00,54.8,64.7,74.6,0.07,14.22
2000-06-25,0.00,56.0,69.2,82.3,0.00,18.23
2000-06-26,0.02,62.5,71.8,81.1,0.04,14.73
2000-06-27,0.00,64.3,72.0,79.7,0.22,13.44
2000-06-28,0.53,57.6,63.7,69.8,0.05,4.82
2000-06-29,0.03,57.3,63.9,70.4,0.05,8.43
2000-06-30,0.02,49.5,60.7,72.0,0.42,11.93
2000-07-01,0.00,50.0,60.7,71.4,0.36,14.46
2000-07-02,0.00,51.7,62.9,74.2,0.96,16.90
2000-07-03,0.00,58.9,68.6,78.3,1.65,18.94
2000-07-04,0.43,59.4,67.0,74.7,0.00,10.29
2000-07-05,0.02,60.0,69.2,78.4,0.34,11.58
2000-07-06,0.00,53.8,65.6,77.3,0.74,18.04
2000-07-07,0.00,53.5,65.0,76.5,0.11,16.67
2000-07-08,0.00,45.3,58.1,70.9,0.69,15.06
2000-07-09,0.00,49.1,62.2,75.3,0.07,18.34
2000-07-10,0.01,53.8,67.5,81.3,0.73,20.58
2000-07-11,0.73,55.5,66.3,77.2,0.00,10.06
2000-07-12,0.00,55.1,63.9,72.6,1.43,10.92
2000-07-13,0.00,57.8,66.6,75.3,2.12,16.92
2000-07-14,0.00,57.8,66.4,75.0,0.04,12.21
2000-07-15,0.25,55.7,67.3,78.8,0.01,16.20
2000-07-16,0.10,55.5,63.4,71.2,0.01,9.55
2000-07-17,0.09,56.3,64.8,73.2,0.01,11.40
2000-07-18,0.00,59.1,66.9,74.7,0.04,11.19
2000-07-19,0.21,59.0,68.4,77.7,1.10,15.08
2000-07-20,0.52,56.7,59.4,62.1,0.08,3.10
2000-07-21,0.00,52.9,61.7,70.6,0.29,12.32
2000-07-22,0.06,51.9,62.1,72.2,0.02,11.97
2000-07-23,0.00,49.9,60.5,71.2,0.39,12.72
2000-07-24,0.35,52.0,60.3,68.6,0.10,11.21
2000-07-25,0.24,53.9,56.4,58.9,0.02,0.97
2000-07-26,0.00,54.8,62.6,70.3,0.11,9.59
2000-07-27,0.00,56.7,62.4,68.2,0.04,5.67
2000-07-28,0.00,56.9,67.3,77.7,0.05,14.74
2000-07-29,0.27,56.8,66.4,76.0,0.01,10.70
2000-07-30,0.08,59.9,64.0,68.1,0.02,2.54
2000-07-31,0.31,62.8,70.8,78.8,0.01,11.41
2000-08-01,0.73,62.0,70.1,78.1,0.00,10.47
2000-08-02,0.07,62.9,71.6,80.3,0.11,13.76
2000-08-03,0.00,63.8,72.5,81.2,0.32,16.14
2000-08-04,0.37,61.0,67.9,74.8,0.10,8.77
2000-08-05,0.00,52.2,63.1,74.0,0.20,12.60
2000-08-06,0.00,53.3,64.0,74.7,0.61,18.25
2000-08-07,2.75,56.5,65.4,74.3,0.03,6.42
2000-08-08,0.03,66.6,74.1,81.5,0.77,16.56
2000-08-09,0.00,65.8,73.5,81.2,0.86,16.90
2000-08-10,0.04,64.8,72.9,81.0,1.37,14.26
2000-08-11,0.00,60.7,68.8,76.9,1.57,15.28
2000-08-12,0.00,54.7,64.3,73.8,0.62,12.55
2000-08-13,0.11,52.7,61.6,70.5,0.05,12.29
2000-08-14,0.00,53.0,60.2,67.4,0.01,7.96
2000-08-15,0.00,57.6,66.1,74.6,0.91,15.13
2000-08-16,0.00,60.0,69.0,77.9,2.12,14.77
2000-08-17,0.00,49.3,62.1,74.9,1.77,18.01
2000-08-18,0.05,49.6,57.4,65.2,0.01,8.32
2000-08-19,0.09,52.2,60.6,68.9,0.32,7.41
2000-08-20,0.00,47.5,58.0,68.4,0.85,12.54
2000-08-21,0.00,47.2,57.8,68.4,0.86,13.57
2000-08-22,0.00,47.9,58.9,69.8,0.25,12.88
