PRISM Time Series Data
Location:  Lat: 40.6368   Lon: -73.3186   Elev: 0ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.01,27.5,33.7,40.0,0.10,3.53
2000-01-02,0.00,32.8,39.9,47.0,0.04,3.73
2000-01-03,0.00,42.0,48.9,55.9,0.33,4.04
2000-01-04,0.00,47.5,53.9,60.2,0.11,4.85
2000-01-05,0.92,37.6,47.3,56.9,0.15,3.52
2000-01-06,0.00,23.7,31.1,38.5,1.41,4.74
2000-01-07,0.00,25.3,34.0,42.7,0.41,4.15
2000-01-08,0.00,28.6,38.4,48.3,0.57,6.85
2000-01-09,0.00,29.0,34.6,40.3,1.98,4.67
2000-01-10,0.07,39.6,44.5,49.5,1.66,6.04
2000-01-11,0.93,43.9,49.9,55.9,0.43,4.32
2000-01-12,0.00,39.8,45.9,51.9,3.39,7.31
2000-01-13,0.00,34.4,40.1,45.9,2.58,7.63
2000-01-14,0.04,14.5,26.1,37.8,0.37,3.19
2000-01-15,0.00,12.7,17.6,22.5,1.02,2.65
2000-01-16,0.00,14.3,27.0,39.7,1.00,3.47
2000-01-17,0.00,10.6,28.3,46.0,1.32,6.17
2000-01-18,0.00,5.4,11.1,16.8,0.80,2.15
2000-01-19,0.00,5.6,12.4,19.2,0.82,2.30
2000-01-20,0.05,12.3,20.6,28.9,0.85,3.79
2000-01-21,0.07,17.1,22.6,28.1,0.30,1.88
2000-01-22,0.00,8.7,13.7,18.7,1.11,2.15
2000-01-23,0.00,9.0,14.8,20.5,0.96,2.58
2000-01-24,0.00,15.9,22.1,28.4,0.65,2.29
2000-01-25,0.09,26.2,31.6,36.9,0.44,3.29
2000-01-26,0.57,23.6,28.3,33.0,0.15,1.62
2000-01-27,0.00,16.4,23.8,31.1,0.75,2.88
2000-01-28,0.00,8.7,15.2,21.6,0.97,2.30
2000-01-29,0.00,10.2,17.3,24.4,1.03,2.81
2000-01-30,0.00,14.4,24.4,34.4,0.98,5.19
2000-01-31,0.58,18.5,30.5,42.5,0.24,4.67
2000-02-01,0.00,27.0,32.1,37.1,0.71,2.94
2000-02-02,0.00,23.1,29.3,35.6,1.59,3.64
2000-02-03,0.00,19.4,24.5,29.6,1.67,3.52
2000-02-04,0.06,22.9,27.5,32.1,0.18,3.02
2000-02-05,0.00,25.8,28.8,31.7,0.10,1.41
2000-02-06,0.00,26.7,31.2,35.6,0.98,4.40
2000-02-07,0.00,28.0,32.4,36.8,1.98,5.17
2000-02-08,0.00,19.1,30.8,42.6,1.92,5.44
2000-02-09,0.00,18.6,24.6,30.7,0.70,3.95
2000-02-10,0.00,27.8,36.3,44.7,0.36,4.21
2000-02-11,0.00,33.9,41.2,48.4,0.08,5.69
2000-02-12,0.00,25.0,36.3,47.7,0.12,3.38
2000-02-13,0.00,18.7,25.1,31.5,0.75,4.09
2000-02-14,0.55,24.8,35.6,46.3,0.20,4.01
2000-02-15,0.11,32.1,42.6,53.1,1.22,6.23
2000-02-16,0.00,26.7,34.3,42.0,1.02,6.13
2000-02-17,0.00,27.8,38.6,49.3,1.65,5.59
2000-02-18,0.00,24.4,29.1,33.8,1.89,4.72
2000-02-19,0.76,29.1,32.9,36.8,0.05,3.19
2000-02-20,0.05,30.0,31.6,33.1,0.05,0.95
2000-02-21,0.00,27.9,33.3,38.6,0.97,3.95
2000-02-22,0.00,26.0,34.0,42.1,0.54,5.24
2000-02-23,0.00,27.3,36.6,45.8,0.18,5.45
2000-02-24,0.04,31.7,42.3,53.0,0.16,6.42
2000-02-25,0.00,38.2,48.5,58.8,0.08,6.71
2000-02-26,0.12,37.2,43.7,50.2,0.26,2.98
2000-02-27,0.01,37.5,40.1,42.7,0.01,0.84
2000-02-28,0.11,41.2,46.6,51.9,0.05,1.47
2000-02-29,0.04,34.9,42.2,49.5,1.41,6.86
2000-03-01,0.00,31.3,42.4,53.5,1.72,10.86
2000-03-02,0.00,35.7,41.0,46.3,0.65,5.13
2000-03-03,0.00,33.3,40.5,47.6,2.01,6.87
2000-03-04,0.00,32.1,39.1,46.2,2.69,7.51
2000-03-05,0.00,34.3,42.7,51.2,2.34,9.76
2000-03-06,0.00,34.1,43.9,53.6,1.85,9.10
2000-03-07,0.00,30.3,41.7,53.1,1.35,10.48
2000-03-08,0.02,36.5,47.8,59.1,0.39,11.14
2000-03-09,0.00,41.8,49.4,56.9,0.12,6.64
2000-03-10,0.00,44.4,54.4,64.4,0.14,8.10
2000-03-11,0.00,39.9,47.9,55.9,0.66,7.15
2000-03-12,2.02,37.4,41.6,45.7,0.00,1.67
2000-03-13,0.23,31.1,41.1,51.1,0.21,4.02
2000-03-14,0.00,30.0,38.1,46.2,0.45,6.98
2000-03-15,0.00,36.0,42.9,49.7,0.35,5.87
2000-03-16,0.00,41.8,49.0,56.2,0.30,7.31
2000-03-17,1.27,39.0,49.5,60.1,0.03,7.43
