PRISM Time Series Data
Location:  Lat: 40.8878   Lon: -75.7621   Elev: 1079ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.7,31.6,40.4,0.16,2.84
2000-01-02,0.00,25.5,36.0,46.6,0.29,4.79
2000-01-03,0.01,37.3,46.6,55.8,0.40,4.74
2000-01-04,0.09,49.7,54.2,58.7,0.41,3.52
2000-01-05,0.18,28.2,44.9,61.7,0.20,4.75
2000-01-06,0.00,15.9,25.2,34.5,0.28,3.66
2000-01-07,0.00,19.9,29.4,39.0,0.39,4.17
2000-01-08,0.00,19.7,31.5,43.3,0.28,4.89
2000-01-09,0.00,21.1,29.2,37.3,0.70,4.24
2000-01-10,0.00,31.9,39.6,47.3,0.40,5.48
2000-01-11,0.99,33.7,40.5,47.3,0.00,3.96
2000-01-12,0.00,32.1,39.9,47.8,0.95,6.69
2000-01-13,0.00,27.6,34.9,42.2,0.75,5.79
2000-01-14,0.08,8.3,20.5,32.7,0.13,1.79
2000-01-15,0.00,7.6,14.3,21.1,0.54,2.43
2000-01-16,0.00,14.4,21.3,28.3,0.89,2.40
2000-01-17,0.00,2.5,23.6,44.6,0.73,5.69
2000-01-18,0.00,0.4,7.0,13.7,0.52,1.97
2000-01-19,0.00,1.7,9.1,16.5,0.59,2.11
2000-01-20,0.33,12.2,20.4,28.6,0.38,2.98
2000-01-21,0.18,5.6,15.6,25.7,0.14,1.48
2000-01-22,0.00,2.9,8.6,14.4,0.59,1.83
2000-01-23,0.01,4.0,10.9,17.9,0.45,2.05
