PRISM Time Series Data
Location:  Lat: 40.5253   Lon: -76.5387   Elev: 1033ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,25.3,33.6,42.0,0.33,2.69
2000-01-02,0.00,26.7,37.7,48.7,0.34,5.72
2000-01-03,0.04,37.1,46.9,56.7,0.44,5.17
2000-01-04,0.02,48.9,53.7,58.5,0.35,3.25
2000-01-05,0.34,30.7,45.9,61.1,0.62,4.39
2000-01-06,0.00,19.6,26.6,33.6,0.48,3.43
2000-01-07,0.00,21.1,29.7,38.3,0.40,3.77
2000-01-08,0.00,21.6,31.5,41.3,0.44,4.44
2000-01-09,0.00,22.4,29.9,37.4,0.76,4.14
2000-01-10,0.00,33.1,39.4,45.8,0.53,5.05
2000-01-11,0.86,35.8,40.2,44.6,0.04,4.17
2000-01-12,0.01,32.1,39.3,46.6,0.99,6.77
2000-01-13,0.00,29.9,35.2,40.4,1.07,5.07
2000-01-14,0.02,10.8,22.5,34.3,0.36,1.82
2000-01-15,0.00,9.8,16.2,22.5,0.51,2.58
2000-01-16,0.00,13.4,21.0,28.6,0.55,2.41
2000-01-17,0.00,4.3,25.1,45.8,0.90,6.06
2000-01-18,0.00,1.8,7.5,13.3,0.60,1.97
2000-01-19,0.00,2.8,8.8,14.7,0.47,1.81
2000-01-20,0.56,13.4,21.5,29.7,0.22,2.81
2000-01-21,0.18,7.4,16.7,26.0,0.12,1.39
2000-01-22,0.00,3.7,8.7,13.7,0.48,1.59
2000-01-23,0.00,3.6,10.3,17.0,0.35,1.65
2000-01-24,0.00,14.8,19.7,24.6,0.39,1.38
2000-01-25,0.00,19.4,25.8,32.1,0.43,2.67
2000-01-26,0.71,17.9,19.8,21.7,0.20,1.41
2000-01-27,0.00,6.8,16.5,26.3,0.50,2.12
2000-01-28,0.00,5.3,10.7,16.2,0.73,1.87
2000-01-29,0.00,5.7,13.4,21.1,0.68,2.83
2000-01-30,0.00,6.7,18.1,29.6,0.50,3.87
2000-01-31,0.90,12.2,19.9,27.7,0.06,2.32
2000-02-01,0.00,17.7,23.2,28.8,0.42,2.25
2000-02-02,0.00,17.3,22.4,27.5,0.93,2.00
2000-02-03,0.00,11.3,18.5,25.8,0.74,2.71
2000-02-04,0.05,14.4,21.5,28.7,0.11,2.51
2000-02-05,0.07,20.9,25.7,30.6,0.07,1.69
2000-02-06,0.00,20.2,25.1,30.0,1.25,3.04
2000-02-07,0.00,21.8,27.2,32.7,1.12,3.31
2000-02-08,0.00,10.8,23.6,36.4,0.83,3.20
2000-02-09,0.00,9.5,19.2,28.9,0.46,3.58
2000-02-10,0.00,13.8,28.4,42.9,0.34,5.01
2000-02-11,0.06,25.7,35.5,45.4,0.58,4.72
2000-02-12,0.00,18.0,30.6,43.2,0.57,3.03
2000-02-13,0.00,13.7,21.4,29.1,0.46,3.27
2000-02-14,0.76,17.1,25.0,33.0,0.09,2.09
2000-02-15,0.09,28.0,34.3,40.6,0.18,2.34
2000-02-16,0.00,24.2,29.5,34.7,0.79,3.29
2000-02-17,0.00,21.4,34.5,47.6,1.42,4.85
2000-02-18,0.05,21.3,26.0,30.7,0.59,3.35
2000-02-19,0.59,24.4,27.2,30.1,0.00,0.95
2000-02-20,0.01,26.2,29.2,32.3,0.12,1.69
2000-02-21,0.00,24.3,29.0,33.7,1.07,2.64
2000-02-22,0.00,22.1,29.6,37.1,0.36,3.43
2000-02-23,0.00,23.0,35.6,48.3,0.39,6.37
2000-02-24,0.00,31.4,41.9,52.4,0.33,6.79
2000-02-25,0.01,32.7,47.1,61.5,0.44,10.71
2000-02-26,0.01,35.2,50.5,65.8,0.05,9.36
2000-02-27,0.01,36.4,39.6,42.8,0.02,1.39
2000-02-28,0.77,36.8,45.3,53.7,0.10,1.81
2000-02-29,0.00,28.9,38.6,48.3,1.25,7.43
