PRISM Time Series Data
Location:  Lat: 40.7069   Lon: -74.4678   Elev: 236ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,24.1,32.1,40.1,0.02,2.91
2000-01-02,0.00,27.7,37.5,47.2,0.03,3.63
2000-01-03,0.00,34.1,46.2,58.3,0.00,5.02
2000-01-04,0.00,45.7,53.8,62.0,0.00,5.58
2000-01-05,0.44,34.6,49.9,65.1,0.31,6.12
2000-01-06,0.00,18.4,27.7,37.0,0.52,4.31
2000-01-07,0.00,19.7,31.0,42.2,0.21,4.94
2000-01-08,0.00,23.1,35.2,47.4,0.26,6.43
2000-01-09,0.00,23.4,31.5,39.6,0.98,4.80
2000-01-10,0.00,33.4,41.9,50.4,0.37,6.59
2000-01-11,0.51,38.5,47.2,56.0,0.00,4.43
2000-01-12,0.00,36.2,42.9,49.5,2.19,7.15
2000-01-13,0.02,30.2,38.2,46.1,1.45,7.53
2000-01-14,0.02,11.8,23.1,34.3,0.25,2.16
2000-01-15,0.00,11.2,16.7,22.2,0.86,2.54
2000-01-16,0.00,13.8,22.3,30.7,0.94,2.68
2000-01-17,0.00,7.5,25.5,43.5,1.05,5.17
2000-01-18,0.00,3.4,10.6,17.9,0.75,2.51
2000-01-19,0.00,4.4,12.1,19.8,0.83,2.51
2000-01-20,0.13,12.8,21.4,29.9,0.58,3.56
2000-01-21,0.21,10.9,18.7,26.6,0.22,1.57
2000-01-22,0.00,5.8,11.6,17.5,0.87,2.18
2000-01-23,0.00,6.3,13.3,20.2,0.58,2.48
2000-01-24,0.00,16.0,21.9,27.8,0.58,1.94
2000-01-25,0.27,22.6,31.2,39.8,0.24,4.53
