PRISM Time Series Data
Location:  Lat: 38.4629   Lon: -79.8914   Elev: 3314ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,2.91,13.7,23.9,34.0,0.33,3.87
2000-02,4.13,22.3,32.1,41.8,0.36,5.06
2000-03,3.72,27.3,39.5,51.6,0.55,8.15
2000-04,4.31,34.2,45.0,55.8,0.82,8.53
2000-05,4.31,46.1,57.8,69.5,1.28,13.85
2000-06,6.07,55.0,64.7,74.4,0.80,13.34
2000-07,4.54,53.8,63.1,72.4,0.26,11.41
2000-08,5.81,54.6,63.8,73.0,0.81,11.88
2000-09,5.30,48.1,58.0,67.9,0.46,10.23
2000-10,0.44,37.1,49.9,62.7,0.73,11.42
2000-11,2.62,24.9,34.5,44.2,0.45,5.27
2000-12,2.53,10.8,20.7,30.7,0.16,2.52
2001-01,3.48,15.7,25.2,34.6,0.29,3.46
2001-02,2.49,21.8,32.0,42.2,0.19,4.88
2001-03,3.89,21.6,30.3,39.0,0.29,4.03
2001-04,2.14,36.7,48.7,60.8,0.90,11.23
2001-05,6.03,43.9,54.7,65.6,0.59,10.46
2001-06,4.08,50.9,62.1,73.3,0.16,13.32
2001-07,6.74,53.0,63.3,73.5,0.15,11.71
2001-08,2.60,56.4,66.3,76.2,0.52,13.84
2001-09,2.13,45.5,56.7,68.0,0.53,11.70
2001-10,1.01,33.8,46.6,59.3,0.65,9.88
2001-11,0.76,29.6,43.3,57.0,0.69,9.60
2001-12,2.96,25.7,34.8,44.0,0.49,5.01
2002-01,2.60,20.3,29.8,39.4,0.42,4.38
2002-02,1.32,18.7,30.2,41.8,0.35,5.51
2002-03,5.10,24.4,35.9,47.4,0.53,5.89
2002-04,7.11,36.7,47.6,58.5,0.75,9.51
2002-05,5.49,40.7,52.6,64.6,0.61,11.59
2002-06,3.71,52.5,63.8,75.2,0.30,14.48
2002-07,8.07,57.6,67.2,76.9,0.26,12.70
2002-08,2.47,55.6,66.2,76.8,0.70,15.24
2002-09,5.06,50.4,61.8,73.1,0.95,14.86
2002-10,5.89,41.1,49.1,57.1,0.24,5.23
2002-11,4.67,26.7,34.6,42.6,0.43,4.31
2002-12,4.55,18.2,26.8,35.5,0.32,3.08
2003-01,3.12,10.8,19.4,27.9,0.22,2.25
2003-02,6.63,17.4,25.0,32.5,0.14,2.28
2003-03,2.76,27.9,39.4,50.9,0.58,7.25
2003-04,4.14,35.7,47.2,58.7,0.72,10.49
2003-05,6.57,45.3,53.6,61.9,0.37,7.62
2003-06,6.61,49.4,59.1,68.9,0.18,10.33
2003-07,4.08,55.6,64.9,74.3,0.63,12.14
2003-08,3.68,57.3,66.5,75.7,0.71,13.01
2003-09,7.75,48.1,57.7,67.2,0.46,9.50
2003-10,3.11,34.6,45.7,56.7,0.45,8.15
2003-11,7.16,31.4,43.1,54.8,0.73,8.12
2003-12,3.42,18.5,27.2,35.9,0.27,3.78
2004-01,2.79,12.1,21.7,31.2,0.23,2.52
2004-02,3.72,16.6,26.5,36.4,0.26,3.83
2004-03,3.35,27.1,38.2,49.2,0.24,6.64
2004-04,5.82,35.3,45.7,56.1,0.62,9.48
2004-05,6.53,50.0,60.4,70.9,0.86,12.06
2004-06,3.86,52.4,61.6,70.7,0.18,9.92
2004-07,3.58,55.8,64.9,74.0,0.32,11.38
2004-08,3.83,52.6,62.9,73.2,1.01,13.46
2004-09,8.45,50.0,60.5,71.0,0.87,12.79
2004-10,2.57,40.4,50.3,60.1,0.52,8.09
2004-11,4.00,32.5,41.6,50.6,0.73,6.08
2004-12,3.84,19.5,29.0,38.5,0.45,3.86
2005-01,3.43,20.0,28.9,37.7,0.32,2.91
2005-02,2.73,19.9,29.5,39.2,0.24,3.77
2005-03,5.69,22.2,31.0,39.8,0.35,4.53
2005-04,4.59,34.3,46.6,58.9,1.14,11.12
2005-05,2.73,39.5,50.8,62.1,0.92,11.21
2005-06,1.59,53.9,64.1,74.3,1.02,13.86
2005-07,5.79,58.9,67.9,76.9,0.45,12.76
2005-08,4.80,58.1,67.2,76.2,1.05,14.81
2005-09,0.80,49.7,61.1,72.5,0.93,15.06
2005-10,3.22,40.6,50.0,59.3,0.55,8.55
2005-11,5.08,27.6,39.2,50.7,0.74,7.26
2005-12,3.16,16.0,24.7,33.4,0.22,3.15
2006-01,4.55,23.5,33.0,42.4,0.35,4.77
2006-02,1.59,16.7,25.8,34.8,0.33,3.79
2006-03,2.35,24.9,35.2,45.4,0.60,6.92
2006-04,4.87,36.9,49.6,62.4,0.85,12.57
2006-05,2.21,40.0,51.5,62.9,0.56,11.34
2006-06,7.39,49.7,60.6,71.5,0.13,12.44
2006-07,6.80,55.7,65.6,75.4,0.17,13.55
2006-08,2.27,55.8,66.8,77.8,0.82,17.14
2006-09,3.97,47.5,56.1,64.8,0.24,8.70
2006-10,5.65,34.8,45.1,55.4,0.13,7.20
2006-11,3.29,30.1,41.0,51.9,0.56,7.74
2006-12,2.02,23.8,34.4,45.0,0.35,5.67
2007-01,3.95,20.1,29.2,38.3,0.19,3.57
2007-02,3.16,8.9,18.3,27.8,0.23,2.70
2007-03,5.29,28.0,39.7,51.4,0.73,8.16
2007-04,4.64,31.9,42.2,52.5,0.46,8.56
2007-05,3.41,44.8,57.1,69.4,0.40,14.74
2007-06,6.14,51.3,62.4,73.5,0.22,13.08
2007-07,3.93,52.4,62.8,73.2,0.26,12.38
2007-08,2.78,57.9,68.7,79.6,0.42,16.87
2007-09,3.45,48.6,61.4,74.3,0.65,16.62
2007-10,3.99,41.9,53.9,65.9,0.34,11.85
2007-11,2.76,26.7,36.3,45.9,0.50,5.22
2007-12,5.69,24.5,32.8,41.0,0.31,3.30
2008-01,3.86,15.1,24.5,33.8,0.30,3.32
2008-02,3.63,19.6,29.4,39.2,0.23,3.56
2008-03,5.06,24.8,36.0,47.2,0.51,6.63
2008-04,4.57,37.4,48.7,60.0,0.96,10.98
2008-05,6.13,40.5,51.8,63.0,0.50,11.46
2008-06,3.73,51.8,63.5,75.2,0.38,15.24
2008-07,3.07,53.3,64.3,75.4,0.46,14.92
2008-08,2.50,51.6,62.4,73.2,0.53,14.31
2008-09,1.85,49.8,60.2,70.7,0.44,12.83
2008-10,1.25,34.5,46.2,57.9,0.44,10.54
2008-11,3.25,24.9,33.9,43.0,0.39,5.90
2008-12,5.15,21.0,30.5,39.9,0.26,3.51
2009-01,5.21,12.7,21.8,31.0,0.20,2.41
2009-02,1.68,17.0,27.5,38.0,0.40,4.81
2009-03,2.98,27.0,37.8,48.7,0.81,7.34
2009-04,5.09,34.1,45.6,57.1,1.23,11.52
2009-05,6.48,46.0,55.7,65.4,0.61,10.49
2009-06,3.62,53.1,63.1,73.2,0.28,12.46
2009-07,4.46,52.2,61.8,71.3,0.23,11.95
2009-08,4.46,55.8,65.2,74.5,0.39,12.98
2009-09,4.25,48.4,57.8,67.2,0.43,9.53
2009-10,4.64,35.9,46.6,57.2,0.38,8.17
2009-11,2.13,31.9,41.7,51.5,0.75,6.86
2009-12,6.27,18.3,26.7,35.0,0.28,3.11
2010-01,5.01,14.9,22.2,29.5,0.21,2.29
2010-02,4.34,12.8,20.5,28.1,0.12,2.07
2010-03,3.38,27.6,37.1,46.5,0.61,6.70
2010-04,1.40,35.8,49.9,63.9,1.56,15.60
2010-05,7.62,47.2,58.1,69.0,0.28,12.42
2010-06,3.46,55.9,66.0,76.2,0.10,13.51
2010-07,4.49,56.8,67.6,78.4,0.44,16.61
2010-08,5.97,57.5,66.7,75.9,0.39,13.30
2010-09,3.50,46.5,59.4,72.3,0.60,16.67
2010-10,3.35,37.0,48.6,60.3,0.46,10.57
2010-11,2.27,27.3,38.4,49.5,0.70,7.30
2010-12,4.31,11.5,18.6,25.7,0.04,1.76
2011-01,2.14,13.5,21.6,29.7,0.23,2.45
2011-02,2.65,20.8,30.9,41.1,0.52,4.57
2011-03,8.74,25.7,35.9,46.1,0.36,5.48
2011-04,8.79,37.6,48.6,59.6,0.40,10.41
2011-05,5.29,46.3,56.7,67.1,0.13,11.43
2011-06,3.99,52.4,63.4,74.4,0.26,13.28
2011-07,3.27,57.3,68.2,79.2,0.14,15.88
2011-08,4.26,55.4,65.6,75.8,0.24,14.58
2011-09,5.16,50.5,59.4,68.3,0.12,9.14
2011-10,4.14,36.5,46.3,56.0,0.41,8.40
2011-11,4.63,29.7,41.0,52.4,0.73,7.44
2011-12,4.65,23.8,33.1,42.5,0.34,4.80
2012-01,3.28,19.1,28.6,38.0,0.27,3.75
2012-02,2.52,21.0,31.4,41.9,0.24,5.19
2012-03,4.18,33.3,45.7,58.2,0.60,10.56
2012-04,2.06,33.6,46.1,58.6,0.82,11.65
2012-05,6.41,49.6,60.1,70.6,0.39,12.79
2012-06,2.52,48.8,60.2,71.7,0.36,13.66
2012-07,5.55,59.0,69.2,79.5,0.41,15.89
2012-08,4.69,53.8,64.0,74.3,0.35,14.20
2012-09,5.82,47.2,57.9,68.7,0.31,11.46
2012-10,3.18,36.8,47.4,58.0,0.27,8.61
2012-11,0.57,23.9,34.8,45.6,0.72,6.76
2012-12,3.84,25.6,33.9,42.2,0.24,3.90
2013-01,5.35,19.5,28.5,37.5,0.37,3.79
2013-02,2.30,15.2,24.3,33.5,0.11,3.06
2013-03,4.17,20.8,28.2,35.6,0.27,3.69
2013-04,3.30,35.0,46.7,58.4,0.71,10.89
2013-05,4.50,42.5,53.3,64.1,0.47,11.19
2013-06,6.47,53.7,63.1,72.5,0.21,11.55
2013-07,5.76,58.1,66.5,74.9,0.13,10.93
2013-08,5.92,53.8,62.7,71.7,0.19,10.52
2013-09,2.17,47.4,58.2,69.0,0.16,10.78
2013-10,1.97,38.8,48.9,58.9,0.19,8.07
2013-11,3.61,24.0,34.0,44.0,0.47,5.71
2013-12,6.98,22.2,30.8,39.4,0.28,3.74
2014-01,2.76,6.2,18.0,29.8,0.20,2.95
2014-02,3.87,16.6,25.9,35.2,0.37,3.97
2014-03,3.72,19.2,30.7,42.1,0.59,5.82
2014-04,3.49,33.8,46.6,59.5,1.20,11.17
2014-05,4.50,44.0,55.8,67.6,0.43,13.22
2014-06,2.96,54.0,64.2,74.3,0.27,13.33
2014-07,3.25,53.1,63.3,73.4,0.24,13.46
2014-08,2.83,53.2,62.4,71.7,0.22,10.85
2014-09,1.44,49.5,59.4,69.3,0.21,10.09
2014-10,5.46,38.3,48.1,57.8,0.34,8.57
2014-11,3.00,21.2,31.4,41.5,0.37,5.48
2014-12,3.42,25.0,32.8,40.6,0.27,3.09
2015-01,3.29,14.1,22.9,31.7,0.21,2.65
2015-02,4.13,5.9,17.4,29.0,0.26,2.85
2015-03,4.68,23.1,34.0,44.8,0.48,5.79
2015-04,7.48,35.1,46.6,58.1,0.60,9.90
2015-05,2.39,46.8,58.8,70.8,0.33,14.37
2015-06,8.46,55.9,64.9,74.0,0.05,10.83
2015-07,6.90,57.5,66.4,75.3,0.07,11.52
2015-08,2.58,53.3,63.6,73.9,0.41,13.80
2015-09,4.05,50.9,60.7,70.5,0.36,11.94
2015-10,2.82,38.0,48.6,59.1,0.46,8.79
2015-11,2.60,32.9,42.9,52.9,0.83,7.62
2015-12,5.39,33.1,42.0,51.0,0.40,4.97
2016-01,3.84,11.5,21.7,32.0,0.41,3.29
2016-02,4.77,18.4,27.0,35.5,0.31,3.49
2016-03,2.06,31.3,42.4,53.6,0.91,9.56
2016-04,2.86,33.3,46.2,59.0,1.33,11.44
2016-05,5.61,44.5,54.0,63.6,0.11,10.27
2016-06,6.30,52.3,63.1,74.0,0.36,14.08
2016-07,3.25,58.0,67.8,77.6,0.15,13.85
2016-08,4.32,59.2,68.4,77.6,0.22,14.04
2016-09,5.57,52.4,63.6,74.9,0.72,16.20
2016-10,3.73,40.7,51.5,62.3,0.50,9.28
2016-11,2.37,29.3,40.4,51.6,0.78,8.17
2016-12,4.56,20.9,29.6,38.3,0.26,3.39
