PRISM Time Series Data
Location:  Lat: 39.7797   Lon: -79.2333   Elev: 2543ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.1,32.0,43.0,0.12,4.59
2000-01-02,0.00,22.0,35.9,49.9,0.38,6.09
2000-01-03,0.06,35.8,49.7,63.6,0.41,11.40
2000-01-04,0.14,44.3,51.9,59.6,0.00,5.10
2000-01-05,0.27,23.2,40.9,58.6,0.44,4.81
2000-01-06,0.04,11.9,20.5,29.0,0.00,1.99
2000-01-07,0.00,13.2,27.2,41.3,0.02,4.90
2000-01-08,0.00,15.7,26.1,36.6,0.05,3.81
2000-01-09,0.00,16.4,27.3,38.2,0.27,4.73
2000-01-10,0.02,32.1,37.4,42.7,0.13,4.39
2000-01-11,0.17,26.8,36.4,46.1,0.00,4.92
2000-01-12,0.09,23.2,31.8,40.5,0.17,4.38
2000-01-13,0.15,25.9,36.6,47.2,0.22,7.48
2000-01-14,0.05,8.3,25.8,43.3,0.05,3.28
2000-01-15,0.00,4.1,11.0,17.8,0.06,1.21
2000-01-16,0.00,7.6,25.6,43.5,0.13,6.57
2000-01-17,0.00,4.1,24.3,44.5,0.50,5.33
2000-01-18,0.00,4.2,11.7,19.1,0.51,2.45
2000-01-19,0.08,12.2,17.1,22.0,0.27,2.40
2000-01-20,0.26,18.1,21.8,25.4,0.08,1.51
2000-01-21,0.24,3.1,12.9,22.7,0.14,1.01
2000-01-22,0.03,-1.6,4.1,9.7,0.13,0.83
2000-01-23,0.04,3.5,10.6,17.7,0.19,1.38
2000-01-24,0.00,14.4,22.1,29.8,0.15,1.41
2000-01-25,0.00,12.2,20.3,28.4,0.36,2.57
2000-01-26,0.00,9.0,13.3,17.5,0.16,0.79
2000-01-27,0.06,2.0,10.9,19.8,0.14,1.15
2000-01-28,0.01,0.4,5.7,11.0,0.26,1.15
2000-01-29,0.00,-1.6,8.3,18.2,0.01,1.08
2000-01-30,0.09,3.2,18.9,34.5,0.02,4.65
2000-01-31,0.26,15.2,21.8,28.4,0.00,1.21
2000-02-01,0.04,15.8,20.4,24.9,0.11,1.52
2000-02-02,0.11,12.4,18.1,23.7,0.05,1.12
2000-02-03,0.00,9.6,18.1,26.6,0.33,2.43
2000-02-04,0.24,15.5,23.3,31.1,0.01,2.35
2000-02-05,0.15,12.6,20.5,28.3,0.04,0.96
2000-02-06,0.00,14.0,21.0,28.0,0.20,2.13
2000-02-07,0.00,12.2,21.9,31.6,0.00,2.76
2000-02-08,0.00,7.3,21.4,35.6,0.00,2.60
2000-02-09,0.00,8.0,22.3,36.7,0.12,4.41
2000-02-10,0.00,23.1,35.9,48.7,0.61,7.20
2000-02-11,0.46,31.8,41.7,51.6,0.23,7.85
2000-02-12,0.03,15.1,28.1,41.1,0.02,1.54
2000-02-13,0.00,14.9,24.0,33.1,0.18,3.55
2000-02-14,1.18,20.6,28.8,37.1,0.00,1.85
2000-02-15,0.24,21.2,33.5,45.8,0.00,2.72
2000-02-16,0.03,20.8,30.7,40.6,0.04,3.38
2000-02-17,0.01,17.3,32.7,48.0,0.01,4.74
2000-02-18,0.14,17.8,26.0,34.2,0.21,3.71
2000-02-19,2.19,26.0,38.6,51.1,0.04,3.48
2000-02-20,0.05,23.2,29.3,35.4,0.08,1.83
2000-02-21,0.00,23.5,26.4,29.2,0.03,1.54
2000-02-22,0.00,21.1,31.5,42.0,0.07,4.76
2000-02-23,0.00,25.2,39.7,54.2,0.32,8.93
2000-02-24,0.00,34.7,46.8,58.9,0.10,9.91
2000-02-25,0.00,36.8,51.5,66.2,0.22,13.79
2000-02-26,0.00,35.6,51.6,67.6,0.00,10.67
2000-02-27,0.00,34.3,47.9,61.4,0.00,8.46
2000-02-28,0.48,31.3,46.9,62.5,0.01,8.32
2000-02-29,0.00,21.0,33.8,46.6,0.02,6.91
2000-03-01,0.00,22.7,40.7,58.7,0.28,13.92
2000-03-02,0.16,31.7,43.4,55.1,0.76,8.00
2000-03-03,0.00,23.6,29.7,35.9,0.42,2.83
2000-03-04,0.00,21.8,33.1,44.5,0.58,7.00
2000-03-05,0.00,22.7,37.6,52.4,0.83,10.57
2000-03-06,0.00,26.8,41.5,56.2,0.72,11.15
2000-03-07,0.00,28.1,42.5,56.9,0.79,11.45
2000-03-08,0.00,41.7,56.0,70.3,3.87,18.81
2000-03-09,0.00,47.2,61.1,75.1,3.19,20.67
2000-03-10,0.06,40.4,53.7,67.0,1.30,12.62
2000-03-11,0.12,33.4,44.6,55.9,0.48,8.35
2000-03-12,0.70,28.9,38.1,47.4,0.01,2.70
2000-03-13,0.02,18.2,24.3,30.4,0.06,2.69
2000-03-14,0.00,19.8,30.3,40.8,0.29,4.62
2000-03-15,0.00,27.8,39.6,51.3,0.43,8.31
2000-03-16,0.03,33.8,49.6,65.3,1.14,15.73
2000-03-17,0.43,29.2,42.4,55.7,0.02,4.38
2000-03-18,0.01,14.0,24.3,34.5,0.24,3.57
2000-03-19,0.02,17.5,28.6,39.6,0.72,6.11
2000-03-20,0.00,30.1,39.2,48.2,0.47,5.64
2000-03-21,0.71,31.3,34.6,38.0,0.00,1.70
2000-03-22,0.46,31.4,35.0,38.6,0.00,0.57
2000-03-23,0.00,34.1,40.5,46.9,0.00,2.17
2000-03-24,0.00,32.9,44.5,56.2,0.06,6.24
2000-03-25,0.00,36.2,51.2,66.2,0.23,12.96
2000-03-26,0.02,40.9,55.5,70.2,2.50,14.33
2000-03-27,0.00,29.2,42.4,55.6,1.17,10.92
2000-03-28,0.09,29.1,42.6,56.2,0.07,10.00
2000-03-29,0.39,30.1,37.3,44.6,0.05,3.35
2000-03-30,0.00,25.9,37.0,48.1,0.05,6.07
2000-03-31,0.00,23.4,38.1,52.8,0.39,8.65
2000-04-01,0.00,24.7,39.4,54.2,0.66,10.44
2000-04-02,0.01,27.7,46.8,65.9,1.11,18.29
2000-04-03,0.28,45.8,52.1,58.4,0.00,4.87
2000-04-04,0.81,48.9,58.4,67.8,0.18,9.14
2000-04-05,0.30,26.1,36.7,47.3,0.23,3.47
2000-04-06,0.00,29.7,40.2,50.6,1.26,7.85
2000-04-07,0.00,36.8,51.0,65.1,1.71,16.02
2000-04-08,0.00,39.4,53.8,68.2,1.52,15.99
2000-04-09,0.45,24.8,39.1,53.4,0.30,4.29
2000-04-10,0.10,26.2,31.4,36.6,0.15,3.74
2000-04-11,0.02,32.2,41.3,50.4,1.14,8.89
2000-04-12,0.43,27.7,40.3,52.9,0.06,7.68
