PRISM Time Series Data
Location:  Lat: 39.6580   Lon: -78.3628   Elev: 856ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,1.34,20.6,30.7,40.7,0.62,5.42
2000-02,2.66,27.7,37.8,47.8,0.84,6.75
2000-03,3.18,33.6,46.4,59.1,1.11,11.91
2000-04,3.06,39.0,51.3,63.6,0.81,12.05
2000-05,3.14,51.1,63.9,76.7,0.95,19.21
2000-06,6.26,59.4,70.8,82.2,0.68,19.04
2000-07,3.25,59.7,70.3,81.0,0.81,18.97
2000-08,3.83,59.4,70.2,80.9,0.63,17.28
2000-09,4.34,52.6,64.0,75.3,0.51,14.51
2000-10,0.76,43.1,55.8,68.5,0.60,13.62
2000-11,2.07,30.1,40.0,49.9,0.55,6.84
2000-12,1.81,16.7,25.3,33.8,0.37,3.18
2001-01,2.00,20.6,29.1,37.7,0.43,3.79
2001-02,0.87,24.8,36.3,47.9,0.55,6.89
2001-03,3.69,27.1,37.1,47.1,0.65,6.65
2001-04,2.28,40.3,53.5,66.6,1.00,14.94
2001-05,2.84,47.3,60.5,73.8,0.82,17.59
2001-06,4.78,57.3,69.3,81.3,0.56,20.13
2001-07,3.28,57.0,69.9,82.8,0.42,21.64
2001-08,3.38,62.6,73.7,84.8,0.72,20.71
2001-09,2.30,50.0,63.3,76.7,0.44,17.70
2001-10,1.02,39.6,53.9,68.3,0.82,15.74
2001-11,0.98,35.6,49.0,62.5,0.98,12.05
2001-12,1.62,30.7,39.9,49.2,0.72,6.62
2002-01,1.86,28.4,38.0,47.6,1.04,7.07
2002-02,0.20,25.7,38.1,50.5,0.87,8.43
2002-03,3.78,30.4,42.7,55.0,0.85,9.48
2002-04,4.22,41.8,54.5,67.2,1.07,14.75
2002-05,4.33,46.8,59.6,72.4,0.79,15.98
2002-06,2.15,58.6,71.2,83.8,0.71,22.41
2002-07,3.40,63.4,75.3,87.2,0.92,24.66
2002-08,2.92,61.6,74.3,87.0,0.67,26.41
2002-09,3.51,53.6,66.7,79.8,0.57,20.33
2002-10,5.56,43.0,52.5,62.1,0.28,8.95
2002-11,3.25,33.2,42.3,51.3,0.46,6.56
2002-12,3.66,23.9,31.9,39.8,0.70,4.23
2003-01,2.50,19.2,26.4,33.6,0.65,3.46
2003-02,5.68,20.4,28.1,35.9,0.34,3.40
2003-03,4.23,29.3,42.0,54.7,0.44,8.72
2003-04,3.95,39.2,51.4,63.6,1.04,13.96
2003-05,6.85,49.5,59.0,68.5,0.52,11.75
2003-06,8.08,56.3,66.6,77.0,0.36,16.30
2003-07,2.36,61.6,72.9,84.1,0.62,21.48
2003-08,5.62,62.7,73.8,84.9,0.17,19.15
2003-09,9.78,54.0,64.0,74.0,0.18,11.90
2003-10,3.71,38.6,51.0,63.4,0.28,10.89
2003-11,4.25,36.8,47.8,58.8,0.52,8.59
2003-12,4.09,25.1,33.1,41.1,0.60,4.56
2004-01,2.72,17.4,26.0,34.7,0.59,3.72
2004-02,3.85,20.2,30.6,41.0,0.60,5.37
2004-03,2.80,32.2,43.8,55.5,0.66,9.63
2004-04,6.67,41.4,52.4,63.5,1.30,13.71
2004-05,4.61,54.5,67.4,80.3,0.72,19.72
2004-06,3.47,57.0,68.3,79.5,0.75,18.03
2004-07,4.62,61.8,72.5,83.3,0.43,19.28
2004-08,4.65,59.4,71.0,82.6,0.51,20.12
2004-09,11.11,55.7,66.4,77.1,0.37,15.57
2004-10,1.94,42.4,52.9,63.3,0.38,10.02
2004-11,4.12,37.4,47.1,56.8,0.89,8.40
2004-12,2.48,25.1,34.2,43.4,0.63,4.90
2005-01,4.01,23.8,32.2,40.6,0.50,4.15
2005-02,1.87,25.0,35.1,45.2,0.59,6.07
2005-03,4.67,27.8,37.1,46.4,0.59,6.34
2005-04,2.55,40.1,53.5,66.8,1.60,16.77
2005-05,2.64,43.6,56.5,69.3,1.02,16.10
2005-06,1.99,59.3,71.4,83.5,0.92,22.81
2005-07,4.34,63.9,75.3,86.6,0.72,23.04
2005-08,2.97,63.6,74.7,85.9,1.13,24.10
2005-09,0.34,55.1,68.8,82.6,1.05,23.73
2005-10,5.08,45.9,55.6,65.2,0.71,11.11
2005-11,3.68,33.9,45.9,58.0,0.87,10.38
2005-12,1.97,23.1,30.6,38.0,0.66,4.05
2006-01,4.43,29.2,38.9,48.5,0.69,5.97
2006-02,1.40,25.1,34.3,43.4,0.91,6.01
2006-03,0.47,31.0,41.8,52.6,1.21,9.52
2006-04,4.06,41.2,54.9,68.6,1.19,16.52
2006-05,2.05,46.8,59.3,71.8,0.95,17.29
2006-06,5.22,57.4,69.0,80.6,1.08,20.64
2006-07,4.70,64.3,74.9,85.5,1.00,22.02
2006-08,1.11,62.3,74.6,86.9,1.70,26.71
2006-09,3.52,53.1,62.7,72.3,0.62,13.03
2006-10,3.75,40.9,51.6,62.3,0.63,10.27
2006-11,3.21,35.7,45.6,55.5,0.52,7.71
2006-12,1.84,28.2,39.5,50.8,0.46,7.21
2007-01,1.37,26.2,35.3,44.5,0.50,5.16
2007-02,1.95,16.0,24.7,33.3,0.54,3.81
2007-03,3.55,28.8,41.6,54.4,0.73,10.05
2007-04,3.64,38.8,49.0,59.2,1.18,12.10
2007-05,2.04,49.1,63.1,77.0,1.32,21.54
2007-06,2.35,57.2,69.8,82.4,0.54,22.90
2007-07,1.90,58.7,71.6,84.6,0.85,24.91
2007-08,4.81,62.2,73.3,84.4,0.53,21.59
2007-09,0.83,53.0,66.6,80.2,0.29,20.52
2007-10,3.73,47.1,59.7,72.2,0.44,15.70
2007-11,2.14,32.4,42.3,52.2,0.65,7.16
2007-12,4.19,28.0,35.4,42.8,0.51,4.03
