PRISM Time Series Data
Location:  Lat: 40.1945   Lon: -75.7803   Elev: 653ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.15,19.6,28.4,37.2,0.55,3.81
2000-02,2.11,22.3,31.8,41.3,0.36,4.23
2000-03,6.39,33.5,44.8,56.1,0.87,9.62
2000-04,2.99,38.6,48.8,58.9,0.62,9.08
2000-05,4.24,50.7,61.4,72.1,0.82,14.59
2000-06,5.13,59.5,68.9,78.4,0.60,14.45
2000-07,3.17,60.0,69.4,78.8,0.69,15.82
2000-08,3.64,60.4,69.6,78.8,0.32,14.04
2000-09,5.48,52.3,62.9,73.6,0.33,12.40
2000-10,1.39,41.7,53.6,65.6,0.33,11.28
2000-11,2.68,32.0,41.5,51.0,0.67,7.00
2000-12,4.14,17.6,26.3,35.0,0.38,3.27
2001-01,3.35,18.8,27.2,35.5,0.23,2.89
2001-02,2.05,25.1,33.6,42.1,0.62,4.59
2001-03,4.22,28.2,36.5,44.7,0.60,5.42
2001-04,2.16,38.7,49.8,60.8,0.81,10.79
2001-05,3.85,48.9,60.4,72.0,0.90,15.87
2001-06,3.55,59.1,69.5,79.9,0.61,17.29
2001-07,1.72,58.5,69.8,81.0,0.38,18.46
2001-08,2.61,63.9,74.3,84.7,0.77,20.13
2001-09,4.07,51.8,63.7,75.5,0.26,15.13
2001-10,0.70,41.9,54.0,66.1,0.59,12.47
2001-11,1.07,35.8,47.2,58.6,0.46,8.66
2001-12,2.02,29.7,39.4,49.1,0.44,5.97
2002-01,3.35,26.1,34.9,43.7,0.59,5.40
2002-02,0.49,25.4,36.0,46.6,0.61,6.24
2002-03,4.00,30.2,40.6,50.9,0.59,7.12
2002-04,3.08,40.6,52.3,64.1,0.64,11.98
2002-05,5.29,45.5,57.4,69.3,0.55,13.64
2002-06,4.46,58.4,69.5,80.6,0.60,17.84
2002-07,0.41,63.9,75.0,86.2,1.62,23.29
2002-08,3.69,63.8,75.4,87.1,1.30,25.83
2002-09,4.39,55.5,67.1,78.7,0.58,17.31
2002-10,7.07,44.1,52.8,61.5,0.27,7.89
2002-11,4.61,33.2,41.7,50.1,0.35,5.46
2002-12,5.65,22.4,30.4,38.4,0.47,3.45
2003-01,1.91,17.0,24.2,31.5,0.42,2.72
2003-02,5.52,18.0,25.9,33.8,0.31,2.95
2003-03,4.33,29.0,39.7,50.4,0.37,6.48
2003-04,2.61,37.7,48.0,58.3,0.89,10.68
2003-05,3.35,47.9,56.7,65.5,0.63,9.96
2003-06,10.96,57.2,66.1,75.0,0.35,12.75
2003-07,3.69,63.4,73.1,82.8,0.75,18.38
2003-08,4.38,65.6,74.3,83.0,0.39,14.90
2003-09,11.11,56.9,65.8,74.7,0.24,11.47
2003-10,6.22,40.9,51.5,62.0,0.31,9.46
2003-11,4.32,38.3,47.6,57.0,0.60,7.11
2003-12,5.02,25.9,33.9,42.0,0.65,4.37
2004-01,1.96,16.1,23.3,30.4,0.66,2.99
2004-02,2.87,21.1,30.2,39.3,0.64,4.79
2004-03,2.54,31.7,41.7,51.7,0.77,7.99
2004-04,4.75,40.9,50.7,60.5,0.88,10.58
2004-05,3.43,55.9,66.2,76.4,0.90,15.47
2004-06,4.40,57.8,67.4,76.9,0.72,14.93
2004-07,11.21,63.1,71.8,80.6,0.76,15.57
2004-08,5.94,62.5,71.6,80.8,0.57,15.25
2004-09,7.33,57.4,67.0,76.7,0.55,13.56
2004-10,3.51,43.0,52.3,61.6,0.38,8.61
2004-11,5.03,36.4,45.7,55.0,0.86,7.43
2004-12,3.80,24.8,33.6,42.3,0.57,4.51
2005-01,4.57,21.3,28.6,35.9,0.47,3.17
2005-02,1.94,22.4,32.0,41.7,0.60,4.94
2005-03,4.33,26.2,35.1,44.0,0.64,5.39
2005-04,5.31,39.6,51.8,64.0,1.29,14.30
2005-05,1.48,43.9,55.5,67.1,1.07,14.07
2005-06,1.74,61.0,71.6,82.1,1.09,19.59
2005-07,5.48,65.4,75.2,85.1,0.96,20.05
2005-08,1.92,65.7,75.2,84.7,1.40,20.38
2005-09,1.09,56.7,69.4,82.0,1.34,22.35
2005-10,10.89,47.4,55.6,63.8,0.82,9.52
2005-11,3.88,34.7,45.9,57.1,0.76,9.17
2005-12,3.62,21.8,30.3,38.7,0.52,3.92
2006-01,4.96,27.5,37.0,46.5,0.50,5.00
2006-02,2.54,22.6,32.0,41.5,0.73,5.12
2006-03,0.76,30.3,40.3,50.4,1.40,8.57
2006-04,3.89,40.1,52.4,64.7,1.38,13.99
2006-05,1.80,47.4,59.6,71.7,1.15,16.63
2006-06,10.26,59.3,69.1,78.9,0.87,16.27
2006-07,5.89,65.8,75.4,84.9,0.90,19.13
2006-08,5.95,63.1,73.6,84.1,1.73,21.74
2006-09,5.53,53.8,63.0,72.3,0.64,11.78
2006-10,3.71,42.5,52.8,63.2,0.72,10.22
2006-11,4.70,39.0,47.8,56.5,0.68,7.20
2006-12,2.37,31.1,40.7,50.3,0.76,6.41
2007-01,3.49,26.6,34.8,43.1,0.57,4.69
2007-02,3.38,16.1,24.0,32.0,0.66,3.44
2007-03,4.29,28.5,39.3,50.2,0.99,8.28
2007-04,7.29,37.4,47.0,56.6,1.12,10.66
2007-05,1.52,48.6,61.8,75.0,1.52,19.73
2007-06,5.49,59.4,70.0,80.7,1.06,19.47
2007-07,3.95,62.0,72.0,82.0,1.53,20.28
2007-08,4.22,62.8,73.0,83.2,1.15,20.49
2007-09,0.57,54.8,67.2,79.7,0.65,19.56
2007-10,6.55,50.6,61.2,71.7,0.43,13.54
2007-11,3.75,33.0,42.0,50.9,0.58,5.98
2007-12,5.02,27.6,34.0,40.4,0.38,3.26
