PRISM Time Series Data
Location:  Lat: 43.5427   Lon: -73.8271   Elev: 873ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,13.9,22.3,30.7,0.58,3.00
2000-01-02,0.00,24.8,34.2,43.5,0.52,5.18
2000-01-03,0.19,28.4,39.9,51.4,0.29,3.61
2000-01-04,1.83,32.4,41.9,51.5,0.13,4.56
2000-01-05,0.66,19.1,37.2,55.3,0.11,4.62
2000-01-06,0.00,9.7,18.5,27.3,0.32,3.31
2000-01-07,0.00,13.7,22.6,31.5,0.41,3.22
2000-01-08,0.03,20.6,28.8,37.0,0.23,3.01
2000-01-09,0.00,20.6,27.6,34.5,0.60,3.87
2000-01-10,0.01,28.7,33.9,39.2,0.46,3.42
2000-01-11,0.96,33.2,37.2,41.2,0.10,2.88
2000-01-12,0.12,28.4,35.0,41.7,0.63,3.69
2000-01-13,0.00,18.3,25.8,33.2,0.64,3.84
2000-01-14,0.03,-3.4,8.6,20.5,0.32,1.42
2000-01-15,0.00,-5.5,2.6,10.6,0.35,1.47
2000-01-16,0.00,-3.9,10.4,24.6,0.33,2.01
2000-01-17,0.09,-6.2,14.9,36.0,0.34,3.17
2000-01-18,0.00,-13.5,-5.2,3.0,0.13,0.96
2000-01-19,0.00,-11.8,-2.1,7.5,0.11,1.08
2000-01-20,0.02,-2.8,7.5,17.9,0.22,2.03
2000-01-21,0.10,2.5,11.7,20.8,0.19,0.94
2000-01-22,0.00,-6.9,0.8,8.6,0.46,1.17
2000-01-23,0.00,-14.0,-2.8,8.4,0.14,1.49
2000-01-24,0.00,-12.1,3.9,20.0,0.20,1.51
2000-01-25,0.00,4.9,17.8,30.7,0.11,2.75
2000-01-26,0.69,12.0,17.0,22.0,0.10,1.12
2000-01-27,0.02,0.5,11.8,23.0,0.27,1.43
2000-01-28,0.00,-10.1,-0.2,9.6,0.15,1.15
