PRISM Time Series Data
Location:  Lat: 39.9737   Lon: -79.4583   Elev: 1604ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.4,33.7,45.1,0.17,5.07
2000-01-02,0.00,24.4,39.0,53.6,0.47,8.69
2000-01-03,0.07,40.6,53.5,66.4,0.65,13.56
2000-01-04,0.15,47.4,55.2,63.0,0.02,7.37
2000-01-05,0.22,24.5,43.0,61.4,0.15,5.98
2000-01-06,0.03,14.3,22.5,30.7,0.00,2.30
2000-01-07,0.00,17.3,30.4,43.6,0.10,5.60
2000-01-08,0.00,16.0,27.8,39.5,0.00,4.49
2000-01-09,0.00,20.6,29.7,38.9,0.50,4.84
2000-01-10,0.03,33.0,40.5,48.0,0.25,6.06
2000-01-11,0.06,30.0,40.5,50.9,0.00,6.13
2000-01-12,0.02,23.7,33.8,43.9,0.40,5.57
2000-01-13,0.06,26.2,36.6,47.1,0.33,7.34
2000-01-14,0.02,10.0,26.5,43.0,0.07,3.28
2000-01-15,0.00,6.8,14.1,21.5,0.11,1.70
2000-01-16,0.00,11.7,28.6,45.6,0.41,7.25
2000-01-17,0.00,4.2,25.8,47.5,0.46,6.31
2000-01-18,0.00,5.7,12.5,19.3,0.60,2.47
2000-01-19,0.08,15.0,20.1,25.2,0.42,2.80
2000-01-20,0.15,20.1,24.5,28.9,0.09,2.26
2000-01-21,0.15,3.4,14.6,25.7,0.04,1.40
2000-01-22,0.02,-2.2,5.3,12.7,0.13,1.11
2000-01-23,0.03,2.5,10.7,18.9,0.18,1.57
2000-01-24,0.00,14.9,23.3,31.8,0.21,1.80
2000-01-25,0.00,12.5,21.1,29.7,0.44,2.79
2000-01-26,0.00,8.9,14.6,20.3,0.19,1.31
2000-01-27,0.05,3.6,13.7,23.8,0.14,1.74
2000-01-28,0.02,1.7,8.4,15.2,0.25,1.47
2000-01-29,0.00,0.8,10.7,20.5,0.09,1.43
2000-01-30,0.09,4.0,19.9,35.7,0.07,5.02
2000-01-31,0.18,16.5,24.1,31.6,0.00,1.38
2000-02-01,0.05,17.8,22.4,27.0,0.24,1.69
2000-02-02,0.15,13.0,19.9,26.8,0.12,1.66
2000-02-03,0.00,6.3,17.3,28.4,0.02,2.74
2000-02-04,0.23,18.5,25.3,32.2,0.01,2.08
2000-02-05,0.11,12.1,22.2,32.3,0.02,1.55
2000-02-06,0.00,15.8,23.2,30.6,0.39,2.70
2000-02-07,0.00,13.2,23.2,33.1,0.00,3.09
2000-02-08,0.00,4.0,21.0,37.9,0.00,3.44
2000-02-09,0.00,8.2,23.6,39.1,0.15,5.11
2000-02-10,0.00,17.9,34.5,51.1,0.16,8.28
2000-02-11,0.40,28.3,40.5,52.7,0.23,8.39
2000-02-12,0.10,14.6,28.9,43.3,0.09,2.38
2000-02-13,0.00,16.0,26.4,36.7,0.46,4.78
2000-02-14,1.26,24.2,32.0,39.8,0.00,1.87
2000-02-15,0.22,23.2,35.8,48.5,0.05,3.32
2000-02-16,0.03,22.5,32.4,42.3,0.29,3.93
2000-02-17,0.02,15.7,33.2,50.6,0.00,5.99
2000-02-18,0.20,17.5,25.9,34.3,0.20,3.81
2000-02-19,1.36,26.9,38.7,50.4,0.06,3.36
2000-02-20,0.04,23.6,28.8,34.0,0.16,1.70
2000-02-21,0.00,25.1,28.0,31.0,0.28,1.90
2000-02-22,0.00,23.1,33.4,43.7,0.42,5.41
