PRISM Time Series Data
Location:  Lat: 41.6548   Lon: -83.7812   Elev: 669ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.6,29.3,37.9,0.04,2.63
2000-01-02,0.00,29.4,40.6,51.8,0.21,7.13
2000-01-03,0.07,36.9,47.3,57.7,0.14,4.28
2000-01-04,0.39,33.3,43.6,54.0,0.00,2.79
2000-01-05,0.00,23.7,30.2,36.7,0.44,1.90
2000-01-06,0.00,22.8,25.9,28.9,0.57,1.68
2000-01-07,0.00,27.9,32.9,37.9,0.75,2.94
2000-01-08,0.00,19.9,26.4,32.9,0.36,2.89
2000-01-09,0.03,25.9,36.1,46.3,0.88,6.26
2000-01-10,0.03,35.2,39.2,43.2,0.03,2.24
2000-01-11,0.05,35.3,41.0,46.7,0.17,4.02
2000-01-12,0.00,26.1,31.6,37.2,0.84,2.85
2000-01-13,0.13,25.8,30.6,35.3,0.08,3.07
2000-01-14,0.00,4.7,15.6,26.4,0.21,1.64
2000-01-15,0.00,10.0,17.3,24.5,0.39,1.59
2000-01-16,0.01,24.8,31.4,37.9,1.05,2.61
2000-01-17,0.00,9.6,22.9,36.2,0.46,2.96
2000-01-18,0.08,11.3,15.5,19.7,0.28,1.75
2000-01-19,0.03,12.0,19.9,27.7,0.22,1.68
2000-01-20,0.20,12.2,19.1,26.1,0.15,1.37
2000-01-21,0.00,2.5,12.0,21.6,0.17,1.86
2000-01-22,0.02,-3.8,5.2,14.3,0.13,0.99
2000-01-23,0.06,-2.1,10.5,23.1,0.07,0.68
2000-01-24,0.00,1.3,16.1,30.9,0.03,1.98
2000-01-25,0.00,-1.7,7.7,17.2,0.18,1.29
2000-01-26,0.00,2.3,12.0,21.7,0.23,1.30
2000-01-27,0.00,-2.6,6.0,14.7,0.21,1.29
2000-01-28,0.00,-1.9,7.3,16.6,0.26,1.64
2000-01-29,0.00,0.3,13.9,27.4,0.16,2.25
2000-01-30,0.13,4.0,16.0,28.0,0.05,1.66
2000-01-31,0.01,18.0,24.3,30.6,0.10,1.19
2000-02-01,0.00,20.2,24.5,28.8,0.26,2.20
2000-02-02,0.00,15.8,22.9,30.1,0.57,2.39
2000-02-03,0.07,15.9,22.6,29.2,0.27,1.86
2000-02-04,0.03,29.5,32.5,35.4,0.09,1.26
2000-02-05,0.00,14.6,23.5,32.4,0.10,1.31
2000-02-06,0.00,9.0,19.8,30.6,0.13,2.33
2000-02-07,0.00,6.5,19.1,31.7,0.08,1.60
2000-02-08,0.00,9.3,23.4,37.6,0.15,3.14
2000-02-09,0.00,9.6,21.2,32.8,0.19,2.63
2000-02-10,0.00,28.0,35.3,42.6,0.32,3.77
2000-02-11,0.33,29.5,33.1,36.7,0.10,1.31
2000-02-12,0.00,15.0,23.0,30.9,0.32,2.56
2000-02-13,0.02,15.3,21.8,28.4,0.33,2.34
2000-02-14,0.12,24.2,28.0,31.7,0.14,1.30
2000-02-15,0.00,16.3,23.2,30.2,0.18,1.60
2000-02-16,0.00,19.4,30.0,40.5,0.30,2.36
2000-02-17,0.00,17.6,27.6,37.5,0.58,3.72
2000-02-18,0.13,17.4,24.0,30.6,0.46,2.45
2000-02-19,0.24,24.5,27.1,29.6,0.08,0.92
2000-02-20,0.00,24.1,26.8,29.5,0.54,1.77
2000-02-21,0.00,18.5,25.6,32.7,0.23,1.90
2000-02-22,0.00,17.8,30.6,43.4,0.17,4.27
2000-02-23,0.02,38.8,44.9,51.0,1.36,4.86
