PRISM Time Series Data
Location:  Lat: 41.0095   Lon: -80.0077   Elev: 1306ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,16.1,29.7,43.3,0.00,4.47
2000-01-02,0.07,18.4,33.6,48.8,0.24,6.31
2000-01-03,0.96,41.8,49.4,57.0,0.42,6.59
2000-01-04,0.38,46.6,51.6,56.6,0.00,2.40
2000-01-05,0.05,27.1,41.1,55.1,0.26,3.69
2000-01-06,0.00,18.3,24.9,31.5,0.17,2.65
2000-01-07,0.00,23.7,33.1,42.6,0.86,5.29
2000-01-08,0.00,19.0,28.6,38.3,0.26,4.00
2000-01-09,0.01,19.8,30.0,40.2,0.47,5.18
2000-01-10,0.08,32.2,40.6,48.9,0.14,7.43
2000-01-11,0.02,37.8,45.3,52.9,0.58,6.32
2000-01-12,0.04,26.7,34.9,43.2,0.56,5.26
2000-01-13,0.04,23.7,31.8,39.9,0.14,4.83
2000-01-14,0.00,11.4,21.8,32.1,0.18,1.52
2000-01-15,0.00,12.6,18.6,24.7,0.32,2.17
2000-01-16,0.00,16.0,28.4,40.9,0.71,4.99
2000-01-17,0.00,7.1,24.0,40.9,0.58,4.11
2000-01-18,0.04,5.4,12.4,19.3,0.57,2.44
2000-01-19,0.15,10.7,19.4,28.1,0.26,4.10
2000-01-20,0.19,21.1,24.9,28.8,0.15,2.29
2000-01-21,0.02,1.6,15.2,28.7,0.00,1.68
2000-01-22,0.00,0.6,8.5,16.3,0.18,1.44
2000-01-23,0.00,3.5,11.1,18.6,0.17,1.37
2000-01-24,0.00,10.3,20.4,30.5,0.18,1.66
2000-01-25,0.00,3.5,16.4,29.2,0.07,2.94
2000-01-26,0.00,11.0,17.0,23.0,0.24,1.65
2000-01-27,0.00,2.9,14.6,26.4,0.14,2.08
2000-01-28,0.00,1.1,9.8,18.5,0.15,1.66
2000-01-29,0.05,2.6,14.2,25.8,0.08,2.09
2000-01-30,0.07,7.7,22.0,36.2,0.06,5.34
2000-01-31,0.02,17.9,26.2,34.5,0.02,1.38
2000-02-01,0.07,17.9,23.8,29.8,0.27,2.33
2000-02-02,0.01,9.1,19.1,29.1,0.22,1.93
2000-02-03,0.03,5.6,16.8,28.0,0.04,2.49
2000-02-04,0.04,22.0,27.0,32.0,0.00,1.71
2000-02-05,0.00,6.7,20.3,33.9,0.00,1.55
2000-02-06,0.00,10.2,21.2,32.3,0.01,3.27
2000-02-07,0.00,18.2,26.0,33.8,0.47,2.96
2000-02-08,0.00,-0.3,18.2,36.7,0.00,3.16
2000-02-09,0.00,-2.8,17.3,37.4,0.06,5.23
2000-02-10,0.32,21.3,36.0,50.8,0.05,8.28
2000-02-11,0.06,23.5,36.0,48.5,0.00,6.10
2000-02-12,0.00,10.4,25.1,39.8,0.02,1.74
2000-02-13,0.49,10.3,22.0,33.8,0.36,4.71
2000-02-14,0.37,21.8,29.3,36.9,0.00,1.86
2000-02-15,0.06,22.0,29.6,37.2,0.06,1.21
2000-02-16,0.01,21.5,29.8,38.1,0.40,2.41
2000-02-17,0.05,14.9,28.2,41.4,0.00,2.74
2000-02-18,0.42,15.3,25.0,34.7,0.15,4.33
2000-02-19,0.16,27.3,30.4,33.6,0.19,1.09
2000-02-20,0.02,25.0,27.5,30.0,0.32,1.49
2000-02-21,0.00,24.9,27.9,30.9,0.42,1.97
2000-02-22,0.00,25.1,34.6,44.0,0.76,5.76
2000-02-23,0.00,32.2,44.2,56.2,1.91,9.72
2000-02-24,0.02,39.0,50.6,62.1,0.82,11.37
2000-02-25,0.02,42.8,54.7,66.5,0.05,13.54
2000-02-26,0.00,43.0,56.0,69.1,0.00,10.42
2000-02-27,0.13,44.9,59.0,73.1,0.00,16.79
2000-02-28,0.05,32.3,47.1,61.8,0.41,8.31
2000-02-29,0.00,21.1,35.3,49.5,0.05,8.41
2000-03-01,0.10,21.5,39.1,56.7,0.17,12.03
2000-03-02,0.03,33.6,44.5,55.5,0.78,7.03
2000-03-03,0.00,26.0,30.6,35.1,0.85,2.50
2000-03-04,0.00,20.2,33.1,46.1,0.50,7.73
2000-03-05,0.00,23.6,38.9,54.2,0.69,11.32
2000-03-06,0.00,24.0,41.0,58.1,0.16,12.02
2000-03-07,0.00,28.4,43.9,59.4,0.84,12.97
2000-03-08,0.00,31.3,52.5,73.6,1.44,20.08
2000-03-09,0.00,39.7,59.2,78.7,0.00,24.26
2000-03-10,0.00,31.1,52.3,73.4,0.16,18.03
2000-03-11,0.32,28.0,33.9,39.7,0.37,2.64
2000-03-12,0.14,22.3,31.2,40.0,0.01,1.57
2000-03-13,0.00,19.2,28.7,38.1,0.18,4.36
2000-03-14,0.00,20.1,32.7,45.3,0.22,6.08
2000-03-15,0.00,32.6,43.6,54.5,0.85,9.41
2000-03-16,0.37,41.2,54.3,67.5,2.11,17.30
2000-03-17,0.08,25.8,39.6,53.4,0.08,5.23
2000-03-18,0.00,14.4,24.7,35.1,0.44,3.93
2000-03-19,0.00,17.3,32.2,47.0,1.36,8.75
2000-03-20,0.39,33.4,43.6,53.9,1.42,8.33
2000-03-21,0.15,35.7,42.7,49.7,0.29,5.78
2000-03-22,0.02,32.2,39.5,46.7,0.00,2.55
2000-03-23,0.00,38.4,47.0,55.7,0.32,6.77
2000-03-24,0.00,32.8,46.8,60.8,0.00,8.82
2000-03-25,0.00,34.0,52.0,70.0,0.22,16.62
2000-03-26,0.00,33.8,53.7,73.6,1.74,17.11
2000-03-27,0.11,32.0,44.7,57.4,1.96,12.00
2000-03-28,0.03,31.6,42.2,52.9,0.15,8.04
2000-03-29,0.00,31.7,41.7,51.7,0.12,7.82
2000-03-30,0.00,32.3,39.8,47.3,0.41,5.20
2000-03-31,0.00,22.5,36.1,49.7,0.14,7.21
2000-04-01,0.05,22.1,40.7,59.3,0.16,12.65
2000-04-02,0.53,25.5,45.6,65.6,0.26,17.34
2000-04-03,1.52,47.7,51.8,55.9,0.00,3.08
2000-04-04,0.48,46.9,56.1,65.3,0.03,6.07
2000-04-05,0.05,29.1,38.2,47.3,0.23,3.57
2000-04-06,0.00,35.0,42.5,50.0,2.31,7.20
2000-04-07,0.64,32.5,48.1,63.7,0.39,14.57
2000-04-08,0.52,35.3,41.9,48.6,0.00,4.38
2000-04-09,0.26,28.4,38.4,48.4,0.10,2.46
2000-04-10,0.03,28.2,34.5,40.9,0.11,4.35
2000-04-11,0.02,28.9,38.8,48.7,0.37,8.08
2000-04-12,0.01,24.6,37.8,51.0,0.00,6.26
2000-04-13,0.00,25.7,35.2,44.7,0.58,6.04
2000-04-14,0.00,32.0,43.4,54.7,1.80,10.64
2000-04-15,0.00,42.9,57.7,72.6,1.54,19.25
2000-04-16,0.26,47.3,62.1,77.0,0.23,19.48
2000-04-17,0.07,44.6,60.4,76.2,0.02,19.38
2000-04-18,0.02,42.9,52.6,62.2,0.30,6.29
2000-04-19,0.00,42.7,49.0,55.2,0.65,5.55
2000-04-20,0.19,46.2,51.8,57.4,0.86,5.68
2000-04-21,0.21,48.7,60.0,71.3,0.07,12.46
2000-04-22,0.06,43.5,51.6,59.7,0.03,7.61
2000-04-23,0.01,39.4,44.2,49.1,0.01,3.20
2000-04-24,0.00,35.2,47.2,59.2,0.04,10.03
2000-04-25,0.00,36.4,52.5,68.6,1.55,17.36
2000-04-26,0.00,30.8,48.2,65.5,1.77,16.32
2000-04-27,0.00,28.9,43.8,58.8,0.69,12.78
2000-04-28,0.00,30.2,44.7,59.2,0.09,12.17
2000-04-29,0.00,33.8,50.8,67.7,0.43,17.80
2000-04-30,0.00,36.5,53.4,70.2,0.85,18.68
2000-05-01,0.42,38.6,52.7,66.8,2.51,18.13
2000-05-02,0.09,33.8,53.1,72.5,0.00,19.23
2000-05-03,0.00,33.4,50.2,67.0,0.03,14.22
2000-05-04,0.09,40.9,57.8,74.7,0.03,22.25
2000-05-05,0.18,53.5,63.8,74.1,0.35,13.73
2000-05-06,0.01,54.9,67.9,80.8,0.00,19.39
2000-05-07,0.00,55.1,69.9,84.7,0.09,24.49
2000-05-08,0.00,58.5,72.2,85.8,1.06,26.75
2000-05-09,0.07,59.6,70.9,82.2,0.46,19.41
2000-05-10,0.29,59.7,71.2,82.7,0.85,18.15
2000-05-11,0.07,43.2,55.9,68.6,0.22,10.98
2000-05-12,0.00,43.8,58.3,72.8,1.23,20.09
2000-05-13,0.24,65.4,74.8,84.2,3.07,18.25
2000-05-14,0.04,42.3,58.5,74.7,0.72,15.57
2000-05-15,0.00,36.3,50.4,64.5,0.72,14.36
2000-05-16,0.00,34.3,48.6,62.9,0.43,14.70
2000-05-17,0.05,50.7,59.4,68.0,2.98,16.87
2000-05-18,0.91,56.4,66.4,76.3,2.75,17.78
2000-05-19,0.25,50.7,64.7,78.6,0.00,17.80
2000-05-20,0.05,49.3,61.9,74.5,0.30,11.68
2000-05-21,0.01,49.9,52.8,55.7,0.57,3.40
2000-05-22,0.00,49.9,57.2,64.5,0.88,9.15
2000-05-23,0.62,49.3,59.3,69.4,0.03,13.54
2000-05-24,0.25,52.5,58.1,63.8,0.00,3.08
2000-05-25,0.01,43.8,60.3,76.8,0.01,17.51
2000-05-26,0.00,41.1,55.7,70.4,0.01,16.31
2000-05-27,0.23,43.8,57.8,71.8,0.09,17.26
2000-05-28,0.68,49.4,56.0,62.7,0.33,5.57
2000-05-29,0.19,45.3,50.7,56.0,0.01,2.98
2000-05-30,0.00,44.7,56.1,67.5,0.33,11.28
2000-05-31,0.06,46.6,59.1,71.5,0.68,15.61
2000-06-01,0.03,53.5,68.3,83.2,0.00,19.59
2000-06-02,0.50,62.1,71.8,81.4,0.00,15.76
2000-06-03,0.07,49.8,66.9,84.1,1.82,18.56
2000-06-04,0.00,44.9,57.2,69.4,0.46,14.09
2000-06-05,0.31,53.3,62.0,70.8,1.80,14.12
2000-06-06,0.41,51.7,56.6,61.6,0.01,5.00
2000-06-07,0.01,43.2,50.9,58.7,0.09,5.72
2000-06-08,0.00,46.0,60.5,74.9,0.00,18.47
2000-06-09,0.00,58.1,68.3,78.5,3.63,19.88
2000-06-10,0.00,59.7,72.2,84.7,1.41,25.20
2000-06-11,0.00,69.3,78.0,86.7,4.98,25.03
2000-06-12,1.22,67.2,77.2,87.3,0.56,21.26
2000-06-13,0.12,65.5,70.5,75.5,0.06,6.28
2000-06-14,0.28,65.2,74.9,84.6,0.40,17.89
2000-06-15,0.08,66.2,77.2,88.2,0.75,22.99
2000-06-16,0.20,66.0,73.0,80.0,0.60,14.30
