PRISM Time Series Data
Location:  Lat: 40.9097   Lon: -74.9206   Elev: 689ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.3,29.8,38.3,0.05,2.73
2000-01-02,0.00,23.4,34.4,45.3,0.04,3.46
2000-01-03,0.00,34.1,44.2,54.2,0.21,2.58
2000-01-04,0.00,46.6,52.6,58.6,0.14,3.34
2000-01-05,0.34,32.4,47.2,62.0,0.34,4.43
2000-01-06,0.00,15.4,26.1,36.9,0.14,4.32
2000-01-07,0.00,17.7,28.5,39.3,0.15,4.13
2000-01-08,0.00,21.0,33.5,46.1,0.19,5.96
2000-01-09,0.00,20.9,29.0,37.0,0.55,3.96
2000-01-10,0.03,31.3,40.6,49.9,0.16,6.33
2000-01-11,0.65,32.4,40.9,49.4,0.00,2.96
2000-01-12,0.00,33.1,40.6,48.2,1.11,6.19
2000-01-13,0.00,28.0,36.2,44.4,0.81,6.85
2000-01-14,0.06,8.9,20.1,31.3,0.13,1.80
2000-01-15,0.00,7.3,13.2,19.1,0.57,2.03
2000-01-16,0.00,10.9,19.7,28.4,0.63,2.33
2000-01-17,0.00,3.5,23.0,42.5,0.82,4.69
2000-01-18,0.00,-0.0,7.4,14.9,0.54,2.09
2000-01-19,0.00,1.9,10.2,18.5,0.69,2.38
2000-01-20,0.01,11.6,19.6,27.7,0.43,3.01
2000-01-21,0.19,7.3,15.9,24.4,0.20,1.48
2000-01-22,0.00,2.3,9.0,15.6,0.66,2.03
2000-01-23,0.00,2.7,10.6,18.4,0.47,2.24
2000-01-24,0.00,11.3,17.6,24.0,0.39,1.63
2000-01-25,0.16,21.8,29.7,37.7,0.61,4.07
2000-01-26,0.86,18.8,23.9,28.9,0.19,1.78
2000-01-27,0.00,11.3,20.0,28.8,0.94,2.66
2000-01-28,0.00,3.3,9.9,16.4,0.73,1.87
2000-01-29,0.00,3.2,11.7,20.1,0.62,2.53
2000-01-30,0.00,1.1,18.6,36.1,0.25,6.08
2000-01-31,0.92,3.9,18.2,32.4,0.13,4.46
2000-02-01,0.00,18.5,25.3,32.0,0.45,2.65
2000-02-02,0.00,16.9,25.5,34.1,0.84,3.66
2000-02-03,0.00,7.7,17.6,27.4,0.63,3.54
2000-02-04,0.15,13.1,20.3,27.6,0.10,2.29
2000-02-05,0.02,19.1,24.8,30.6,0.12,1.86
2000-02-06,0.00,19.2,26.5,33.7,0.88,4.17
2000-02-07,0.00,20.0,27.8,35.7,1.14,5.26
2000-02-08,0.00,8.2,23.9,39.7,0.99,4.65
2000-02-09,0.00,2.8,17.0,31.2,0.21,4.56
2000-02-10,0.00,10.9,25.9,40.8,0.24,4.35
2000-02-11,0.05,20.7,34.3,47.8,0.18,6.31
