PRISM Time Series Data
Location:  Lat: 40.5586   Lon: -75.2249   Elev: 459ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.1,31.7,40.3,0.01,2.49
2000-01-02,0.00,27.1,35.7,44.4,0.07,2.41
2000-01-03,0.00,34.6,45.8,56.9,0.43,5.45
2000-01-04,0.00,48.1,53.9,59.7,0.11,3.66
2000-01-05,0.61,33.5,48.6,63.7,0.51,5.57
2000-01-06,0.00,17.8,28.0,38.2,0.33,4.62
2000-01-07,0.00,20.1,30.8,41.6,0.23,4.82
2000-01-08,0.00,21.0,34.0,46.9,0.19,6.16
2000-01-09,0.00,22.4,30.5,38.5,0.79,4.33
2000-01-10,0.00,33.0,40.4,47.9,0.43,5.34
2000-01-11,0.57,35.3,44.0,52.7,0.00,4.18
2000-01-12,0.00,34.5,42.1,49.7,1.46,7.02
2000-01-13,0.00,29.0,37.0,45.0,1.13,6.64
2000-01-14,0.01,13.1,23.6,34.1,0.41,1.89
2000-01-15,0.00,11.8,16.9,22.0,0.80,2.48
2000-01-16,0.00,16.4,22.8,29.2,1.06,2.64
2000-01-17,0.00,7.6,27.4,47.2,1.17,6.54
2000-01-18,0.00,3.9,10.5,17.0,0.71,2.40
2000-01-19,0.00,5.5,12.9,20.2,0.84,2.54
2000-01-20,0.02,15.3,22.9,30.5,0.50,3.34
2000-01-21,0.25,10.0,18.3,26.7,0.15,1.49
2000-01-22,0.00,5.2,11.3,17.4,0.70,2.17
2000-01-23,0.00,7.8,14.1,20.4,0.49,2.25
2000-01-24,0.00,15.6,20.8,26.0,0.37,1.38
2000-01-25,0.21,22.5,30.4,38.2,0.33,3.96
