PRISM Time Series Data
Location:  Lat: 41.5339   Lon: -82.7265   Elev: 581ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,26.9,31.5,36.1,0.22,1.38
2000-01-02,0.00,31.8,40.1,48.5,0.45,5.29
2000-01-03,0.13,34.2,44.5,54.8,0.05,3.48
2000-01-04,0.50,35.2,45.2,55.2,0.04,3.44
2000-01-05,0.00,25.5,32.1,38.7,0.38,2.09
2000-01-06,0.00,25.6,28.3,30.9,1.06,2.69
2000-01-07,0.00,29.9,33.9,37.9,1.09,2.76
2000-01-08,0.00,23.5,27.9,32.3,0.39,2.37
2000-01-09,0.00,26.5,33.9,41.3,0.70,4.48
2000-01-10,0.01,36.5,39.1,41.6,0.18,0.88
2000-01-11,0.07,36.9,41.8,46.8,0.40,3.30
2000-01-12,0.00,28.2,32.7,37.3,0.85,2.80
2000-01-13,0.15,27.3,32.2,37.2,0.14,3.59
2000-01-14,0.00,11.8,19.2,26.7,0.20,1.57
2000-01-15,0.00,12.8,19.1,25.3,0.43,1.77
2000-01-16,0.00,23.5,31.9,40.3,0.87,3.61
2000-01-17,0.00,14.9,25.6,36.3,0.52,2.75
2000-01-18,0.03,14.3,17.8,21.2,0.65,1.75
2000-01-19,0.00,17.1,22.4,27.7,0.31,1.76
2000-01-20,0.20,18.0,22.2,26.4,0.22,1.46
2000-01-21,0.00,2.5,12.4,22.4,0.01,1.24
2000-01-22,0.00,-1.5,6.0,13.5,0.18,1.03
2000-01-23,0.05,-1.9,10.4,22.7,0.00,1.12
2000-01-24,0.00,3.2,17.7,32.2,0.00,2.11
2000-01-25,0.01,1.0,8.9,16.9,0.13,1.19
2000-01-26,0.02,1.9,11.7,21.5,0.09,1.21
2000-01-27,0.00,3.9,11.1,18.3,0.21,0.94
2000-01-28,0.00,1.6,10.0,18.4,0.26,1.23
2000-01-29,0.00,4.0,15.7,27.4,0.12,2.20
2000-01-30,0.13,6.2,17.5,28.8,0.01,1.87
2000-01-31,0.18,19.3,25.8,32.4,0.03,0.84
2000-02-01,0.00,20.9,24.6,28.3,0.32,1.58
2000-02-02,0.01,13.8,21.7,29.5,0.24,2.30
2000-02-03,0.12,13.7,21.2,28.6,0.11,1.89
2000-02-04,0.02,28.5,31.4,34.3,0.07,0.66
2000-02-05,0.04,13.2,22.4,31.6,0.11,1.27
2000-02-06,0.00,10.9,18.8,26.7,0.13,1.50
2000-02-07,0.00,10.6,20.9,31.2,0.12,2.12
2000-02-08,0.00,13.0,24.4,35.9,0.24,2.75
2000-02-09,0.00,12.1,22.9,33.8,0.29,3.12
2000-02-10,0.00,30.4,35.6,40.8,0.44,3.18
2000-02-11,0.38,29.6,34.8,40.0,0.08,1.82
2000-02-12,0.00,20.8,25.5,30.1,0.40,2.42
2000-02-13,0.00,17.8,23.7,29.6,0.49,2.58
2000-02-14,0.12,26.2,30.4,34.6,0.09,1.39
2000-02-15,0.05,18.2,25.7,33.2,0.07,1.50
2000-02-16,0.00,19.4,29.9,40.5,0.04,2.62
