PRISM Time Series Data
Location:  Lat: 40.5950   Lon: -75.3664   Elev: 427ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.14,18.5,27.7,36.9,0.49,3.79
2000-02,2.10,22.7,32.0,41.3,0.42,4.27
2000-03,4.77,32.9,44.6,56.4,0.57,9.75
2000-04,3.72,39.3,49.4,59.6,0.82,9.67
2000-05,4.55,51.0,61.6,72.2,0.81,14.76
2000-06,4.52,59.3,69.1,78.9,0.69,15.58
2000-07,3.00,60.2,70.1,80.1,0.68,17.74
2000-08,5.43,60.5,69.8,79.0,0.53,14.43
2000-09,3.86,52.6,63.2,73.8,0.38,12.93
2000-10,1.80,42.0,54.0,66.0,0.44,11.59
2000-11,2.17,32.0,41.8,51.7,0.70,7.48
2000-12,4.93,17.5,26.6,35.8,0.42,3.57
2001-01,2.96,19.2,28.0,36.9,0.36,3.46
2001-02,2.87,23.7,32.4,41.1,0.60,4.56
2001-03,4.67,28.1,36.7,45.2,0.75,5.97
2001-04,2.17,39.3,50.6,61.9,1.11,12.45
2001-05,4.91,49.5,61.0,72.4,0.76,16.24
2001-06,4.06,59.1,70.0,80.9,0.69,18.66
2001-07,4.23,58.6,70.1,81.5,0.52,19.50
2001-08,3.32,63.7,74.3,84.9,0.81,21.16
2001-09,4.92,50.9,63.4,75.9,0.09,16.15
2001-10,0.42,41.3,54.3,67.2,0.50,13.52
2001-11,1.01,35.0,47.1,59.2,0.50,9.48
2001-12,2.29,29.6,39.3,49.1,0.46,6.16
2002-01,2.22,25.9,34.9,43.8,0.62,5.57
2002-02,0.78,25.4,36.4,47.5,0.67,6.79
2002-03,3.28,30.5,40.9,51.3,0.78,7.63
2002-04,3.81,41.5,53.1,64.7,1.01,13.33
2002-05,6.10,46.7,58.1,69.4,0.82,14.12
2002-06,6.60,59.1,69.9,80.8,1.00,18.24
2002-07,1.00,64.3,75.6,87.0,1.86,25.04
2002-08,2.57,63.5,75.6,87.8,1.47,27.84
2002-09,4.15,55.1,67.0,78.9,0.58,17.91
2002-10,7.22,42.5,52.1,61.7,0.14,8.29
2002-11,4.08,33.0,41.6,50.3,0.41,5.84
2002-12,5.34,22.4,30.6,38.8,0.47,3.68
2003-01,2.06,16.6,24.3,32.0,0.42,2.91
2003-02,4.87,18.0,26.1,34.1,0.37,3.22
2003-03,4.16,28.4,39.6,50.7,0.40,6.98
2003-04,2.63,37.7,47.9,58.1,0.98,10.90
2003-05,2.95,48.5,57.1,65.8,0.71,10.28
2003-06,7.59,57.5,66.6,75.7,0.50,14.01
2003-07,6.20,63.8,74.0,84.2,0.86,20.86
2003-08,4.00,65.0,74.3,83.6,0.20,16.16
2003-09,9.64,56.6,65.4,74.3,0.15,11.36
2003-10,6.24,40.9,51.4,61.9,0.27,9.52
2003-11,4.18,37.7,47.2,56.6,0.55,7.12
2003-12,5.96,25.2,33.5,41.7,0.60,4.37
2004-01,1.97,15.4,22.8,30.2,0.62,3.00
2004-02,2.56,21.4,30.6,39.8,0.71,5.10
2004-03,2.80,31.9,41.5,51.0,0.77,7.65
2004-04,3.96,40.4,50.8,61.2,0.96,11.49
2004-05,3.95,55.0,65.9,76.8,0.76,16.62
2004-06,3.00,58.5,67.9,77.3,1.13,16.27
2004-07,9.48,62.6,71.9,81.2,1.05,17.44
2004-08,6.26,62.4,71.8,81.2,0.83,16.49
2004-09,9.86,56.4,66.2,76.0,0.53,13.71
2004-10,1.87,42.8,52.1,61.5,0.46,8.88
2004-11,4.74,35.5,45.3,55.1,0.84,7.73
2004-12,3.78,24.2,32.8,41.3,0.55,4.29
2005-01,5.25,20.2,27.7,35.2,0.40,2.99
2005-02,2.20,21.9,32.0,42.2,0.61,5.21
2005-03,4.53,26.0,35.1,44.2,0.69,5.59
2005-04,7.02,39.8,52.5,65.1,1.37,15.33
2005-05,1.49,44.6,56.4,68.1,1.19,14.84
2005-06,4.80,61.4,72.2,83.1,1.25,21.16
2005-07,4.44,65.2,75.1,85.1,1.08,20.69
2005-08,2.09,65.5,75.2,84.9,1.60,21.85
2005-09,0.90,56.2,69.1,82.0,1.44,22.91
2005-10,12.56,46.8,55.2,63.6,0.82,9.75
2005-11,3.82,33.7,45.5,57.2,0.78,9.68
2005-12,3.23,21.1,30.0,38.9,0.55,4.12
2006-01,5.26,26.7,36.5,46.4,0.45,5.09
2006-02,2.79,22.5,32.1,41.8,0.76,5.31
2006-03,0.70,30.1,40.2,50.3,1.48,8.74
2006-04,3.26,39.9,52.6,65.3,1.44,14.79
2006-05,1.85,48.6,60.6,72.6,1.58,17.59
2006-06,11.55,60.0,69.6,79.1,1.34,17.14
2006-07,6.93,65.8,75.8,85.8,1.17,21.11
2006-08,2.18,62.4,72.9,83.5,1.65,21.32
2006-09,5.03,53.0,62.5,72.1,0.79,12.47
2006-10,4.46,40.9,51.8,62.8,0.64,10.41
2006-11,4.92,38.1,47.5,56.9,0.69,7.74
2006-12,1.98,30.2,40.3,50.4,0.78,6.66
2007-01,2.82,25.4,33.8,42.3,0.58,4.69
2007-02,2.30,15.3,23.8,32.2,0.68,3.61
2007-03,3.74,27.6,39.1,50.6,1.01,8.79
2007-04,7.50,37.1,47.0,56.9,1.11,10.98
2007-05,2.09,49.0,62.6,76.2,1.69,21.11
2007-06,4.62,59.5,70.4,81.3,1.44,20.50
2007-07,3.70,61.8,72.2,82.6,1.71,21.69
2007-08,3.71,62.6,72.9,83.1,1.22,20.56
2007-09,1.05,54.4,67.0,79.6,0.75,19.89
2007-10,5.85,50.2,61.0,71.8,0.44,13.74
2007-11,3.48,32.1,41.5,50.9,0.63,6.30
2007-12,5.58,26.5,33.2,39.9,0.41,3.36
2008-01,1.48,22.7,31.9,41.1,0.59,4.90
2008-02,7.31,22.6,31.8,41.0,0.51,3.85
2008-03,4.87,28.9,39.6,50.2,0.91,7.29
2008-04,2.86,41.1,52.7,64.2,1.03,13.15
2008-05,3.75,45.2,56.4,67.7,1.00,14.24
2008-06,2.26,60.7,71.9,83.2,1.24,21.99
2008-07,5.69,64.3,75.0,85.7,1.11,23.47
2008-08,1.58,58.2,69.9,81.5,1.19,21.15
2008-09,6.48,55.5,66.1,76.8,0.84,16.94
2008-10,3.34,39.3,51.2,63.0,0.61,11.27
2008-11,2.29,33.4,41.8,50.1,0.71,5.86
2008-12,7.33,24.6,33.1,41.7,0.47,3.75
2009-01,2.37,15.5,23.8,32.1,0.54,3.26
2009-02,0.77,22.0,32.0,42.1,0.79,5.48
2009-03,1.71,29.5,39.6,49.7,0.88,7.44
2009-04,2.65,40.6,51.9,63.1,1.41,14.34
2009-05,4.49,50.4,60.6,70.7,0.97,14.12
2009-06,5.94,58.4,67.2,75.9,0.66,13.90
2009-07,4.64,60.1,70.2,80.4,0.85,18.50
2009-08,6.77,64.2,73.4,82.6,0.83,17.42
2009-09,3.22,53.3,62.9,72.6,0.61,12.91
2009-10,4.65,41.8,51.1,60.3,0.38,8.65
2009-11,1.09,38.4,47.6,56.8,0.76,7.56
2009-12,6.39,24.7,32.3,40.0,0.63,3.96
2010-01,2.74,21.4,29.5,37.5,0.60,3.77
2010-02,4.86,21.8,29.3,36.9,0.61,3.94
2010-03,6.40,34.7,44.8,54.9,0.96,9.36
2010-04,3.46,42.1,54.7,67.2,1.32,16.02
2010-05,3.99,52.9,63.4,73.9,1.32,17.18
2010-06,3.49,62.4,72.9,83.4,1.75,21.40
2010-07,5.69,65.7,76.9,88.1,1.57,26.20
2010-08,1.38,63.2,73.4,83.5,1.04,20.95
2010-09,2.38,55.6,67.9,80.2,0.89,21.48
2010-10,8.25,43.4,54.1,64.8,0.38,10.73
2010-11,2.55,32.7,43.0,53.3,0.53,7.43
2010-12,3.22,21.9,29.3,36.7,0.68,3.43
2011-01,3.13,16.7,25.2,33.7,0.32,3.16
2011-02,3.21,21.0,31.1,41.3,0.55,5.30
2011-03,6.81,29.1,39.2,49.4,0.73,6.86
2011-04,6.78,42.9,52.2,61.6,0.56,9.75
2011-05,4.77,53.3,62.9,72.5,0.60,13.27
2011-06,3.69,60.7,70.9,81.2,0.95,18.70
2011-07,5.68,66.3,77.4,88.6,1.19,26.85
2011-08,13.86,62.1,71.9,81.7,0.28,18.06
2011-09,12.37,59.1,66.8,74.5,0.38,10.27
2011-10,5.23,44.4,54.1,63.8,0.63,10.69
2011-11,4.92,35.1,46.2,57.3,0.52,8.41
2011-12,4.79,28.3,37.8,47.3,0.38,5.13
2012-01,3.25,23.1,32.2,41.3,0.38,4.48
2012-02,0.70,26.7,36.4,46.2,0.66,6.63
2012-03,1.20,37.0,48.4,59.8,0.90,10.88
2012-04,3.17,38.7,50.5,62.2,1.43,13.65
2012-05,5.51,54.8,64.6,74.4,0.66,15.12
2012-06,3.74,57.6,68.5,79.3,1.22,20.01
2012-07,3.79,65.5,76.9,88.3,1.48,26.72
2012-08,5.18,62.0,72.7,83.4,0.71,21.06
2012-09,6.42,53.9,65.0,76.0,0.61,16.04
2012-10,7.28,46.3,54.9,63.6,0.54,8.69
2012-11,1.11,31.1,39.9,48.7,0.89,6.36
2012-12,5.16,30.2,37.4,44.6,0.34,3.79
2013-01,3.32,23.9,31.4,38.9,0.58,3.79
