PRISM Time Series Data
Location:  Lat: 42.6613   Lon: -77.9767   Elev: 1073ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,2.32,11.3,21.0,30.7,0.24,2.72
2000-02,1.66,18.9,28.0,37.1,0.34,3.44
2000-03,1.59,28.9,38.8,48.8,0.62,7.19
2000-04,4.08,34.4,43.6,52.8,0.62,6.95
2000-05,3.87,47.4,58.1,68.8,0.68,12.72
2000-06,4.26,55.2,65.4,75.6,0.86,13.95
2000-07,2.59,55.3,65.7,76.1,0.49,15.05
2000-08,4.16,55.5,66.0,76.5,0.27,13.60
2000-09,3.81,48.7,60.1,71.4,0.42,12.92
2000-10,2.53,39.6,50.4,61.3,0.28,9.30
2000-11,1.59,29.6,36.9,44.2,0.32,4.41
2000-12,1.53,12.9,20.6,28.3,0.19,2.02
2001-01,0.89,18.2,24.6,31.0,0.25,2.15
2001-02,1.30,18.5,27.2,35.8,0.44,3.38
2001-03,3.53,20.5,28.4,36.3,0.16,3.33
2001-04,0.87,34.1,45.8,57.5,0.65,9.94
2001-05,2.75,46.2,58.2,70.1,1.30,15.06
2001-06,1.92,54.4,65.4,76.5,0.63,17.03
2001-07,1.42,56.0,67.3,78.6,1.00,18.27
2001-08,2.02,58.2,70.8,83.3,0.41,22.23
2001-09,3.22,47.6,59.6,71.6,0.42,14.33
2001-10,2.31,40.9,51.3,61.7,0.81,10.55
2001-11,1.83,35.9,45.6,55.3,0.74,7.52
2001-12,2.94,28.2,35.3,42.5,0.38,4.27
2002-01,1.89,23.9,30.5,37.2,0.50,3.53
2002-02,2.02,20.9,30.6,40.4,0.57,4.88
2002-03,2.19,23.0,33.2,43.3,0.34,5.50
2002-04,3.61,36.5,46.6,56.8,0.86,9.56
2002-05,5.29,41.4,52.3,63.1,0.80,10.75
2002-06,4.16,55.6,66.2,76.7,0.88,15.54
2002-07,3.00,60.1,71.3,82.6,1.05,19.99
2002-08,2.22,57.2,69.3,81.5,0.76,19.77
2002-09,4.28,52.0,64.5,77.1,0.73,17.60
2002-10,2.16,39.0,48.0,57.0,0.27,7.05
2002-11,2.75,30.6,37.2,43.8,0.40,3.95
2002-12,3.24,18.7,25.8,32.9,0.31,2.34
2003-01,2.35,9.3,16.8,24.2,0.21,1.61
2003-02,2.04,10.8,19.6,28.4,0.27,2.48
2003-03,1.87,21.8,33.1,44.4,0.41,5.46
2003-04,1.59,31.5,42.6,53.7,1.03,8.82
2003-05,3.35,44.1,54.6,65.2,0.54,10.47
2003-06,3.06,53.1,62.9,72.6,0.31,12.54
2003-07,3.82,58.2,68.5,78.9,0.54,16.45
2003-08,5.00,59.1,69.6,80.0,0.18,15.12
2003-09,3.75,50.1,60.7,71.3,0.20,11.69
2003-10,2.58,36.9,46.8,56.7,0.27,7.95
2003-11,3.54,33.0,41.8,50.5,0.31,4.80
2003-12,2.23,23.1,30.5,37.9,0.36,3.71
2004-01,2.51,8.2,16.0,23.8,0.20,1.77
2004-02,0.59,13.3,23.0,32.7,0.30,3.07
2004-03,2.16,27.8,36.0,44.2,0.42,5.03
2004-04,4.02,34.8,44.3,53.9,0.75,7.96
2004-05,6.66,48.8,60.0,71.2,0.50,12.88
2004-06,1.79,52.0,62.2,72.4,0.38,12.33
2004-07,4.69,58.3,67.5,76.6,0.24,12.35
2004-08,3.24,56.5,66.1,75.7,0.25,12.50
2004-09,4.93,52.3,63.7,75.2,0.15,13.97
2004-10,2.19,40.6,50.0,59.3,0.47,8.18
2004-11,2.32,32.2,40.5,48.9,0.55,5.22
2004-12,2.71,20.2,28.1,35.9,0.25,2.66
2005-01,3.40,13.1,21.2,29.3,0.26,2.06
2005-02,1.49,14.8,24.6,34.4,0.18,3.27
2005-03,1.78,19.0,27.9,36.8,0.28,3.68
2005-04,3.97,34.1,46.1,58.2,1.21,11.43
2005-05,1.36,40.4,51.7,62.9,0.90,12.19
2005-06,3.48,59.0,69.8,80.6,0.92,18.97
2005-07,4.42,61.8,72.6,83.3,1.46,20.30
2005-08,3.92,59.4,70.7,82.0,0.77,20.78
2005-09,3.80,51.6,63.4,75.2,0.60,15.54
2005-10,4.16,42.6,50.7,58.9,0.51,7.67
2005-11,3.61,33.0,42.3,51.6,1.02,6.90
2005-12,1.40,19.2,25.1,31.1,0.43,2.26
2006-01,2.54,25.1,33.2,41.2,0.54,3.86
2006-02,2.09,18.1,26.0,33.8,0.39,3.27
2006-03,2.14,23.2,31.9,40.6,0.66,5.11
2006-04,1.79,35.0,46.7,58.3,1.19,10.64
2006-05,2.20,45.3,56.6,67.8,1.40,14.29
2006-06,4.72,55.8,65.7,75.6,1.50,15.91
2006-07,5.54,62.1,71.8,81.6,1.71,18.42
2006-08,4.20,56.7,67.6,78.5,0.94,16.51
2006-09,5.24,50.1,58.9,67.7,0.56,9.37
2006-10,5.29,37.5,47.0,56.4,0.50,7.40
2006-11,2.25,34.4,42.9,51.3,0.70,6.24
2006-12,3.26,29.1,36.4,43.7,0.79,4.67
2007-01,4.30,20.2,27.5,34.7,0.40,2.87
2007-02,1.84,9.4,16.8,24.2,0.42,2.12
2007-03,2.51,22.5,32.7,42.9,0.66,5.93
2007-04,2.87,32.9,41.6,50.3,0.79,7.57
2007-05,1.09,44.2,57.2,70.1,1.76,17.24
2007-06,2.51,54.8,67.5,80.2,1.81,21.46
2007-07,3.43,56.5,67.4,78.3,1.45,18.54
2007-08,1.71,57.8,69.4,80.9,1.30,20.31
2007-09,2.41,51.3,63.8,76.2,1.06,17.84
2007-10,2.51,46.8,57.0,67.1,0.83,11.49
2007-11,3.59,29.4,37.3,45.3,0.44,4.90
2007-12,3.75,21.2,27.8,34.4,0.34,2.35
2008-01,1.23,20.5,27.4,34.3,0.50,2.99
2008-02,3.05,16.2,24.1,31.9,0.35,2.21
2008-03,3.40,19.9,28.9,38.0,0.39,3.90
2008-04,1.60,37.5,50.4,63.2,1.62,13.68
2008-05,1.42,41.0,52.3,63.5,1.21,12.36
2008-06,3.74,58.0,68.0,78.1,1.50,17.48
2008-07,3.69,59.6,70.1,80.5,1.93,18.55
2008-08,5.15,55.0,65.6,76.2,1.02,15.96
2008-09,2.63,50.2,61.2,72.3,0.75,13.47
2008-10,3.73,36.8,47.3,57.9,0.72,9.42
2008-11,2.02,29.5,37.2,44.9,0.48,5.08
2008-12,3.96,19.7,28.2,36.8,0.51,3.02
2009-01,1.97,7.5,16.2,24.8,0.31,1.99
2009-02,1.43,17.2,26.3,35.4,0.51,3.50
2009-03,3.41,23.1,33.8,44.5,0.70,6.27
2009-04,1.50,34.4,46.0,57.5,1.35,11.56
2009-05,3.50,44.4,56.8,69.3,1.40,15.18
2009-06,4.77,52.7,63.0,73.3,0.84,13.63
2009-07,4.34,55.8,65.4,75.1,0.92,13.86
2009-08,4.40,58.7,68.8,78.9,0.72,15.83
2009-09,1.32,48.9,60.2,71.5,0.22,12.84
2009-10,3.19,38.7,46.9,55.1,0.54,6.44
2009-11,1.33,32.7,42.3,51.8,0.51,6.33
2009-12,2.60,20.3,26.7,33.0,0.43,2.53
2010-01,1.70,16.1,22.7,29.3,0.34,2.09
2010-02,1.35,17.2,23.4,29.6,0.34,2.16
2010-03,2.70,28.8,37.7,46.5,0.87,6.23
2010-04,1.82,37.9,50.8,63.7,1.70,14.59
2010-05,2.85,48.1,59.6,71.1,1.29,16.09
2010-06,5.79,56.8,66.8,76.8,0.95,15.06
2010-07,3.67,61.2,71.9,82.5,1.07,20.26
2010-08,3.01,59.9,69.5,79.2,1.08,16.47
2010-09,2.78,50.4,60.7,71.0,0.93,13.15
2010-10,4.89,41.2,49.7,58.2,0.71,8.44
2010-11,2.25,30.0,38.7,47.5,0.58,5.65
2010-12,2.79,18.2,23.4,28.7,0.37,1.80
2011-01,1.41,12.2,19.8,27.3,0.27,1.98
2011-02,3.09,12.5,22.4,32.2,0.37,3.17
2011-03,3.02,22.2,30.8,39.4,0.40,3.92
2011-04,5.39,35.7,45.3,54.8,0.55,7.49
2011-05,5.69,48.2,57.8,67.5,0.75,11.13
2011-06,2.90,56.0,66.6,77.1,1.10,16.74
2011-07,0.56,62.7,74.6,86.5,2.75,26.63
2011-08,6.09,59.2,69.4,79.6,1.14,17.57
2011-09,2.95,54.9,64.7,74.4,0.63,13.81
2011-10,5.51,40.9,50.2,59.5,0.53,8.80
2011-11,3.21,34.8,44.2,53.6,1.06,7.41
2011-12,2.58,25.8,33.7,41.6,0.48,3.81
2012-01,3.15,18.6,27.8,37.0,0.46,3.42
2012-02,1.14,23.8,30.8,37.8,0.64,3.78
2012-03,1.77,35.5,46.6,57.7,1.20,10.79
2012-04,2.47,33.5,44.4,55.3,1.21,10.22
2012-05,1.90,52.3,63.8,75.4,2.02,18.26
2012-06,2.97,56.2,67.2,78.1,1.79,19.92
2012-07,4.60,62.0,73.6,85.3,1.99,24.54
2012-08,2.09,58.6,70.1,81.7,1.23,20.81
2012-09,3.57,50.1,62.1,74.0,0.60,15.99
2012-10,5.42,42.5,52.1,61.7,0.64,9.11
2012-11,0.45,29.6,37.3,44.9,0.83,5.35
2012-12,3.72,27.7,33.9,40.1,0.33,3.12
2013-01,1.40,19.4,27.6,35.7,0.50,3.12
2013-02,1.44,16.8,24.2,31.6,0.43,2.74
2013-03,0.84,23.0,30.5,38.0,0.60,4.15
2013-04,2.76,33.6,45.0,56.4,1.12,9.83
2013-05,2.67,47.7,59.4,71.2,1.71,16.44
2013-06,4.22,55.5,64.8,74.1,0.82,13.77
2013-07,3.32,61.1,70.7,80.3,0.69,15.79
2013-08,3.20,55.9,66.7,77.5,0.79,16.36
2013-09,2.00,47.2,59.0,70.9,0.51,12.87
2013-10,3.36,41.9,51.9,61.8,0.45,9.66
2013-11,2.88,27.6,35.7,43.9,0.72,5.09
2013-12,3.43,19.8,27.5,35.3,0.36,2.63
2014-01,1.23,8.0,17.3,26.6,0.33,2.28
2014-02,1.71,8.8,18.0,27.2,0.37,2.45
2014-03,2.54,13.6,24.6,35.5,0.47,4.05
2014-04,2.27,32.8,44.4,56.0,1.09,10.15
2014-05,5.61,47.5,58.1,68.7,1.28,13.83
2014-06,3.38,55.9,66.8,77.6,1.06,16.88
2014-07,5.29,57.4,67.5,77.6,1.05,15.89
2014-08,4.72,55.3,65.8,76.3,0.49,14.55
2014-09,1.32,49.6,61.0,72.3,0.39,12.77
2014-10,1.78,42.5,52.0,61.4,0.54,8.97
2014-11,2.30,27.4,35.0,42.6,0.67,5.11
2014-12,1.86,26.0,31.7,37.5,0.26,2.57
2015-01,1.30,7.4,17.1,26.7,0.28,2.13
