PRISM Time Series Data
Location:  Lat: 40.4731   Lon: -79.8397   Elev: 1086ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,25.8,36.1,46.4,0.22,5.15
2000-01-02,0.05,24.7,40.0,55.4,0.41,9.10
2000-01-03,0.34,43.3,54.8,66.4,0.63,13.42
2000-01-04,0.72,51.4,57.6,63.8,0.18,7.80
2000-01-05,0.12,29.5,44.8,60.1,0.36,4.80
2000-01-06,0.00,21.4,26.9,32.4,0.11,2.29
2000-01-07,0.00,23.2,33.6,44.1,0.78,5.44
2000-01-08,0.00,21.6,30.9,40.3,0.42,4.34
2000-01-09,0.00,21.0,30.2,39.4,0.46,4.54
2000-01-10,0.05,31.4,40.2,48.9,0.10,5.87
2000-01-11,0.13,38.4,46.4,54.3,0.31,6.63
2000-01-12,0.00,26.8,36.5,46.3,0.57,5.99
2000-01-13,0.02,27.7,35.8,44.0,0.37,5.86
2000-01-14,0.00,15.7,26.1,36.4,0.38,1.66
2000-01-15,0.00,15.1,19.3,23.4,0.45,1.79
2000-01-16,0.00,16.2,30.8,45.4,0.67,6.79
2000-01-17,0.00,10.8,28.9,47.1,0.65,5.73
2000-01-18,0.00,9.9,15.4,20.9,0.77,2.50
2000-01-19,0.04,16.7,22.1,27.5,0.48,3.13
2000-01-20,0.11,23.9,27.1,30.2,0.10,2.24
2000-01-21,0.08,9.6,18.7,27.8,0.22,1.58
2000-01-22,0.04,0.9,8.1,15.2,0.17,1.21
2000-01-23,0.03,-0.9,9.1,19.0,0.15,1.28
2000-01-24,0.00,17.9,24.7,31.5,0.23,1.39
2000-01-25,0.00,13.5,20.4,27.3,0.43,2.31
2000-01-26,0.00,11.3,17.0,22.6,0.24,1.57
2000-01-27,0.00,8.7,16.9,25.1,0.32,1.69
2000-01-28,0.00,5.7,12.1,18.4,0.33,1.61
2000-01-29,0.00,5.5,14.0,22.6,0.17,1.51
2000-01-30,0.14,6.1,20.4,34.7,0.06,4.36
2000-01-31,0.17,22.7,28.2,33.7,0.11,1.23
2000-02-01,0.02,21.0,24.6,28.1,0.37,1.58
2000-02-02,0.07,16.7,22.3,27.9,0.25,1.53
2000-02-03,0.00,12.0,20.0,28.0,0.26,2.35
2000-02-04,0.17,26.1,29.4,32.8,0.03,1.74
2000-02-05,0.04,16.4,24.8,33.2,0.17,1.39
2000-02-06,0.00,18.2,24.8,31.3,0.48,2.61
2000-02-07,0.00,21.7,27.4,33.2,0.65,2.79
2000-02-08,0.00,12.0,24.9,37.9,0.18,2.83
2000-02-09,0.00,13.3,25.4,37.6,0.25,4.58
2000-02-10,0.00,26.2,38.8,51.3,0.61,8.02
2000-02-11,0.20,30.1,40.5,50.9,0.21,6.67
2000-02-12,0.04,18.2,31.1,44.0,0.07,1.88
2000-02-13,0.00,18.8,26.9,35.1,0.66,4.37
2000-02-14,1.13,26.6,34.4,42.1,0.00,2.42
2000-02-15,0.15,26.7,36.2,45.7,0.05,1.64
2000-02-16,0.02,27.5,34.1,40.7,0.71,2.79
2000-02-17,0.00,20.2,33.6,47.1,0.02,3.88
2000-02-18,0.11,21.6,28.4,35.2,0.18,3.52
2000-02-19,0.71,30.4,34.4,38.4,0.07,1.23
2000-02-20,0.00,28.2,30.1,32.0,0.25,1.40
2000-02-21,0.02,28.6,30.6,32.7,0.61,1.93
2000-02-22,0.00,28.4,37.1,45.8,0.91,5.80
2000-02-23,0.00,32.3,45.2,58.1,1.61,9.89
2000-02-24,0.00,43.7,53.1,62.4,2.19,11.96
2000-02-25,0.00,46.0,57.0,68.0,2.31,15.60
2000-02-26,0.00,46.7,59.6,72.4,0.02,12.77
2000-02-27,0.00,47.6,61.4,75.2,0.19,18.26
2000-02-28,0.32,35.1,48.8,62.5,0.16,7.84
2000-02-29,0.00,25.7,38.6,51.4,0.42,8.49
2000-03-01,0.10,30.8,44.0,57.2,1.28,11.83
2000-03-02,0.17,36.4,46.9,57.4,1.56,8.38
2000-03-03,0.00,27.1,32.5,37.9,0.79,2.86
2000-03-04,0.00,25.3,35.9,46.5,0.76,7.40
2000-03-05,0.00,29.6,42.1,54.5,1.65,11.15
2000-03-06,0.00,30.6,44.9,59.2,1.01,11.97
2000-03-07,0.00,32.0,46.1,60.1,1.04,12.26
2000-03-08,0.00,38.7,56.3,73.8,2.54,19.83
2000-03-09,0.00,53.5,66.3,79.1,4.65,23.62
2000-03-10,0.06,41.2,57.0,72.8,2.24,16.36
2000-03-11,0.00,33.4,41.0,48.6,0.79,5.25
2000-03-12,0.53,30.3,37.3,44.3,0.06,1.66
2000-03-13,0.00,24.3,31.3,38.3,0.45,4.03
2000-03-14,0.00,27.2,36.6,46.0,1.17,6.24
2000-03-15,0.00,34.8,45.6,56.4,1.54,10.23
2000-03-16,0.00,42.7,55.5,68.4,2.02,17.45
2000-03-17,0.43,29.9,42.1,54.4,0.10,3.68
2000-03-18,0.00,19.5,28.4,37.4,0.82,3.99
2000-03-19,0.00,23.5,34.9,46.4,1.87,7.81
2000-03-20,0.00,37.3,46.6,55.9,1.88,8.38
2000-03-21,0.65,38.1,42.6,47.2,0.75,4.72
2000-03-22,0.29,36.1,40.2,44.2,0.30,2.30
2000-03-23,0.00,39.4,46.8,54.1,0.82,5.82
2000-03-24,0.00,37.7,48.2,58.7,0.28,6.82
2000-03-25,0.00,41.4,56.6,71.7,0.91,16.06
2000-03-26,0.00,41.3,58.0,74.6,3.14,16.40
2000-03-27,0.04,35.2,46.9,58.6,1.86,11.51
2000-03-28,0.09,33.2,45.0,56.8,0.33,9.93
2000-03-29,0.08,34.3,41.7,49.0,0.29,4.62
2000-03-30,0.00,32.2,41.7,51.2,0.34,6.77
2000-03-31,0.00,28.9,41.0,53.2,0.75,8.19
2000-04-01,0.00,30.2,44.6,59.1,0.79,11.85
2000-04-02,0.00,34.8,51.2,67.6,0.95,17.72
2000-04-03,0.32,49.5,55.9,62.4,0.01,7.99
2000-04-04,1.08,49.5,58.5,67.4,0.16,6.83
2000-04-05,0.27,31.6,40.8,50.0,0.30,3.90
2000-04-06,0.00,32.9,42.5,52.1,1.54,7.64
2000-04-07,0.00,40.8,53.8,66.8,2.20,16.69
2000-04-08,0.09,41.5,47.7,53.9,1.19,6.88
2000-04-09,0.60,28.7,39.6,50.4,0.15,3.04
2000-04-10,0.07,30.4,35.8,41.2,0.26,4.41
2000-04-11,0.00,34.4,42.8,51.3,1.42,8.83
2000-04-12,0.19,32.2,41.8,51.4,0.07,5.72
2000-04-13,0.00,28.9,36.9,44.9,0.86,5.53
2000-04-14,0.00,34.1,44.7,55.2,1.55,9.66
2000-04-15,0.00,44.1,57.6,71.1,1.55,16.24
2000-04-16,0.00,53.7,65.2,76.7,1.26,17.58
2000-04-17,0.78,53.1,65.7,78.2,0.06,18.56
2000-04-18,0.10,45.8,55.7,65.5,0.27,6.39
2000-04-19,0.00,45.3,51.1,56.8,0.91,5.44
2000-04-20,0.00,46.7,53.0,59.3,0.67,5.78
2000-04-21,0.40,51.8,63.6,75.5,0.13,15.29
2000-04-22,0.27,44.8,52.6,60.5,0.12,6.69
2000-04-23,0.06,41.8,45.3,48.8,0.08,2.09
