PRISM Time Series Data
Location:  Lat: 39.4661   Lon: -76.5859   Elev: 318ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.07,24.1,33.2,42.3,0.76,5.48
2000-02,2.74,28.6,38.3,48.1,0.76,6.45
2000-03,5.64,38.1,49.2,60.3,1.24,11.86
2000-04,4.48,43.5,53.7,63.8,0.95,11.11
2000-05,3.64,55.0,66.3,77.6,1.30,19.17
2000-06,3.46,63.9,73.7,83.5,1.42,20.02
2000-07,5.41,63.9,73.2,82.5,1.42,19.38
2000-08,2.82,64.8,73.9,83.1,1.22,18.04
2000-09,6.18,56.4,66.6,76.9,0.52,14.48
2000-10,0.48,46.7,58.3,69.9,0.82,13.81
2000-11,1.87,35.6,45.0,54.3,1.24,8.31
2000-12,3.76,22.3,30.5,38.6,0.72,4.10
2001-01,3.07,24.6,32.5,40.3,0.67,4.25
2001-02,2.15,28.9,38.4,48.0,0.80,6.45
2001-03,5.55,32.4,41.6,50.9,1.07,7.88
2001-04,2.42,44.5,55.4,66.3,1.41,13.62
2001-05,4.66,52.8,64.4,75.9,1.31,18.87
2001-06,4.57,64.5,74.2,83.9,1.79,21.33
2001-07,2.50,63.4,73.9,84.5,2.00,22.53
2001-08,3.08,68.5,78.0,87.6,1.52,23.02
2001-09,3.54,56.9,67.8,78.8,1.19,18.09
2001-10,0.93,45.5,57.7,69.8,1.22,15.78
2001-11,1.22,40.2,51.7,63.2,1.00,11.46
2001-12,2.00,35.6,44.1,52.6,1.06,7.46
2002-01,2.45,30.5,39.3,48.1,0.97,6.92
2002-02,0.51,29.8,40.4,51.0,1.05,7.99
2002-03,3.79,34.5,44.8,55.2,0.95,8.79
2002-04,4.19,46.5,57.5,68.6,1.26,15.02
2002-05,3.22,51.5,63.0,74.5,1.21,17.41
2002-06,2.46,63.3,74.4,85.5,1.52,24.03
2002-07,2.32,68.7,79.0,89.4,3.02,27.90
2002-08,2.93,68.3,79.2,90.2,2.95,30.12
2002-09,3.61,60.3,71.0,81.6,1.35,20.45
2002-10,7.08,48.8,56.9,65.0,0.68,9.58
2002-11,4.54,36.9,45.1,53.3,0.58,6.62
2002-12,5.23,27.0,34.7,42.4,0.80,4.63
2003-01,2.90,21.8,29.1,36.3,0.76,3.93
2003-02,6.50,23.5,30.6,37.7,0.42,3.60
2003-03,4.68,33.6,43.7,53.9,0.53,7.27
2003-04,2.84,42.9,52.9,62.9,1.25,12.57
2003-05,6.42,52.7,60.8,68.8,0.79,11.07
2003-06,8.38,61.6,70.3,78.9,1.15,17.02
2003-07,4.26,67.8,76.7,85.6,1.69,20.97
2003-08,4.78,69.0,77.6,86.2,1.10,18.45
2003-09,8.92,60.4,69.2,78.0,0.78,14.20
2003-10,6.02,45.7,55.7,65.7,0.85,11.33
2003-11,4.88,42.0,51.4,60.8,0.76,8.56
2003-12,5.31,29.2,37.1,44.9,0.89,5.21
2004-01,1.86,20.8,28.2,35.6,0.79,3.81
2004-02,2.68,26.0,34.4,42.7,1.02,5.65
2004-03,3.05,35.9,45.9,55.8,0.92,9.26
2004-04,5.93,45.6,54.7,63.8,1.42,12.57
2004-05,4.75,60.8,70.8,80.8,1.46,19.27
2004-06,4.67,62.9,72.1,81.3,1.79,18.66
2004-07,7.00,68.4,76.8,85.2,1.87,20.27
2004-08,3.24,66.4,75.3,84.2,1.41,19.34
2004-09,6.21,61.9,70.8,79.7,1.47,16.67
2004-10,1.53,48.2,56.7,65.2,1.03,10.38
2004-11,5.02,40.8,49.6,58.3,1.20,8.83
2004-12,3.70,29.5,38.3,47.1,0.94,5.94
2005-01,4.66,26.6,34.2,41.8,0.64,4.41
2005-02,1.88,28.2,36.8,45.5,0.87,5.92
2005-03,5.25,31.6,40.1,48.6,1.02,6.90
2005-04,4.24,44.4,55.7,66.9,1.74,15.59
2005-05,3.26,49.5,60.2,70.9,1.88,16.26
2005-06,2.77,64.6,74.4,84.3,2.01,21.60
2005-07,5.05,69.6,78.9,88.1,1.97,23.26
2005-08,2.66,69.4,78.4,87.4,2.09,23.22
2005-09,0.30,61.9,73.4,84.9,2.48,25.39
2005-10,11.01,50.2,58.2,66.2,1.05,10.36
2005-11,3.25,38.8,49.1,59.4,1.14,10.18
2005-12,4.20,27.1,34.7,42.2,0.81,4.75
2006-01,4.08,32.3,41.1,50.0,0.88,5.91
2006-02,2.63,27.6,36.4,45.1,1.06,6.21
2006-03,0.23,34.6,44.6,54.6,1.93,10.50
2006-04,5.22,46.4,57.8,69.3,2.03,15.80
2006-05,2.36,52.9,64.1,75.3,2.16,19.54
2006-06,12.21,62.6,72.8,82.9,1.72,21.33
2006-07,5.06,69.2,78.3,87.4,2.03,22.35
2006-08,1.82,67.2,77.9,88.7,2.53,27.20
2006-09,7.16,57.8,65.7,73.7,1.26,12.25
2006-10,5.32,45.7,55.1,64.5,0.80,10.23
2006-11,5.90,41.1,49.6,58.2,0.94,7.91
2006-12,2.46,33.3,43.2,53.1,0.89,7.38
2007-01,2.65,30.4,38.5,46.6,0.75,5.54
2007-02,2.46,20.4,28.1,35.8,0.86,4.26
2007-03,4.89,33.1,44.2,55.4,1.28,10.45
2007-04,4.52,41.8,51.4,61.0,1.52,12.62
2007-05,1.42,53.4,65.6,77.7,2.01,20.98
2007-06,2.09,63.8,73.8,83.8,2.19,22.68
2007-07,3.04,66.5,76.3,86.2,3.55,25.69
2007-08,4.02,67.2,77.2,87.1,2.24,24.71
2007-09,0.89,60.5,71.6,82.8,2.32,23.36
2007-10,6.82,53.4,63.7,74.0,0.91,15.44
2007-11,2.00,37.2,45.8,54.5,1.08,7.55
2007-12,5.35,30.4,37.4,44.4,0.53,4.17
2008-01,1.51,27.9,36.0,44.1,0.99,5.81
2008-02,4.92,28.1,37.0,45.9,0.78,5.34
2008-03,2.85,33.7,43.8,54.0,1.19,8.69
2008-04,4.39,44.8,55.3,65.9,0.66,12.67
2008-05,5.71,49.7,60.2,70.6,1.16,15.18
2008-06,2.39,64.9,75.1,85.3,2.36,23.31
2008-07,4.96,67.6,77.2,86.8,2.34,24.05
2008-08,3.22,62.7,72.9,83.1,2.18,22.24
2008-09,8.19,59.5,68.6,77.7,1.18,16.41
2008-10,2.23,44.5,54.7,65.0,1.03,11.76
2008-11,2.14,37.7,45.2,52.8,1.25,7.08
2008-12,4.63,29.4,37.4,45.5,0.74,4.69
2009-01,2.49,21.5,28.7,36.0,0.80,4.07
2009-02,0.37,26.7,36.0,45.3,1.09,6.56
2009-03,2.00,32.5,41.7,50.9,0.83,7.38
2009-04,5.65,44.3,54.5,64.6,1.52,14.10
2009-05,6.17,54.1,62.6,71.2,1.06,12.36
2009-06,4.96,61.4,71.1,80.7,1.05,18.36
2009-07,3.47,65.5,74.8,84.1,2.91,22.79
2009-08,6.90,68.6,77.6,86.6,2.05,22.01
2009-09,6.56,57.4,66.6,75.9,0.87,15.25
2009-10,6.84,46.2,54.8,63.4,0.87,9.82
2009-11,3.80,41.2,49.4,57.5,0.76,7.24
2009-12,7.92,28.6,35.9,43.1,0.87,4.51
2010-01,3.17,25.3,32.8,40.4,0.87,4.49
2010-02,4.80,24.9,31.2,37.5,0.88,3.86
2010-03,4.69,39.1,47.8,56.5,1.41,9.67
2010-04,3.46,47.0,58.1,69.2,1.96,16.73
2010-05,2.76,56.8,66.7,76.5,1.76,18.82
2010-06,0.89,67.6,77.6,87.6,3.24,25.66
2010-07,4.91,69.5,79.0,88.4,2.92,25.24
2010-08,3.14,67.5,75.8,84.1,1.56,19.31
2010-09,3.91,60.3,70.3,80.4,2.11,20.56
2010-10,7.40,48.0,57.8,67.7,1.01,12.61
2010-11,2.08,37.0,46.1,55.2,1.05,7.98
2010-12,2.86,25.3,31.7,38.1,1.01,3.91
2011-01,2.73,22.6,29.2,35.8,0.59,3.43
2011-02,2.83,26.8,35.8,44.9,0.91,6.36
2011-03,7.29,33.7,43.2,52.7,1.14,7.94
2011-04,4.79,47.6,57.1,66.6,1.28,13.17
2011-05,4.12,57.2,65.9,74.7,1.13,14.17
2011-06,1.32,65.6,75.7,85.9,2.25,24.76
2011-07,3.87,70.3,80.0,89.6,2.80,27.31
2011-08,9.79,65.8,74.7,83.5,1.45,19.20
2011-09,11.51,62.5,69.3,76.1,0.75,10.23
2011-10,3.31,46.8,55.7,64.6,0.81,10.72
2011-11,4.23,40.5,50.2,59.9,1.06,9.20
2011-12,4.69,33.8,41.7,49.7,0.83,5.60
2012-01,2.00,28.3,37.0,45.7,0.80,5.60
2012-02,0.93,31.8,40.7,49.6,1.08,7.50
2012-03,1.65,41.5,51.8,62.0,1.23,10.86
2012-04,2.64,43.3,53.9,64.4,1.94,14.36
2012-05,4.10,58.5,67.3,76.0,1.06,14.61
2012-06,6.14,62.1,72.8,83.5,2.60,25.49
2012-07,6.00,70.1,79.1,88.1,2.58,24.02
2012-08,6.38,67.6,76.7,85.7,1.79,22.40
2012-09,4.14,58.6,68.0,77.5,1.10,15.87
2012-10,11.11,48.5,57.2,65.9,0.79,10.03
2012-11,0.94,34.7,42.9,51.0,1.31,7.19
2012-12,3.82,35.0,42.0,49.0,0.70,4.92
2013-01,5.28,28.2,35.8,43.4,0.81,4.86
2013-02,2.25,27.1,34.1,41.1,0.77,4.63
2013-03,2.95,32.4,40.1,47.8,1.31,7.25
2013-04,2.44,44.4,54.7,65.1,1.54,13.19
2013-05,3.65,53.6,62.7,71.8,1.41,13.92
2013-06,6.39,64.9,73.4,81.8,2.00,17.81
2013-07,4.48,70.8,78.2,85.7,2.37,18.55
2013-08,3.25,65.1,73.1,81.0,1.77,16.83
2013-09,1.16,56.3,66.8,77.3,1.73,17.62
2013-10,5.30,49.2,58.3,67.4,0.97,11.64
2013-11,2.99,34.8,43.8,52.8,1.38,7.83
2013-12,5.60,30.8,38.2,45.7,0.74,4.73
2014-01,3.20,18.3,27.2,36.1,0.64,3.63
2014-02,5.39,24.4,32.5,40.7,0.72,5.12
2014-03,4.75,26.9,36.3,45.8,1.05,6.83
2014-04,5.00,42.6,52.9,63.2,1.48,12.65
2014-05,9.00,54.0,64.0,74.0,1.39,15.93
2014-06,5.97,64.1,72.5,81.0,2.06,18.12
2014-07,5.06,66.7,75.3,83.9,2.33,19.78
