PRISM Time Series Data
Location:  Lat: 40.7703   Lon: -76.0820   Elev: 1175ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,26.6,33.7,40.8,0.41,2.94
2000-01-02,0.00,28.4,38.1,47.7,0.35,5.64
2000-01-03,0.02,38.2,47.1,56.1,0.56,5.27
2000-01-04,0.03,50.3,54.4,58.4,0.60,3.43
2000-01-05,0.33,27.6,44.3,61.0,0.27,4.53
2000-01-06,0.00,17.2,25.4,33.5,0.39,3.41
2000-01-07,0.00,19.2,28.8,38.3,0.34,3.95
2000-01-08,0.00,20.6,31.3,42.1,0.33,4.57
2000-01-09,0.00,21.6,29.4,37.2,0.78,4.24
2000-01-10,0.00,32.7,39.5,46.4,0.53,5.37
2000-01-11,0.99,34.2,40.1,46.0,0.01,3.99
2000-01-12,0.01,31.2,39.2,47.2,0.73,6.68
2000-01-13,0.00,28.4,34.5,40.7,0.86,5.15
2000-01-14,0.08,7.1,20.1,33.1,0.06,1.86
2000-01-15,0.00,6.4,14.0,21.7,0.42,2.51
2000-01-16,0.00,12.3,20.1,28.0,0.65,2.42
2000-01-17,0.00,1.1,23.1,45.1,0.67,5.84
2000-01-18,0.00,-0.5,6.1,12.8,0.49,1.90
2000-01-19,0.00,-0.2,7.5,15.1,0.45,1.88
2000-01-20,0.08,11.1,19.8,28.6,0.26,2.78
2000-01-21,0.27,4.7,15.2,25.7,0.11,1.51
2000-01-22,0.00,1.8,7.7,13.6,0.48,1.70
2000-01-23,0.01,1.7,9.3,16.9,0.38,1.89
2000-01-24,0.00,11.5,18.1,24.7,0.34,1.57
2000-01-25,0.00,20.4,26.6,32.9,0.66,3.09
2000-01-26,0.69,16.5,19.6,22.7,0.21,1.50
2000-01-27,0.00,5.9,16.1,26.3,0.55,2.26
2000-01-28,0.00,2.5,9.3,16.0,0.55,1.86
2000-01-29,0.00,2.8,11.2,19.7,0.58,2.62
2000-01-30,0.00,7.2,18.8,30.4,0.68,4.53
2000-01-31,0.85,9.8,19.0,28.2,0.18,3.26
2000-02-01,0.00,19.8,24.3,28.8,0.64,2.34
2000-02-02,0.00,18.7,23.7,28.7,1.19,2.34
2000-02-03,0.00,13.3,19.8,26.2,1.00,3.10
2000-02-04,0.10,15.8,22.1,28.3,0.16,2.48
2000-02-05,0.01,19.4,24.8,30.2,0.12,1.77
2000-02-06,0.00,19.4,24.9,30.3,1.14,3.29
2000-02-07,0.00,21.8,27.4,33.0,1.27,3.92
2000-02-08,0.00,10.5,23.4,36.3,1.02,3.55
2000-02-09,0.00,8.9,18.8,28.6,0.48,3.75
2000-02-10,0.00,17.5,29.6,41.7,0.41,4.64
2000-02-11,0.04,28.0,36.4,44.9,0.49,4.70
2000-02-12,0.00,14.6,29.0,43.4,0.23,3.31
2000-02-13,0.00,12.2,20.2,28.3,0.51,3.36
2000-02-14,0.77,14.8,24.0,33.2,0.10,2.37
2000-02-15,0.19,26.2,33.5,40.7,0.19,2.55
2000-02-16,0.00,23.0,28.7,34.3,0.74,3.40
2000-02-17,0.00,18.7,32.6,46.6,1.12,4.87
2000-02-18,0.02,18.4,24.7,31.0,0.55,3.70
2000-02-19,0.72,21.7,25.4,29.2,0.00,1.22
2000-02-20,0.01,23.1,27.6,32.1,0.01,1.64
2000-02-21,0.00,21.7,27.5,33.3,0.81,2.68
2000-02-22,0.00,20.5,28.4,36.4,0.33,3.40
2000-02-23,0.00,22.9,35.4,47.9,0.46,6.51
2000-02-24,0.00,31.8,41.6,51.4,0.55,6.63
2000-02-25,0.00,33.6,47.1,60.7,0.33,10.58
2000-02-26,0.03,33.2,48.1,62.9,0.01,8.25
2000-02-27,0.01,34.1,37.9,41.7,0.08,1.55
2000-02-28,0.63,36.1,44.8,53.4,0.13,2.42
2000-02-29,0.00,28.0,38.1,48.2,1.05,7.35
2000-03-01,0.00,27.2,39.1,51.0,0.91,9.24
2000-03-02,0.02,34.6,43.2,51.8,1.06,9.23
2000-03-03,0.00,27.0,33.4,39.9,0.76,4.20
2000-03-04,0.00,25.8,34.8,43.9,1.34,7.77
2000-03-05,0.00,26.4,37.5,48.5,0.88,7.91
2000-03-06,0.00,31.0,42.9,54.8,1.67,10.31
2000-03-07,0.00,30.3,40.9,51.4,1.51,9.23
2000-03-08,0.00,37.6,51.7,65.9,2.15,16.16
2000-03-09,0.00,46.2,61.2,76.2,2.36,18.69
2000-03-10,0.02,43.5,57.3,71.2,1.50,15.20
2000-03-11,0.00,37.1,44.9,52.7,0.68,6.95
2000-03-12,1.25,34.3,37.6,41.0,0.00,1.13
2000-03-13,0.06,24.1,32.2,40.4,0.23,3.21
2000-03-14,0.00,24.4,34.3,44.3,0.76,6.08
2000-03-15,0.00,30.2,41.3,52.4,0.52,8.23
2000-03-16,0.00,37.4,51.1,64.8,1.49,15.36
2000-03-17,0.93,30.3,46.0,61.7,0.00,10.03
2000-03-18,0.00,14.4,23.8,33.2,0.61,2.99
2000-03-19,0.00,16.4,27.1,37.8,0.95,5.85
2000-03-20,0.03,24.2,33.9,43.7,0.80,5.35
2000-03-21,0.64,34.2,40.3,46.4,0.78,6.23
2000-03-22,1.71,33.5,36.4,39.4,0.13,1.15
2000-03-23,0.00,32.9,43.2,53.5,0.13,6.54
2000-03-24,0.00,39.6,49.8,59.9,0.79,8.99
2000-03-25,0.00,40.7,53.0,65.3,1.33,14.30
2000-03-26,0.06,44.4,55.3,66.2,0.89,11.16
2000-03-27,0.00,33.9,45.9,57.8,1.96,12.50
2000-03-28,1.27,35.2,48.6,62.0,0.00,13.82
2000-03-29,0.03,35.0,44.8,54.6,0.26,9.39
2000-03-30,0.01,34.8,39.3,43.8,0.93,3.79
2000-03-31,0.00,29.1,40.6,52.1,1.17,8.38
2000-04-01,0.00,29.6,42.3,55.1,0.88,10.65
2000-04-02,0.00,41.7,52.1,62.6,3.39,15.61
2000-04-03,0.02,46.8,54.3,61.7,0.24,9.41
2000-04-04,0.54,51.2,60.4,69.6,0.29,11.23
