PRISM Time Series Data
Location:  Lat: 41.0639   Lon: -75.4272   Elev: 1890ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.3,27.8,35.3,0.19,1.86
2000-01-02,0.00,20.6,32.7,44.8,0.40,4.77
2000-01-03,0.00,40.1,46.1,52.2,0.19,3.62
2000-01-04,0.01,50.3,53.2,56.1,0.03,2.89
2000-01-05,0.37,26.6,41.2,55.8,0.13,1.76
2000-01-06,0.00,13.0,22.9,32.7,0.22,3.01
2000-01-07,0.00,17.1,26.0,34.8,0.58,2.98
2000-01-08,0.00,18.6,29.2,39.8,0.29,3.69
2000-01-09,0.00,17.6,25.7,33.8,0.49,3.58
2000-01-10,0.01,31.7,38.9,46.2,0.38,5.16
2000-01-11,1.13,34.7,38.3,41.8,0.63,3.81
2000-01-12,0.00,31.6,35.9,40.1,1.49,4.93
2000-01-13,0.01,25.8,32.2,38.6,0.53,4.63
2000-01-14,0.10,4.8,15.3,25.8,0.02,0.94
2000-01-15,0.00,3.9,8.6,13.4,0.39,1.19
2000-01-16,0.00,8.6,16.8,25.1,0.48,1.77
2000-01-17,0.00,-1.3,16.5,34.3,0.48,3.47
2000-01-18,0.00,-3.6,3.3,10.2,0.32,1.46
2000-01-19,0.00,-1.9,6.0,13.8,0.42,2.01
2000-01-20,0.20,8.4,15.2,22.0,0.28,1.82
2000-01-21,0.24,2.5,10.4,18.2,0.22,0.82
2000-01-22,0.00,-0.2,4.5,9.2,0.43,1.30
2000-01-23,0.02,0.1,6.9,13.7,0.30,1.57
2000-01-24,0.00,8.2,14.6,21.0,0.19,2.29
2000-01-25,0.06,24.1,28.7,33.2,1.91,5.07
2000-01-26,1.14,15.8,20.3,24.9,0.44,2.79
2000-01-27,0.00,9.6,15.8,22.0,1.14,2.58
2000-01-28,0.00,0.2,5.3,10.4,0.56,1.96
2000-01-29,0.00,1.1,8.9,16.8,0.55,2.82
2000-01-30,0.00,4.5,18.1,31.7,0.89,5.97
2000-01-31,0.98,7.0,18.6,30.3,1.06,5.64
2000-02-01,0.00,25.2,26.5,27.7,0.77,2.16
2000-02-02,0.00,18.7,24.4,30.1,1.24,2.85
2000-02-03,0.00,10.4,16.5,22.6,0.77,2.55
2000-02-04,0.08,17.5,23.2,28.9,0.11,2.66
2000-02-05,0.00,21.1,24.7,28.3,0.28,1.64
2000-02-06,0.00,22.8,26.9,30.9,1.63,3.67
2000-02-07,0.00,24.3,27.3,30.4,2.03,3.64
2000-02-08,0.00,12.1,22.3,32.5,1.16,3.06
2000-02-09,0.00,3.0,16.7,30.5,0.43,4.44
2000-02-10,0.00,19.1,29.3,39.4,0.72,3.81
2000-02-11,0.03,22.3,33.2,44.1,0.20,4.27
2000-02-12,0.00,12.9,27.4,41.8,0.14,3.14
2000-02-13,0.00,6.9,18.1,29.4,0.22,3.88
2000-02-14,0.76,14.2,23.0,31.9,0.01,2.37
2000-02-15,0.25,24.8,32.3,39.8,0.13,2.40
2000-02-16,0.00,20.2,25.7,31.3,0.64,2.94
2000-02-17,0.00,17.1,29.5,41.9,1.12,3.99
2000-02-18,0.00,15.8,20.9,26.1,0.45,2.82
2000-02-19,0.68,18.6,22.4,26.2,0.00,1.26
2000-02-20,0.00,21.7,24.9,28.2,0.00,1.14
2000-02-21,0.00,19.8,24.1,28.4,0.64,1.78
2000-02-22,0.00,17.4,25.0,32.7,0.31,2.57
2000-02-23,0.00,25.3,36.2,47.1,0.94,6.41
2000-02-24,0.00,34.1,41.2,48.2,0.96,5.24
2000-02-25,0.05,37.8,48.5,59.2,0.16,9.64
2000-02-26,0.04,32.3,38.4,44.5,0.04,1.06
2000-02-27,0.01,32.3,34.6,37.0,0.21,0.99
2000-02-28,0.83,35.1,41.3,47.5,0.01,0.40
2000-02-29,0.00,27.3,34.4,41.5,1.21,4.92
2000-03-01,0.00,26.1,36.1,46.0,0.98,7.18
2000-03-02,0.03,30.0,36.6,43.2,0.66,6.16
2000-03-03,0.00,25.6,30.6,35.6,0.57,3.21
2000-03-04,0.00,24.3,31.1,37.9,1.12,5.90
