PRISM Time Series Data
Location:  Lat: 38.7616   Lon: -83.3984   Elev: 866ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-22
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,25.2,39.5,53.8,28.5,0.13,8.36
2000-01-02,0.00,27.3,43.3,59.4,39.7,0.30,9.45
2000-01-03,0.84,47.0,57.5,68.0,51.3,0.05,11.58
2000-01-04,1.66,47.8,57.4,67.0,52.1,0.12,9.05
2000-01-05,0.00,27.3,38.5,49.8,27.0,0.73,2.98
2000-01-06,0.00,21.1,27.2,33.3,19.8,0.35,2.76
2000-01-07,0.00,22.4,34.4,46.4,24.7,0.47,6.26
2000-01-08,0.00,18.4,31.6,44.8,19.7,0.20,6.35
2000-01-09,0.00,20.5,30.7,41.0,26.4,0.35,4.34
2000-01-10,0.01,34.6,41.5,48.5,40.0,0.07,2.59
2000-01-11,0.00,36.9,45.9,54.8,32.2,0.58,8.05
2000-01-12,0.00,23.6,35.6,47.7,21.9,0.48,7.62
2000-01-13,0.24,23.4,40.0,56.6,29.8,0.32,10.06
2000-01-14,0.00,14.2,29.6,45.1,20.2,0.32,3.96
2000-01-15,0.00,15.3,23.5,31.6,12.7,0.53,3.49
2000-01-16,0.00,22.0,37.6,53.2,20.8,1.14,10.24
2000-01-17,0.00,16.5,36.0,55.6,22.0,0.88,7.69
2000-01-18,0.01,17.1,24.1,31.1,11.7,0.20,4.02
2000-01-19,0.00,21.3,26.1,30.8,22.3,0.30,1.65
2000-01-20,0.19,24.0,28.6,33.3,23.4,0.14,2.41
2000-01-21,0.00,3.6,16.9,30.2,9.2,0.37,1.95
2000-01-22,0.00,1.2,10.1,19.0,-0.7,0.28,2.03
2000-01-23,0.10,7.4,17.0,26.7,16.9,0.08,1.45
2000-01-24,0.00,11.8,22.6,33.4,19.2,0.14,1.72
2000-01-25,0.00,0.1,13.5,26.8,1.7,0.25,2.79
2000-01-26,0.00,1.1,11.6,22.1,9.8,0.21,1.84
2000-01-27,0.00,-1.6,10.3,22.2,2.4,0.19,2.09
2000-01-28,0.00,-3.1,9.0,21.0,-1.6,0.18,2.26
2000-01-29,0.00,-2.8,11.5,25.7,5.0,0.18,2.55
2000-01-30,0.23,16.5,25.2,34.0,22.2,0.05,3.05
2000-01-31,0.03,23.2,29.1,35.0,23.3,0.16,2.03
2000-02-01,0.00,21.6,26.7,31.9,18.2,0.56,2.78
2000-02-02,0.03,18.4,25.9,33.3,19.0,0.38,2.66
2000-02-03,0.00,18.0,26.8,35.6,17.6,0.61,3.67
