PRISM Time Series Data
Location:  Lat: 40.3910   Lon: -75.3787   Elev: 502ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.2,32.4,42.6,0.00,2.84
2000-01-02,0.00,24.7,34.0,43.2,0.03,1.91
2000-01-03,0.00,34.4,46.9,59.4,0.34,7.31
2000-01-04,0.00,46.2,53.1,60.1,0.00,3.68
2000-01-05,0.56,32.9,48.5,64.0,0.35,5.54
2000-01-06,0.00,18.5,28.3,38.1,0.33,4.51
2000-01-07,0.00,19.2,31.1,42.9,0.16,5.22
2000-01-08,0.00,20.5,33.9,47.3,0.19,6.20
2000-01-09,0.00,20.8,30.2,39.6,0.58,4.68
2000-01-10,0.00,32.5,38.9,45.3,0.29,4.19
2000-01-11,0.48,32.3,42.9,53.5,0.00,4.28
2000-01-12,0.00,33.5,42.1,50.7,1.04,7.28
2000-01-13,0.00,27.8,36.2,44.7,0.95,6.44
2000-01-14,0.00,14.0,25.2,36.5,0.53,2.13
2000-01-15,0.00,12.1,18.3,24.5,0.76,3.01
2000-01-16,0.00,14.4,22.2,30.1,0.73,2.77
2000-01-17,0.00,8.4,28.9,49.4,1.26,7.32
2000-01-18,0.00,4.2,10.8,17.4,0.69,2.47
2000-01-19,0.00,5.2,12.7,20.1,0.75,2.50
2000-01-20,0.02,14.9,23.2,31.6,0.42,3.57
2000-01-21,0.10,10.3,18.8,27.2,0.14,1.50
2000-01-22,0.00,4.2,11.3,18.4,0.57,2.28
2000-01-23,0.00,8.5,14.7,21.0,0.50,2.32
2000-01-24,0.00,16.2,20.8,25.5,0.36,1.14
2000-01-25,0.15,21.7,30.1,38.6,0.18,3.95
2000-01-26,0.29,21.7,25.0,28.2,0.20,1.72
2000-01-27,0.00,12.2,21.8,31.3,1.01,2.86
2000-01-28,0.00,8.1,14.0,19.9,0.99,2.15
2000-01-29,0.00,9.2,16.0,22.8,1.01,2.89
2000-01-30,0.00,3.9,19.8,35.6,0.28,5.57
2000-01-31,1.50,9.9,21.3,32.8,0.00,3.69
2000-02-01,0.00,13.4,23.2,33.0,0.02,2.95
2000-02-02,0.00,15.0,24.1,33.1,0.61,3.08
2000-02-03,0.00,9.2,19.7,30.3,0.42,3.67
2000-02-04,0.55,11.9,21.2,30.5,0.08,2.54
2000-02-05,0.00,22.1,28.2,34.2,0.01,2.04
2000-02-06,0.00,21.7,28.5,35.4,1.20,4.48
2000-02-07,0.00,19.0,28.0,36.9,0.55,4.97
2000-02-08,0.00,9.8,25.3,40.8,0.69,4.32
2000-02-09,0.00,5.7,18.1,30.4,0.15,3.89
2000-02-10,0.00,6.8,25.6,44.4,0.00,4.91
2000-02-11,0.01,28.1,38.8,49.5,0.29,6.54
2000-02-12,0.10,20.0,33.4,46.7,0.27,3.70
2000-02-13,0.00,7.8,19.8,31.7,0.02,3.88
2000-02-14,0.67,11.6,23.1,34.6,0.07,2.78
2000-02-15,0.05,31.7,37.8,43.8,0.56,3.22
2000-02-16,0.00,22.7,30.7,38.7,0.52,4.60
2000-02-17,0.00,24.1,37.2,50.4,1.50,5.58
2000-02-18,0.00,24.0,29.5,35.0,0.88,4.56
2000-02-19,0.67,26.4,29.0,31.7,0.01,1.33
2000-02-20,0.00,26.7,30.6,34.6,0.00,1.60
2000-02-21,0.00,21.2,29.6,38.1,0.64,3.66
2000-02-22,0.00,20.7,30.7,40.7,0.10,4.67
2000-02-23,0.00,22.0,36.9,51.9,0.11,7.98
2000-02-24,0.00,31.6,42.6,53.7,0.46,7.21
2000-02-25,0.00,32.6,48.1,63.7,0.02,11.65
2000-02-26,0.42,37.2,48.8,60.4,0.15,6.12
2000-02-27,0.01,38.0,41.2,44.4,0.01,1.81
2000-02-28,0.40,40.8,48.2,55.5,0.06,1.89
2000-02-29,0.00,32.5,42.3,52.1,1.63,8.60
2000-03-01,0.00,21.7,38.9,56.1,0.11,11.65
2000-03-02,0.00,30.3,42.2,54.2,1.19,9.83
2000-03-03,0.00,30.6,37.7,44.9,1.27,5.54
2000-03-04,0.00,28.7,38.5,48.3,1.74,9.11
2000-03-05,0.00,31.0,41.7,52.4,1.51,9.33
2000-03-06,0.00,27.6,42.8,58.0,0.46,11.80
2000-03-07,0.00,27.6,41.7,55.8,0.67,11.17
2000-03-08,0.00,34.6,50.9,67.3,1.65,16.88
2000-03-09,0.00,36.5,57.9,79.4,0.00,20.45
2000-03-10,0.00,37.9,55.3,72.7,0.00,15.25
2000-03-11,0.03,36.9,46.9,56.9,0.00,7.54
2000-03-12,0.92,38.1,40.3,42.6,0.00,0.49
2000-03-13,0.03,26.7,35.8,44.8,0.24,3.51
2000-03-14,0.00,27.4,37.7,48.0,0.65,7.46
2000-03-15,0.00,29.7,42.7,55.8,0.09,9.84
2000-03-16,0.00,35.6,51.9,68.3,0.61,17.22
2000-03-17,1.12,39.3,52.2,65.1,0.00,11.04
2000-03-18,0.00,19.6,29.3,39.0,0.57,3.24
2000-03-19,0.00,22.5,31.7,40.8,0.87,6.39
2000-03-20,0.00,28.1,37.2,46.2,0.69,5.86
2000-03-21,0.15,34.0,40.9,47.9,0.42,5.86
2000-03-22,2.02,37.0,39.0,40.9,0.12,1.44
2000-03-23,0.01,30.6,42.2,53.8,0.00,6.13
2000-03-24,0.00,32.1,49.5,66.9,0.00,13.40
2000-03-25,0.00,38.6,52.9,67.3,0.90,15.50
2000-03-26,0.05,45.3,56.7,68.1,0.66,11.57
2000-03-27,0.00,29.7,45.6,61.6,0.74,13.70
2000-03-28,0.94,33.8,50.5,67.2,0.00,16.62
2000-03-29,0.03,39.1,48.8,58.6,0.90,11.44
2000-03-30,0.00,30.7,40.7,50.7,0.16,5.98
2000-03-31,0.00,27.8,42.2,56.7,0.57,9.91
2000-04-01,0.00,28.9,43.7,58.5,0.53,12.02
2000-04-02,0.00,40.2,52.4,64.7,2.07,15.96
2000-04-03,0.00,49.8,58.3,66.7,0.37,12.96
2000-04-04,0.65,56.5,63.4,70.4,0.44,9.51
2000-04-05,0.07,37.2,51.4,65.5,1.53,9.97
2000-04-06,0.00,32.8,40.1,47.3,1.07,6.92
2000-04-07,0.00,41.0,56.7,72.4,2.53,20.87
2000-04-08,0.00,44.8,55.9,67.0,0.26,15.25
2000-04-09,0.51,28.9,51.9,74.9,0.09,17.84
2000-04-10,0.02,28.5,38.7,48.8,0.40,8.42
2000-04-11,0.00,36.9,45.8,54.6,2.25,10.87
2000-04-12,0.06,36.0,42.6,49.2,0.00,4.88
2000-04-13,0.00,27.9,39.0,50.2,1.06,8.18
2000-04-14,0.00,30.0,41.2,52.4,0.63,10.16
2000-04-15,0.00,38.4,50.4,62.5,0.03,11.96
