PRISM Time Series Data
Location:  Lat: 40.0702   Lon: -75.8157   Elev: 600ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.9,33.6,44.3,0.00,3.09
2000-01-02,0.00,28.4,39.0,49.5,0.08,4.89
2000-01-03,0.00,39.5,50.4,61.2,0.70,7.54
2000-01-04,0.00,47.6,54.0,60.3,0.01,3.66
2000-01-05,0.66,33.5,48.8,64.2,0.28,5.28
2000-01-06,0.00,19.5,28.4,37.3,0.38,4.14
2000-01-07,0.00,19.8,31.5,43.1,0.13,5.09
2000-01-08,0.00,19.8,33.4,47.1,0.23,6.19
2000-01-09,0.00,19.8,29.6,39.4,0.35,4.40
2000-01-10,0.00,33.4,38.8,44.1,0.23,3.62
2000-01-11,0.42,37.4,44.7,52.0,0.00,4.45
2000-01-12,0.00,33.4,41.6,49.8,1.09,7.12
2000-01-13,0.00,28.5,36.3,44.2,0.90,6.13
2000-01-14,0.02,14.2,28.5,42.7,0.47,3.40
2000-01-15,0.00,12.1,18.4,24.7,0.69,2.99
2000-01-16,0.00,13.0,21.8,30.5,0.47,2.78
2000-01-17,0.00,8.5,29.4,50.3,1.22,7.64
2000-01-18,0.00,3.5,10.5,17.4,0.63,2.50
2000-01-19,0.00,4.6,11.5,18.3,0.59,2.27
2000-01-20,0.08,14.7,23.5,32.2,0.31,3.56
2000-01-21,0.42,10.5,19.3,28.1,0.06,1.50
2000-01-22,0.00,4.8,11.8,18.8,0.51,2.17
2000-01-23,0.00,4.7,12.6,20.5,0.45,2.14
2000-01-24,0.00,16.8,20.8,24.7,0.31,0.90
2000-01-25,0.41,21.9,30.0,38.2,0.12,3.66
2000-01-26,0.66,20.8,23.3,25.7,0.19,1.59
2000-01-27,0.00,10.5,20.3,30.1,0.84,2.69
2000-01-28,0.00,8.5,16.7,25.0,0.97,2.80
2000-01-29,0.00,8.9,18.1,27.2,0.94,3.74
2000-01-30,0.00,5.7,19.4,33.0,0.35,4.68
2000-01-31,0.65,14.0,22.9,31.8,0.02,3.25
2000-02-01,0.00,15.3,23.7,32.2,0.10,2.74
2000-02-02,0.00,16.3,24.7,33.1,0.65,2.98
2000-02-03,0.00,8.1,18.3,28.6,0.27,3.00
2000-02-04,0.08,11.5,20.5,29.5,0.06,2.22
2000-02-05,0.05,22.3,27.1,31.9,0.00,1.68
2000-02-06,0.00,21.3,26.7,32.1,1.15,3.48
2000-02-07,0.00,19.1,27.2,35.4,0.53,4.02
2000-02-08,0.00,11.1,25.7,40.4,0.57,3.87
2000-02-09,0.00,8.2,19.5,30.7,0.21,3.73
2000-02-10,0.00,8.3,26.2,44.2,0.00,4.67
2000-02-11,0.00,22.1,35.5,49.0,0.09,6.08
2000-02-12,0.04,20.7,33.7,46.6,0.16,3.58
2000-02-13,0.00,10.0,19.7,29.4,0.04,3.09
2000-02-14,0.37,12.8,23.5,34.1,0.09,2.54
2000-02-15,0.04,31.6,37.5,43.3,0.41,2.45
2000-02-16,0.00,22.7,30.4,38.2,0.45,4.14
2000-02-17,0.00,23.3,37.0,50.7,1.25,5.36
2000-02-18,0.00,23.5,29.0,34.5,0.65,4.26
2000-02-19,1.06,26.4,29.0,31.6,0.01,1.22
2000-02-20,0.00,29.0,32.5,35.9,0.05,1.85
2000-02-21,0.00,20.8,29.8,38.8,0.48,3.80
2000-02-22,0.00,20.0,29.9,39.8,0.04,4.12
2000-02-23,0.00,21.9,36.4,50.9,0.10,7.32
2000-02-24,0.00,31.8,42.7,53.6,0.35,6.98
2000-02-25,0.00,33.8,49.3,64.8,0.12,12.33
2000-02-26,0.00,37.3,52.1,67.0,0.16,9.91
2000-02-27,0.04,38.2,42.1,45.9,0.00,2.16
2000-02-28,0.47,40.5,48.6,56.7,0.04,2.09
2000-02-29,0.00,30.1,41.2,52.3,0.95,8.70
2000-03-01,0.00,26.5,41.4,56.2,0.59,11.50
2000-03-02,0.00,33.7,43.7,53.8,1.32,9.32
2000-03-03,0.00,33.1,39.0,44.9,2.01,5.51
2000-03-04,0.00,29.7,39.4,49.1,1.94,9.37
2000-03-05,0.00,30.3,41.2,52.2,1.14,9.09
2000-03-06,0.00,27.8,43.7,59.7,0.34,12.99
2000-03-07,0.00,27.9,41.7,55.5,0.61,10.77
2000-03-08,0.00,30.7,48.9,67.1,1.06,16.51
2000-03-09,0.00,39.8,60.0,80.1,0.24,21.31
2000-03-10,0.01,42.1,58.0,73.9,0.54,16.70
2000-03-11,0.03,43.0,51.4,59.7,0.68,8.88
2000-03-12,0.71,38.8,41.2,43.7,0.00,0.49
2000-03-13,0.02,25.5,35.0,44.5,0.07,3.62
2000-03-14,0.00,28.2,37.5,46.8,0.70,6.82
2000-03-15,0.00,33.0,44.2,55.5,0.60,9.49
2000-03-16,0.02,37.0,52.4,67.7,0.67,16.74
2000-03-17,0.89,37.7,51.2,64.7,0.00,10.35
2000-03-18,0.01,18.7,28.5,38.2,0.51,3.44
2000-03-19,0.00,21.8,31.2,40.6,0.67,6.11
2000-03-20,0.01,28.8,38.1,47.5,0.83,6.11
2000-03-21,0.50,33.7,40.3,46.9,0.27,5.20
2000-03-22,3.47,34.8,37.5,40.2,0.00,1.16
2000-03-23,0.04,32.5,41.8,51.1,0.00,4.56
2000-03-24,0.00,37.0,51.1,65.3,0.28,11.88
2000-03-25,0.00,42.7,54.9,67.1,1.68,14.85
2000-03-26,0.01,48.7,58.0,67.2,1.02,10.73
2000-03-27,0.02,30.8,46.1,61.5,0.73,13.74
2000-03-28,0.86,41.1,54.0,67.0,0.22,16.25
2000-03-29,0.03,37.3,47.9,58.4,0.42,11.18
2000-03-30,0.00,29.6,40.2,50.9,0.04,6.05
2000-03-31,0.00,26.8,41.9,57.1,0.26,9.93
2000-04-01,0.00,28.0,42.6,57.2,0.25,11.04
2000-04-02,0.00,36.1,50.2,64.2,1.12,15.10
2000-04-03,0.00,49.8,57.6,65.3,0.14,11.58
2000-04-04,0.40,55.8,62.8,69.7,0.31,7.95
2000-04-05,0.10,35.1,48.0,60.8,0.58,6.06
2000-04-06,0.00,32.4,39.7,47.0,0.61,6.53
2000-04-07,0.00,35.8,54.2,72.6,0.77,20.68
2000-04-08,0.00,46.6,56.7,66.7,0.56,14.49
2000-04-09,0.76,28.4,50.9,73.4,0.06,15.81
2000-04-10,0.03,27.4,37.6,47.9,0.00,7.67
2000-04-11,0.00,36.0,45.4,54.9,1.66,10.77
2000-04-12,0.03,39.0,44.9,50.8,0.06,5.15
2000-04-13,0.00,26.5,38.1,49.7,0.59,7.71
2000-04-14,0.00,27.8,39.7,51.7,0.10,9.51
2000-04-15,0.03,34.0,47.5,61.0,0.00,11.03
2000-04-16,0.14,47.1,54.2,61.3,0.00,3.54
2000-04-17,0.25,49.7,63.7,77.6,0.14,15.75
2000-04-18,0.52,37.9,43.6,49.2,0.07,2.30
2000-04-19,0.01,38.0,42.4,46.8,0.15,3.19
2000-04-20,0.00,44.1,53.8,63.5,0.73,8.76
2000-04-21,0.00,47.9,57.7,67.4,0.59,10.18
2000-04-22,1.07,44.3,48.4,52.5,0.00,1.36
2000-04-23,0.02,42.1,47.0,51.9,0.39,3.32
2000-04-24,0.00,41.3,47.4,53.5,1.22,5.83
2000-04-25,0.00,45.2,55.7,66.3,2.46,14.48
2000-04-26,0.00,32.5,43.4,54.2,0.00,6.63
2000-04-27,0.02,37.1,46.6,56.1,0.00,8.62
2000-04-28,0.00,39.6,42.7,45.9,0.02,1.71
2000-04-29,0.00,34.9,46.8,58.7,0.00,7.69
2000-04-30,0.00,39.4,54.6,69.9,0.00,17.77
2000-05-01,0.00,35.0,50.0,65.0,1.42,16.91
2000-05-02,0.12,45.0,57.2,69.4,0.09,15.91
2000-05-03,0.00,40.7,53.3,66.0,1.11,13.88
2000-05-04,0.00,52.5,62.0,71.6,4.02,17.24
2000-05-05,0.00,57.1,65.3,73.5,2.30,14.45
2000-05-06,0.06,58.7,71.5,84.4,0.25,22.79
2000-05-07,0.00,59.0,72.8,86.7,0.50,24.69
2000-05-08,0.00,61.5,75.3,89.1,0.77,30.02
2000-05-09,0.00,64.5,77.1,89.6,1.96,28.84
2000-05-10,0.00,65.4,76.8,88.2,1.71,24.87
2000-05-11,0.71,50.9,64.8,78.8,0.42,12.26
2000-05-12,0.00,53.5,64.1,74.6,1.12,20.12
2000-05-13,0.03,56.7,68.0,79.3,1.55,16.25
2000-05-14,0.70,48.0,65.9,83.8,0.00,16.42
2000-05-15,0.00,38.6,54.6,70.6,0.42,16.17
2000-05-16,0.00,37.2,50.8,64.4,0.38,14.15
2000-05-17,0.04,44.7,56.4,68.1,0.50,16.01
2000-05-18,0.00,53.8,62.7,71.6,0.42,13.78
2000-05-19,0.01,61.7,71.0,80.3,1.66,16.38
2000-05-20,0.80,45.3,55.9,66.5,0.05,5.61
2000-05-21,0.49,46.5,49.0,51.5,0.00,1.35
2000-05-22,0.13,50.3,55.2,60.1,0.00,3.95
2000-05-23,0.35,53.1,55.6,58.2,0.20,3.14
2000-05-24,0.38,54.0,59.8,65.6,0.01,5.77
2000-05-25,0.19,53.9,66.4,78.9,0.09,18.26
2000-05-26,0.00,51.8,62.6,73.4,1.48,17.94
2000-05-27,0.00,49.0,61.6,74.2,0.70,18.62
2000-05-28,0.16,47.5,55.1,62.8,0.00,7.65
2000-05-29,0.02,52.4,58.7,65.0,0.92,9.47
2000-05-30,0.00,47.7,56.5,65.4,0.81,11.10
2000-05-31,0.00,44.3,54.6,65.0,0.00,9.51
2000-06-01,0.00,48.7,60.0,71.4,0.75,12.91
2000-06-02,0.00,60.9,73.6,86.3,0.00,19.12
2000-06-03,0.00,59.6,74.2,88.8,2.08,21.66
2000-06-04,0.00,51.2,62.0,72.8,0.77,15.68
2000-06-05,0.00,55.9,64.6,73.2,1.60,15.08
2000-06-06,0.44,53.7,61.4,69.2,0.03,13.53
2000-06-07,0.38,50.8,54.4,58.0,0.17,3.87
2000-06-08,0.00,52.5,63.9,75.2,0.34,17.57
