PRISM Time Series Data
Location:  Lat: 41.0714   Lon: -75.0956   Elev: 784ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.4,29.2,37.9,0.08,2.67
2000-01-02,0.00,23.2,34.9,46.7,0.15,5.02
2000-01-03,0.00,36.4,45.0,53.7,0.40,3.23
2000-01-04,0.00,48.8,54.1,59.3,0.38,4.23
2000-01-05,0.26,29.5,45.5,61.4,0.33,4.55
2000-01-06,0.00,13.9,25.6,37.4,0.14,4.68
2000-01-07,0.00,17.4,27.8,38.3,0.28,3.96
2000-01-08,0.00,19.4,32.4,45.4,0.24,5.81
2000-01-09,0.00,20.9,28.7,36.6,0.75,4.14
2000-01-10,0.11,29.9,40.1,50.4,0.28,6.74
2000-01-11,0.91,32.2,39.2,46.2,0.02,3.42
2000-01-12,0.00,32.7,40.2,47.7,1.25,6.56
2000-01-13,0.04,27.2,35.5,43.8,0.75,6.71
2000-01-14,0.10,7.6,19.3,30.9,0.17,1.69
2000-01-15,0.00,5.7,12.1,18.5,0.46,1.99
2000-01-16,0.00,12.4,20.0,27.7,0.86,2.23
2000-01-17,0.00,1.7,21.8,42.0,0.75,4.82
2000-01-18,0.00,-1.2,6.2,13.7,0.47,1.95
2000-01-19,0.00,1.1,9.6,18.2,0.65,2.40
2000-01-20,0.05,11.5,19.0,26.6,0.48,2.81
2000-01-21,0.15,5.6,14.8,24.1,0.20,1.43
2000-01-22,0.00,1.8,8.6,15.3,0.63,2.02
2000-01-23,0.05,1.3,9.5,17.7,0.43,2.19
2000-01-24,0.00,10.3,16.7,23.0,0.36,1.87
2000-01-25,0.24,21.4,29.1,36.9,0.87,4.59
2000-01-26,0.74,17.8,22.8,27.8,0.25,2.13
2000-01-27,0.00,10.9,19.1,27.3,1.01,2.61
2000-01-28,0.00,2.7,9.0,15.4,0.68,1.90
2000-01-29,0.00,1.3,10.3,19.2,0.54,2.61
2000-01-30,0.00,1.0,18.3,35.7,0.37,6.85
2000-01-31,0.95,3.2,17.2,31.2,0.30,5.51
2000-02-01,0.00,19.0,25.2,31.4,0.40,2.51
2000-02-02,0.00,15.3,24.5,33.6,0.64,3.49
2000-02-03,0.00,9.0,17.9,26.8,0.76,3.38
2000-02-04,0.12,13.9,20.5,27.1,0.11,2.19
2000-02-05,0.02,18.5,24.4,30.3,0.11,1.76
2000-02-06,0.00,20.4,26.6,32.8,1.09,3.97
2000-02-07,0.00,20.0,27.5,35.0,1.19,5.00
2000-02-08,0.00,7.1,22.8,38.5,0.88,4.29
2000-02-09,0.00,1.6,16.3,30.9,0.23,4.59
2000-02-10,0.00,13.7,27.3,40.9,0.36,4.43
2000-02-11,0.05,22.7,35.0,47.4,0.25,6.08
2000-02-12,0.00,14.1,29.6,45.1,0.12,3.54
2000-02-13,0.00,8.0,19.8,31.6,0.32,4.39
2000-02-14,0.77,10.4,21.7,33.1,0.11,2.95
2000-02-15,0.13,28.0,35.1,42.2,0.25,2.59
2000-02-16,0.00,21.6,29.0,36.5,0.64,4.36
2000-02-17,0.00,19.7,32.3,44.8,1.35,4.47
2000-02-18,0.02,16.8,24.4,32.1,0.52,4.19
2000-02-19,0.70,19.0,23.4,27.8,0.00,1.74
2000-02-20,0.00,23.1,27.3,31.6,0.07,1.32
