PRISM Time Series Data
Location:  Lat: 40.4388   Lon: -75.2993   Elev: 531ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.8,32.1,41.4,0.01,2.68
2000-01-02,0.00,25.6,34.5,43.4,0.04,1.95
2000-01-03,0.00,34.0,46.2,58.5,0.44,7.12
2000-01-04,0.00,46.7,53.1,59.6,0.00,3.50
2000-01-05,0.62,33.5,48.6,63.7,0.50,5.50
2000-01-06,0.00,18.2,28.1,38.0,0.34,4.55
2000-01-07,0.00,18.9,30.6,42.2,0.16,5.04
2000-01-08,0.00,20.9,34.0,47.1,0.19,6.16
2000-01-09,0.00,21.3,30.2,39.2,0.69,4.59
2000-01-10,0.00,32.5,39.4,46.2,0.37,4.67
2000-01-11,0.52,33.6,43.6,53.7,0.00,4.32
2000-01-12,0.00,33.9,41.9,49.9,1.18,7.11
2000-01-13,0.00,28.2,36.4,44.6,1.04,6.46
2000-01-14,0.00,13.5,24.3,35.1,0.48,1.94
2000-01-15,0.00,11.7,17.6,23.6,0.75,2.82
2000-01-16,0.00,14.3,21.8,29.4,0.76,2.71
2000-01-17,0.00,8.1,28.2,48.3,1.22,6.94
2000-01-18,0.00,4.0,10.6,17.3,0.69,2.46
2000-01-19,0.00,4.9,12.4,19.9,0.75,2.49
2000-01-20,0.02,14.7,22.8,30.9,0.45,3.46
2000-01-21,0.18,10.1,18.3,26.6,0.15,1.45
2000-01-22,0.00,4.1,11.0,17.8,0.60,2.23
2000-01-23,0.00,7.7,14.2,20.7,0.47,2.30
2000-01-24,0.00,15.9,20.7,25.6,0.38,1.20
2000-01-25,0.18,22.0,30.2,38.3,0.26,3.95
2000-01-26,0.54,21.6,25.0,28.4,0.18,1.72
2000-01-27,0.00,12.5,21.8,31.0,1.04,2.80
2000-01-28,0.00,7.3,13.3,19.2,0.93,2.08
2000-01-29,0.00,8.2,15.2,22.3,0.95,2.81
2000-01-30,0.00,3.7,19.6,35.6,0.29,5.58
2000-01-31,1.30,8.4,20.8,33.2,0.00,3.78
2000-02-01,0.00,14.9,23.7,32.5,0.16,2.90
2000-02-02,0.00,16.5,24.8,33.1,0.74,3.11
2000-02-03,0.00,9.8,19.8,29.8,0.48,3.58
2000-02-04,0.39,12.5,20.9,29.3,0.08,2.34
2000-02-05,0.01,21.5,27.4,33.3,0.01,1.97
2000-02-06,0.00,22.0,28.2,34.5,1.21,4.24
2000-02-07,0.00,19.7,28.0,36.3,0.62,4.77
2000-02-08,0.00,11.3,25.9,40.5,0.84,4.26
2000-02-09,0.00,5.8,18.0,30.2,0.16,3.87
2000-02-10,0.00,7.2,25.3,43.4,0.00,4.53
2000-02-11,0.00,26.3,37.5,48.7,0.23,6.18
2000-02-12,0.08,19.8,33.0,46.3,0.28,3.57
2000-02-13,0.00,8.6,19.9,31.2,0.10,3.78
2000-02-14,0.69,11.2,22.9,34.5,0.07,2.83
2000-02-15,0.09,31.4,37.3,43.3,0.53,3.13
2000-02-16,0.00,22.7,30.6,38.5,0.55,4.55
2000-02-17,0.00,24.0,36.7,49.4,1.55,5.31
2000-02-18,0.00,23.4,28.9,34.5,0.83,4.41
2000-02-19,0.53,26.1,28.8,31.5,0.01,1.35
2000-02-20,0.00,26.6,30.4,34.2,0.00,1.54
2000-02-21,0.00,21.3,29.5,37.6,0.63,3.54
2000-02-22,0.21,20.5,30.3,40.2,0.12,4.54
2000-02-23,0.00,22.3,36.7,51.2,0.15,7.63
2000-02-24,0.00,31.3,42.2,53.1,0.47,6.96
