PRISM Time Series Data
Location:  Lat: 38.8273   Lon: -79.6518   Elev: 3143ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,18.4,32.4,46.3,0.28,6.22
2000-01-02,0.00,20.0,32.6,45.1,0.34,4.21
2000-01-03,0.00,36.5,47.3,58.1,0.59,7.59
2000-01-04,0.04,45.5,52.8,60.0,0.33,6.34
2000-01-05,0.39,21.2,37.8,54.4,0.56,3.50
2000-01-06,0.04,5.8,15.9,25.9,0.00,1.63
2000-01-07,0.00,15.0,28.0,40.9,0.07,4.99
2000-01-08,0.00,11.6,24.2,36.7,0.03,4.14
2000-01-09,0.00,12.2,24.4,36.7,0.19,4.46
2000-01-10,0.07,26.7,33.8,40.9,0.01,3.00
2000-01-11,0.22,35.4,43.4,51.4,0.50,7.57
2000-01-12,0.12,23.0,31.6,40.3,0.28,5.10
2000-01-13,0.18,24.0,35.9,47.8,0.34,7.20
2000-01-14,0.16,7.8,26.6,45.4,0.02,2.69
2000-01-15,0.00,-0.5,8.1,16.7,0.05,1.17
2000-01-16,0.00,2.4,22.6,42.8,0.00,6.53
2000-01-17,0.00,7.5,25.2,43.0,0.82,5.11
2000-01-18,0.00,7.8,15.1,22.4,0.59,2.87
2000-01-19,0.12,16.5,21.3,26.1,0.28,2.06
2000-01-20,0.30,18.2,21.7,25.2,0.05,1.17
2000-01-21,0.25,2.0,12.6,23.1,0.16,0.83
2000-01-22,0.02,-9.4,-1.9,5.5,0.05,0.47
2000-01-23,0.13,-7.9,5.7,19.3,0.07,1.89
2000-01-24,0.00,18.6,25.0,31.3,0.20,1.45
2000-01-25,0.00,10.7,19.2,27.7,0.33,1.75
2000-01-26,0.02,7.2,10.3,13.4,0.20,0.61
2000-01-27,0.11,1.0,8.2,15.5,0.11,0.59
2000-01-28,0.00,-14.1,-2.0,10.0,0.00,1.02
2000-01-29,0.00,-4.9,6.8,18.5,0.19,1.41
2000-01-30,0.12,0.4,19.1,37.8,0.04,5.31
2000-01-31,0.28,15.0,22.0,29.1,0.00,1.44
2000-02-01,0.04,15.5,20.0,24.5,0.22,1.60
2000-02-02,0.15,13.3,16.5,19.6,0.07,0.71
2000-02-03,0.00,-1.7,11.4,24.4,0.00,1.97
2000-02-04,0.12,8.7,22.1,35.6,0.11,3.75
2000-02-05,0.25,16.2,20.1,24.1,0.13,0.42
2000-02-06,0.00,16.4,21.3,26.1,0.43,1.86
2000-02-07,0.00,17.1,24.7,32.2,0.26,2.99
2000-02-08,0.00,11.2,24.0,36.9,0.00,2.99
2000-02-09,0.00,9.2,25.9,42.6,0.04,5.68
2000-02-10,0.00,11.1,29.8,48.4,0.04,7.49
2000-02-11,0.06,19.3,34.9,50.5,0.12,8.20
2000-02-12,0.05,23.5,32.6,41.7,0.09,0.59
2000-02-13,0.06,23.4,28.6,33.8,0.36,2.32
2000-02-14,0.66,27.1,35.6,44.1,0.12,3.37
2000-02-15,0.16,20.7,32.3,43.8,0.08,1.28
2000-02-16,0.03,21.5,31.6,41.6,0.05,4.65
2000-02-17,0.00,17.7,31.3,44.9,0.07,3.60
2000-02-18,0.40,19.5,29.8,40.2,0.27,5.58
2000-02-19,2.24,31.7,40.6,49.4,0.03,1.52
2000-02-20,0.08,22.4,30.8,39.2,0.13,1.87
2000-02-21,0.03,22.6,24.9,27.2,0.16,1.26
2000-02-22,0.00,19.5,29.5,39.5,0.10,4.16
2000-02-23,0.00,22.4,37.8,53.3,0.02,8.57
2000-02-24,0.00,30.8,43.2,55.6,0.00,7.81
2000-02-25,0.00,33.0,48.7,64.3,0.00,12.62
2000-02-26,0.00,30.3,46.8,63.4,0.00,8.52
2000-02-27,0.00,31.1,49.5,67.9,0.00,14.72
2000-02-28,0.66,30.8,41.8,52.8,0.09,2.77
2000-02-29,0.00,19.8,32.1,44.4,0.05,5.99
2000-03-01,0.00,22.8,41.8,60.7,0.33,14.54
2000-03-02,0.03,29.9,42.6,55.3,1.28,8.42
2000-03-03,0.00,21.4,28.6,35.9,0.18,2.92
2000-03-04,0.00,15.1,29.8,44.6,0.00,6.97
2000-03-05,0.00,16.0,33.8,51.5,0.27,10.55
2000-03-06,0.00,21.7,37.1,52.6,0.07,8.06
2000-03-07,0.00,25.8,41.6,57.5,0.52,11.15
2000-03-08,0.00,31.6,50.4,69.1,0.93,18.29
2000-03-09,0.00,35.2,53.7,72.3,0.49,18.75
2000-03-10,0.09,40.6,52.2,63.9,1.80,10.30
2000-03-11,0.35,36.4,49.3,62.1,0.38,11.76
2000-03-12,1.09,25.6,38.4,51.2,0.01,3.67
2000-03-13,0.12,7.1,16.2,25.3,0.00,1.52
2000-03-14,0.00,8.9,24.6,40.2,0.00,4.79
2000-03-15,0.00,25.0,36.6,48.2,0.21,6.85
2000-03-16,0.02,30.1,45.6,61.2,0.21,13.08
2000-03-17,0.45,30.0,43.4,56.7,0.00,5.69
2000-03-18,0.04,5.4,17.4,29.3,0.00,2.14
2000-03-19,0.00,16.7,29.3,41.9,0.68,6.77
2000-03-20,0.00,29.6,39.6,49.6,0.01,5.76
2000-03-21,0.61,31.3,35.9,40.5,0.00,1.87
2000-03-22,0.20,31.1,35.4,39.7,0.00,1.09
2000-03-23,0.00,31.6,37.3,43.0,0.00,1.66
2000-03-24,0.00,29.5,45.0,60.5,0.01,8.99
2000-03-25,0.00,35.1,51.6,68.1,0.19,14.33
2000-03-26,0.12,35.0,51.0,67.0,0.01,11.17
2000-03-27,0.00,24.5,39.0,53.5,0.00,9.39
2000-03-28,0.17,25.5,38.9,52.3,0.03,7.12
2000-03-29,0.49,27.7,34.3,41.0,0.04,2.15
2000-03-30,0.00,18.8,31.3,43.7,0.00,4.42
2000-03-31,0.00,18.9,35.7,52.5,0.08,8.35
2000-04-01,0.00,19.3,36.7,54.0,0.50,11.15
2000-04-02,0.00,22.4,45.1,67.8,2.57,19.12
2000-04-03,0.23,45.2,49.4,53.5,0.00,2.41
2000-04-04,0.76,45.6,57.5,69.3,0.28,13.21
2000-04-05,0.39,22.9,33.5,44.0,0.36,3.44
2000-04-06,0.00,25.3,37.3,49.2,0.89,7.25
2000-04-07,0.00,32.9,48.8,64.7,1.20,15.90
2000-04-08,0.00,34.3,53.3,72.2,2.40,21.29
2000-04-09,0.74,19.3,37.9,56.5,0.26,6.79
2000-04-10,0.16,21.1,28.5,36.0,0.00,3.49
2000-04-11,0.00,34.8,44.0,53.3,1.98,9.81
2000-04-12,0.18,36.6,47.2,57.8,0.63,10.80
2000-04-13,0.02,22.9,30.1,37.2,0.33,3.41
2000-04-14,0.00,23.8,37.2,50.6,0.00,8.27
2000-04-15,0.00,35.8,47.7,59.6,0.00,8.24
2000-04-16,0.00,45.5,54.4,63.4,0.35,7.52
2000-04-17,0.20,45.4,56.1,66.7,0.06,13.17
2000-04-18,1.00,39.4,53.6,67.7,0.05,11.39
2000-04-19,0.04,39.3,44.0,48.7,0.19,3.04
2000-04-20,0.00,34.2,45.2,56.2,0.11,6.27
2000-04-21,0.23,41.7,57.1,72.5,0.30,16.45
2000-04-22,0.20,34.1,45.2,56.2,0.35,6.25
2000-04-23,0.25,35.0,38.5,42.0,0.09,1.45
2000-04-24,0.02,29.9,37.2,44.4,0.14,3.25
2000-04-25,0.18,31.7,41.9,52.2,0.25,8.53
2000-04-26,0.00,30.0,41.3,52.6,1.01,7.81
2000-04-27,0.00,23.9,39.2,54.5,0.28,9.92
2000-04-28,0.00,29.0,41.0,53.0,0.31,9.55
2000-04-29,0.00,32.9,46.4,59.9,0.41,11.62
2000-04-30,0.00,28.0,44.5,61.0,0.76,13.54
2000-05-01,0.00,31.9,46.7,61.6,1.87,14.68
2000-05-02,0.87,35.9,53.5,71.2,0.45,21.05
2000-05-03,0.00,34.4,48.4,62.4,0.35,11.90
2000-05-04,0.00,46.6,59.8,73.1,1.62,18.18
2000-05-05,0.00,47.5,60.3,73.2,0.43,14.85
2000-05-06,0.00,48.1,61.3,74.6,0.42,15.19
2000-05-07,0.00,47.2,61.7,76.2,0.52,17.34
2000-05-08,0.03,49.6,63.6,77.6,0.74,18.77
2000-05-09,0.00,50.9,64.6,78.3,0.67,21.35
2000-05-10,0.00,53.1,66.0,78.9,0.68,18.23
2000-05-11,0.00,36.7,53.6,70.5,1.14,12.57
2000-05-12,0.00,41.3,57.6,73.8,1.48,22.80
2000-05-13,0.00,56.3,67.4,78.4,0.21,16.01
2000-05-14,0.30,42.1,59.8,77.5,2.11,19.98
2000-05-15,0.00,30.4,44.7,58.9,1.46,10.96
2000-05-16,0.00,28.4,42.2,56.1,0.34,10.42
2000-05-17,0.00,37.2,50.8,64.4,0.00,15.86
2000-05-18,0.00,49.2,60.3,71.4,0.99,15.40
2000-05-19,0.00,56.9,68.1,79.3,3.89,24.03
2000-05-20,1.47,55.6,61.4,67.3,0.06,7.56
2000-05-21,0.30,50.7,57.2,63.8,0.13,6.54
2000-05-22,0.24,48.2,56.5,64.8,0.34,9.44
2000-05-23,0.00,44.0,54.1,64.2,0.58,10.30
2000-05-24,0.56,49.3,58.5,67.8,0.08,9.70
2000-05-25,0.30,53.2,63.2,73.2,0.70,15.00
2000-05-26,0.00,38.4,52.3,66.1,1.21,14.25
2000-05-27,0.00,44.9,56.9,68.9,0.28,14.46
2000-05-28,0.84,50.2,57.5,64.7,0.00,5.12
2000-05-29,0.86,47.9,56.9,65.8,0.02,6.96
