PRISM Time Series Data
Location:  Lat: 41.0787   Lon: -77.0900   Elev: 1565ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.2,30.9,40.5,0.40,3.43
2000-01-02,0.02,24.2,35.1,45.9,0.70,5.73
2000-01-03,0.01,34.4,44.0,53.5,0.41,4.41
2000-01-04,0.19,43.5,49.4,55.2,0.05,2.69
2000-01-05,0.19,23.6,39.5,55.4,0.49,2.53
2000-01-06,0.00,15.7,23.3,30.9,0.37,3.09
2000-01-07,0.00,18.9,27.4,35.9,0.60,3.45
2000-01-08,0.00,17.9,27.6,37.4,0.40,3.86
2000-01-09,0.00,20.5,28.5,36.5,0.72,4.34
2000-01-10,0.25,27.3,36.1,44.9,0.29,5.92
2000-01-11,0.57,28.5,34.6,40.6,0.00,3.76
2000-01-12,0.00,25.7,33.3,41.0,0.18,4.95
2000-01-13,0.02,25.1,32.2,39.2,0.27,4.80
2000-01-14,0.03,2.4,14.3,26.2,0.11,0.94
2000-01-15,0.00,1.3,10.0,18.6,0.12,1.91
2000-01-16,0.00,9.8,18.3,26.8,0.34,2.12
2000-01-17,0.00,-0.7,18.9,38.5,0.68,4.10
2000-01-18,0.00,-2.2,4.7,11.7,0.42,1.76
2000-01-19,0.00,-1.7,5.9,13.4,0.19,1.50
2000-01-20,0.36,7.3,17.0,26.7,0.08,2.18
2000-01-21,0.13,-1.2,10.7,22.7,0.10,1.20
2000-01-22,0.00,-6.4,1.7,9.7,0.14,1.32
2000-01-23,0.00,-1.4,7.8,16.9,0.18,1.72
2000-01-24,0.00,11.6,17.0,22.5,0.36,1.40
2000-01-25,0.00,11.6,21.4,31.2,0.34,3.26
2000-01-26,0.39,12.4,16.1,19.9,0.14,1.32
2000-01-27,0.00,0.2,11.3,22.4,0.27,1.74
2000-01-28,0.00,-2.1,5.5,13.0,0.33,1.63
2000-01-29,0.00,0.5,10.6,20.7,0.46,2.78
2000-01-30,0.11,2.0,16.1,30.1,0.27,4.24
2000-01-31,0.34,12.3,20.7,29.0,0.14,2.93
2000-02-01,0.00,16.6,21.6,26.5,0.26,2.07
2000-02-02,0.00,11.0,18.3,25.6,0.51,2.02
2000-02-03,0.00,8.0,16.4,24.9,0.46,2.77
2000-02-04,0.11,12.4,19.0,25.6,0.01,1.83
2000-02-05,0.35,13.0,21.5,30.0,0.08,1.66
2000-02-06,0.00,12.6,20.5,28.5,0.56,2.79
2000-02-07,0.00,17.5,25.4,33.3,0.69,3.93
