PRISM Time Series Data
Location:  Lat: 40.3383   Lon: -75.9045   Elev: 446ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,2.82,19.9,28.5,37.1,0.51,3.61
2000-02,2.30,23.6,32.6,41.6,0.56,4.43
2000-03,6.56,34.5,45.5,56.5,1.09,9.86
2000-04,2.56,40.2,50.1,60.0,0.98,9.73
2000-05,3.53,51.8,62.4,72.9,0.83,14.65
2000-06,4.97,60.4,69.7,79.0,0.97,15.28
2000-07,1.88,61.3,70.6,79.8,1.17,17.25
2000-08,2.45,61.6,70.6,79.7,0.81,15.17
2000-09,4.03,53.0,63.3,73.6,0.51,12.43
2000-10,1.37,42.6,54.2,65.8,0.63,11.80
2000-11,2.16,33.2,42.3,51.5,1.08,7.43
2000-12,4.27,18.3,26.6,34.9,0.41,3.21
2001-01,2.85,19.6,27.8,36.0,0.32,3.06
2001-02,2.03,25.4,33.7,42.0,0.66,4.53
2001-03,3.96,29.1,37.2,45.3,0.74,5.68
2001-04,2.70,39.9,50.6,61.4,0.98,10.91
2001-05,3.65,50.3,61.5,72.7,1.29,16.83
2001-06,3.48,60.2,70.3,80.4,0.88,17.81
2001-07,5.27,59.7,70.9,82.1,0.89,20.08
2001-08,2.69,64.7,75.1,85.4,1.01,21.27
2001-09,4.66,52.6,64.1,75.7,0.32,14.76
2001-10,0.52,43.0,54.7,66.5,0.65,12.41
2001-11,1.21,36.4,47.7,59.0,0.44,8.53
2001-12,2.15,30.9,40.0,49.1,0.58,5.95
2002-01,2.70,26.6,35.2,43.8,0.56,5.14
2002-02,0.58,26.7,36.8,46.9,0.73,6.14
2002-03,3.92,31.7,41.4,51.2,0.90,7.35
2002-04,3.99,42.9,53.7,64.4,1.04,12.19
2002-05,5.41,47.5,58.5,69.5,0.87,13.61
2002-06,5.14,60.2,70.8,81.5,1.17,18.79
2002-07,0.96,65.3,76.4,87.4,2.39,25.05
2002-08,3.98,65.0,76.5,88.0,2.11,27.91
2002-09,3.96,56.7,68.0,79.3,1.10,18.15
2002-10,7.38,44.9,53.5,62.1,0.46,8.45
2002-11,4.26,33.7,42.0,50.3,0.43,5.56
2002-12,5.03,22.8,30.6,38.5,0.53,3.49
2003-01,2.26,17.7,24.6,31.5,0.49,2.67
2003-02,4.32,19.2,26.6,34.0,0.37,2.99
2003-03,3.88,29.8,40.1,50.5,0.47,6.44
2003-04,2.82,38.6,48.7,58.9,1.09,10.89
2003-05,3.01,49.4,57.7,66.1,0.68,10.08
2003-06,8.72,58.5,67.2,75.8,0.32,12.81
2003-07,5.13,64.1,74.1,84.1,0.78,19.60
2003-08,4.10,66.0,74.9,83.8,0.29,15.56
2003-09,9.29,57.3,66.0,74.6,0.46,11.40
2003-10,5.44,41.4,51.6,61.8,0.40,9.12
2003-11,3.90,38.5,47.8,57.0,0.64,7.12
2003-12,4.81,26.3,34.0,41.7,0.70,4.30
2004-01,1.70,17.0,23.8,30.6,0.68,2.90
2004-02,2.81,22.2,30.7,39.3,0.73,4.69
2004-03,1.91,32.8,42.3,51.8,0.92,8.04
2004-04,4.24,42.1,51.5,60.8,1.02,10.55
2004-05,3.05,56.9,67.0,77.0,0.79,14.63
2004-06,6.52,59.0,68.4,77.7,1.18,15.72
2004-07,13.39,63.8,72.6,81.3,1.11,16.52
2004-08,4.62,63.2,72.2,81.3,1.06,16.31
2004-09,6.90,58.1,67.5,76.9,0.88,14.11
2004-10,2.89,43.6,52.5,61.4,0.57,8.70
2004-11,3.58,37.0,46.1,55.2,1.08,7.59
2004-12,3.35,25.2,33.6,42.0,0.70,4.50
2005-01,3.90,21.6,28.7,35.8,0.50,3.10
