PRISM Time Series Data
Location:  Lat: 42.2444   Lon: -72.6503   Elev: 295ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,16.0,26.6,37.1,0.18,5.31
2000-01-02,0.35,16.0,30.5,45.0,0.01,4.51
2000-01-03,0.00,29.8,42.2,54.6,0.05,3.43
2000-01-04,0.03,39.0,49.3,59.6,0.00,6.51
2000-01-05,0.47,29.4,43.3,57.2,0.05,2.94
2000-01-06,0.00,12.2,22.3,32.5,0.16,3.84
2000-01-07,0.00,12.3,23.9,35.5,0.11,3.54
2000-01-08,0.00,24.8,33.3,41.8,0.23,3.89
2000-01-09,0.00,24.2,30.6,37.0,1.00,4.53
2000-01-10,0.00,25.1,36.3,47.4,0.20,6.57
2000-01-11,0.91,35.3,40.6,45.9,0.00,3.24
2000-01-12,0.00,33.8,42.4,50.9,1.08,6.99
2000-01-13,0.00,25.2,32.1,39.1,0.53,4.87
2000-01-14,0.04,2.7,15.0,27.3,0.01,1.56
2000-01-15,0.00,-6.3,3.0,12.3,0.25,1.63
2000-01-16,0.00,-4.3,7.3,18.9,0.32,2.22
2000-01-17,0.00,-0.9,18.5,38.0,0.34,3.49
2000-01-18,0.00,-5.2,1.6,8.3,0.35,1.28
2000-01-19,0.00,-4.8,4.3,13.5,0.25,1.65
2000-01-20,0.00,0.6,11.4,22.1,0.30,2.98
2000-01-21,0.01,6.6,12.8,19.0,0.22,1.17
2000-01-22,0.00,-3.2,4.3,11.7,0.59,1.32
2000-01-23,0.00,-3.6,3.8,11.1,0.29,1.83
2000-01-24,0.00,-0.3,9.6,19.5,0.37,1.54
2000-01-25,0.00,15.0,24.1,33.2,0.22,2.85
2000-01-26,0.21,20.1,23.4,26.7,0.09,1.05
2000-01-27,0.00,7.4,17.6,27.7,0.38,2.30
2000-01-28,0.00,0.1,6.8,13.5,0.55,1.35
2000-01-29,0.00,0.1,8.6,17.1,0.54,1.81
2000-01-30,0.00,-0.1,15.8,31.6,0.22,4.79
2000-01-31,1.09,0.8,18.2,35.7,0.05,4.69
2000-02-01,0.00,18.3,27.2,36.1,0.02,2.40
2000-02-02,0.00,15.0,24.5,33.9,0.61,3.27
2000-02-03,0.00,10.6,15.8,20.9,0.78,2.14
2000-02-04,0.02,13.3,20.0,26.7,0.07,2.30
2000-02-05,0.00,17.1,23.5,29.9,0.26,3.45
2000-02-06,0.00,18.8,25.6,32.3,0.57,3.92
2000-02-07,0.00,15.2,24.1,33.0,0.94,4.36
2000-02-08,0.00,3.3,21.2,39.1,0.58,4.68
2000-02-09,0.00,4.0,15.8,27.7,0.59,3.80
2000-02-10,0.00,17.8,30.5,43.2,0.21,4.93
2000-02-11,0.00,20.2,33.5,46.8,0.02,5.83
2000-02-12,0.00,15.1,27.2,39.4,0.04,2.01
2000-02-13,0.00,4.8,18.4,31.9,0.23,4.77
2000-02-14,0.16,7.6,21.3,35.0,0.02,4.27
2000-02-15,0.14,25.1,34.8,44.6,0.00,2.31
2000-02-16,0.01,19.1,28.0,36.8,0.16,4.35
2000-02-17,0.00,17.1,29.7,42.3,0.17,3.30
2000-02-18,0.00,9.3,18.5,27.7,0.56,3.68
2000-02-19,0.18,16.5,21.1,25.7,0.01,1.73
2000-02-20,0.02,23.0,27.7,32.5,0.02,1.52
2000-02-21,0.00,22.0,29.1,36.2,0.64,3.85
2000-02-22,1.08,12.9,26.2,39.4,0.11,4.77
2000-02-23,0.00,17.5,32.1,46.7,0.01,6.28
2000-02-24,0.00,25.0,38.3,51.6,0.14,7.42
2000-02-25,0.02,36.8,47.6,58.5,0.10,8.92
2000-02-26,0.56,32.7,37.8,42.9,0.00,2.39
2000-02-27,0.00,33.0,35.1,37.1,0.02,0.41
2000-02-28,0.31,35.3,43.7,52.1,0.12,5.11
2000-02-29,0.00,32.3,39.2,46.1,0.80,4.73
2000-03-01,0.00,25.5,37.7,49.9,0.68,9.11
2000-03-02,0.00,28.4,39.1,49.8,0.24,7.52
2000-03-03,0.00,29.6,37.2,44.8,1.11,5.63
2000-03-04,0.00,27.0,34.2,41.3,1.75,4.75
2000-03-05,0.00,29.7,38.9,48.2,1.78,8.66
2000-03-06,0.00,27.8,37.8,47.7,0.85,6.32
2000-03-07,0.00,25.3,37.1,48.9,0.86,9.20
2000-03-08,0.00,30.7,47.4,64.2,0.75,16.93
2000-03-09,0.00,38.2,49.7,61.3,0.60,11.88
2000-03-10,0.16,38.8,54.4,70.0,0.05,13.59
2000-03-11,0.00,34.3,40.4,46.5,1.43,5.72
2000-03-12,1.37,33.0,35.5,38.0,0.06,2.24
2000-03-13,0.26,25.0,33.3,41.7,0.00,2.71
2000-03-14,0.00,22.2,31.2,40.2,0.48,5.73
2000-03-15,0.00,28.8,40.4,52.0,0.21,8.49
2000-03-16,0.00,35.7,49.1,62.4,0.53,13.04
2000-03-17,0.82,32.5,50.2,67.9,0.02,14.29
2000-03-18,0.08,14.3,24.2,34.2,0.20,2.68
2000-03-19,0.00,18.4,27.7,37.0,0.65,5.19
2000-03-20,0.00,24.1,35.2,46.3,0.88,7.49
2000-03-21,0.00,30.6,39.9,49.3,0.39,7.13
2000-03-22,0.00,34.8,40.0,45.2,0.59,3.83
2000-03-23,0.00,27.8,40.0,52.1,0.09,7.04
2000-03-24,0.00,31.2,48.8,66.4,0.19,15.77
2000-03-25,0.00,30.9,48.8,66.7,0.42,17.73
2000-03-26,0.04,36.1,49.8,63.6,0.03,12.79
2000-03-27,0.00,29.8,45.8,61.8,0.46,13.13
2000-03-28,0.61,37.8,48.8,59.8,0.31,12.73
2000-03-29,0.11,38.8,48.3,57.7,0.06,5.98
2000-03-30,0.00,37.6,45.6,53.5,1.00,7.95
2000-03-31,0.00,27.7,39.3,51.0,0.08,7.35
2000-04-01,0.00,25.6,38.5,51.4,0.08,7.72
2000-04-02,0.00,37.0,49.6,62.2,1.18,14.61
2000-04-03,0.00,44.8,54.4,64.0,0.13,11.53
2000-04-04,0.50,48.9,52.2,55.5,0.03,1.76
2000-04-05,0.35,36.2,48.9,61.6,0.00,4.37
2000-04-06,0.00,30.1,36.8,43.5,1.32,5.89
2000-04-07,0.01,34.4,49.1,63.8,0.44,13.04
2000-04-08,0.00,47.1,55.2,63.3,2.38,13.61
2000-04-09,0.89,37.1,55.6,74.0,0.03,19.05
2000-04-10,0.10,28.5,33.9,39.2,0.14,3.81
2000-04-11,0.00,27.5,37.4,47.3,0.66,7.52
2000-04-12,0.03,32.7,38.5,44.3,0.02,5.64
2000-04-13,0.00,26.3,35.2,44.0,0.61,5.58
2000-04-14,0.00,26.5,38.4,50.3,0.62,10.03
2000-04-15,0.00,34.2,45.8,57.4,0.57,12.07
2000-04-16,0.00,48.9,60.2,71.4,0.00,11.36
2000-04-17,0.00,40.2,57.8,75.4,0.08,17.82
2000-04-18,0.21,34.8,42.2,49.7,0.35,6.52
2000-04-19,0.05,36.4,40.9,45.4,0.12,4.68
2000-04-20,0.00,39.5,44.1,48.7,0.13,2.78
2000-04-21,0.79,44.5,53.5,62.5,0.15,10.01
2000-04-22,1.61,39.4,43.2,47.0,0.00,1.91
2000-04-23,0.15,39.4,42.4,45.5,0.05,1.35
2000-04-24,0.01,41.4,45.2,49.1,0.31,4.03
2000-04-25,0.00,32.3,44.3,56.4,0.24,8.20
2000-04-26,0.00,37.0,48.3,59.5,1.63,11.74
2000-04-27,0.17,33.5,36.3,39.1,0.00,1.98
2000-04-28,0.01,36.6,43.8,50.9,0.04,5.25
2000-04-29,0.01,31.0,42.7,54.4,0.00,7.45
2000-04-30,0.00,40.5,54.9,69.3,0.92,17.83
2000-05-01,0.00,33.7,47.1,60.5,1.55,14.28
2000-05-02,0.24,43.6,54.1,64.5,0.21,16.13
2000-05-03,0.00,34.2,49.3,64.4,0.40,14.82
2000-05-04,0.00,41.0,55.0,68.9,0.50,18.37
2000-05-05,0.00,53.4,62.8,72.2,1.61,17.68
2000-05-06,0.00,56.1,69.1,82.1,0.03,20.44
2000-05-07,0.00,53.3,69.0,84.7,0.45,23.75
2000-05-08,0.00,62.6,77.1,91.6,3.51,35.05
2000-05-09,0.16,62.0,76.4,90.9,0.31,31.48
2000-05-10,0.02,49.2,70.9,92.5,0.40,32.27
2000-05-11,1.03,45.1,48.3,51.6,0.06,2.17
2000-05-12,0.00,47.3,58.0,68.8,0.39,13.29
2000-05-13,0.04,49.0,57.6,66.1,0.12,9.85
2000-05-14,0.41,50.1,56.0,62.0,0.05,5.14
2000-05-15,0.00,39.4,54.6,69.8,0.71,15.80
2000-05-16,0.00,34.8,48.3,61.9,0.41,13.01
2000-05-17,0.00,43.3,55.7,68.2,1.11,18.62
2000-05-18,0.00,51.3,62.1,72.8,0.48,18.80
2000-05-19,0.76,46.6,59.2,71.9,0.03,7.29
2000-05-20,0.13,41.3,44.4,47.5,0.20,2.16
2000-05-21,0.02,46.2,50.8,55.5,0.14,5.78
2000-05-22,0.03,49.0,51.1,53.1,0.03,1.48
2000-05-23,0.18,49.7,54.5,59.3,0.03,4.01
2000-05-24,0.59,50.4,58.3,66.1,0.00,8.07
2000-05-25,0.13,52.3,62.9,73.5,0.00,12.02
