PRISM Time Series Data
Location:  Lat: 42.0436   Lon: -76.7340   Elev: 984ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,1.96,10.7,21.3,31.8,0.25,3.06
2000-02,2.29,18.5,28.1,37.6,0.29,3.46
2000-03,1.95,28.0,39.9,51.8,0.40,8.33
2000-04,5.11,33.5,44.7,55.8,0.33,8.13
2000-05,4.95,45.6,58.1,70.7,0.35,14.20
2000-06,5.13,54.7,65.5,76.3,0.35,14.30
2000-07,2.40,53.9,65.7,77.5,0.11,16.03
2000-08,2.63,55.1,66.6,78.0,0.23,14.85
2000-09,2.73,47.4,59.7,72.0,0.14,12.79
2000-10,3.11,36.8,49.5,62.3,0.04,9.96
2000-11,1.52,28.2,37.0,45.7,0.22,5.02
2000-12,1.47,12.7,21.6,30.5,0.23,2.43
2001-01,0.62,17.3,25.5,33.7,0.28,2.78
2001-02,0.73,19.3,28.3,37.4,0.43,3.73
2001-03,4.81,21.0,29.9,38.8,0.23,4.00
2001-04,1.57,32.8,45.9,59.0,0.60,10.96
2001-05,1.64,44.1,57.9,71.8,0.48,16.72
2001-06,4.21,53.4,65.9,78.4,0.28,18.44
2001-07,2.03,53.7,67.0,80.3,0.49,20.29
2001-08,2.31,57.6,71.2,84.8,0.09,23.89
2001-09,5.63,46.9,59.6,72.4,0.19,14.56
2001-10,1.53,37.6,50.4,63.2,0.32,11.43
2001-11,1.53,32.1,43.8,55.4,0.41,8.10
2001-12,2.11,27.2,35.3,43.4,0.38,4.56
2002-01,1.14,21.6,30.6,39.5,0.34,4.27
2002-02,1.59,20.5,32.0,43.5,0.52,5.87
2002-03,2.52,24.0,35.0,46.0,0.37,6.35
2002-04,2.93,35.0,47.1,59.2,0.53,10.89
2002-05,4.78,40.1,52.8,65.4,0.45,12.43
2002-06,6.77,54.5,66.6,78.7,0.50,17.45
2002-07,1.66,58.1,71.0,84.0,0.51,21.64
2002-08,1.44,56.7,71.0,85.3,0.40,25.45
2002-09,4.15,50.5,64.4,78.4,0.43,19.69
2002-10,2.96,37.9,47.6,57.2,0.13,7.04
2002-11,2.33,29.3,37.3,45.2,0.31,4.50
