PRISM Time Series Data
Location:  Lat: 38.6690   Lon: -79.4376   Elev: 3028ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.2,34.8,48.5,0.36,7.01
2000-01-02,0.00,26.3,37.5,48.8,0.60,5.55
2000-01-03,0.00,34.9,47.1,59.4,0.56,6.71
2000-01-04,0.05,48.3,54.7,61.2,0.33,6.17
2000-01-05,0.17,23.8,39.9,56.0,0.60,3.94
2000-01-06,0.01,13.2,21.2,29.2,0.00,2.26
2000-01-07,0.00,17.3,29.0,40.7,0.26,4.78
2000-01-08,0.00,15.9,27.3,38.7,0.49,4.88
2000-01-09,0.03,18.9,29.3,39.7,0.39,5.04
2000-01-10,0.18,27.8,35.0,42.2,0.02,3.66
2000-01-11,0.18,30.8,40.4,50.0,0.10,7.28
2000-01-12,0.09,23.6,32.5,41.5,0.50,5.58
2000-01-13,0.10,22.8,36.0,49.2,0.30,8.29
2000-01-14,0.09,9.6,28.7,47.8,0.45,4.77
2000-01-15,0.00,4.7,12.0,19.4,0.30,1.85
2000-01-16,0.00,9.4,25.3,41.2,0.16,5.95
2000-01-17,0.00,11.3,28.5,45.7,1.22,5.96
2000-01-18,0.02,11.6,18.4,25.3,0.81,3.52
2000-01-19,0.03,16.9,21.5,26.0,0.51,2.49
2000-01-20,0.28,18.8,24.2,29.6,0.11,2.39
2000-01-21,0.16,7.1,16.1,25.1,0.29,1.51
2000-01-22,0.01,-1.1,4.3,9.7,0.29,0.90
2000-01-23,0.05,-1.9,9.8,21.5,0.07,2.01
2000-01-24,0.00,16.8,24.4,32.0,0.29,2.30
2000-01-25,0.00,11.5,20.7,29.8,0.16,1.97
2000-01-26,0.00,8.6,14.1,19.6,0.17,1.50
2000-01-27,0.02,2.5,10.8,19.2,0.33,1.35
2000-01-28,0.00,-3.2,5.4,14.0,0.33,1.61
