PRISM Time Series Data
Location:  Lat: 41.5559   Lon: -83.8531   Elev: 669ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.3,29.2,38.1,0.03,2.66
2000-01-02,0.00,29.8,41.1,52.4,0.20,7.51
2000-01-03,0.06,37.1,47.6,58.1,0.13,4.57
2000-01-04,0.39,33.4,44.2,55.0,0.00,3.09
2000-01-05,0.00,23.3,30.3,37.2,0.40,1.95
2000-01-06,0.00,23.0,25.9,28.8,0.60,1.67
2000-01-07,0.00,27.9,33.1,38.4,0.77,3.09
2000-01-08,0.00,19.8,26.8,33.7,0.35,3.24
2000-01-09,0.00,25.2,35.8,46.5,0.87,6.38
2000-01-10,0.02,35.2,39.4,43.6,0.03,2.59
2000-01-11,0.05,35.5,41.4,47.3,0.20,4.32
2000-01-12,0.00,26.0,31.6,37.1,0.87,2.90
2000-01-13,0.13,26.1,31.1,36.1,0.09,3.34
2000-01-14,0.00,4.3,15.5,26.7,0.21,1.65
2000-01-15,0.00,9.1,17.0,25.0,0.36,1.68
2000-01-16,0.00,24.3,31.3,38.4,0.97,2.79
2000-01-17,0.00,9.5,22.9,36.2,0.48,2.99
2000-01-18,0.09,11.2,15.8,20.5,0.27,1.84
2000-01-19,0.00,11.3,19.4,27.4,0.20,1.69
2000-01-20,0.22,11.4,19.0,26.5,0.15,1.46
2000-01-21,0.01,2.3,12.3,22.4,0.18,1.96
2000-01-22,0.00,-4.1,4.9,13.9,0.13,0.90
2000-01-23,0.08,-2.7,10.4,23.6,0.05,0.72
2000-01-24,0.00,0.7,16.0,31.2,0.03,2.02
2000-01-25,0.00,-2.2,7.3,16.8,0.18,1.27
2000-01-26,0.00,2.0,11.7,21.5,0.24,1.28
2000-01-27,0.00,-3.4,5.7,14.7,0.19,1.29
2000-01-28,0.00,-2.3,7.0,16.3,0.26,1.59
2000-01-29,0.00,-0.6,13.2,26.9,0.16,2.16
2000-01-30,0.12,3.6,15.8,28.0,0.03,1.70
2000-01-31,0.01,17.5,24.3,31.0,0.07,1.27
2000-02-01,0.01,20.5,24.4,28.3,0.30,2.11
2000-02-02,0.00,16.1,23.2,30.3,0.61,2.42
2000-02-03,0.06,16.2,23.0,29.8,0.29,1.96
2000-02-04,0.03,29.7,32.7,35.7,0.09,1.35
2000-02-05,0.00,15.2,23.9,32.6,0.11,1.34
2000-02-06,0.00,9.0,19.5,29.9,0.13,2.23
2000-02-07,0.00,6.8,19.0,31.2,0.08,1.51
2000-02-08,0.00,9.5,23.8,38.1,0.17,3.22
2000-02-09,0.00,9.8,21.3,32.7,0.20,2.63
2000-02-10,0.00,28.1,35.5,42.8,0.37,3.96
2000-02-11,0.39,29.9,33.6,37.4,0.09,1.55
2000-02-12,0.00,14.7,23.0,31.3,0.31,2.69
2000-02-13,0.00,15.0,22.0,28.9,0.32,2.51
2000-02-14,0.14,24.3,28.4,32.5,0.16,1.45
2000-02-15,0.00,16.3,23.2,30.1,0.19,1.61
2000-02-16,0.00,19.6,30.3,40.9,0.33,2.47
2000-02-17,0.00,17.5,27.6,37.6,0.60,3.83
2000-02-18,0.10,17.8,24.5,31.3,0.53,2.69
2000-02-19,0.25,24.4,27.3,30.1,0.07,0.95
2000-02-20,0.02,24.1,26.9,29.6,0.53,1.77
2000-02-21,0.00,18.8,25.7,32.6,0.24,1.89
2000-02-22,0.00,18.0,31.2,44.4,0.16,4.72
2000-02-23,0.02,39.2,45.3,51.4,1.41,5.01
2000-02-24,0.00,46.4,55.4,64.4,2.58,12.19
2000-02-25,0.27,45.5,53.0,60.5,0.16,5.05
2000-02-26,0.00,46.2,57.9,69.6,0.09,8.14
2000-02-27,0.31,50.9,60.4,70.0,0.14,12.40
2000-02-28,0.00,31.3,40.9,50.5,0.80,4.97
2000-02-29,0.00,31.7,42.3,53.0,1.06,9.72
